pwer176	pwer150	pwer69	pwer174	pwer135	pwer180	pwer119	pwer149	pwer125	pwer173	pwer120	pwer175	pwer75	pwer171	pwer111	pwer123	pwer68	pwer79	pwer118	pwer178	pwer58	pwer110	pwer168	pwer170	pwer97	pwer78	pwer127	pwer102	pwer145	pwer82	pwer139	pwer181	pwer107	pwer60	pwer101	pwer158	pwer156	pwer81	pwer109	pwer85	pwer129	pwer148	pwer65	pwer80	pwer137	pwer169	pwer76	pwer92	pwer159	pwer86	pwer112	pwer151	pwer106	pwer136	pwer179	pwer52	pwer34	pwer47	pwer26	pwer134	pwer71	pwer63	pwer155	pwer165	pwer142	pwer163	pwer89	pwer84	pwer17	pwer177	pwer100	pwer62	pwer90	pwer61	pwer77	pwer164	pwer93	pwer122	pwer121	pwer182	pwer116	pwer144	pwer114	pwer72	pwer74	pwer70	pwer143	pwer147	pwer133	pwer19	pwer115	pwer96	pwer138	pwer166	pwer50	pwer146	pwer73	pwer167	pwer126	pwer141	pwer91	pwer162	pwer132	pwer88	pwer12	pwer172	pwer154	pwer36	pwer30	pwer160	pwer94	pwer99	pwer45	pwer113	pwer108	pwer83	pwer117	pwer157	pwer161	pwer103	pwer124	pwer153	pwer64	pwer5	pwer44	pwer104	pwer9	pwer128	pwer131	pwer130	pwer59	pwer51	pwer140	pwer87	pwer152	pwer42	pwer33	pwer37	pwer46	pwer98	pwer48	pwer20	pwer95	pwer66	pwer4	pwer10	pwer14	pwer67	pwer22	pwer53	pwer11	pwer29	pwer56	pwer23	pwer2	pwer27	pwer18	pwer8	pwer43	pwer28	pwer40	pwer35	pwer6	pwer38	pwer1	pwer31	pwer15	pwer25	pwer7	pwer39	pwer3	pwer21	pwer32	pwer57	pwer54	pwer41	pwer16	pwer55	pwer49	pwer24	pwer13	pwer105
Root342	14	636	615	42	8503	38	26	1425	1987	6559	18	22	213	1149	2935	2075	325	4270	10	83582	9	1963	5525	3937	278	5147	782	2182	1406	9	37	40	25	16	21	48	945	3559	3544	12	872	1735	725	2876	3845	155	49	299	3760	12	35	627	928	6504	39	1651	196	863	1	40	541	14	844	10022	24	34	146	13	15	37	13	16	215	10	45	67	185	2094	1528	24	19	15	546	321	76	422	25	960	54	8	8	254	4028	8542	32	551	417	5610	1805	44	181	1763	941	246	236	72	1025	106	10	6926	173	308	1378	2614	5375	18	36	28	3572	3592	673	555	345	9	37	1942	156	734	482	1042	32	2204	33	6	442	164	63	96	1733	172	1516	13	139	621	3	198	56	665	1018	654	100	2	820	814	2	9	36	217	11	9	133	188	9	76	7	114	40	10	203	191	6	1281	110	207	827	106	39	41	3	701	38	2
Root569	82	1123	5798	63	10210	77	62	2011	3218	72	62	68	7213	1613	2540	5363	5875	3923	69	68	44	1686	2164	7605	5867	5806	3225	2357	2639	76	47	76841	77	94	50	64	2601	5114	5508	50	3174	3543	4981	3941	1736	33	65	4148	4697	41	59	1051	826	7973	66	3613	3676	749	32	79	6274	64	2338	5030	55	33	2699	57	357	48	31	66	2668	80	46	77	3430	3392	3448	84	70	54	1066	5217	3102	7294	68	2046	55	15	34	5626	2853	6818	60	942	5798	2717	4316	38	3273	1820	3432	4797	3266	58	2307	3239	28	6089	3733	4586	1253	5610	6868	50	35	42	1540	3795	1283	1362	2827	34	61	1467	2536	3276	1376	3086	73	3699	52	71	1219	1953	2037	1391	2217	4657	3523	17	3620	5921	41	1723	807	5017	1242	511	2476	37	2397	1528	34	36	786	2835	21	20	3404	3407	42	855	23	3767	1372	35	1741	1845	38	1838	1793	483	802	2572	835	27	39	2007	898	6
Root68	43951	21	51	49	73	70	8743	33	34	51	10698	274	1045	1165	6809	53	54	32	9028	59	5659	5050	6527	67	508	50	2155	19	37	7319	5275	95	9162	7889	6292	12669	1797	4042	31	5543	803	36	46	2795	8613	4791	8808	31	48	4700	3616	216	4790	46	69	29	33	1195	4385	15783	1348	7859	302	89	7427	5458	18	6849	34	61	4075	10397	24	11832	7530	11558	17	53	36	31	5731	8994	1137	363	208	771	10661	22	15904	999	5424	153	8902	81	5844	22	700	5063	63	3793	35	5113	570	23	20	39	421	26	3870	45	128	220	14	47	68	4711	3540	5442	4352	22	220	2367	11	3518	4833	2652	12	703	492	734	7800	39	3291	6297	176	477	20	114	15	124	4255	2012	820	26	4760	18	116	29	14	4402	24	3275	30	360	1948	3284	59	24	1159	2848	414	35	3745	1691	1416	19	99	3217	5	353	2279	23	15	419	4600	404	255	1681	3941	401	47	2
Root231	25	9	27	85873	31	38	32	25	15	38	34	30	448	874	528	25	36	9	7	38	428	607	1070	32	574	15	268	7	21	296	1354	21	4590	326	3322	4250	1197	434	5	130	443	21	5	596	1342	3463	4354	14	13	641	2590	1054	2339	9	99	4	6	317	47	3612	787	1099	2065	24	814	5301	7	1106	23	15	2546	337	1	328	3229	7046	5	25	13	24	76	267	646	725	161	502	350	11	5555	1506	23	459	1189	21	320	6	1030	1099	12	2480	8	1155	835	2	3	42	2120	5	84	14	282	799	8	10	19	714	135	3606	1099	6	189	1051	7	348	5385	719	3	269	452	653	556	3	1918	301	835	377	3	258	9	669	814	859	479	11	125	3	90	8	1	23	7	52	8	78	331	255	191	6	1613	82	189	1	282	120	575	5	43	238	2	154	300	1	0	242	108	11	75	833	127	71	95	0
Root1212	21	2601	1808	110	4099	37	34	6797	5643	60	23	26	529	842	793	7783	1431	2225	25	636	8	898	1550	5635	1533	2897	1429	1476	6741	15	42	34	15	15	21	26	2838	366	1424	8	3001	7229	3414	606	1216	43	22	1964	1718	17	18	1945	353	2701	81390	640	850	262	3	57	1448	10	4643	4072	36	45	667	9	76	38	12	8	1967	14	29	74	871	8394	4496	29	38	28	596	2474	288	875	25	4431	70	8	21	918	1207	2862	6	2807	1562	1648	5968	33	2006	694	3090	2625	588	23	4207	338	3	3286	310	2229	552	2641	1932	15	31	15	872	2362	2847	3150	1673	8	28	622	603	2947	1649	3444	21	788	32	11	1404	574	225	273	822	2247	631	5	430	2671	3	1367	310	2971	211	75	790	1	1019	123	4	4	155	499	2	4	361	691	23	67	3	353	177	7	712	914	11	225	263	293	251	424	166	3	6	107	329	0
Root16D2	18	120	27	21	1151	75069	5	146	272	25	8	50	0	1619	367	58	18	690	5	36	2	306	487	3751	18	736	4	468	105	3	4	45	1	6	1	3	16	318	763	4	8	116	27	327	233	4	2	18	480	0	1	36	116	760	115	396	6	147	3	5	4	0	23	1551	5	6	2	7	1	28	1	0	35	0	3	7	12	141	83	18	7	6	429	4	8	7	7	98	2	0	0	22	242	1293	1	53	13	690	110	3	12	153	34	6	9	23	34	26	2	739	9	15	209	2497	933	1	0	5	195	591	46	5	10	0	1	199	10	2	8	24	0	349	1	5	30	20	2	3	406	13	459	1	7	26	1	6	9	39	154	9	7	4	1434	124	1	5	7	22	0	0	4	13	2	10	0	7	3	2	12	15	5	163	3	300	30	0	5	3	0	143	4	0
ecoli_dh5a	9	2585	3149	13	28	27	7267	5053	5417	45	8443	19	3946	15	10	3653	2371	10	9583	25	2991	12	23	29	3261	12	4572	12	4452	3067	5811	73	17	3365	7	33	4635	12	7	3543	5114	4255	1855	24	27	25	16	3216	11	2047	3	3535	4	7	24	4	1349	3	971	37	2195	930	4848	31	4722	17	1245	2017	247	48	2	1801	1699	1973	11	30	2281	5441	3392	64312	6449	5856	3	2134	1433	2616	5455	2877	41	2	4207	1442	49	36	9	2826	2039	29	5409	4951	3197	30	5644	2222	1041	27	6327	1096	1614	21	1862	2056	0	4	4	3433	7233	20	31	2	2071	5041	872	624	8	4	1966	6770	2744	4045	2603	3	4990	4976	1831	1044	915	1090	4	3117	21	0	1252	1578	719	1114	694	1454	4	5	900	1374	9	6	1046	1243	503	1919	3	1408	1538	1867	561	844	749	821	550	1368	998	1455	1700	4	754	2	7	1111	644	5	2	6	681	18
Root553	8	203	41	12	3669	39	13	529	1086	24	7	17	42	1039	2570	1436	104	1815	10	26	0	2555	4338	5077	102	1802	635	1503	661	5	5	13	22	15	15	9	282	1471	2102	4	570	870	235	1998	2829	16	7	56	1117	4	3	107	1369	2915	14	1012	22	910	3	23	368	6	236	3357	20	12	31	10	23	78327	3	6	110	3	3	26	15	1026	1406	18	18	20	1111	214	10	35	7	242	8	2	11	58	3434	3606	12	195	339	3500	1594	13	62	2335	827	107	242	79	346	18	2	2440	11	205	668	4813	1779	3	15	14	2465	2076	376	170	343	2	19	2413	54	544	328	673	5	936	21	7	111	284	25	30	898	264	2194	5	72	594	1	169	58	479	223	1402	156	4	2835	405	6	3	54	76	4	0	27	55	1	26	0	18	66	8	159	154	3	165	24	862	883	208	63	7	2	430	69	2
Root60	24	3	2	16	23	21	1713	8	10	34	1782	11	2	1843	4	7	0	6	802	28	108	14	91	16	9	0	251	1	4	187	2132	20	2926	74	2580	3551	16	25	3	43	325	19	1	39	765	5750	2285	7	8	300	3824	15	778	18	29	6	3	10	23	4437	32	946	3	30	3038	2153	0	240	2	99	1638	59	0	153	1480	4075	1	14	11	16	2471	5229	1421	4	2	7	1896	8	5609	889	1595	2	329	12	2300	3	25	413	8	1535	2	25	130	2	0	80084	10	0	47	14	2	7	1	1	18	79	1570	1977	251	11	285	59	1	154	5730	6	2	277	85	70	67	15	1103	122	23	24	1	0	4	3	469	326	3	3	36	7	1	2	4	363	1	11	14	33	330	33	2	1	869	20	2	2	161	6	155	0	2	33	0	6	61	1	0	504	489	250	15	1630	1483	38	4	0
Root434	28	8	2	33	24	68	3331	21	17	30	2568	82212	446	1535	383	24	9	4	1109	17	1440	468	864	28	660	10	3580	2	8	1434	7762	42	931	1560	1540	668	2434	339	13	631	3696	8	2	621	971	5129	2085	1	9	1342	3329	2133	690	20	12	1	5	108	413	676	823	2210	2839	29	2988	910	0	1855	16	31	1103	1352	0	1352	1352	1032	0	41	10	19	6904	2149	1052	580	177	436	2687	7	975	426	3851	379	538	15	612	3	634	1003	18	6815	3	496	2758	6	2	21	3224	5	603	18	259	518	2	5	13	1314	6448	743	757	10	202	5881	3	560	2687	286	2	3849	621	3188	1604	7	5477	669	1392	133	1	68	4	340	197	500	279	5	437	6	34	3	0	13	2	435	0	11	1061	863	153	2	571	437	309	8	603	231	1250	1	19	882	2	366	1109	2	3	451	154	562	82	1974	441	73	24	0
Root1290	8	0	3	26	2	23	1	3	1	68072	1	20	26	322	85	1	5	1	0	40	43	67	163	2	29	3	8	0	1	41	173	19	115	84	145	209	61	174	1	37	8	0	2	153	97	1339	199	0	0	55	423	61	66	0	32	1	0	36	5	100	40	48	80	10	59	104	0	82	2	14	92	46	0	35	225	188	0	0	1	10	7	26	168	44	5	23	18	0	168	31	3	11	90	3	23	0	25	165	1	193	0	42	46	1	0	617	133	0	20	3	22	25	1	0	2	120	2	132	113	0	62	27	1	27	281	105	0	18	16	37	59	1	176	53	49	12	0	2	0	17	63	40	13	3	18	0	2	0	0	11	0	7	0	27	16	18	6	0	28	15	7	0	7	5	48	0	3	34	1	7	36	0	0	106	9	0	1	402	16	31	0	0
