pwer20	pwer53	pwer30	pwer79	pwer44	pwer108	pwer33	pwer51	pwer12	pwer49	pwer66	pwer81	pwer69	pwer63	pwer104	pwer113	pwer37	pwer42	pwer40	pwer101	pwer110	pwer130	pwer32	pwer86	pwer76	pwer54	pwer85	pwer52	pwer166	pwer109	pwer8	pwer136	pwer96	pwer25	pwer19	pwer82	pwer84	pwer35	pwer171	pwer103	pwer36	pwer181	pwer78	pwer176	pwer154	pwer117	pwer179	pwer7	pwer122	pwer126	pwer90	pwer94	pwer157	pwer14	pwer72	pwer97	pwer100	pwer45	pwer74	pwer10	pwer75	pwer34	pwer83	pwer9	pwer24	pwer139	pwer116	pwer111	pwer87	pwer115	pwer31	pwer61	pwer114	pwer93	pwer26	pwer89	pwer23	pwer62	pwer71	pwer150	pwer11	pwer125	pwer151	pwer123	pwer177	pwer67	pwer18	pwer140	pwer50	pwer65	pwer46	pwer173	pwer161	pwer39	pwer55	pwer47	pwer156	pwer56	pwer17	pwer95	pwer59	pwer141	pwer121	pwer175	pwer73	pwer3	pwer98	pwer160	pwer134	pwer112	pwer106	pwer16	pwer91	pwer43	pwer28	pwer58	pwer29	pwer60	pwer38	pwer143	pwer145	pwer118	pwer137	pwer133	pwer105	pwer146	pwer102	pwer162	pwer1	pwer163	pwer119	pwer92	pwer174	pwer13	pwer165	pwer142	pwer2	pwer138	pwer6	pwer127	pwer21	pwer80	pwer172	pwer178	pwer169	pwer99	pwer149	pwer57	pwer147	pwer15	pwer152	pwer164	pwer107	pwer88	pwer168	pwer132	pwer64	pwer22	pwer170	pwer48	pwer4	pwer77	pwer131	pwer68	pwer180	pwer70	pwer41	pwer128	pwer148	pwer124	pwer5	pwer129	pwer144	pwer120	pwer153	pwer158	pwer27	pwer155	pwer167	pwer159	pwer135
Root71	4557	143	998	130	3896	282	62	176	104	5745	92	811	98	2401	461	295	75	160	146	17244	2931	84	38	9771	12109	126	8207	153	122	315	85	74	825	308	2980	9829	10906	83	955	197	45	155	243	11115	44	1715	0	72	29	28	60	331	780	70	861	1209	7852	136	380	63	1210	78	17260	97	149	630	934	2423	11430	1016	104	89	2074	78	134	34	109	3530	1519	23	91	32	38	28	5	59	70	578	5457	68	105	0	326	92	534	84	45	166	26	998	182	739	17	3	975	30	2919	59	2920	10855	15751	129	94	869	28	1537	8	5858	57	1719	28	1902	492	2337	304	100	145	407	707	2045	3234	91	3	50	92	1386	183	526	2909	149	151	867	2	1	3587	1662	45	106	7	54	43	2731	19105	60	646	213	66	135	107	62	530	3247	43	95	2	973	160	144	32	19	57	69	2730	2184	63	2605	3019	41	803	59	112
Root568	3442	305	7711	16	4939	48	4	47	10	4648	8	1698	9	2020	1272	38	305	105	3734	1890	3142	2573	14	1954	449	323	374	15	16	16	30	5	7976	15677	6511	774	1320	29	1142	12	9	4	19	5	6020	2583	5	12	7	8	7	4009	754	5515	6196	14055	23	8	2068	17	7177	23	21	18	325	7111	5238	3085	6520	3345	5	165	2427	8	13633	4	425	5053	5657	5	12	6	4369	6	11	12	2497	6723	5670	6	5	5	924	1577	9656	322	6218	29	2473	5131	11518	5937	9	12719	5528	7751	11896	11	1662	10855	2608	1670	11	3977	3752	3165	8533	7048	2953	2092	11	3021	707	1597	1054	80	15	440	2431	1867	3685	28	3	3153	30	1951	8589	563	5081	2600	19	1323	6	4	4119	7595	37	1942	7	5190	3875	2206	3510	11	681	2796	9	14	16	169	3418	2087	1065	6	27	4747	2127	4160	17	11	8337	3496	3389	3311	6778	2452	11705	7338	945	9	26
Root267	104	7	215	11	122	8	9	267	0	100	7	39	816	40	42	4590	10	2	91	57	82	67	209	46	10	5	7	380	363	47	3626	187	167	309	151	15	39	2	357	37	5	1	20	3	138	49	8	3	886	688	127	81	21	134	176	245	1	8	37	4	143	416	3	32	10	174	114	58	157	90	145	4	567	480	316	15	10	90	99	706	0	457	117	749	0	13	151	190	146	1435	52	1	31	42	212	14	177	3561	68	101	263	156	792	300	109	170	263	250	58	233	62	36	0	88	75	74	164	131	191	63	2658	82	21	58	29	981	13	19	54	49	88	611	0	88	193	52	198	18	92	67	6	29	2	1	112	182	641	447	1146	122	106	80	74	209	17	58	701	80	1983	3	67	38	20	4	7696	89	51	97	1778	296	183	104	94	82	192	58	243	197	24	202	269
Root268	26	1658	24	1857	19	3018	4340	2518	6089	25	10144	1550	9608	13	801	4118	3192	6654	5129	31	1063	1002	3258	12	18	1410	23	3241	1689	2542	8328	971	2809	43	23	39	8	5324	695	2054	3846	18	2902	7	251	3	6	6147	3618	3186	6599	1650	5	2762	5385	989	5	1095	595	5944	2123	6041	14	9118	1265	9	3	662	28	3	6797	12	1135	6604	8	6636	1272	7	2607	758	7033	3289	390	1365	2	7698	3843	3	20	9190	1721	20	446	5782	20	1409	1026	7406	1351	1094	18	6	2179	5	2856	28	1643	1045	18	15	10	3229	9274	10	17	6	19	26	2311	3	976	4	651	4	363	233	1125	439	14	4	7	10569	4	3436	823	7	38	563	22	1530	2031	1659	4	9199	10	1299	680	1062	550	1904	257	12	16	14486	754	1607	6633	1333	3810	841	22	19	642	7411	4837	3958	6181	1752	653	2932	28	1126	2	3	562	8	9	1172	950	721	1181
Root241	17	5220	5	2675	10	3320	2235	3953	3771	16	3617	4101	2773	5	2328	3088	1115	2620	2808	8	5425	859	1488	6	13	5156	9	5267	2175	4701	3467	1191	1440	35	12	7	5	3984	314	3493	1933	1	4400	1	597	10	10095	2891	1671	1316	1733	809	3	3276	2636	1732	8	3283	676	3079	2337	2971	15	3831	4234	7	15	4857	8	4	2860	13	569	1303	8	1362	4377	6	2497	471	3947	1460	396	947	2	2954	2052	4	20	3045	5243	3	1136	1876	15	4014	543	3784	1113	607	11	3	1000	1	1665	16	1893	1416	5	7	7	3241	1916	4	11	3	9	35	1264	5	907	5	1705	2	2329	400	2561	966	6	8	7	2331	4	2087	2772	3	18	1708	10	1073	4861	4598	0	1	3	1593	439	585	521	1913	309	15	10	2062	1832	1366	2482	3537	1432	2834	6	15	394	2995	5	1823	2832	1023	676	1232	3	1034	1	2	575	5	10	837	2138	1291	1987
Root1293	1785	398	3204	4	3700	34	2	19	0	1904	16	657	8	12269	543	16	102	457	193	5730	435	653	3	13923	9404	201	9066	7	3	15	3	4	580	2669	3450	9046	12235	5	328	11	0	2	28	3	796	1871	4	5	3	5	8	309	541	335	913	340	6570	6	293	4	1202	4	184	12	307	3063	1880	376	6003	1617	3	13775	763	9	1259	4	309	9218	1020	4	1	5	558	4	10	6	249	2276	1669	15	9	1	198	304	5461	296	641	9	52	581	6406	2907	3	2	397	2306	1107	6	2807	2231	1581	806	8	2396	2914	1811	2944	3440	162	1691	6	3164	328	2086	309	82	7	109	3149	717	2484	8	2	579	8	1256	2505	340	3136	705	7	763	9452	1	1931	725	2	747	1	607	387	1663	2873	7	196	605	13	5	5	241	4984	13666	291	4	1	293	198	1166	3	2	3096	770	2674	2888	306	1695	1088	741	248	0	11
Root227	17	5307	4	3968	4	2234	840	3409	1103	9	2244	8319	1404	22	4767	1718	554	1130	706	20	3847	2262	151	21	23	5040	11	4605	2227	1050	860	1325	3008	22	11	29	22	509	346	2210	277	1	5852	4	2772	21	123	567	1268	695	1111	2179	1	1123	2092	5082	11	2256	1423	845	2662	369	11	428	4747	17	17	2289	26	4	1043	17	752	1144	7	1140	4551	20	4065	778	992	1372	1401	2806	12048	2031	398	9	9	3072	3423	2	2626	1246	13	4565	1809	4412	193	2094	19	11	1057	7	2057	6	3324	1420	20	15	22	730	1217	6	11	4	7	26	358	4	1020	11	3114	8	3060	818	1616	1612	3	5	13	926	1	580	1641	5	15	3242	5	1761	3505	8625	10	1	9	4203	1698	748	1339	575	1127	13	19	752	2960	2559	1295	2745	2277	3162	11	35	972	1756	5	2579	589	2166	1206	1044	4	2287	17	18	2487	12	3	2670	3507	1234	1913
Root329	860	6402	258	5042	683	11226	3222	7986	4414	1081	4001	4337	3690	657	4328	9320	3118	6145	6461	2866	9481	658	1775	2060	2193	6390	1737	8430	4802	14864	4104	2812	1666	111	539	2279	2300	3376	819	7871	2109	8009	7887	1897	207	352	2	3765	1358	1485	2347	1278	172	3978	2266	1058	1346	4448	358	3726	2377	2982	4126	4225	6310	129	211	9822	2457	187	3928	26	1521	2418	50	1446	5331	777	1996	1098	3678	1628	105	1605	0	2660	3250	120	973	3091	4357	1	1915	4330	102	3219	275	7173	1247	1297	69	182	1218	6	1256	40	2030	2222	532	1975	2671	4930	3467	152	13	394	22	1358	2127	330	868	365	2368	407	3053	511	5589	1341	170	355	621	3476	0	2291	3280	223	82	2402	769	849	7054	6005	6	1	646	1467	2352	1422	637	2913	160	556	3465	2101	3061	1452	2972	6146	3432	2436	115	658	313	3185	6	1723	7059	625	1494	1016	21	556	520	431	126	489	760	600	1641	1863	3968
Root482	771	954	15	0	635	8	0	10	1	1852	2	183	3	4	49	0	18	36	19	5	383	13	2	0	5	819	0	0	1	0	2	0	4	24	1193	4	0	6	371	0	1	2	0	6	5	36	3	0	3	4	1	3	254	71	0	7	3	1	2	3	5	0	1	8	473	24	48	273	0	35	1	2	566	0	9	0	450	2	14	0	3	1	0	3	5	1	61	13	1029	0	0	10508	68	14	4114	432	2	2	15	0	1	6	2	5	3	24	4	1	690	2194	5	88	0	709	19	0	35	0	8	17	4	109	91	794	39	39	0	91	13	505	169	1	2	49	11	5	11	65	69	8	1	144	1	5	2433	6	2	720	1	40	1	895	27	5	188	20	1	1	3	265	137	13	0	0	7	8	11	5	1	1	113	9	31	119	7	976	7	1	265	1	2
Root50	1	0	0	2	0	2	0	0	0	0	1	269	4	1925	145	3	0	0	0	1294	285	86	0	244	2417	0	345	0	2	3	0	1	166	0	0	970	533	0	144	1	0	2	7	2	76	333	1	0	1	3	5	70	90	0	366	347	1049	0	58	0	269	0	445	0	0	345	417	262	940	643	0	2282	341	3	0	1	0	1993	341	0	0	0	87	0	1	3	0	185	0	2	0	15	59	0	0	0	95	0	0	60	1030	89	1	5	344	0	333	0	496	1425	844	0	0	0	0	210	0	997	0	543	2	284	104	275	118	21	0	49	0	160	440	4	8133	0	3	541	0	103	1	135	0	280	1	0	714	225	2	0	0	0	24	334	913	3	72	248	2	0	0	0	0	4707	33	5	4	191	0	136	3	0	0	145	758	467	73	413	0	133	107	4	0
