pwer20	pwer53	pwer30	pwer79	pwer44	pwer108	pwer33	pwer51	pwer12	pwer49	pwer66	pwer81	pwer69	pwer63	pwer104	pwer113	pwer37	pwer42	pwer40	pwer101	pwer110	pwer130	pwer32	pwer86	pwer76	pwer54	pwer85	pwer52	pwer166	pwer109	pwer8	pwer136	pwer96	pwer25	pwer19	pwer82	pwer84	pwer35	pwer171	pwer103	pwer36	pwer181	pwer78	pwer176	pwer154	pwer117	pwer179	pwer7	pwer122	pwer126	pwer90	pwer94	pwer157	pwer14	pwer72	pwer97	pwer100	pwer45	pwer74	pwer10	pwer75	pwer34	pwer83	pwer9	pwer24	pwer139	pwer116	pwer111	pwer87	pwer115	pwer31	pwer61	pwer114	pwer93	pwer26	pwer89	pwer23	pwer62	pwer71	pwer150	pwer11	pwer125	pwer151	pwer123	pwer177	pwer67	pwer18	pwer140	pwer50	pwer65	pwer46	pwer173	pwer161	pwer39	pwer55	pwer47	pwer156	pwer56	pwer17	pwer95	pwer59	pwer141	pwer121	pwer175	pwer73	pwer3	pwer98	pwer160	pwer134	pwer112	pwer106	pwer16	pwer91	pwer43	pwer28	pwer58	pwer29	pwer60	pwer38	pwer143	pwer145	pwer118	pwer137	pwer133	pwer105	pwer146	pwer102	pwer162	pwer1	pwer163	pwer119	pwer92	pwer174	pwer13	pwer165	pwer142	pwer2	pwer138	pwer6	pwer127	pwer21	pwer80	pwer172	pwer178	pwer169	pwer99	pwer149	pwer57	pwer147	pwer15	pwer152	pwer164	pwer107	pwer88	pwer168	pwer132	pwer64	pwer22	pwer170	pwer48	pwer4	pwer77	pwer131	pwer68	pwer180	pwer70	pwer41	pwer128	pwer148	pwer124	pwer5	pwer129	pwer144	pwer120	pwer153	pwer158	pwer27	pwer155	pwer167	pwer159	pwer135
good	13674	26740	14747	19899	14960	29868	14607	25848	21816	15668	27184	27926	25728	23206	20798	32086	11975	24413	27436	30436	36671	10317	9123	30336	28560	24889	22094	29717	15671	37470	26677	9672	23681	21466	16373	25362	30421	17549	6494	24193	10956	14696	30586	13260	13736	8595	11325	18569	11864	10226	14907	13596	3084	23063	26640	30814	17919	15631	7323	19074	25348	16942	24535	25108	23695	14463	11146	33880	31108	8780	20655	19136	12482	15430	17842	13255	22809	24516	25308	5674	21133	11721	8728	10676	13357	20698	18371	12662	15761	26500	19241	12102	10491	21745	20886	18030	13589	33055	9116	14944	22989	12687	8433	14088	19064	12364	32251	9202	10683	31037	24474	22399	22171	9008	8256	8096	14139	21599	13055	8557	8919	11223	12777	8597	16505	4573	16447	7689	7524	7073	13489	23842	9410	16451	12602	7055	14106	13004	14751	11320	25009	32711	11214	10257	13892	24283	9251	9270	5905	18679	8084	10344	32219	23680	13830	14573	19277	20004	16857	12943	11118	25631	4989	21115	13374	21157	27533	13603	8755	8614	13704	12108	13120	11449	14312	10071	19545	17926	13289	7347	13825
Root71	4557	143	998	130	3896	282	62	176	104	5745	92	811	98	2401	461	295	75	160	146	17244	2931	84	38	9771	12109	126	8207	153	122	315	85	74	825	308	2980	9829	10906	83	955	197	45	155	243	11115	44	1715	0	72	29	28	60	331	780	70	861	1209	7852	136	380	63	1210	78	17260	97	149	630	934	2423	11430	1016	104	89	2074	78	134	34	109	3530	1519	23	91	32	38	28	5	59	70	578	5457	68	105	0	326	92	534	84	45	166	26	998	182	739	17	3	975	30	2919	59	2920	10855	15751	129	94	869	28	1537	8	5858	57	1719	28	1902	492	2337	304	100	145	407	707	2045	3234	91	3	50	92	1386	183	526	2909	149	151	867	2	1	3587	1662	45	106	7	54	43	2731	19105	60	646	213	66	135	107	62	530	3247	43	95	2	973	160	144	32	19	57	69	2730	2184	63	2605	3019	41	803	59	112
Root568	3442	305	7711	16	4939	48	4	47	10	4648	8	1698	9	2020	1272	38	305	105	3734	1890	3142	2573	14	1954	449	323	374	15	16	16	30	5	7976	15677	6511	774	1320	29	1142	12	9	4	19	5	6020	2583	5	12	7	8	7	4009	754	5515	6196	14055	23	8	2068	17	7177	23	21	18	325	7111	5238	3085	6520	3345	5	165	2427	8	13633	4	425	5053	5657	5	12	6	4369	6	11	12	2497	6723	5670	6	5	5	924	1577	9656	322	6218	29	2473	5131	11518	5937	9	12719	5528	7751	11896	11	1662	10855	2608	1670	11	3977	3752	3165	8533	7048	2953	2092	11	3021	707	1597	1054	80	15	440	2431	1867	3685	28	3	3153	30	1951	8589	563	5081	2600	19	1323	6	4	4119	7595	37	1942	7	5190	3875	2206	3510	11	681	2796	9	14	16	169	3418	2087	1065	6	27	4747	2127	4160	17	11	8337	3496	3389	3311	6778	2452	11705	7338	945	9	26
Root267	104	7	215	11	122	8	9	267	0	100	7	39	816	40	42	4590	10	2	91	57	82	67	209	46	10	5	7	380	363	47	3626	187	167	309	151	15	39	2	357	37	5	1	20	3	138	49	8	3	886	688	127	81	21	134	176	245	1	8	37	4	143	416	3	32	10	174	114	58	157	90	145	4	567	480	316	15	10	90	99	706	0	457	117	749	0	13	151	190	146	1435	52	1	31	42	212	14	177	3561	68	101	263	156	792	300	109	170	263	250	58	233	62	36	0	88	75	74	164	131	191	63	2658	82	21	58	29	981	13	19	54	49	88	611	0	88	193	52	198	18	92	67	6	29	2	1	112	182	641	447	1146	122	106	80	74	209	17	58	701	80	1983	3	67	38	20	4	7696	89	51	97	1778	296	183	104	94	82	192	58	243	197	24	202	269
Root268	26	1658	24	1857	19	3018	4340	2518	6089	25	10144	1550	9608	13	801	4118	3192	6654	5129	31	1063	1002	3258	12	18	1410	23	3241	1689	2542	8328	971	2809	43	23	39	8	5324	695	2054	3846	18	2902	7	251	3	6	6147	3618	3186	6599	1650	5	2762	5385	989	5	1095	595	5944	2123	6041	14	9118	1265	9	3	662	28	3	6797	12	1135	6604	8	6636	1272	7	2607	758	7033	3289	390	1365	2	7698	3843	3	20	9190	1721	20	446	5782	20	1409	1026	7406	1351	1094	18	6	2179	5	2856	28	1643	1045	18	15	10	3229	9274	10	17	6	19	26	2311	3	976	4	651	4	363	233	1125	439	14	4	7	10569	4	3436	823	7	38	563	22	1530	2031	1659	4	9199	10	1299	680	1062	550	1904	257	12	16	14486	754	1607	6633	1333	3810	841	22	19	642	7411	4837	3958	6181	1752	653	2932	28	1126	2	3	562	8	9	1172	950	721	1181
Root241	17	5220	5	2675	10	3320	2235	3953	3771	16	3617	4101	2773	5	2328	3088	1115	2620	2808	8	5425	859	1488	6	13	5156	9	5267	2175	4701	3467	1191	1440	35	12	7	5	3984	314	3493	1933	1	4400	1	597	10	10095	2891	1671	1316	1733	809	3	3276	2636	1732	8	3283	676	3079	2337	2971	15	3831	4234	7	15	4857	8	4	2860	13	569	1303	8	1362	4377	6	2497	471	3947	1460	396	947	2	2954	2052	4	20	3045	5243	3	1136	1876	15	4014	543	3784	1113	607	11	3	1000	1	1665	16	1893	1416	5	7	7	3241	1916	4	11	3	9	35	1264	5	907	5	1705	2	2329	400	2561	966	6	8	7	2331	4	2087	2772	3	18	1708	10	1073	4861	4598	0	1	3	1593	439	585	521	1913	309	15	10	2062	1832	1366	2482	3537	1432	2834	6	15	394	2995	5	1823	2832	1023	676	1232	3	1034	1	2	575	5	10	837	2138	1291	1987
chimera	19325	7022	12392	2805	19065	3323	1585	3819	1808	15620	2030	3681	1853	1097	2755	4731	3943	6263	10755	3242	4074	531	780	3030	4166	6210	1879	4717	1949	3144	2144	1294	1716	7685	19154	2283	2677	1480	1033	3096	961	155	4254	159	572	373	214	1554	748	691	1630	1032	515	9451	1931	1820	1893	2265	412	1745	1609	1479	609	1661	6565	570	466	3745	3011	357	1535	723	1947	1491	3422	1288	6223	1373	1632	343	1964	792	512	506	126	1539	7768	457	20819	1762	3082	114	1264	4249	16970	4501	608	6255	4381	1128	1125	564	473	131	1293	11867	2094	1063	1883	4595	2073	11180	1589	9984	5991	544	9818	1663	4116	431	427	510	1551	1589	1942	255	1939	906	16096	852	815	1992	96	6129	1564	382	13810	1475	15150	654	3352	4180	110	125	2171	1590	357	4345	359	9770	352	1581	2804	2013	1600	902	1478	3094	2548	3184	21831	2931	300	1539	1178	1375	10514	665	464	513	13604	642	691	542	578	1589	3611	885	1423	991	1697
other	727	335	3692	48	967	70	963	101	1288	541	2439	194	1824	2143	401	53	1549	1519	1811	1865	598	1212	8886	1352	6744	282	953	97	1111	51	1651	443	1047	5473	938	1029	902	23083	22	54	14932	11	80	11	879	497	26	987	775	697	705	770	3100	2336	1441	1495	31	116	561	1049	1201	22716	1819	1583	389	1047	572	622	4936	1130	6862	1966	14	1031	8377	908	275	1733	1453	472	1271	866	472	1191	60	1543	1283	920	794	1968	204	129	288	2883	462	200	777	96	679	692	1052	745	614	13	978	1536	1569	476	7832	50	36	1403	1301	695	4722	568	3825	1947	1258	563	821	1093	372	6638	287	758	37	213	2328	5433	1098	1362	97	1161	3121	844	1673	404	1947	1147	112	185	121	35	61	1252	875	99	439	1238	481	8894	47	1495	340	1030	1331	76	47	185	2467	107	586	1610	15	1299	1646	1600	713	689	1765	993	1034	706	816	9427	2976	1064	552	454	586
Root1293	1785	398	3204	4	3700	34	2	19	0	1904	16	657	8	12269	543	16	102	457	193	5730	435	653	3	13923	9404	201	9066	7	3	15	3	4	580	2669	3450	9046	12235	5	328	11	0	2	28	3	796	1871	4	5	3	5	8	309	541	335	913	340	6570	6	293	4	1202	4	184	12	307	3063	1880	376	6003	1617	3	13775	763	9	1259	4	309	9218	1020	4	1	5	558	4	10	6	249	2276	1669	15	9	1	198	304	5461	296	641	9	52	581	6406	2907	3	2	397	2306	1107	6	2807	2231	1581	806	8	2396	2914	1811	2944	3440	162	1691	6	3164	328	2086	309	82	7	109	3149	717	2484	8	2	579	8	1256	2505	340	3136	705	7	763	9452	1	1931	725	2	747	1	607	387	1663	2873	7	196	605	13	5	5	241	4984	13666	291	4	1	293	198	1166	3	2	3096	770	2674	2888	306	1695	1088	741	248	0	11
noisy	811	1998	730	1641	811	1971	1023	2004	1564	1028	1665	2157	1466	1099	1466	1898	782	2884	1690	1273	2155	833	711	1544	1476	1964	1078	2446	1494	2069	1491	866	1327	797	1009	1084	1335	1170	517	1690	830	605	2456	402	1308	428	475	1736	971	812	964	866	244	1312	1861	1623	861	1216	447	1608	1451	1278	920	1456	1791	585	544	1882	1483	432	1271	979	850	1042	748	867	1717	1157	1449	1101	1565	878	948	996	637	1257	1079	600	996	1475	1581	567	813	1311	1525	1391	790	2257	591	867	1030	510	495	541	1133	623	1754	834	713	1649	982	1435	1551	596	396	402	675	939	934	421	2072	543	1061	590	1257	570	1200	589	449	508	627	1541	520	991	1133	358	752	1004	719	700	1979	2466	470	427	913	1436	499	768	958	1102	597	697	1396	1455	1098	999	1221	1574	1128	1069	570	1288	441	1285	728	1157	2207	781	1179	552	691	736	638	603	767	646	805	1239	868	730	1240
