SampleID	genotype	SynCom	compartment	flg22 	biological replicate	technical replicate	root weight
pwer1	pWER::FLS2-GFP	NS	root	FALSE	a	1	0.0249
pwer2	pWER::FLS2-GFP	NS	root	FALSE	a	2	0.021
pwer3	pWER::FLS2-GFP	NS	root	FALSE	a	3	0.0258
pwer4	pWER::FLS2-GFP	NS	root	TRUE	a	1	0.0253
pwer5	pWER::FLS2-GFP	NS	root	TRUE	a	2	0.0178
pwer6	pWER::FLS2-GFP	NS	root	TRUE	a	3	0.0226
pwer7	pWER::FLS2-GFP	S	root	FALSE	a	1	0.0337
pwer8	pWER::FLS2-GFP	S	root	FALSE	a	2	0.028
pwer9	pWER::FLS2-GFP	S	root	FALSE	a	3	0.0285
pwer10	pWER::FLS2-GFP	S	root	TRUE	a	1	0.0247
pwer11	pWER::FLS2-GFP	S	root	TRUE	a	2	0.0268
pwer12	pWER::FLS2-GFP	S	root	TRUE	a	3	0.0225
pwer13	pWER::FLS2-GFP	NS+S	root	FALSE	a	1	0.0257
pwer14	pWER::FLS2-GFP	NS+S	root	FALSE	a	2	0.029
pwer15	pWER::FLS2-GFP	NS+S	root	FALSE	a	3	0.0336
pwer16	pWER::FLS2-GFP	NS+S	root	TRUE	a	1	0.0306
pwer17	pWER::FLS2-GFP	NS+S	root	TRUE	a	2	0.0315
pwer18	pWER::FLS2-GFP	NS+S	root	TRUE	a	3	0.0182
pwer19	pWER::FLS2-GFP	NS	agar_plant	FALSE	a	1	NA
pwer20	pWER::FLS2-GFP	NS	agar_plant	TRUE	a	1	NA
pwer21	pWER::FLS2-GFP	S	agar_plant	FALSE	a	1	NA
pwer22	pWER::FLS2-GFP	S	agar_plant	TRUE	a	1	NA
pwer23	pWER::FLS2-GFP	NS+S	agar_plant	FALSE	a	1	NA
pwer24	pWER::FLS2-GFP	NS+S	agar_plant	TRUE	a	1	NA
pwer25	Col-0	NS	root	FALSE	a	1	0.0294
pwer26	Col-0	NS	root	FALSE	a	2	0.0263
pwer27	Col-0	NS	root	FALSE	a	3	0.0285
pwer28	Col-0	NS	root	TRUE	a	1	0.0222
pwer29	Col-0	NS	root	TRUE	a	2	0.0347
pwer30	Col-0	NS	root	TRUE	a	3	0.0177
pwer31	Col-0	S	root	FALSE	a	1	0.0212
pwer32	Col-0	S	root	FALSE	a	2	0.0273
pwer33	Col-0	S	root	FALSE	a	3	0.0261
pwer34	Col-0	S	root	TRUE	a	1	0.0349
pwer35	Col-0	S	root	TRUE	a	2	0.0262
pwer36	Col-0	S	root	TRUE	a	3	0.0271
pwer37	Col-0	NS+S	root	FALSE	a	1	0.0196
pwer38	Col-0	NS+S	root	FALSE	a	2	0.019
pwer39	Col-0	NS+S	root	FALSE	a	3	0.0234
pwer40	Col-0	NS+S	root	TRUE	a	1	0.0306
