SampleID	genotype	SynCom	compartment	flg22 	biological replicate	technical replicate
pwer1	pWER::FLS2-GFP	NS	root	FALSE	a	1
pwer2	pWER::FLS2-GFP	NS	root	FALSE	a	2
pwer3	pWER::FLS2-GFP	NS	root	FALSE	a	3
pwer4	pWER::FLS2-GFP	NS	root	TRUE	a	1
pwer5	pWER::FLS2-GFP	NS	root	TRUE	a	2
pwer6	pWER::FLS2-GFP	NS	root	TRUE	a	3
pwer7	pWER::FLS2-GFP	S	root	FALSE	a	1
pwer8	pWER::FLS2-GFP	S	root	FALSE	a	2
pwer9	pWER::FLS2-GFP	S	root	FALSE	a	3
pwer10	pWER::FLS2-GFP	S	root	TRUE	a	1
pwer11	pWER::FLS2-GFP	S	root	TRUE	a	2
pwer12	pWER::FLS2-GFP	S	root	TRUE	a	3
pwer13	pWER::FLS2-GFP	NS+S	root	FALSE	a	1
pwer14	pWER::FLS2-GFP	NS+S	root	FALSE	a	2
pwer15	pWER::FLS2-GFP	NS+S	root	FALSE	a	3
pwer16	pWER::FLS2-GFP	NS+S	root	TRUE	a	1
pwer17	pWER::FLS2-GFP	NS+S	root	TRUE	a	2
pwer18	pWER::FLS2-GFP	NS+S	root	TRUE	a	3
pwer19	pWER::FLS2-GFP	NS	agar_plant	FALSE	a	1
pwer20	pWER::FLS2-GFP	NS	agar_plant	TRUE	a	1
pwer21	pWER::FLS2-GFP	S	agar_plant	FALSE	a	1
pwer22	pWER::FLS2-GFP	S	agar_plant	TRUE	a	1
pwer23	pWER::FLS2-GFP	NS+S	agar_plant	FALSE	a	1
pwer24	pWER::FLS2-GFP	NS+S	agar_plant	TRUE	a	1
pwer25	Col-0	NS	root	FALSE	a	1
pwer26	Col-0	NS	root	FALSE	a	2
pwer27	Col-0	NS	root	FALSE	a	3
pwer28	Col-0	NS	root	TRUE	a	1
pwer29	Col-0	NS	root	TRUE	a	2
pwer30	Col-0	NS	root	TRUE	a	3
pwer31	Col-0	S	root	FALSE	a	1
pwer32	Col-0	S	root	FALSE	a	2
pwer33	Col-0	S	root	FALSE	a	3
pwer34	Col-0	S	root	TRUE	a	1
pwer35	Col-0	S	root	TRUE	a	2
pwer36	Col-0	S	root	TRUE	a	3
pwer37	Col-0	NS+S	root	FALSE	a	1
pwer38	Col-0	NS+S	root	FALSE	a	2
pwer39	Col-0	NS+S	root	FALSE	a	3
pwer40	Col-0	NS+S	root	TRUE	a	1
pwer41	Col-0	NS+S	root	TRUE	a	2
pwer42	Col-0	NS+S	root	TRUE	a	3
pwer43	Col-0	NS	agar_plant	FALSE	a	1
pwer44	Col-0	NS	agar_plant	TRUE	a	1
pwer45	Col-0	S	agar_plant	FALSE	a	1
pwer46	Col-0	S	agar_plant	TRUE	a	1
pwer47	Col-0	NS+S	agar_plant	FALSE	a	1
pwer48	Col-0	NS+S	agar_plant	TRUE	a	1
pwer49	unplanted	NS	agar	FALSE	a	1
pwer50	unplanted	NS	agar	TRUE	a	1
pwer51	unplanted	S	agar	FALSE	a	1
pwer52	unplanted	S	agar	TRUE	a	1
pwer53	unplanted	NS+S	agar	FALSE	a	1
pwer54	unplanted	NS+S	agar	TRUE	a	1
pwer55	culture	NS	input	FALSE	a	1
pwer56	culture	S	input	FALSE	a	1
pwer57	culture	NS+S	input	FALSE	a	1
pwer58	pWER::FLS2-GFP	NS	root	FALSE	b	1
