wer177	wer56	wer19	wer107	wer5	wer75	wer46	wer178	wer67	wer53	wer62	wer63	wer61	wer50	wer39	wer26	wer69	wer48	wer51	wer105	wer65	wer173	wer100	wer108	wer86	wer89	wer113	wer79	wer28	wer60	wer179	wer112	wer10	wer99	wer35	wer17	wer175	wer42	wer181	wer1	wer20	wer6	wer16	wer180	wer176	wer110	wer172	wer52	wer101	wer88	wer109	wer77	wer174	wer98	wer66	wer58	wer49	wer18	wer82	wer59	wer47	wer78	wer9	wer87	wer55	wer25	wer111	wer80	wer8	wer41	wer97	wer104	wer57	wer29	wer81	wer70	wer54	wer22	wer15	wer83	wer43	wer71	wer91	wer102	wer30	wer7	wer33	wer40	wer85	wer72	wer64	wer116	wer44	wer139	wer2	wer11	wer76	wer68	wer45	wer23	wer92	wer155	wer133	wer34	wer106	wer130	wer182	wer73	wer114	wer12	wer120	wer14	wer31	wer3	wer167	wer103	wer27	wer95	wer37	wer93	wer21	wer74	wer122	wer84	wer118	wer96	wer24	wer90	wer38	wer158	wer115	wer36	wer4	wer156	wer94	wer117	wer148	wer32	wer128	wer121	wer119	wer151	wer138	wer129	wer141	wer13	wer123	wer135	wer171	wer144	wer169	wer165	wer142	wer147	wer166	wer126	wer150	wer160	wer164	wer163	wer162	wer143	wer132	wer136	wer134	wer137	wer127	wer168	wer159	wer140	wer125	wer161	wer149	wer153	wer157	wer154	wer170	wer124	wer145	wer146	wer152	wer131
other	83607	370	124	157	965	1160	242	732	1656	356	1450	1593	1672	154	1754	7124	2178	118	276	337	2458	618	436	200	5610	1408	4659	472	979	1276	600	162	1253	1469	1096	390	523	1607	578	989	130	961	1061	979	470	382	422	453	917	2879	401	118	407	1037	2147	1271	128	1162	6450	1312	172	419	1749	7731	131	7852	501	371	1520	1802	1218	569	121	938	540	2267	603	195	968	4206	527	1920	3312	268	4908	1100	1167	1846	6753	2028	2586	149	123	132	941	1290	189	2103	148	194	2700	98	13	2068	96	202	4530	1357	1038	1349	4973	1585	2071	924	23	571	3696	890	1080	2027	167	501	268	6448	105	964	206	1830	959	22	114	1526	759	133	653	111	151	878	166	302	148	76	60	128	148	1069	366	71	60	130	12	36	139	76	61	396	120	29	11	15	21	184	205	61	12	53	132	58	14	124	761	23	159	107	9	120	302	297	110	73	59	82
noisy	3295	6215	4003	4268	3018	2660	2783	5733	3505	5152	4022	4117	4176	5313	2579	2221	3847	2085	4878	2124	4266	8571	2312	3752	2237	1354	4352	2621	2670	3767	7715	3656	3038	2601	2220	1271	8328	2938	5730	2476	3738	3093	3199	13079	6072	3673	6043	5381	3438	2364	4336	3521	6089	2533	4382	3545	3967	3055	2515	3904	2634	3922	4383	2873	4594	2489	3754	2989	3664	2796	2739	2761	2865	2914	3056	3330	5186	2702	2507	2138	2219	3948	2956	2192	3391	2663	1840	2719	2099	3619	3265	687	3262	373	2611	3398	3619	3398	1911	3380	2884	248	470	3135	2979	344	2328	2520	1724	3681	472	3777	2575	2808	252	3035	2999	1515	1622	1872	3601	1044	790	1973	675	2359	3232	1332	1528	272	561	1819	2795	235	1537	496	268	1633	347	589	532	133	433	315	293	2498	1103	405	139	375	296	314	283	167	355	366	168	228	356	256	147	310	365	315	424	302	300	262	164	313	411	189	271	222	171	234	362	618	196	118	138	174
good	32698	64382	38054	41000	30289	25403	29171	73151	35261	51556	43621	43200	42808	52446	23845	20662	36658	18006	53861	18888	42089	80864	22972	39032	23543	12031	41818	27271	26140	37887	87484	35430	27352	25333	19490	10901	90566	26833	74088	21991	34375	29828	27664	109940	80689	35307	68801	59499	34270	22389	46153	34491	64702	23619	43438	34409	40444	28301	27113	38690	24596	39974	37536	28225	46484	23760	35037	27899	33324	25261	27589	26014	27473	27169	29505	33590	50912	28707	21812	20796	21687	39892	25460	20959	29630	24064	15001	26553	21368	35899	31991	7165	31799	4021	23289	29914	37797	32672	19237	29760	26066	2374	5278	25554	29582	3553	20323	25436	15214	32625	4831	33798	23122	24867	2985	32217	29714	14463	14579	15861	35732	10015	9389	20311	8550	20712	29068	11992	13739	3070	6300	15108	27930	2223	15213	5949	2548	14153	3848	7423	7752	1365	4570	3702	3467	23253	10963	5125	1337	3972	3048	3583	3157	1359	3858	3732	1540	2541	3698	2569	1578	3371	3935	3636	4920	3901	3238	2880	1820	3224	4247	2183	2500	2214	2107	2537	4107	7426	2254	1193	1447	1759
Root342	32	6782	39	62	26	1092	5474	44365	2754	4637	66	54	35	70	422	31	2322	1841	8995	1738	2342	3921	31	5631	22	449	3136	6138	32	100	277	96	1097	997	1186	216	30	578	237	17	45	23	583	301	34	2878	30	11462	42	1110	7391	57	36	772	3257	91	49	564	34	99	2472	5811	2480	39	169	39	2973	2567	1742	623	740	2525	1761	29	2697	1262	4768	5706	398	17	29	2059	998	3866	32	1186	841	616	15	2063	3028	229	32	10	30	1529	57	2310	3812	2534	1102	89	11	1193	32	175	469	1387	732	2169	4	814	1083	23	323	7067	13	436	308	828	5199	452	273	18	1	667	2524	506	238	7	1	864	19	87	604	3	158	715	185	2707	3	58	639	182	8	361	249	876	102	6	8	674	3	89	707	257	85	525	5	5	221	6	177	674	8	536	168	317	336	12	192	264	136	91	4	112	736	139	153	87	59	89
Root1212	41	4755	26	72	14	1257	2599	591	10252	771	36	47	30	59	244	12	9029	99	5854	424	7224	55	30	5398	17	3400	4587	2391	13	50	53604	46	6906	1020	2604	354	37	560	464	9	35	14	1691	602	45	891	28	5538	40	5550	5134	52	121	1076	12588	24	50	853	43	40	164	6121	4449	14	25	20	780	1032	6119	838	1117	646	1064	13	979	913	720	1273	792	9	19	2581	7216	2235	9	3180	1178	960	25	2379	7353	7	28	2	20	4716	46	6492	1149	264	6027	117	12	3708	33	208	4826	2124	750	4190	0	1085	2976	17	59	2697	19	938	380	4137	4233	643	4098	15	4	1214	297	3737	125	2	1	2589	10	116	567	6	477	1587	89	606	5	95	124	99	4	177	594	758	25	5	4	477	2	307	496	773	373	334	6	4	60	1	213	489	10	121	218	67	275	6	722	57	667	120	3	103	167	381	431	225	88	76
chimera	1140	7634	4428	4636	3348	2384	3792	1983	2624	7449	3809	4128	3918	6330	2715	2030	2638	2350	6940	2144	3215	1883	2591	4575	1879	904	3660	3110	2581	3278	2289	3640	2253	2504	1261	1294	2377	3170	2018	2382	3980	3063	3113	2648	2597	3899	1890	7372	3671	1508	5112	3538	1712	2150	3228	3045	5008	3011	2258	3473	3114	4207	3074	2078	5701	2477	3823	3057	2759	2726	2364	2961	3564	2827	3174	3271	6947	3378	2480	1782	2521	3428	1772	2308	2982	1870	1301	2989	1684	3682	2422	253	3650	333	2458	2575	3838	2325	2415	3425	1807	221	575	2052	3246	356	743	2518	1700	2804	332	3708	1817	2800	320	3797	2743	1485	1762	1306	4028	1061	406	1556	371	2104	3396	907	1614	320	232	1312	2471	217	1600	220	218	1112	399	284	388	126	530	368	316	2348	339	651	175	419	329	411	295	126	499	286	163	285	375	286	180	268	403	426	549	457	293	338	215	320	273	261	185	229	232	235	381	202	180	113	151	214
Root9	1126	71	4221	6234	10254	5673	27	24	34	5110	15654	15347	16862	5853	6955	6300	40	3495	61	2787	54	608	3092	65	9187	13	58	32	9032	5031	39	4134	26	6993	47	2247	1217	7406	64	3548	5210	10609	4492	70	56980	3205	603	76	6673	21	49	3625	507	6338	41	7877	5244	5051	8055	9041	4639	57	33	11017	4552	6667	2575	2262	32	5350	7540	3890	735	8468	3532	8233	5323	26	4279	6853	4233	9264	32	27	7289	27	16	7938	8780	7017	34	662	5595	693	3795	30	4569	35	24	5227	34	377	658	28	6172	379	32	5480	738	39	1095	5873	23	4834	153	41	9451	4306	4027	10	71	2519	7	6629	1229	5592	4827	8	4580	433	615	11	9213	374	4258	437	1	8	598	4	4508	346	274	609	878	4819	4	9	64	933	373	9	923	1	5	3	4	4	253	280	85	654	475	3	769	256	359	133	2	797	2	105	5	431	163	524	6	3	4	3	225	212
Root179	44	15867	28	48	34	1666	6281	385	2945	10392	39	49	43	36	606	40	2524	3757	13245	4298	5211	32	18	10276	37	636	7871	6552	16	38	447	32	1181	757	1294	257	57	965	48283	21	40	27	577	549	47	7600	22	14250	39	1941	11316	30	32	858	3530	36	40	608	32	45	5055	8933	2736	32	28	28	7345	5894	1787	622	718	5122	4666	27	6830	1005	9709	7750	492	26	13	1397	1714	4913	25	1252	905	713	19	1390	3184	12	31	2	24	1569	21	2759	4580	6558	1374	115	9	1326	26	209	371	791	1654	2372	9	890	1540	26	800	7716	25	463	282	1058	7887	414	442	27	4	489	5901	813	275	6	3	970	25	80	458	1	226	701	211	396	14	71	959	213	8	474	490	1173	256	7	5	933	4	111	1058	257	126	619	1	3	368	4	154	804	7	918	203	665	397	7	334	495	200	96	3	103	1367	3187	271	141	76	83
ecoli_dh5a	211	28	22	13	3582	2535	15	625	3786	31	3453	3271	3027	38	3749	3248	5907	11	48	6	6268	355	7	13	1914	2171	17	12	3713	4509	634	17	5245	2403	4212	2053	186	3337	803	5497	19	3456	4792	727	291	12	323	32	20	3180	20	5	421	2241	4317	4216	33	5305	2720	4285	9	14	9799	1690	36	3312	12	18	7732	4208	3092	8	18	3841	22	3509	39	19	4188	2431	12	3525	4089	4	6551	6126	4838	3249	1606	3632	4247	348	24	505	4730	8431	11	5886	12	34	5322	215	8	7072	6	497	4417	2306	5	8519	214	7261	6556	5540	2	14	4298	1087	2336	2569	38	725	798	2023	194	1801	36	1923	2004	4	334	3348	3177	268	926	382	527	4360	434	665	306	98	6	430	524	4940	751	6	1	516	1	1	436	221	3	737	286	1	2	1	0	519	512	2	4	3	291	1	0	433	794	1	407	209	1	230	4	888	347	164	79	210
Root553	17641	7254	10	13	2	441	1947	22	814	3450	18	13	11	13	43	10	604	367	3878	954	2828	9	4	2759	5	93	5148	1396	2	10	19	14	221	224	69	43	14	40	14	6	11	6	196	39	7	2430	34	3789	14	471	3662	26	6	312	1057	9	7	85	11	5	721	2379	480	1	19	9	2723	2419	439	75	299	1519	1699	7	1853	490	2939	1105	147	8	4	502	192	1322	10	553	123	118	3	507	909	1	7	0	9	170	14	913	1093	976	223	0	1	95	5	0	25	201	989	168	1015	120	48	0	13	1532	6	267	13	411	2724	114	10	5	1	128	1310	93	28	0	1	146	8	3	359	0	24	73	6	19	0	1	24	2	1	114	32	32	12	0	0	22	0	5	38	7	4	36	0	1	7	0	2	21	0	27	1	10	8	0	34	14	5	0	0	9	106	17	24	7	2	1
