Gene	Cluster
AT2G27660	1
AT1G12040	1
AT3G09925	1
AT3G49960	1
AT1G48930	1
AT5G24070	1
AT3G59900	1
AT4G30280	1
AT4G38140	1
AT1G33610	1
AT4G18170	1
AT4G15350	1
AT5G60950	1
AT4G37220	1
AT1G02810	1
AT5G11140	1
AT5G44568	1
AT1G59725	1
AT4G15300	1
AT4G22666	1
AT3G20460	1
AT1G12600	1
AT3G05390	1
AT1G02440	1
AT4G11050	1
AT3G48700	1
AT2G46140	1
AT5G07450	1
AT5G51270	1
AT1G63930	1
AT1G16440	1
AT5G19800	1
AT3G07390	1
AT5G02760	1
AT1G16905	1
AT3G43930	1
AT2G25240	1
AT1G58190	1
AT5G19790	1
AT5G35740	1
AT5G22310	1
AT4G01630	1
AT2G29620	1
AT1G07280	1
AT5G65870	1
AT3G47740	1
AT4G15160	1
AT3G47380	1
AT5G40590	1
AT1G52343	1
AT1G03230	1
AT5G65158	1
AT1G25275	1
AT3G25900	1
AT1G67270	1
AT2G43620	1
AT2G22880	1
AT3G28550	1
AT2G44370	1
AT3G53180	1
AT1G61420	1
AT4G19030	1
AT3G20360	1
AT5G20710	1
AT2G38470	1
AT2G37130	1
AT5G39610	1
AT1G33600	1
AT1G14540	1
AT1G33612	1
AT2G26530	1
AT5G48540	1
AT1G50060	1
AT3G10720	1
AT2G38870	1
AT1G55450	1
AT5G04310	1
AT3G54510	1
AT1G30730	1
AT1G59940	1
AT4G28420	1
AT3G46280	1
AT1G69240	1
AT5G64100	1
AT4G22470	1
AT3G55150	1
AT5G21080	1
AT5G45280	1
AT1G02930	1
AT1G21130	1
AT1G51850	1
AT5G24110	1
AT1G70460	1
AT2G04160	1
AT1G14550	1
AT5G39580	1
AT1G13480	1
AT5G36925	1
AT3G62280	1
AT5G17780	1
AT3G60280	1
AT3G27950	1
AT4G01700	1
AT1G49030	1
AT1G53708	1
AT1G61380	1
AT1G54890	1
AT2G18350	1
AT4G15360	1
AT2G40670	1
AT5G46330	1
AT3G04320	1
AT5G25440	1
AT2G23290	1
AT1G13750	1
AT3G54580	1
AT1G16160	1
AT3G26200	1
AT4G25110	1
AT1G54940	1
AT5G40860	1
AT2G26870	1
AT4G15370	1
AT5G20820	1
AT1G05300	1
AT5G49780	1
AT5G36180	1
AT4G36110	1
AT1G21320	1
AT1G05700	1
AT5G20230	1
AT3G47760	1
AT4G10720	1
AT4G14365	1
AT5G19880	1
AT3G22060	1
AT5G48175	1
AT3G19010	1
AT4G20830	1
AT5G60270	1
AT1G21120	1
AT1G22810	1
AT3G02242	1
AT4G02330	1
AT2G32020	1
AT1G74810	1
AT3G53160	1
AT4G15480	1
AT4G20000	1
AT4G04450	1
AT1G67980	1
AT3G02150	1
AT1G10990	1
AT1G17860	1
AT5G13330	1
AT1G13590	1
AT3G02240	1
AT1G22360	1
AT4G22070	1
AT1G30700	1
AT1G55290	1
AT1G33030	1
AT5G26340	1
AT1G76470	1
AT4G15230	1
AT2G46495	1
AT1G18860	1
AT5G43580	1
AT1G76930	1
AT3G09405	1
AT4G18950	1
AT5G66790	1
AT3G52450	1
AT2G18690	1
AT2G39530	1
AT4G35070	1
AT2G20960	1
AT5G44900	1
AT2G38940	1
AT2G02380	1
AT1G71695	1
AT2G22470	1
AT5G12880	1
AT5G44990	1
AT1G13550	1
AT3G42180	1
AT1G12740	1
AT1G53130	1
AT2G02010	1
AT4G14640	1
AT2G21610	1
AT5G01540	1
AT1G33280	1
AT5G02580	1
AT2G47550	1
AT2G47140	1
AT2G19190	1
AT5G53990	1
AT1G72280	1
AT5G17390	1
AT1G27020	1
AT1G02360	1
AT1G36622	1
AT5G49700	1
AT1G21110	1
AT5G13490	1
AT5G24570	1
AT3G59080	1
AT4G08850	1
AT1G78850	1
AT1G77510	1
AT1G29600	1
AT3G26500	1
AT2G25810	1
AT1G66160	1
AT3G50760	1
AT1G07160	1
AT2G37430	1
AT5G13910	1
AT2G02990	1
AT5G44820	1
AT5G06270	1
AT2G40180	1
AT5G18470	1
AT3G54150	1
AT5G44870	1
AT5G40170	1
AT1G51800	1
AT2G38860	1
AT1G59870	1
AT1G69920	1
AT1G33590	1
AT1G02920	1
AT1G18570	1
AT1G77380	1
AT2G43000	1
AT2G30750	1
AT2G39690	1
AT2G45220	1
AT1G29290	1
AT2G24170	1
AT5G44380	1
AT1G53950	1
AT5G06860	1
AT2G33460	1
AT5G46350	1
AT5G64120	1
AT5G42830	1
AT1G22150	1
AT2G45750	1
AT5G43230	1
AT1G12940	1
AT2G35990	1
AT1G65570	1
AT1G64930	1
AT1G02570	1
AT5G05600	1
AT3G54870	1
AT2G04500	1
AT5G64750	1
AT1G73750	1
AT1G55920	1
AT1G26380	1
AT4G23190	1
AT2G29460	1
AT2G41380	1
AT2G24180	1
AT1G17180	1
AT2G30140	1
AT5G11210	1
AT3G09220	1
AT5G38200	1
AT5G53970	1
AT5G18560	1
AT5G11060	1
AT4G28350	1
AT1G61360	1
AT1G02400	1
AT4G24930	1
AT1G55265	1
AT4G31970	1
AT1G01453	2
AT5G06640	2
AT2G41810	2
AT5G38940	2
AT5G06630	2
AT2G24980	2
AT5G60530	2
AT5G35190	2
AT1G02430	2
AT4G08400	2
AT1G79860	2
AT5G02550	2
AT1G12560	2
AT4G01750	2
AT3G54590	2
AT1G33540	2
AT5G54710	2
