Gene,logFC,Fold,logCPM,LR,PValue,FDR
AT4G31940,-6.790277368,-110.6820429,7.576364319,107.0747816,4.29E-25,6.26E-23
AT4G15490,-6.339595609,-80.98571834,1.424259283,88.00736239,6.52E-21,7.09E-19
AT2G37770,-6.302027221,-78.90403761,1.270829618,85.90188242,1.89E-20,2.00E-18
AT5G16980,-6.024341156,-65.08896894,1.216409737,69.02756767,9.71E-17,7.36E-15
AT5G26120,-5.968732173,-62.6278381,0.822626856,67.00022834,2.71E-16,1.93E-14
AT1G74810,-5.49990675,-45.25190901,1.669015069,55.15472353,1.11E-13,6.30E-12
AT5G16960,-5.173070858,-36.07858514,1.102236656,65.76361676,5.08E-16,3.47E-14
AT3G28740,-4.924858794,-30.37597464,6.115874975,599.890683,1.77E-132,1.18E-128
AT2G36970,-4.761763037,-27.12898255,1.102657499,54.94024168,1.24E-13,6.98E-12
AT5G56080,-4.671616685,-25.48571079,5.5218123,272.4810794,3.27E-61,2.25E-58
AT1G08440,-4.626890065,-24.70772143,0.869871911,52.60854535,4.07E-13,2.14E-11
AT2G29220,-4.536311899,-23.20416533,2.4603375,99.67740434,1.79E-23,2.29E-21
AT4G25100,-4.417684584,-21.37251208,4.372329132,346.0240714,3.11E-77,4.15E-74
AT1G05680,-4.405380565,-21.19101175,4.692687225,209.9627252,1.40E-47,5.60E-45
AT5G16970,-4.217841021,-18.60787005,4.376775384,233.0109841,1.31E-52,6.26E-50
AT5G38910,-4.095474608,-17.09466929,3.527097268,47.45196831,5.64E-12,2.69E-10
AT3G28510,-4.023478832,-16.26251894,2.520821322,78.29918148,8.86E-19,8.17E-17
AT1G53970,-3.983324724,-15.81612994,0.355387657,20.66063374,5.48E-06,9.05E-05
AT2G44460,-3.885784213,-14.78214999,0.003651729,23.55728544,1.21E-06,2.32E-05
AT2G29250,-3.860545504,-14.52579786,0.549502433,36.17080988,1.81E-09,5.87E-08
AT3G55790,-3.841690207,-14.33718821,0.686193498,22.85335685,1.75E-06,3.20E-05
AT1G02850,-3.814111645,-14.06572143,5.669228744,602.1474933,5.71E-133,5.71E-129
AT4G08555,-3.810746477,-14.03295057,3.433473353,247.1111186,1.11E-55,5.99E-53
AT5G49130,-3.642500765,-12.48826166,0.310291785,27.02451539,2.01E-07,4.56E-06
AT4G22520,-3.622175266,-12.31355358,0.462046062,19.07453322,1.26E-05,0.000189581
AT3G28345,-3.58720766,-12.01868925,6.454775109,311.6168048,9.71E-70,9.71E-67
AT5G13370,-3.582436396,-11.97900683,3.958252509,230.4723685,4.70E-52,2.05E-49
AT1G76470,-3.523695231,-11.50106241,1.958600269,66.54346628,3.42E-16,2.38E-14
AT1G76680,-3.467321562,-11.06032261,8.076773101,496.7283163,4.90E-110,1.96E-106
AT1G17170,-3.416300647,-10.67600993,6.949964136,423.9375347,3.39E-94,6.17E-91
AT5G39050,-3.414588071,-10.6633443,3.640493729,180.5128408,3.74E-41,1.25E-38
AT2G29350,-3.34658443,-10.17237347,1.490362412,24.57350818,7.15E-07,1.44E-05
AT3G52970,-3.3110619,-9.924964212,0.235061521,14.65755799,0.000128917,0.001451001
AT1G76520,-3.303059126,-9.870061857,6.457061176,665.1839101,1.11E-146,2.23E-142
AT2G05380,-3.230480172,-9.38580295,3.514142459,117.6559254,2.06E-27,3.36E-25
AT1G67810,-3.185636006,-9.098545958,3.894235321,187.5732907,1.08E-42,3.71E-40
AT1G60730,-3.150652412,-8.880570817,6.269672045,494.8175686,1.28E-109,4.25E-106
