sample,rawfq_R1,rawfq_R2,trimfq,H_ath,K_ath,Hvirus_ath,Kvirus_ath
HKSynCom33_1,13172195,13172195,12783484,0.465,0.458,0.975,0.981
HKSynCom33_2,10767044,10767044,10287182,0.652,0.643,0.976,0.975
HKSynCom33_3,10878033,10878033,10560115,0.58,0.572,0.974,0.976
HKSynCom33_4,8651910,8651910,8454418,0.83,0.816,0.98,0.969
HKSynCom33_Flg22_1,6075012,6075012,5922387,0.887,0.871,0.978,0.964
HKSynCom33_Flg22_2,11499848,11499848,11142660,0.552,0.542,0.975,0.975
HKSynCom33_Flg22_3,11608298,11608298,11242512,0.718,0.71,0.976,0.975
HKSynCom33_Flg22_4,8763571,8763571,8519488,0.624,0.615,0.979,0.976
HKSynCom35_1,10084160,10084160,9826277,0.809,0.796,0.976,0.966
HKSynCom35_2,6297490,6297490,6170945,0.912,0.9,0.98,0.969
HKSynCom35_3,9915057,9915057,9603304,0.727,0.722,0.977,0.977
HKSynCom35_4,12587610,12587610,12091544,0.563,0.55,0.971,0.973
HKSynCom35_Flg22_1,6873637,6873637,6588694,0.977,0.963,0.977,0.963
HKSynCom35_Flg22_2,6461144,6461144,6307990,0.814,0.803,0.979,0.971
HKSynCom35_Flg22_3,8719346,8719346,8516934,0.6,0.595,0.977,0.98
HKSynCom35_Flg22_4,12973482,12973482,12618526,0.538,0.526,0.977,0.975
Mock_1,13036385,13036385,12732898,0.559,0.549,0.979,0.978
Mock_2,11495909,11495909,11144820,0.752,0.745,0.976,0.973
Mock_3,14230460,14230460,13715287,0.51,0.503,0.974,0.978
Mock_4,12354390,12354390,11513757,0.592,0.584,0.922,0.922
Mock_Flg22_1,11018794,11018794,10700223,0.703,0.693,0.978,0.973
Mock_Flg22_2,11452528,11452528,11123514,0.644,0.637,0.975,0.975
Mock_Flg22_3,13355598,13355598,12868862,0.579,0.571,0.974,0.977
Mock_Flg22_4,10720255,10720255,10352975,0.8,0.786,0.978,0.968
SynCom33_1,8734292,8734292,8341083,0.73,0.719,0.975,0.971
SynCom33_2,13777849,13777849,13220235,0.502,0.497,0.975,0.981
SynCom33_3,12414664,12414664,12026972,0.668,0.664,0.977,0.978
SynCom33_4,12574124,12574124,12030929,0.634,0.623,0.975,0.972
SynCom33_Flg22_1,11354523,11354523,11037970,0.67,0.661,0.976,0.974
SynCom33_Flg22_2,11098796,11098796,10723034,0.64,0.629,0.977,0.973
SynCom33_Flg22_3,12743113,12743113,12297414,0.536,0.531,0.878,0.881
SynCom33_Flg22_4,9369409,9369409,9138305,0.671,0.66,0.977,0.972
SynCom35_1,11683102,11683102,11384694,0.636,0.623,0.978,0.974
SynCom35_2,10254853,10254853,9911636,0.825,0.814,0.977,0.97
SynCom35_3,8767980,8767980,8025669,0.802,0.797,0.972,0.972
SynCom35_4,12844974,12844974,11942099,0.617,0.606,0.973,0.971
SynCom35_Flg22_1,11048570,11048570,10706105,0.614,0.603,0.977,0.974
SynCom35_Flg22_2,10988696,10988696,10515421,0.635,0.627,0.975,0.975
SynCom35_Flg22_3,8719287,8719287,8476158,0.707,0.698,0.977,0.974
SynCom35_Flg22_4,11436243,11436243,11120876,0.689,0.672,0.979,0.967
