sample,rawfq,trimfq,H_ath,K_ath
HKSynCom33_1,6133228,6009879,0.469,0.461
HKSynCom33_2,6509281,6214550,0.654,0.645
HKSynCom33_3,6556180,6416355,0.583,0.574
HKSynCom33_4,8651910,8454418,0.831,0.816
HKSynCom33_Flg22_1,6075012,5922387,0.887,0.871
HKSynCom33_Flg22_2,6675351,6518231,0.555,0.545
HKSynCom33_Flg22_3,6949688,6786291,0.72,0.711
HKSynCom33_Flg22_4,8763571,8519488,0.624,0.615
HKSynCom35_1,5908989,5794978,0.812,0.798
HKSynCom35_2,6297490,6170945,0.912,0.9
HKSynCom35_3,5647852,5514059,0.73,0.724
HKSynCom35_4,5942014,5719804,0.566,0.553
HKSynCom35_Flg22_1,6873637,6588694,0.977,0.963
HKSynCom35_Flg22_2,6461144,6307990,0.814,0.803
HKSynCom35_Flg22_3,8719346,8516934,0.6,0.595
HKSynCom35_Flg22_4,8498860,8320269,0.54,0.528
Mock_1,8150057,8004876,0.561,0.551
Mock_2,7319673,7147533,0.754,0.746
Mock_3,5657217,5520195,0.515,0.506
Mock_4,8016274,7331269,0.626,0.618
Mock_Flg22_1,5753204,5629060,0.706,0.695
Mock_Flg22_2,6756972,6609999,0.647,0.639
Mock_Flg22_3,6095678,5941698,0.582,0.574
Mock_Flg22_4,6114701,5915059,0.801,0.788
SynCom33_1,6496075,6185955,0.73,0.72
SynCom33_2,6573180,6316721,0.505,0.5
SynCom33_3,8633739,8410426,0.671,0.665
SynCom33_4,5998570,5741137,0.636,0.626
SynCom33_Flg22_1,6049394,5933045,0.673,0.664
SynCom33_Flg22_2,6433414,6228966,0.643,0.632
SynCom33_Flg22_3,6083498,5921392,0.598,0.591
SynCom33_Flg22_4,9369409,9138305,0.671,0.66
SynCom35_1,7208495,7066347,0.638,0.625
SynCom35_2,6036827,5884003,0.828,0.816
SynCom35_3,8767980,8025669,0.802,0.797
SynCom35_4,7560214,6873333,0.618,0.608
SynCom35_Flg22_1,6224996,6077825,0.617,0.605
SynCom35_Flg22_2,6208664,6005766,0.639,0.629
SynCom35_Flg22_3,8719287,8476158,0.707,0.698
SynCom35_Flg22_4,6892972,6745962,0.691,0.673
