"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0019761",6.90241622323622e-05,0.999997960634973,4,11,"glucosinolate biosynthetic process","BP"
"2","GO:0009098",0.000206073663370945,0.999996686110574,3,6,"leucine biosynthetic process","BP"
"3","GO:0042744",0.000610807331944315,0.999983139148113,3,8,"hydrogen peroxide catabolic process","BP"
"4","GO:0042545",0.00290451925509169,0.99995764935891,2,4,"cell wall modification","BP"
"5","GO:0055114",0.00690056216704847,0.998383018342779,7,102,"oxidation-reduction process","BP"
"6","GO:0045490",0.00934317839751203,0.99966816041281,2,7,"pectin catabolic process","BP"
"7","GO:0006979",0.0154139702626557,0.998299154853739,3,24,"response to oxidative stress","BP"
"8","GO:0030488",0.0170277261411024,1,1,1,"tRNA methylation","BP"
"9","GO:0032006",0.0170277261411024,1,1,1,"regulation of TOR signaling","BP"
"10","GO:0046713",0.0209427104680839,1,1,1,"borate transport","BP"
"11","GO:0006097",0.0215982055584577,1,1,1,"glyoxylate cycle","BP"
"12","GO:0048655",0.0220452694940509,1,1,1,"anther wall tapetum morphogenesis","BP"
"13","GO:1990019",0.0220452694940509,1,1,1,"protein storage vacuole organization","BP"
"14","GO:0009081",0.0225815824029674,1,1,1,"branched-chain amino acid metabolic process","BP"
"15","GO:0006024",0.0228484145845709,1,1,1,"glycosaminoglycan biosynthetic process","BP"
"16","GO:0006065",0.0228484145845709,1,1,1,"UDP-glucuronate biosynthetic process","BP"
"17","GO:0035434",0.0230997007250388,1,1,1,"copper ion transmembrane transport","BP"
"18","GO:0099131",0.0230997007250388,1,1,1,"ATP hydrolysis coupled ion transmembrane transport","BP"
"19","GO:0006474",0.0231604770947411,1,1,1,"N-terminal protein amino acid acetylation","BP"
"20","GO:1901430",0.0231913266264392,1,1,1,"positive regulation of syringal lignin biosynthetic process","BP"
"21","GO:0009052",0.0236470550631485,1,1,1,"pentose-phosphate shunt, non-oxidative branch","BP"
"22","GO:0019323",0.0236470550631485,1,1,1,"pentose catabolic process","BP"
"23","GO:0044262",0.0236470550631485,1,1,1,"cellular carbohydrate metabolic process","BP"
"24","GO:0010203",0.0395533864384481,0.999609838172935,1,2,"response to very low fluence red light stimulus","BP"
"25","GO:0046685",0.0395533864384481,0.999609838172935,1,2,"response to arsenic-containing substance","BP"
"26","GO:0033169",0.040532109373039,0.999590079252754,1,2,"histone H3-K9 demethylation","BP"
"27","GO:0051453",0.0419267291281397,0.999561062167099,1,2,"regulation of intracellular pH","BP"
"28","GO:0048235",0.04277346891234,0.999542949502307,1,2,"pollen sperm cell differentiation","BP"
"29","GO:0010227",0.0437005212774339,0.999522689231653,1,2,"floral organ abscission","BP"
"30","GO:0052546",0.0439138875320068,0.9995179625759,1,2,"cell wall pectin metabolic process","BP"
"31","GO:2000904",0.0443565909418541,0.999508079434899,1,2,"regulation of starch metabolic process","BP"
"32","GO:0097237",0.0445290283290518,0.999504202073932,1,2,"cellular response to toxic substance","BP"
"33","GO:0019853",0.0450915371615232,0.999491445380498,1,2,"L-ascorbic acid biosynthetic process","BP"
"34","GO:0000741",0.0458200347728066,0.999474677707846,1,2,"karyogamy","BP"
"35","GO:0009831",0.0458566062913693,0.999473828605998,1,2,"plant-type cell wall modification involved in multidimensional cell growth","BP"
"36","GO:0009611",0.0459799629569725,0.995547452945977,2,16,"response to wounding","BP"
"37","GO:0009584",0.0596716730005171,0.99880744833176,1,3,"detection of visible light","BP"
"38","GO:0017006",0.0596716730005171,0.99880744833176,1,3,"protein-tetrapyrrole linkage","BP"
"39","GO:0010201",0.0602936918920589,0.998782096458634,1,3,"response to continuous far red light stimulus by the high-irradiance response system","BP"
"40","GO:0010161",0.0625100579388504,0.998689530799737,1,3,"red light signaling pathway","BP"
"41","GO:0045926",0.0626008757121905,0.998685663372232,1,3,"negative regulation of growth","BP"
"42","GO:0048511",0.063788955940294,0.998634528741624,1,3,"rhythmic process","BP"
"43","GO:0009813",0.0639391273290445,0.998627993822991,1,3,"flavonoid biosynthetic process","BP"
"44","GO:0005986",0.0644671726509366,0.998604887507423,1,3,"sucrose biosynthetic process","BP"
"45","GO:0043068",0.0651323658652479,0.998575496674057,1,3,"positive regulation of programmed cell death","BP"
"46","GO:0008285",0.0653490807662543,0.99856585313209,1,3,"negative regulation of cell proliferation","BP"
"47","GO:0048653",0.0653965285633935,0.998563737287794,1,3,"anther development","BP"
"48","GO:0055070",0.0667268495681105,0.998503759005685,1,3,"copper ion homeostasis","BP"
"49","GO:0009767",0.0689244626258434,0.998401902279695,1,3,"photosynthetic electron transport chain","BP"
"50","GO:0005975",0.0700516611357682,0.99125300905191,2,20,"carbohydrate metabolic process","BP"
"51","GO:0009630",0.0804005170954654,0.997545902585235,1,4,"gravitropism","BP"
"52","GO:2000022",0.0820402923015439,0.997442882770929,1,4,"regulation of jasmonic acid mediated signaling pathway","BP"
"53","GO:0006099",0.0826044070311064,0.997406933900412,1,4,"tricarboxylic acid cycle","BP"
"54","GO:0080188",0.0828251559882713,0.997392795535365,1,4,"RNA-directed DNA methylation","BP"
"55","GO:0010089",0.0850848271929214,0.997245773572893,1,4,"xylem development","BP"
"56","GO:0045292",0.0880569963086687,0.997046007401073,1,4,"mRNA cis splicing, via spliceosome","BP"
"57","GO:0009809",0.0900713523103541,0.996906478519719,1,4,"lignin biosynthetic process","BP"
"58","GO:0009828",0.0905751393133744,0.996871058437831,1,4,"plant-type cell wall loosening","BP"
"59","GO:0031047",0.0923078013587186,0.996536501478351,1,5,"gene silencing by RNA","BP"
"60","GO:0009723",0.108170695090461,0.995210493656457,1,5,"response to ethylene","BP"
"61","GO:0006749",0.113713743408068,0.994694013029732,1,5,"glutathione metabolic process","BP"
"62","GO:0009407",0.113713743408068,0.994694013029732,1,5,"toxin catabolic process","BP"
"63","GO:2000028",0.114901942046137,0.994361602086122,1,6,"regulation of photoperiodism, flowering","BP"
"64","GO:0018298",0.118320394828102,0.994012253136048,1,6,"protein-chromophore linkage","BP"
"65","GO:0009638",0.118443622005026,0.99399945372043,1,6,"phototropism","BP"
"66","GO:0010218",0.118882930452016,0.993953706460168,1,6,"response to far red light","BP"
"67","GO:0017148",0.124260615754622,0.993378856088725,1,6,"negative regulation of translation","BP"
"68","GO:0009664",0.128322025902706,0.99292643344714,1,6,"plant-type cell wall organization","BP"
"69","GO:0009640",0.137649812851274,0.991603801647946,1,7,"photomorphogenesis","BP"
"70","GO:0009631",0.140065210420139,0.991297484514976,1,7,"cold acclimation","BP"
"71","GO:0009639",0.144934478634425,0.990662230689137,1,7,"response to red or far red light","BP"
"72","GO:0000381",0.14768389159811,0.990293012919695,1,7,"regulation of alternative mRNA splicing, via spliceosome","BP"
"73","GO:0009873",0.15126189948118,0.989801090566988,1,7,"ethylene-activated signaling pathway","BP"
"74","GO:0045893",0.15351120243274,0.968943503904632,2,31,"positive regulation of transcription, DNA-templated","BP"
"75","GO:0009751",0.158138691631487,0.988597982238199,1,8,"response to salicylic acid","BP"
"76","GO:0006855",0.159687488096254,0.988365774081876,1,8,"drug transmembrane transport","BP"
"77","GO:0009826",0.168262886852422,0.987034591617367,1,8,"unidimensional cell growth","BP"
"78","GO:0030001",0.188147624037417,0.983403745021813,1,9,"metal ion transport","BP"
"79","GO:0080167",0.188928550816735,0.983259985323495,1,9,"response to karrikin","BP"
"80","GO:0009553",0.193037280228007,0.98228784968161,1,10,"embryo sac development","BP"
"81","GO:0009753",0.199779845791569,0.980973217950366,1,10,"response to jasmonic acid","BP"
