"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005576",3.70500242519653e-06,0.999998334317573,93,308,"extracellular region","CC"
"2","GO:0016328",0.00515070969214159,1,3,3,"lateral plasma membrane","CC"
"3","GO:0000780",0.00535601348089774,1,3,3,"condensed nuclear chromosome, centromeric region","CC"
"4","GO:0005876",0.00535601348089774,1,3,3,"spindle microtubule","CC"
"5","GO:0031616",0.00535601348089774,1,3,3,"spindle pole centrosome","CC"
"6","GO:0032133",0.00535601348089774,1,3,3,"chromosome passenger complex","CC"
"7","GO:0000148",0.0106917473997825,1,2,2,"1,3-beta-D-glucan synthase complex","CC"
"8","GO:0005887",0.0133272005664994,0.995298047110724,12,34,"integral component of plasma membrane","CC"
"9","GO:0005615",0.0180989555275893,0.995436858227385,8,16,"extracellular space","CC"
"10","GO:0051233",0.0186140065167814,0.999065373126897,3,4,"spindle midzone","CC"
"11","GO:0000325",0.027033906410702,0.996480068973542,4,7,"plant-type vacuole","CC"
"12","GO:0044611",0.0295622811072798,1,2,2,"nuclear pore inner ring","CC"
"13","GO:0016021",0.0381317012022213,0.969530497480689,161,746,"integral component of membrane","CC"
"14","GO:0005886",0.0724518848235252,0.941502304536807,129,620,"plasma membrane","CC"
"15","GO:0031209",0.0744029540924724,0.995347109078168,2,3,"SCAR complex","CC"
"16","GO:0009504",0.093066226671233,0.971367522818471,5,15,"cell plate","CC"
"17","GO:0048046",0.101685308877442,0.941605275804415,17,62,"apoplast","CC"
"18","GO:0015629",0.101878795415453,0.982327082731778,3,6,"actin cytoskeleton","CC"
"19","GO:0031225",0.130066139237348,0.947167355022958,7,19,"anchored component of membrane","CC"
"20","GO:0043231",0.137051339275461,0.933654542844725,9,32,"intracellular membrane-bounded organelle","CC"
"21","GO:0010330",0.139312619492692,0.982329299310543,2,4,"cellulose synthase complex","CC"
"22","GO:0071004",0.149196437442076,0.980230719492498,2,4,"U2-type prespliceosome","CC"
"23","GO:0005685",0.158481512472196,0.963190315709754,3,7,"U1 snRNP","CC"
"24","GO:0032807",0.169988454761944,1,1,1,"DNA ligase IV complex","CC"
"25","GO:0043229",0.171601080551616,1,1,1,"intracellular organelle","CC"
"26","GO:0071011",0.172169497250769,1,1,1,"precatalytic spliceosome","CC"
"27","GO:0043674",0.172662456529022,1,1,1,"columella","CC"
"28","GO:0009505",0.173311618653476,0.900932883724707,12,48,"plant-type cell wall","CC"
"29","GO:0005785",0.174156379025689,1,1,1,"signal recognition particle receptor complex","CC"
"30","GO:0009930",0.174522024324588,1,1,1,"longitudinal side of cell surface","CC"
"31","GO:0000794",0.17502808715157,1,1,1,"condensed nuclear chromosome","CC"
"32","GO:0042646",0.180060874719792,1,1,1,"plastid nucleoid","CC"
"33","GO:0019898",0.185029378110171,1,1,1,"extrinsic component of membrane","CC"
"34","GO:0005856",0.194572472674767,0.920851263146792,5,18,"cytoskeleton","CC"
"35","GO:0031464",0.19771317126427,1,1,1,"Cul4A-RING E3 ubiquitin ligase complex","CC"
"36","GO:0031965",0.197782697900414,0.944060160781011,3,9,"nuclear membrane","CC"
"37","GO:0005945",0.198682460922104,1,1,1,"6-phosphofructokinase complex","CC"
"38","GO:0048226",0.211302214346575,0.964764920949464,2,4,"Casparian strip","CC"
"39","GO:0009527",0.212651907062877,1,1,1,"plastid outer membrane","CC"
"40","GO:0005575",0.213992548659665,0.861176784570762,17,62,"cellular_component","CC"
"41","GO:0009707",0.217343486252046,0.940840163987607,3,7,"chloroplast outer membrane","CC"
"42","GO:0061617",0.225657959149206,1,1,1,"MICOS complex","CC"
"43","GO:0017102",0.233046381350663,1,1,1,"methionyl glutamyl tRNA synthetase complex","CC"
"44","GO:0009501",0.239584731195148,1,1,1,"amyloplast","CC"
"45","GO:0000127",0.268588360594132,1,1,1,"transcription factor TFIIIC complex","CC"
"46","GO:0012511",0.268735215975746,1,1,1,"monolayer-surrounded lipid storage body","CC"
"47","GO:0016020",0.272999435412674,0.776640750123174,56,272,"membrane","CC"
"48","GO:0009536",0.289233174755201,0.823176758893072,10,42,"plastid","CC"
"49","GO:0000439",0.305227270221816,0.972326175566387,1,2,"transcription factor TFIIH core complex","CC"
"50","GO:0005675",0.305227270221816,0.972326175566387,1,2,"transcription factor TFIIH holo complex","CC"
"51","GO:0009705",0.306484285951088,0.849445595779955,5,21,"plant-type vacuole membrane","CC"
"52","GO:0005834",0.311824395859377,0.862663855333192,4,15,"heterotrimeric G-protein complex","CC"
"53","GO:0009897",0.316482867350167,0.970025963849232,1,2,"external side of plasma membrane","CC"
"54","GO:0045239",0.316689190804349,0.969982762324243,1,2,"tricarboxylic acid cycle enzyme complex","CC"
"55","GO:0009986",0.317761952043376,0.969757532497061,1,2,"cell surface","CC"
"56","GO:0009331",0.319570919201365,0.969375421807675,1,2,"glycerol-3-phosphate dehydrogenase complex","CC"
"57","GO:0009510",0.327217643449033,0.96772787604254,1,2,"plasmodesmatal desmotubule","CC"
"58","GO:0090575",0.332725941537085,0.966508321925663,1,2,"RNA polymerase II transcription factor complex","CC"
"59","GO:0005764",0.35795969569828,0.960560594113565,1,2,"lysosome","CC"
"60","GO:0046658",0.365611443232939,0.852929726027041,3,10,"anchored component of plasma membrane","CC"
"61","GO:0017101",0.365673257058251,0.958620699219195,1,2,"aminoacyl-tRNA synthetase multienzyme complex","CC"
"62","GO:0005622",0.365987264029321,0.784513217204854,7,28,"intracellular","CC"
"63","GO:0019897",0.386843345115873,0.95299094707913,1,2,"extrinsic component of plasma membrane","CC"
"64","GO:0005777",0.388957516530956,0.764105523312337,7,31,"peroxisome","CC"
"65","GO:0005778",0.405070131815282,0.863333228133472,2,7,"peroxisomal membrane","CC"
"66","GO:0005618",0.41720976779665,0.690350173249026,16,73,"cell wall","CC"
"67","GO:0032588",0.429310263828871,0.922775331228694,1,3,"trans-Golgi network membrane","CC"
"68","GO:0010005",0.429437128142252,0.922723212787351,1,3,"cortical microtubule, transverse to long axis","CC"
"69","GO:0017119",0.432605185683364,0.921414344686196,1,3,"Golgi transport complex","CC"
"70","GO:0000159",0.436431439895894,0.919814556235895,1,3,"protein phosphatase type 2A complex","CC"
"71","GO:0030665",0.437320961621978,0.919439644880384,1,3,"clathrin-coated vesicle membrane","CC"
"72","GO:0008180",0.437854763236106,0.919214116022662,1,3,"COP9 signalosome","CC"
"73","GO:0005956",0.456464588270581,0.911092001090891,1,3,"protein kinase CK2 complex","CC"
"74","GO:0000139",0.457703057920273,0.658100971095083,14,74,"Golgi membrane","CC"
"75","GO:0005874",0.485999782798621,0.68928641691706,6,31,"microtubule","CC"
"76","GO:0000243",0.488182823653062,0.896036204272748,1,3,"commitment complex","CC"
"77","GO:0090406",0.491496643235884,0.797235836918763,2,9,"pollen tube","CC"
"78","GO:0031410",0.496554300087692,0.891794693804228,1,3,"cytoplasmic vesicle","CC"
"79","GO:0000418",0.502049234983645,0.88894738623907,1,3,"RNA polymerase IV complex","CC"
"80","GO:0005787",0.50783483313278,0.911027859253294,1,2,"signal peptidase complex","CC"
"81","GO:0030008",0.5155999519953,0.88170634053364,1,3,"TRAPP complex","CC"
"82","GO:0005762",0.527587468206854,0.875032809053154,1,3,"mitochondrial large ribosomal subunit","CC"
"83","GO:0005955",0.529096225748662,0.861291386416445,1,4,"calcineurin complex","CC"
"84","GO:0005686",0.544015780308834,0.759906793717539,2,8,"U2 snRNP","CC"
"85","GO:0005794",0.545439319242497,0.525313926256523,41,223,"Golgi apparatus","CC"
"86","GO:0031969",0.549885479036479,0.698528160765789,3,15,"chloroplast membrane","CC"
"87","GO:0005779",0.560393861481048,0.840890032367368,1,4,"integral component of peroxisomal membrane","CC"
"88","GO:0005802",0.583574228544771,0.529921845159694,15,85,"trans-Golgi network","CC"
"89","GO:0031205",0.584182604654963,0.839851021078615,1,3,"endoplasmic reticulum Sec complex","CC"
"90","GO:0000419",0.589241010053411,0.820271099040115,1,4,"RNA polymerase V complex","CC"
"91","GO:0005786",0.59104032451511,0.818923799941828,1,4,"signal recognition particle, endoplasmic reticulum targeting","CC"
"92","GO:0005744",0.617485326936837,0.798243509484181,1,4,"TIM23 mitochondrial import inner membrane translocase complex","CC"
"93","GO:0015030",0.618384563098861,0.797510468222595,1,4,"Cajal body","CC"
"94","GO:0042721",0.62878287667718,0.788885533058795,1,4,"TIM22 mitochondrial import inner membrane insertion complex","CC"
"95","GO:0005736",0.636105235494374,0.782644593428595,1,4,"RNA polymerase I complex","CC"
"96","GO:0005665",0.637244838571802,0.781660589813668,1,4,"RNA polymerase II, core complex","CC"
