"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:CAMALEXIN-SYN",0.00143485684574155,0.999871146187535,6,10,"camalexin biosynthesis","BioCyc"
"2","ARA:PWY-581",0.00224208021088254,0.999928226469682,4,5,"indole-3-acetate biosynthesis II","BioCyc"
"3","ARA:TRPSYN-PWY",0.017653688910198,1,2,2,"L-tryptophan biosynthesis","BioCyc"
"4","ARA:PWY-6902",0.0299715160248286,1,2,2,"chitin degradation II (Vibrio)","BioCyc"
"5","ARA:COMPLETE-ARO-ARA-PWY",0.0467093274647634,0.994495066004176,3,6,"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis","BioCyc"
"6","ARA:PWY-6952",0.0839430636860925,0.992465187338669,2,4,"glycerophosphodiester degradation","BioCyc"
"7","ARA:PWY-5934",0.0885558054460709,0.991791689932793,2,4,"iron reduction and absorption","BioCyc"
"8","ARA:PWY-601",0.118707498472597,0.986832742223208,2,4,"glucosinolate biosynthesis from tryptophan","BioCyc"
"9","ARA:ETHYL-PWY",0.144123528182542,0.966373521908935,3,9,"ethylene biosynthesis I (plants)","BioCyc"
"10","ARA:PWY-5271",0.144615368265438,1,1,1,"phaseic acid biosynthesis","BioCyc"
"11","ARA:PWY-7640",0.144615368265438,1,1,1,"neophaseic acid biosynthesis","BioCyc"
"12","ARA:GLYCLEAV-PWY",0.148851205408358,1,1,1,"glycine cleavage","BioCyc"
"13","ARA:PWY-5084",0.148851205408358,1,1,1,"2-oxoglutarate decarboxylation to succinyl-CoA","BioCyc"
"14","ARA:PYRUVDEHYD-PWY",0.148851205408358,1,1,1,"pyruvate decarboxylation to acetyl CoA","BioCyc"
"15","ARA:LIPASYN-PWY",0.154118944704654,0.976969893672369,2,5,"phospholipases","BioCyc"
"16","ARA:PWY-5267",0.163080309312065,1,1,1,"glucosinolate activation","BioCyc"
"17","ARA:PWY-5992",0.163223098159338,0.974695653126807,2,5,"thalianol and derivatives biosynthesis","BioCyc"
"18","ARA:PWY-83",0.164861745730776,1,1,1,"monolignol glucosides biosynthesis","BioCyc"
"19","ARA:PWY-6442",0.183684405223343,1,1,1,"spermidine hydroxycinnamic acid conjugates biosynthesis","BioCyc"
"20","ARA:ASPARAGINE-DEG1-PWY",0.183959448413838,1,1,1,"L-asparagine degradation I","BioCyc"
"21","ARA:PWY-7270",0.186647052915132,0.949302153758722,3,10,"L-methionine salvage cycle II (plants)","BioCyc"
"22","ARA:PWY-5453",0.188534591545437,1,1,1,"methylglyoxal degradation III","BioCyc"
"23","ARA:PWY-6786",0.188534591545437,1,1,1,"detoxification of reactive carbonyls in chloroplasts","BioCyc"
"24","ARA:PWY-5340",0.204243048927229,1,1,1,"sulfate activation for sulfonation","BioCyc"
"25","ARA:PWY-3561",0.206908046459665,0.988329236652365,1,2,"choline biosynthesis III","BioCyc"
"26","ARA:PWY-7039",0.206908046459665,0.988329236652365,1,2,"phosphatidate metabolism, as a signaling molecule","BioCyc"
"27","ARA:PWY-4041",0.252114284469296,0.982177436634428,1,2,"&gamma;-glutamyl cycle","BioCyc"
"28","ARA:PWYQT-4432",0.252114284469296,0.982177436634428,1,2,"glutathione degradation","BioCyc"
"29","ARA:ILEUDEG-PWY",0.265815731837908,0.980012871391689,1,2,"L-isoleucine degradation I","BioCyc"
"30","ARA:PWY-5046",0.265815731837908,0.980012871391689,1,2,"2-oxoisovalerate decarboxylation to isobutanoyl-CoA","BioCyc"
"31","ARA:VALDEG-PWY",0.265815731837908,0.980012871391689,1,2,"L-valine degradation I","BioCyc"
"32","ARA:PWY-282",0.271965361682874,0.978993924926161,1,2,"cuticular wax biosynthesis","BioCyc"
"33","ARA:PWYDQC-4",0.30439627735352,0.973116030248204,1,2,"indole-3-acetate biosynthesis I","BioCyc"
"34","ARA:PWY-7416",0.307306449160243,0.972545871657148,1,2,"phospholipid remodeling (phosphatidylcholine, yeast)","BioCyc"
"35","ARA:PWY-6348",0.310544294249797,0.971903014881499,1,2,"phosphate acquisition","BioCyc"
"36","ARA:PWYQT-4477",0.311574514360869,0.97169658253032,1,2,"indole glucosinolate activation (intact plant cell)","BioCyc"
"37","ARA:PWY-3101",0.311730497474381,0.971665247417743,1,2,"flavonol biosynthesis","BioCyc"
"38","ARA:PWY-5060",0.311730497474381,0.971665247417743,1,2,"luteolin biosynthesis","BioCyc"
"39","ARA:PWY-6039",0.314095969640532,0.971187477046952,1,2,"chlorogenic acid biosynthesis I","BioCyc"
