"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0030599",0.00100489646184834,1,3,3,"pectinesterase activity","MF"
"2","GO:0045330",0.00100489646184834,1,3,3,"aspartyl esterase activity","MF"
"3","GO:0051539",0.00104458464967557,0.999931163758748,5,8,"4 iron, 4 sulfur cluster binding","MF"
"4","GO:0035673",0.00309015277170542,0.999922451246733,3,4,"oligopeptide transmembrane transporter activity","MF"
"5","GO:0030247",0.00312264669070153,0.999791839747256,4,7,"polysaccharide binding","MF"
"6","GO:0004499",0.00333472333970358,0.999913930101361,3,4,"N,N-dimethylaniline monooxygenase activity","MF"
"7","GO:0016759",0.00658867923979797,0.999681545726191,3,5,"cellulose synthase activity","MF"
"8","GO:0020037",0.00809853544764609,0.998484932857124,6,17,"heme binding","MF"
"9","GO:0042937",0.00938499440114756,1,2,2,"tripeptide transmembrane transporter activity","MF"
"10","GO:0050660",0.00978129477883797,0.998857668288784,4,10,"flavin adenine dinucleotide binding","MF"
"11","GO:0016881",0.0100857848253623,1,2,2,"acid-amino acid ligase activity","MF"
"12","GO:0009055",0.0101842926784484,0.998438756590201,5,12,"electron transfer activity","MF"
"13","GO:0016709",0.0106247968738976,0.999384674582171,3,5,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"14","GO:0008970",0.0112907883122115,1,2,2,"phospholipase A1 activity","MF"
"15","GO:0080031",0.0116798515996166,1,2,2,"methyl salicylate esterase activity","MF"
"16","GO:0080032",0.0116798515996166,1,2,2,"methyl jasmonate esterase activity","MF"
"17","GO:0050661",0.0154062918613654,0.997858561520233,4,11,"NADP binding","MF"
"18","GO:0005506",0.018671045055584,0.996326007577917,5,16,"iron ion binding","MF"
"19","GO:0015333",0.0245433375300842,0.999189769405164,2,3,"peptide:proton symporter activity","MF"
"20","GO:1904680",0.0245433375300842,0.999189769405164,2,3,"peptide transmembrane transporter activity","MF"
"21","GO:0017025",0.0253509004981277,0.99914801176666,2,3,"TBP-class protein binding","MF"
"22","GO:0004497",0.0258645045327303,0.995656539321631,4,12,"monooxygenase activity","MF"
"23","GO:0030246",0.0292954555560817,0.993258845397566,5,19,"carbohydrate binding","MF"
"24","GO:0071949",0.0293679690386412,0.996734677101666,3,7,"FAD binding","MF"
"25","GO:0015018",0.0321038068294347,0.998769513369464,2,3,"galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity","MF"
"26","GO:0080030",0.033302830900109,0.998697020856761,2,3,"methyl indole-3-acetate esterase activity","MF"
"27","GO:0008061",0.0335872074357634,0.998679600506144,2,3,"chitin binding","MF"
"28","GO:0005504",0.0337638483987491,1,2,2,"fatty acid binding","MF"
"29","GO:0016760",0.0428690318764072,0.997305494239616,2,4,"cellulose synthase (UDP-forming) activity","MF"
"30","GO:0015250",0.0446755063719321,0.993755675260103,3,8,"water channel activity","MF"
"31","GO:0042285",0.0584988017511539,0.995611305667847,2,4,"xylosyltransferase activity","MF"
"32","GO:0008017",0.0660468160282097,0.980057110653501,5,26,"microtubule binding","MF"
"33","GO:0004553",0.070616220058166,0.978695865880567,5,22,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"34","GO:0008569",0.0843013228179066,1,1,1,"ATP-dependent microtubule motor activity, minus-end-directed","MF"
"35","GO:0034074",0.0847243808774359,1,1,1,"marneral synthase activity","MF"
"36","GO:0008493",0.0850515215582513,1,1,1,"tetracycline transmembrane transporter activity","MF"
"37","GO:0004814",0.0877695556589635,1,1,1,"arginine-tRNA ligase activity","MF"
"38","GO:0005313",0.0896919985453838,1,1,1,"L-glutamate transmembrane transporter activity","MF"
"39","GO:0015175",0.0896919985453838,1,1,1,"neutral amino acid transmembrane transporter activity","MF"
"40","GO:0015180",0.0896919985453838,1,1,1,"L-alanine transmembrane transporter activity","MF"
"41","GO:0015186",0.0896919985453838,1,1,1,"L-glutamine transmembrane transporter activity","MF"
"42","GO:0015194",0.0896919985453838,1,1,1,"L-serine transmembrane transporter activity","MF"
"43","GO:0019203",0.0897148070399311,1,1,1,"carbohydrate phosphatase activity","MF"
"44","GO:2001066",0.0897148070399311,1,1,1,"amylopectin binding","MF"
"45","GO:2001070",0.0897148070399311,1,1,1,"starch binding","MF"
"46","GO:0103075",0.0919997480744668,1,1,1,"indole-3-pyruvate monooxygenase activity","MF"
"47","GO:0003691",0.0923549328446758,1,1,1,"double-stranded telomeric DNA binding","MF"
"48","GO:0051536",0.0924720899385328,1,1,1,"iron-sulfur cluster binding","MF"
"49","GO:0047714",0.0925812947469499,1,1,1,"galactolipase activity","MF"
"50","GO:0052739",0.0925812947469499,1,1,1,"phosphatidylserine 1-acylhydrolase activity","MF"
"51","GO:0052740",0.0925812947469499,1,1,1,"1-acyl-2-lysophosphatidylserine acylhydrolase activity","MF"
"52","GO:0102549",0.0925812947469499,1,1,1,"1-18:1-2-16:0-monogalactosyldiacylglycerol lipase activity","MF"
"53","GO:0004506",0.0940251556824222,1,1,1,"squalene monooxygenase activity","MF"
"54","GO:0010012",0.0945323484456106,1,1,1,"steroid 22-alpha hydroxylase activity","MF"
"55","GO:0003882",0.0949931051134306,1,1,1,"CDP-diacylglycerol-serine O-phosphatidyltransferase activity","MF"
"56","GO:0004557",0.0952851852504475,1,1,1,"alpha-galactosidase activity","MF"
"57","GO:0004837",0.09611025699486,1,1,1,"tyrosine decarboxylase activity","MF"
"58","GO:0016831",0.09611025699486,1,1,1,"carboxy-lyase activity","MF"
"59","GO:1990055",0.09611025699486,1,1,1,"phenylacetaldehyde synthase activity","MF"
"60","GO:0016597",0.0961895961436559,1,1,1,"amino acid binding","MF"
"61","GO:0070566",0.0961895961436559,1,1,1,"adenylyltransferase activity","MF"
"62","GO:0070728",0.0961895961436559,1,1,1,"leucine binding","MF"
"63","GO:0080123",0.0961895961436559,1,1,1,"jasmonate-amino synthetase activity","MF"
"64","GO:0004367",0.096300764388698,1,1,1,"glycerol-3-phosphate dehydrogenase [NAD+] activity","MF"
"65","GO:0046914",0.0965352402425403,1,1,1,"transition metal ion binding","MF"
"66","GO:0030794",0.0967740435108662,1,1,1,"(S)-coclaurine-N-methyltransferase activity","MF"
"67","GO:0019781",0.0967905018115523,1,1,1,"NEDD8 activating enzyme activity","MF"
"68","GO:0047259",0.0974044143985947,1,1,1,"glucomannan 4-beta-mannosyltransferase activity","MF"
"69","GO:0004124",0.0983542006999295,1,1,1,"cysteine synthase activity","MF"
"70","GO:0050017",0.0983542006999295,1,1,1,"L-3-cyanoalanine synthase activity","MF"
"71","GO:0004601",0.0991612604262784,0.988355743781996,2,5,"peroxidase activity","MF"
"72","GO:0016688",0.102917513116185,1,1,1,"L-ascorbate peroxidase activity","MF"
