"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath01100",0.0217143957423105,0.997122598524536,6,161,"Metabolic pathways","KEGG"
"2","path:ath00941",0.0337706145707048,0.99974622266584,1,2,"Flavonoid biosynthesis","KEGG"
"3","path:ath00310",0.0337903681410609,0.999745922793312,1,2,"Lysine degradation","KEGG"
"4","path:ath00380",0.0337903681410609,0.999745922793312,1,2,"Tryptophan metabolism","KEGG"
"5","path:ath00563",0.0503031968399594,0.999244420416356,1,3,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","KEGG"
"6","path:ath00640",0.0826145146540858,0.997523137830667,1,5,"Propanoate metabolism","KEGG"
"7","path:ath00562",0.0826274014555682,0.997522349762051,1,5,"Inositol phosphate metabolism","KEGG"
"8","path:ath00510",0.0983641853653131,0.996319315283964,1,6,"N-Glycan biosynthesis","KEGG"
"9","path:ath00280",0.0983946089111682,0.996316985307577,1,6,"Valine, leucine and isoleucine degradation","KEGG"
"10","path:ath00400",0.0984006242802986,0.996316524531331,1,6,"Phenylalanine, tyrosine and tryptophan biosynthesis","KEGG"
"11","path:ath00630",0.113934452963708,0.994888614216195,1,7,"Glyoxylate and dicarboxylate metabolism","KEGG"
"12","path:ath00020",0.11393503442184,0.994888560656747,1,7,"Citrate cycle (TCA cycle)","KEGG"
"13","path:ath04070",0.113958825603611,0.994886368942711,1,7,"Phosphatidylinositol signaling system","KEGG"
"14","path:ath00620",0.129250442541864,0.993242694664188,1,8,"Pyruvate metabolism","KEGG"
"15","path:ath00260",0.159168683238058,0.989327189791853,1,10,"Glycine, serine and threonine metabolism","KEGG"
"16","path:ath01110",0.160965338015423,0.961000666158805,3,85,"Biosynthesis of secondary metabolites","KEGG"
"17","path:ath00010",0.188190574488935,0.984614517721391,1,12,"Glycolysis / Gluconeogenesis","KEGG"
"18","path:ath04144",0.243609163837682,0.972978447301327,1,16,"Endocytosis","KEGG"
"19","path:ath04075",0.27004390728514,0.966142150149043,1,18,"Plant hormone signal transduction","KEGG"
"20","path:ath03018",0.283005253866409,0.962472547997636,1,19,"RNA degradation","KEGG"
"21","path:ath01200",0.35640183462383,0.937498961680274,1,25,"Carbon metabolism","KEGG"
"22","path:ath01230",0.356408175498105,0.937496529367078,1,25,"Biosynthesis of amino acids","KEGG"
"23","path:ath04141",1,0.667303252099591,0,23,"Protein processing in endoplasmic reticulum","KEGG"
"24","path:ath00030",1,0.870757989169034,0,8,"Pentose phosphate pathway","KEGG"
"25","path:ath00051",1,0.901619770916713,0,6,"Fructose and mannose metabolism","KEGG"
"26","path:ath00052",1,0.933400168939031,0,4,"Galactose metabolism","KEGG"
"27","path:ath00053",1,0.917385041873942,0,5,"Ascorbate and aldarate metabolism","KEGG"
"28","path:ath00062",1,0.949685507141034,0,3,"Fatty acid elongation","KEGG"
"29","path:ath00071",1,0.966219863650403,0,2,"Fatty acid degradation","KEGG"
"30","path:ath00100",1,0.966199679203739,0,2,"Steroid biosynthesis","KEGG"
"31","path:ath00130",1,0.870759928740835,0,8,"Ubiquinone and other terpenoid-quinone biosynthesis","KEGG"
"32","path:ath00190",1,0.886103970486321,0,7,"Oxidative phosphorylation","KEGG"
"33","path:ath00195",1,0.949708149708734,0,3,"Photosynthesis","KEGG"
"34","path:ath00220",1,0.966217523232127,0,2,"Arginine biosynthesis","KEGG"
"35","path:ath00230",1,0.81179575363978,0,12,"Purine metabolism","KEGG"
"36","path:ath00240",1,0.949690363861685,0,3,"Pyrimidine metabolism","KEGG"
"37","path:ath00250",1,0.917379932779366,0,5,"Alanine, aspartate and glutamate metabolism","KEGG"
"38","path:ath00261",1,0.933428980787536,0,4,"Monobactam biosynthesis","KEGG"
"39","path:ath00270",1,0.886047179208152,0,7,"Cysteine and methionine metabolism","KEGG"
"40","path:ath00290",1,0.949680568430372,0,3,"Valine, leucine and isoleucine biosynthesis","KEGG"
"41","path:ath00300",1,0.949696966060816,0,3,"Lysine biosynthesis","KEGG"
"42","path:ath00330",1,0.917379976015186,0,5,"Arginine and proline metabolism","KEGG"
"43","path:ath00340",1,0.982978207211265,0,1,"Histidine metabolism","KEGG"
"44","path:ath00350",1,0.982970821417873,0,1,"Tyrosine metabolism","KEGG"
"45","path:ath00360",1,0.949677125201552,0,3,"Phenylalanine metabolism","KEGG"
"46","path:ath00410",1,0.966203900235785,0,2,"beta-Alanine metabolism","KEGG"
"47","path:ath00450",1,0.949689917384766,0,3,"Selenocompound metabolism","KEGG"
"48","path:ath00460",1,0.949694754314833,0,3,"Cyanoamino acid metabolism","KEGG"
"49","path:ath00480",1,0.886090496677059,0,7,"Glutathione metabolism","KEGG"
"50","path:ath00500",1,0.886057048072122,0,7,"Starch and sucrose metabolism","KEGG"
"51","path:ath00511",1,0.949671869613949,0,3,"Other glycan degradation","KEGG"
"52","path:ath00514",1,0.966201318974523,0,2,"Other types of O-glycan biosynthesis","KEGG"
"53","path:ath00520",1,0.840810039078468,0,10,"Amino sugar and nucleotide sugar metabolism","KEGG"
