"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0009536",0.000953428856935065,0.9994591864239,49,408,"plastid","CC"
"2","GO:0000276",0.00106846993170742,0.999940977444157,4,8,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","CC"
"3","GO:0009295",0.00226176983367549,0.999458170633691,9,40,"nucleoid","CC"
"4","GO:0010370",0.00425444376646897,1,2,2,"perinucleolar chromocenter","CC"
"5","GO:0030677",0.00517978049583508,1,2,2,"ribonuclease P complex","CC"
"6","GO:0016604",0.00620374220268462,0.998823401464437,6,22,"nuclear body","CC"
"7","GO:0016605",0.00840677471098646,0.999471263921797,3,6,"PML body","CC"
"8","GO:0031021",0.0103483231882874,0.999784789479769,2,3,"interphase microtubule organizing center","CC"
"9","GO:0005956",0.0113774794587601,0.998470490687009,4,13,"protein kinase CK2 complex","CC"
"10","GO:0034657",0.011447133130654,0.999111005868374,3,7,"GID complex","CC"
"11","GO:0000172",0.0127526089546388,0.999703501079502,2,3,"ribonuclease MRP complex","CC"
"12","GO:0000139",0.0127944418108993,0.991714856425574,47,428,"Golgi membrane","CC"
"13","GO:0008274",0.0136495935942406,0.998794988248984,3,8,"gamma-tubulin ring complex","CC"
"14","GO:0005689",0.0148850089063283,0.997035951679357,5,22,"U12-type spliceosomal complex","CC"
"15","GO:0101031",0.0154052583764676,0.99960352040023,2,3,"chaperone complex","CC"
"16","GO:0005945",0.0203326975978911,0.997909066958269,3,8,"6-phosphofructokinase complex","CC"
"17","GO:0030875",0.0216595024608117,0.997717336257776,3,8,"rDNA protrusion","CC"
"18","GO:0005761",0.0227424219036629,0.998987881220959,2,4,"mitochondrial ribosome","CC"
"19","GO:0033281",0.0249829338869405,0.998829795516719,2,4,"TAT protein transport complex","CC"
"20","GO:0009528",0.0291674529445346,0.998512814585328,2,4,"plastid inner membrane","CC"
"21","GO:0031357",0.0306792003487631,0.998391586231829,2,4,"integral component of chloroplast inner membrane","CC"
"22","GO:0043625",0.0323527113454393,0.998253355069404,2,4,"delta DNA polymerase complex","CC"
"23","GO:0032044",0.0332795627074934,0.998175003115466,2,4,"DSIF complex","CC"
"24","GO:0005802",0.0336841932431342,0.977070166271541,44,420,"trans-Golgi network","CC"
"25","GO:0005640",0.0339539273472732,0.997828244203877,2,5,"nuclear outer membrane","CC"
"26","GO:0005741",0.0398090058793119,0.987798109960075,6,34,"mitochondrial outer membrane","CC"
"27","GO:0030870",0.0410771515924778,0.997466910969531,2,4,"Mre11 complex","CC"
"28","GO:0042644",0.0418511719597567,0.988801128009949,5,26,"chloroplast nucleoid","CC"
"29","GO:0009507",0.0436263896799568,0.961201066975748,482,6019,"chloroplast","CC"
"30","GO:0005847",0.0481503301962879,0.99249893712575,3,10,"mRNA cleavage and polyadenylation specificity factor complex","CC"
"31","GO:0005673",0.0518928577809113,0.995795328103098,2,5,"transcription factor TFIIE complex","CC"
"32","GO:0000220",0.0539371507955438,0.995533084023434,2,5,"vacuolar proton-transporting V-type ATPase, V0 domain","CC"
"33","GO:0000110",0.0556961549006541,0.995302667310878,2,5,"nucleotide-excision repair factor 1 complex","CC"
"34","GO:0031969",0.05987972613841,0.965127306752493,19,168,"chloroplast membrane","CC"
"35","GO:0031985",0.0600616806633682,0.994712037009605,2,5,"Golgi cisterna","CC"
"36","GO:0000178",0.0604261989267485,0.989221319588203,3,12,"exosome (RNase complex)","CC"
"37","GO:0009508",0.0657776631511846,0.983231925969558,4,21,"plastid chromosome","CC"
"38","GO:1990904",0.0667608726937527,0.965274757157884,13,109,"ribonucleoprotein complex","CC"
"39","GO:0035859",0.0694358615320925,1,1,1,"Seh1-associated complex","CC"
"40","GO:0000930",0.0698136731599902,0.986576079133192,3,13,"gamma-tubulin complex","CC"
"41","GO:1903600",0.0728744801417634,1,1,1,"glutaminase complex","CC"
"42","GO:0005739",0.0739681752559482,0.934777002096829,303,3855,"mitochondrion","CC"
"43","GO:0005634",0.0750726326021829,0.931293588584842,911,11592,"nucleus","CC"
"44","GO:0035657",0.0755299195208141,1,1,1,"eRF1 methyltransferase complex","CC"
"45","GO:0030479",0.0776223616483365,1,1,1,"actin cortical patch","CC"
"46","GO:0044545",0.0785794480061603,0.99126774911364,2,6,"NSL complex","CC"
"47","GO:0046862",0.0786226981458577,1,1,1,"chromoplast membrane","CC"
"48","GO:0000127",0.0790448421972958,0.991185890472873,2,6,"transcription factor TFIIIC complex","CC"
"49","GO:0000346",0.0792051719337511,1,1,1,"transcription export complex","CC"
"50","GO:0036266",0.0795773675732203,1,1,1,"Cdc48p-Npl4p-Vms1p AAA ATPase complex","CC"
"51","GO:0061673",0.0796643760113214,1,1,1,"mitotic spindle astral microtubule","CC"
"52","GO:1990023",0.0796643760113214,1,1,1,"mitotic spindle midzone","CC"
"53","GO:0000109",0.0806521568371337,1,1,1,"nucleotide-excision repair complex","CC"
"54","GO:0031499",0.0807403063305397,1,1,1,"TRAMP complex","CC"
"55","GO:0031422",0.0814807107508383,1,1,1,"RecQ helicase-Topo III complex","CC"
"56","GO:0032432",0.0814989363200172,0.990749356788444,2,6,"actin filament bundle","CC"
"57","GO:0031305",0.0828563391648931,0.97246526660802,5,33,"integral component of mitochondrial inner membrane","CC"
"58","GO:0034271",0.0841469029040391,0.990269188951602,2,6,"phosphatidylinositol 3-kinase complex, class III, type I","CC"
"59","GO:0034272",0.0841469029040391,0.990269188951602,2,6,"phosphatidylinositol 3-kinase complex, class III, type II","CC"
"60","GO:0005652",0.0850112722395059,0.990110405935893,2,6,"nuclear lamina","CC"
"61","GO:0009514",0.0853896976921507,0.982124898022325,3,13,"glyoxysome","CC"
"62","GO:0000795",0.0856696312968452,0.989988794840291,2,6,"synaptonemal complex","CC"
"63","GO:0035452",0.0860203090107063,1,1,1,"extrinsic component of plastid membrane","CC"
"64","GO:0009941",0.0923725668972377,0.928655909438785,61,680,"chloroplast envelope","CC"
"65","GO:0000974",0.0934038618569643,0.979432183570093,3,14,"Prp19 complex","CC"
"66","GO:0071011",0.0943533518203304,0.987740289648039,2,7,"precatalytic spliceosome","CC"
"67","GO:0017053",0.0993695506767812,0.987328191424017,2,6,"transcriptional repressor complex","CC"
"68","GO:0070545",0.102010079517696,0.986122161855919,2,7,"PeBoW complex","CC"
"69","GO:0042765",0.102274927948495,0.986064782025339,2,7,"GPI-anchor transamidase complex","CC"
"70","GO:0005768",0.103693141960137,0.924161133126232,40,416,"endosome","CC"
"71","GO:0045263",0.105788881203742,0.984394616591382,2,9,"proton-transporting ATP synthase complex, coupling factor F(o)","CC"
"72","GO:0033017",0.107404364091555,1,1,1,"sarcoplasmic reticulum membrane","CC"
"73","GO:0005666",0.107448876565538,0.961239127572477,5,35,"RNA polymerase III complex","CC"
"74","GO:0030122",0.110788452450469,0.984924988366754,2,6,"AP-2 adaptor complex","CC"
"75","GO:0005815",0.113697186328086,0.972453510622016,3,15,"microtubule organizing center","CC"
"76","GO:0016592",0.119528031564764,0.946298096920596,7,56,"mediator complex","CC"
"77","GO:0000407",0.124547554661686,0.968585051030618,3,15,"phagophore assembly site","CC"
"78","GO:0031361",0.125973247110276,0.99576331709955,1,2,"integral component of thylakoid membrane","CC"
"79","GO:0071007",0.128245263847469,0.97930664310804,2,8,"U2-type catalytic step 2 spliceosome","CC"
"80","GO:0000177",0.13029420452746,0.96593395938708,3,17,"cytoplasmic exosome (RNase complex)","CC"
"81","GO:0005731",0.13089326917425,0.995413427691493,1,2,"nucleolus organizer region","CC"
"82","GO:0044432",0.132946454388945,0.99526300606956,1,2,"endoplasmic reticulum part","CC"
"83","GO:0071014",0.13388251061601,0.977827380716787,2,8,"post-mRNA release spliceosomal complex","CC"
"84","GO:0098572",0.13822811677569,0.994864044688012,1,2,"stromal side of plastid thylakoid membrane","CC"
"85","GO:0005777",0.138299553419293,0.902170376348969,28,299,"peroxisome","CC"
"86","GO:0008290",0.145561250123256,0.994281190207824,1,2,"F-actin capping protein complex","CC"
"87","GO:0008305",0.147448278807642,0.994125717261093,1,2,"integrin complex","CC"
"88","GO:0010009",0.147667838307681,0.994107480992622,1,2,"cytoplasmic side of endosome membrane","CC"
"89","GO:0070522",0.148482877750185,0.994039517206417,1,2,"ERCC4-ERCC1 complex","CC"
"90","GO:0031464",0.148990753389717,0.973007829773796,2,9,"Cul4A-RING E3 ubiquitin ligase complex","CC"
"91","GO:0000923",0.152159478770106,0.972075686329933,2,9,"equatorial microtubule organizing center","CC"
"92","GO:0000153",0.152536280735924,0.993695227694575,1,2,"cytoplasmic ubiquitin ligase complex","CC"
"93","GO:0005848",0.153095283946623,0.993646922671898,1,2,"mRNA cleavage stimulating factor complex","CC"
"94","GO:0005788",0.154983628632624,0.93080033654683,6,46,"endoplasmic reticulum lumen","CC"
"95","GO:0045282",0.156729090238447,0.993328021320697,1,2,"plasma membrane succinate dehydrogenase complex","CC"
"96","GO:0000152",0.161328300562021,0.992912169867667,1,2,"nuclear ubiquitin ligase complex","CC"
"97","GO:0009360",0.16290472677747,0.992766470615344,1,2,"DNA polymerase III complex","CC"
"98","GO:0005697",0.165804512032326,0.967913799357821,2,9,"telomerase holoenzyme complex","CC"
"99","GO:0000123",0.170194659636099,0.949174976358105,3,19,"histone acetyltransferase complex","CC"
"100","GO:0071561",0.171270865371523,0.991965988642342,1,2,"nucleus-vacuole junction","CC"
"101","GO:0010598",0.175469654248847,0.988848948891565,1,3,"NAD(P)H dehydrogenase complex (plastoquinone)","CC"
"102","GO:0005730",0.178739843983956,0.859768862236467,46,535,"nucleolus","CC"
"103","GO:0070469",0.178979897963096,0.944789930719558,3,21,"respiratory chain","CC"
"104","GO:0000790",0.180607736708016,0.909367726782562,7,62,"nuclear chromatin","CC"
"105","GO:0005680",0.181806648934769,0.944317164667805,3,18,"anaphase-promoting complex","CC"
"106","GO:0009782",0.186189517339617,0.987375625875035,1,3,"photosystem I antenna complex","CC"
"107","GO:0000932",0.189416079877636,0.894398832573171,9,82,"P-body","CC"
"108","GO:0012507",0.192536654789457,0.938805525643607,3,20,"ER to Golgi transport vesicle membrane","CC"
"109","GO:0043224",0.197184422327719,0.985759778708919,1,3,"nuclear SCF ubiquitin ligase complex","CC"
"110","GO:0005885",0.198058050359532,0.955713211451535,2,11,"Arp2/3 protein complex","CC"
"111","GO:0071821",0.198815642640664,0.985510899002969,1,3,"FANCM-MHF complex","CC"
"112","GO:0030427",0.200258484035298,0.985288774894655,1,3,"site of polarized growth","CC"
"113","GO:0030140",0.20089474727529,0.954671506139697,2,11,"trans-Golgi network transport vesicle","CC"
"114","GO:0000176",0.201512318971735,0.934281718709882,3,21,"nuclear exosome (RNase complex)","CC"
"115","GO:0045273",0.203262439921728,0.953252767371436,2,12,"respiratory chain complex II","CC"
"116","GO:0005742",0.205936700232783,0.951780444012263,2,13,"mitochondrial outer membrane translocase complex","CC"
"117","GO:0005720",0.207457721155257,0.952221829242813,2,11,"nuclear heterochromatin","CC"
"118","GO:0045281",0.208091001772734,0.984050239928251,1,3,"succinate dehydrogenase complex","CC"
"119","GO:0005838",0.208834761398694,0.983929741714593,1,3,"proteasome regulatory particle","CC"
"120","GO:0042170",0.211933774766162,0.983422233374064,1,3,"plastid membrane","CC"
"121","GO:0019008",0.213569666991722,0.983150789568496,1,3,"molybdopterin synthase complex","CC"
"122","GO:0005762",0.21476387192978,0.912500685259588,4,35,"mitochondrial large ribosomal subunit","CC"
"123","GO:0031415",0.21546790943912,0.982832734064332,1,3,"NatA complex","CC"
"124","GO:0043529",0.216444393970759,0.982667829491619,1,3,"GET complex","CC"
"125","GO:0031304",0.218278570775699,0.982355702345725,1,3,"intrinsic component of mitochondrial inner membrane","CC"
"126","GO:0031410",0.220155791325352,0.909876396266704,4,32,"cytoplasmic vesicle","CC"
"127","GO:0000783",0.221033511648446,0.981881033039895,1,3,"nuclear telomere cap complex","CC"
"128","GO:0045259",0.221322111476949,0.979700075995675,1,4,"proton-transporting ATP synthase complex","CC"
"129","GO:0061574",0.222098604173399,0.981695630589298,1,3,"ASAP complex","CC"
"130","GO:0009535",0.222141779655231,0.828683403330126,34,420,"chloroplast thylakoid membrane","CC"
"131","GO:0000111",0.233553331220782,0.979634493044281,1,3,"nucleotide-excision repair factor 2 complex","CC"
"132","GO:0071942",0.233553331220782,0.979634493044281,1,3,"XPC complex","CC"
