"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0016099",0.000102347895779775,1,4,4,"monoterpenoid biosynthetic process","BP"
"2","GO:0019438",0.000498265851627303,0.999952467741544,6,13,"aromatic compound biosynthetic process","BP"
"3","GO:0010200",0.000538649897642272,0.999768445129116,27,152,"response to chitin","BP"
"4","GO:0006952",0.00071169717611494,0.999527906197043,96,701,"defense response","BP"
"5","GO:0046680",0.000763580191887871,1,3,3,"response to DDT","BP"
"6","GO:0033591",0.000852862488682084,0.999967005819265,4,6,"response to L-ascorbic acid","BP"
"7","GO:0009607",0.0011491972798154,0.999799278240237,8,22,"response to biotic stimulus","BP"
"8","GO:0009817",0.00122629557457496,0.999585238427968,16,69,"defense response to fungus, incompatible interaction","BP"
"9","GO:0009620",0.00152836387547089,0.999409742644772,19,92,"response to fungus","BP"
"10","GO:0042742",0.00157822392868778,0.999038375089219,59,409,"defense response to bacterium","BP"
"11","GO:0009407",0.00164469093101372,0.999526752504468,12,52,"toxin catabolic process","BP"
"12","GO:0006306",0.00172323654934077,0.999678274461754,8,22,"DNA methylation","BP"
"13","GO:0009298",0.00187097197947382,0.999891423256693,4,7,"GDP-mannose biosynthetic process","BP"
"14","GO:0006338",0.00195169856037089,0.999439773239958,12,44,"chromatin remodeling","BP"
"15","GO:0019853",0.002013903344739,0.99965579936902,7,21,"L-ascorbic acid biosynthetic process","BP"
"16","GO:0048544",0.0021640376325194,0.999512278878886,9,29,"recognition of pollen","BP"
"17","GO:0045324",0.00262082035939155,0.999452343977174,8,26,"late endosome to vacuole transport","BP"
"18","GO:0000032",0.00280123275307606,0.99993172185119,3,4,"cell wall mannoprotein biosynthetic process","BP"
"19","GO:0008202",0.00301298201314957,0.999280218969368,9,30,"steroid metabolic process","BP"
"20","GO:0120029",0.00369351464595818,0.999450327105648,6,14,"proton export across plasma membrane","BP"
"21","GO:0009617",0.00418433914273931,0.998039273440942,23,133,"response to bacterium","BP"
"22","GO:0008295",0.00424846767351183,0.999454685642567,5,13,"spermidine biosynthetic process","BP"
"23","GO:0009611",0.00478473577567582,0.997270704636833,38,250,"response to wounding","BP"
"24","GO:0033540",0.00558896404013552,0.999505011294024,4,8,"fatty acid beta-oxidation using acyl-CoA oxidase","BP"
"25","GO:0006527",0.00672674378839876,0.999670108583113,3,5,"arginine catabolic process","BP"
"26","GO:1900067",0.00785998945526214,1,2,2,"regulation of cellular response to alkaline pH","BP"
"27","GO:0034551",0.00793323937241703,1,2,2,"mitochondrial respiratory chain complex III assembly","BP"
"28","GO:0009968",0.00845446334177207,1,2,2,"negative regulation of signal transduction","BP"
"29","GO:0009661",0.0084765973644836,1,2,2,"chromoplast organization","BP"
"30","GO:0090359",0.00958939670047832,1,2,2,"negative regulation of abscisic acid biosynthetic process","BP"
"31","GO:0015976",0.00984886555693051,0.998369599393141,5,15,"carbon utilization","BP"
"32","GO:0031426",0.0101799094465967,1,2,2,"polycistronic mRNA processing","BP"
"33","GO:0006468",0.0104405187483671,0.992028661313025,126,1020,"protein phosphorylation","BP"
"34","GO:0031347",0.0107879596264929,0.995601215431171,14,75,"regulation of defense response","BP"
"35","GO:0009753",0.0108250260518173,0.994046054021383,28,188,"response to jasmonic acid","BP"
"36","GO:0071370",0.0109069395773065,0.999357717824744,3,5,"cellular response to gibberellin stimulus","BP"
"37","GO:0018230",0.0114614239407968,0.997124611079388,7,27,"peptidyl-L-cysteine S-palmitoylation","BP"
"38","GO:0006749",0.0125818072192293,0.995425806187906,11,57,"glutathione metabolic process","BP"
"39","GO:0033388",0.0128164553303162,0.99905429810807,3,6,"putrescine biosynthetic process from arginine","BP"
"40","GO:0009875",0.0149481163421453,1,2,2,"pollen-pistil interaction","BP"
"41","GO:0071366",0.0151176253189836,1,2,2,"cellular response to indolebutyric acid stimulus","BP"
"42","GO:0048451",0.0151254718442891,1,2,2,"petal formation","BP"
"43","GO:0040014",0.0160510103646671,0.998902273791338,3,5,"regulation of multicellular organism growth","BP"
"44","GO:0051604",0.0200818240790806,0.995879084673309,5,17,"protein maturation","BP"
"45","GO:0006516",0.0213659811693662,0.997891311145143,3,7,"glycoprotein catabolic process","BP"
"46","GO:0032509",0.0214427624428727,0.996579362674644,4,12,"endosome transport via multivesicular body sorting pathway","BP"
"47","GO:0010230",0.0225132433548472,0.999287601659174,2,3,"alternative respiration","BP"
"48","GO:0031936",0.022770260634335,0.995169495627546,5,17,"negative regulation of chromatin silencing","BP"
"49","GO:0080113",0.0237154412347951,0.994852912500379,5,18,"regulation of seed growth","BP"
"50","GO:0009751",0.0247469181076904,0.98551311963645,27,195,"response to salicylic acid","BP"
"51","GO:0051512",0.024814399022826,0.997402868316874,3,7,"positive regulation of unidimensional cell growth","BP"
"52","GO:0010380",0.0253194551529057,0.995744724169081,4,12,"regulation of chlorophyll biosynthetic process","BP"
"53","GO:0031396",0.0255921383778186,0.999130920284119,2,3,"regulation of protein ubiquitination","BP"
"54","GO:0061158",0.0257325667117779,0.997267857241598,3,7,"3'-UTR-mediated mRNA destabilization","BP"
"55","GO:0008219",0.0262274504468587,0.989903712966053,10,50,"cell death","BP"
"56","GO:0009294",0.0267855787865449,0.991076409968964,8,35,"DNA mediated transformation","BP"
"57","GO:0009966",0.0272100284578147,0.999044075354613,2,3,"regulation of signal transduction","BP"
"58","GO:0010582",0.0273454109517715,0.995290839040464,4,12,"floral meristem determinacy","BP"
"59","GO:0010193",0.0273927869506985,0.989997577610961,9,45,"response to ozone","BP"
"60","GO:0080141",0.0277829563075145,0.999012594245564,2,3,"regulation of jasmonic acid biosynthetic process","BP"
"61","GO:0010288",0.0281078845276982,0.998994572872326,2,3,"response to lead ion","BP"
"62","GO:0000002",0.0288901180289893,0.998950694944133,2,3,"mitochondrial genome maintenance","BP"
"63","GO:0006661",0.0289161813241098,0.996784360064385,3,7,"phosphatidylinositol biosynthetic process","BP"
"64","GO:0006612",0.0304583797410421,0.989467446649734,8,39,"protein targeting to membrane","BP"
"65","GO:0010119",0.0315080118262053,0.985130060982592,14,82,"regulation of stomatal movement","BP"
"66","GO:1902600",0.0323728980397305,0.989869413027082,7,28,"proton transmembrane transport","BP"
"67","GO:0030261",0.0325125328114358,0.993953407992907,4,13,"chromosome condensation","BP"
"68","GO:0010080",0.032588272598207,0.998733991868961,2,3,"regulation of floral meristem growth","BP"
"69","GO:0006596",0.0337859162987664,0.993525482650198,4,14,"polyamine biosynthetic process","BP"
"70","GO:0019762",0.034254644068098,0.99017738751266,6,26,"glucosinolate catabolic process","BP"
"71","GO:0050832",0.0346407527426698,0.977619410678711,35,269,"defense response to fungus","BP"
"72","GO:0009934",0.0348581098512791,0.990145598833836,6,23,"regulation of meristem structural organization","BP"
"73","GO:0090351",0.0360347146984649,0.988172126196906,7,34,"seedling development","BP"
"74","GO:0033499",0.0367897862915782,0.992753957231882,4,14,"galactose catabolic process via UDP-galactose","BP"
"75","GO:0045087",0.0368117498512999,0.981721721149989,15,90,"innate immune response","BP"
"76","GO:0071368",0.0373609923430721,0.995113829495639,3,8,"cellular response to cytokinin stimulus","BP"
"77","GO:0010032",0.0373745360535892,0.998431553750306,2,3,"meiotic chromosome condensation","BP"
"78","GO:0034508",0.0377429297672393,0.99504357556832,3,8,"centromere complex assembly","BP"
"79","GO:0046654",0.0383877825036413,0.992334499302596,4,14,"tetrahydrofolate biosynthetic process","BP"
"80","GO:0006885",0.0398261757068797,0.994655071748783,3,8,"regulation of pH","BP"
"81","GO:0045739",0.0401854607251039,0.994587171747811,3,8,"positive regulation of DNA repair","BP"
"82","GO:0007165",0.0407746491011768,0.970974902152122,53,410,"signal transduction","BP"
"83","GO:0032259",0.04125625129161,0.973322063098829,33,255,"methylation","BP"
"84","GO:0016575",0.041574529783284,0.986126345127037,7,30,"histone deacetylation","BP"
"85","GO:0055064",0.0416718783663038,0.998139702568412,2,3,"chloride ion homeostasis","BP"
"86","GO:1990573",0.0416718783663038,0.998139702568412,2,3,"potassium ion import across plasma membrane","BP"
"87","GO:0055088",0.0420415085059131,0.991352803289457,4,14,"lipid homeostasis","BP"
"88","GO:0006370",0.0440080072480698,0.993848807789411,3,8,"7-methylguanosine mRNA capping","BP"
"89","GO:0006627",0.044584411068326,0.993470877820171,3,9,"protein processing involved in protein targeting to mitochondrion","BP"
"90","GO:0006012",0.0449352307775526,0.986103228284037,6,28,"galactose metabolic process","BP"
"91","GO:2000379",0.0459000854381123,0.996986442763973,2,4,"positive regulation of reactive oxygen species metabolic process","BP"
"92","GO:0009653",0.0475736440682418,0.996812611988009,2,4,"anatomical structure morphogenesis","BP"
"93","GO:0002239",0.0486590541814928,0.992912278743362,3,8,"response to oomycetes","BP"
"94","GO:0002221",0.0500334033519678,0.986315542495636,5,21,"pattern recognition receptor signaling pathway","BP"
"95","GO:0010208",0.0509241013912904,0.992125504407196,3,9,"pollen wall assembly","BP"
"96","GO:0006355",0.0515230444132811,0.956511814763674,188,1749,"regulation of transcription, DNA-templated","BP"
"97","GO:0090392",0.0521415402894095,0.997352072180968,2,3,"sepal giant cell differentiation","BP"
"98","GO:0090628",0.0521415402894095,0.997352072180968,2,3,"plant epidermal cell fate specification","BP"
"99","GO:0097264",0.0521415402894095,0.997352072180968,2,3,"self proteolysis","BP"
"100","GO:0071669",0.0531598660335684,0.991374507602426,3,10,"plant-type cell wall organization or biogenesis","BP"
"101","GO:0002240",0.0540524786145387,0.991169376546648,3,10,"response to molecule of oomycetes origin","BP"
"102","GO:0006296",0.0541770191211191,0.99140564552532,3,9,"nucleotide-excision repair, DNA incision, 5'-to lesion","BP"
"103","GO:0000973",0.0556772173693922,0.991423664607406,3,8,"posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery","BP"
"104","GO:0000122",0.0560507666973386,0.978021462576806,8,40,"negative regulation of transcription by RNA polymerase II","BP"
"105","GO:0042127",0.0563174741068532,0.981656551386545,6,27,"regulation of cell proliferation","BP"
"106","GO:1902448",0.057385330773996,0.990676737429231,3,9,"positive regulation of shade avoidance","BP"
"107","GO:0006470",0.0576124938413277,0.964109743725771,25,189,"protein dephosphorylation","BP"
"108","GO:0048364",0.0579524175315898,0.96200350690132,31,224,"root development","BP"
"109","GO:0018377",0.0582488445715771,0.995619195728712,2,4,"protein myristoylation","BP"
"110","GO:0007076",0.0601831527875809,0.985855595642498,4,15,"mitotic chromosome condensation","BP"
"111","GO:0070816",0.0621350663455581,0.985238467752097,4,15,"phosphorylation of RNA polymerase II C-terminal domain","BP"
"112","GO:0010821",0.0626835999771993,0.995081731652881,2,4,"regulation of mitochondrion organization","BP"
"113","GO:0032880",0.0631426691020508,0.988997334605002,3,10,"regulation of protein localization","BP"
"114","GO:0006555",0.0635893389426528,0.984434799972113,4,17,"methionine metabolic process","BP"
"115","GO:0017196",0.0641763963795904,0.988741013118922,3,10,"N-terminal peptidyl-methionine acetylation","BP"
"116","GO:0005992",0.0642519149225553,0.978263085432482,6,28,"trehalose biosynthetic process","BP"
"117","GO:0070897",0.0647795714602145,0.994819433997737,2,4,"transcription preinitiation complex assembly","BP"
"118","GO:0007062",0.0655385110111777,0.980936204891591,5,19,"sister chromatid cohesion","BP"
"119","GO:0003333",0.0658977557760969,0.971249383174326,9,53,"amino acid transmembrane transport","BP"
"120","GO:0000272",0.0662626633450649,0.983552998227761,4,17,"polysaccharide catabolic process","BP"
"121","GO:0009805",0.0663276541360244,0.99381757294207,2,5,"coumarin biosynthetic process","BP"
"122","GO:0006635",0.0664317347586867,0.971050679630949,9,51,"fatty acid beta-oxidation","BP"
"123","GO:0010602",0.0670587812813853,0.993709837179328,2,5,"regulation of 1-aminocyclopropane-1-carboxylate metabolic process","BP"
"124","GO:0006884",0.0673158146501477,0.994495025045612,2,4,"cell volume homeostasis","BP"
"125","GO:0060862",0.067659694967982,0.993620754066585,2,5,"negative regulation of floral organ abscission","BP"
"126","GO:1902476",0.067743833763382,0.994439525139826,2,4,"chloride transmembrane transport","BP"
"127","GO:0006152",0.0681937436585025,0.993541179314276,2,5,"purine nucleoside catabolic process","BP"
"128","GO:0009629",0.0683923898204801,0.993511483616873,2,5,"response to gravity","BP"
"129","GO:0071732",0.0694323200051999,0.978758030127376,5,24,"cellular response to nitric oxide","BP"
"130","GO:0009446",0.070677730081747,0.993166084461567,2,5,"putrescine biosynthetic process","BP"
"131","GO:0010090",0.0710417302682687,0.968772019278407,9,48,"trichome morphogenesis","BP"
"132","GO:0006032",0.071289924623731,0.981700240486777,4,18,"chitin catabolic process","BP"
