"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-6199",0.00107830519617537,0.999940865501481,5,7,"quercetin sulfate biosynthesis","BioCyc"
"2","ARA:PWY-6577",0.00146811194491486,1,3,3,"farnesylcysteine salvage pathway","BioCyc"
"3","ARA:PWY-1001",0.00198113231406048,0.999669174741537,7,20,"cellulose biosynthesis","BioCyc"
"4","ARA:PWY-5168",0.00630231664851582,0.999793015397042,3,4,"ferulate and sinapate biosynthesis","BioCyc"
"5","ARA:PWY-561",0.0138052701546111,0.995750065390112,9,32,"superpathway of glyoxylate cycle and fatty acid degradation","BioCyc"
"6","ARA:PWY-6064",0.0171894200486877,1,2,2,"methylquercetin biosynthesis","BioCyc"
"7","ARA:GLYSYN2-PWY",0.0181734842384607,0.995732271012255,6,20,"glycine biosynthesis","BioCyc"
"8","ARA:PWY-5986",0.0182613483070518,1,2,2,"ammonium transport","BioCyc"
"9","ARA:PWY1F-FLAVSYN",0.0189647246691721,0.993797813030342,9,33,"flavonoid biosynthesis","BioCyc"
"10","ARA:PWY-6443",0.0192774393149788,0.992084916264148,13,54,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)","BioCyc"
"11","ARA:PWY4FS-10",0.0193509329619959,1,2,2,"scopolin biosynthesis","BioCyc"
"12","ARA:PWY-4541",0.0213089021661509,0.996974084743475,4,9,"lipid-dependent phytate biosynthesis I (via Ins(1,4,5)P3)","BioCyc"
"13","ARA:PWY-2021",0.0213726973244319,0.996815419979993,4,10,"indole-3-acetate degradation IV","BioCyc"
"14","ARA:PWY-5788",0.0213726973244319,0.996815419979993,4,10,"indole-3-acetate degradation V","BioCyc"
"15","ARA:PWY-6219",0.0213726973244319,0.996815419979993,4,10,"indole-3-acetyl-amide conjugate biosynthesis","BioCyc"
"16","ARA:PWY-6546",0.023173217293107,0.996620223010796,4,9,"brassinosteroids inactivation","BioCyc"
"17","ARA:PWY-5690",0.0244982932410256,0.990935285646904,10,41,"TCA cycle II (plants and fungi)","BioCyc"
"18","ARA:PWY-1782",0.0268742358957869,0.994244192154664,5,15,"superpathway of indole-3-acetate conjugate biosynthesis","BioCyc"
"19","ARA:PWY-4562",0.0281616567876263,0.993891064006441,5,15,"lipid-dependent phytate biosynthesis II (via Ins(1,3,4)P3)","BioCyc"
"20","ARA:PWY-4765",0.0281616567876263,0.993891064006441,5,15,"superpathway of lipid-dependent phytate biosynthesis","BioCyc"
"21","ARA:PWY-6554",0.0281616567876263,0.993891064006441,5,15,"1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)","BioCyc"
"22","ARA:PWY-3301",0.0296542457547985,0.989251102662042,9,39,"sinapate ester biosynthesis","BioCyc"
