"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath04626",0.000660955279902879,0.999711876511483,27,216,"Plant-pathogen interaction","KEGG"
"2","path:ath03015",0.00763818477529169,0.996406729354749,20,184,"mRNA surveillance pathway","KEGG"
"3","path:ath04130",0.00837349928507586,0.99748754284385,9,52,"SNARE interactions in vesicular transport","KEGG"
"4","path:ath04145",0.0256241500277847,0.988511867940005,13,110,"Phagosome","KEGG"
"5","path:ath03420",0.0278656788309653,0.988876754004532,10,83,"Nucleotide excision repair","KEGG"
"6","path:ath03430",0.0468090667923338,0.984874444720761,6,43,"Mismatch repair","KEGG"
"7","path:ath04016",0.0471382571423069,0.974957171934462,16,157,"MAPK signaling pathway - plant","KEGG"
"8","path:ath00760",0.0486487530654227,0.98876286250461,4,22,"Nicotinate and nicotinamide metabolism","KEGG"
"9","path:ath00260",0.0750993953325294,0.964168203257459,10,94,"Glycine, serine and threonine metabolism","KEGG"
"10","path:ath00052",0.0765638865000026,0.969123500659941,7,61,"Galactose metabolism","KEGG"
"11","path:ath03410",0.0930972647227663,0.960686800989937,7,61,"Base excision repair","KEGG"
"12","path:ath00510",0.0952952790321463,0.959503178852291,7,62,"N-Glycan biosynthesis","KEGG"
"13","path:ath00270",0.101424362694483,0.941037946807207,15,161,"Cysteine and methionine metabolism","KEGG"
"14","path:ath00380",0.11797075042463,0.943787907895822,8,76,"Tryptophan metabolism","KEGG"
"15","path:ath03030",0.122818741830661,0.948364638937996,6,56,"DNA replication","KEGG"
"16","path:ath00562",0.129998409110871,0.933321063428417,9,99,"Inositol phosphate metabolism","KEGG"
"17","path:ath00590",0.132900006720744,0.964641500862888,3,19,"Arachidonic acid metabolism","KEGG"
"18","path:ath00601",0.135356351099696,0.995093614782335,1,2,"Glycosphingolipid biosynthesis - lacto and neolacto series","KEGG"
"19","path:ath03440",0.153625735602658,0.925984979961271,7,74,"Homologous recombination","KEGG"
"20","path:ath03020",0.161669028015954,0.933101555666747,5,44,"RNA polymerase","KEGG"
"21","path:ath00520",0.169193936197134,0.896961491849617,13,151,"Amino sugar and nucleotide sugar metabolism","KEGG"
"22","path:ath00561",0.174309700364597,0.908510303660256,8,88,"Glycerolipid metabolism","KEGG"
"23","path:ath00400",0.174769070118956,0.913122870848783,7,69,"Phenylalanine, tyrosine and tryptophan biosynthesis","KEGG"
"24","path:ath04070",0.178144714892603,0.90188202426268,9,105,"Phosphatidylinositol signaling system","KEGG"
"25","path:ath00960",0.189424378048112,0.926771414433716,4,35,"Tropane, piperidine and pyridine alkaloid biosynthesis","KEGG"
"26","path:ath00460",0.190477923132837,0.89788739603413,8,86,"Cyanoamino acid metabolism","KEGG"
"27","path:ath00600",0.193699996274184,0.924050110476261,4,39,"Sphingolipid metabolism","KEGG"
"28","path:ath03060",0.194651776641323,0.900258611269745,7,72,"Protein export","KEGG"
"29","path:ath00740",0.214665024116495,0.927339813248031,3,24,"Riboflavin metabolism","KEGG"
"30","path:ath01100",0.222966478148771,0.807552660731241,176,2621,"Metabolic pathways","KEGG"
"31","path:ath00630",0.226111739227632,0.864146655826556,10,118,"Glyoxylate and dicarboxylate metabolism","KEGG"
"32","path:ath00563",0.227447380917411,0.905141821736417,4,38,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","KEGG"
"33","path:ath00053",0.227483161624803,0.885138999635357,6,63,"Ascorbate and aldarate metabolism","KEGG"
"34","path:ath00100",0.228401981118191,0.904467443879348,4,39,"Steroid biosynthesis","KEGG"
"35","path:ath00770",0.237973978831463,0.898813025402846,4,39,"Pantothenate and CoA biosynthesis","KEGG"
"36","path:ath00340",0.25157769803015,0.907319738737525,3,27,"Histidine metabolism","KEGG"
"37","path:ath04933",0.259444253965568,0.90317232577219,3,26,"AGE-RAGE signaling pathway in diabetic complications","KEGG"
"38","path:ath00240",0.304514604842166,0.830558074936133,6,72,"Pyrimidine metabolism","KEGG"
"39","path:ath00062",0.314884288407903,0.869524993615184,3,29,"Fatty acid elongation","KEGG"
"40","path:ath00514",0.336639198631858,0.887401560031103,2,19,"Other types of O-glycan biosynthesis","KEGG"
"41","path:ath00970",0.340212338502758,0.814888227613469,5,64,"Aminoacyl-tRNA biosynthesis","KEGG"
"42","path:ath00051",0.345754301626177,0.799026847400892,6,74,"Fructose and mannose metabolism","KEGG"
"43","path:ath00430",0.353097108181032,0.87787705541244,2,19,"Taurine and hypotaurine metabolism","KEGG"
"44","path:ath00280",0.365861340715277,0.782844330946689,6,78,"Valine, leucine and isoleucine degradation","KEGG"
"45","path:ath00591",0.374759902943354,0.927825099078765,1,8,"Linoleic acid metabolism","KEGG"
"46","path:ath03022",0.385345269852747,0.77970538259494,5,66,"Basal transcription factors","KEGG"
"47","path:ath00603",0.408864593585056,0.912541687049574,1,8,"Glycosphingolipid biosynthesis - globo and isoglobo series","KEGG"
"48","path:ath01230",0.42028653313764,0.666535896742642,22,321,"Biosynthesis of amino acids","KEGG"
"49","path:ath00640",0.440144088602573,0.752294588402818,4,55,"Propanoate metabolism","KEGG"
"50","path:ath00072",0.444363938577424,0.893287768086514,1,9,"Synthesis and degradation of ketone bodies","KEGG"
"51","path:ath00350",0.445796887864841,0.747929663686913,4,52,"Tyrosine metabolism","KEGG"
"52","path:ath00903",0.447203725910964,0.89175098679769,1,9,"Limonene and pinene degradation","KEGG"
"53","path:ath00360",0.462935193833422,0.733119843298772,4,54,"Phenylalanine metabolism","KEGG"
"54","path:ath00945",0.477446778168419,0.874510110586903,1,9,"Stilbenoid, diarylheptanoid and gingerol biosynthesis","KEGG"
"55","path:ath04144",0.485182279655925,0.62926891985843,13,203,"Endocytosis","KEGG"
"56","path:ath00905",0.526137979034962,0.839348248521863,1,12,"Brassinosteroid biosynthesis","KEGG"
"57","path:ath00040",0.537727281976656,0.644684236350706,5,74,"Pentose and glucuronate interconversions","KEGG"
"58","path:ath00650",0.559908251175529,0.71913534508533,2,30,"Butanoate metabolism","KEGG"
