"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath01210",0.00021443736654915,0.999933146193876,18,90,"2-Oxocarboxylic acid metabolism","KEGG"
"2","path:ath00966",0.000348887986457606,0.999948126371139,8,25,"Glucosinolate biosynthesis","KEGG"
"3","path:ath04712",0.00337668291902985,0.999062919482082,10,48,"Circadian rhythm - plant","KEGG"
"4","path:ath00290",0.00627223257400704,0.998593104042679,7,29,"Valine, leucine and isoleucine biosynthesis","KEGG"
"5","path:ath03018",0.0100107536496664,0.995202122518532,20,142,"RNA degradation","KEGG"
"6","path:ath04136",0.0257458815331243,0.990000548962582,10,63,"Autophagy - other","KEGG"
"7","path:ath00220",0.0310208151167203,0.989109073795563,8,47,"Arginine biosynthesis","KEGG"
"8","path:ath00950",0.0408184214944607,0.989299518775865,5,24,"Isoquinoline alkaloid biosynthesis","KEGG"
"9","path:ath03020",0.044296003358182,0.984505146195375,7,44,"RNA polymerase","KEGG"
"10","path:ath03008",0.048127667700037,0.975728744500388,14,108,"Ribosome biogenesis in eukaryotes","KEGG"
"11","path:ath00350",0.0493149706222938,0.98086727332683,8,52,"Tyrosine metabolism","KEGG"
"12","path:ath00040",0.0594146213603751,0.973083418495871,10,74,"Pentose and glucuronate interconversions","KEGG"
"13","path:ath03440",0.0850855074683755,0.958801657754372,10,74,"Homologous recombination","KEGG"
"14","path:ath04120",0.0965038407009454,0.940668231284276,19,174,"Ubiquitin mediated proteolysis","KEGG"
"15","path:ath03410",0.10757562255008,0.950221136893404,8,61,"Base excision repair","KEGG"
"16","path:ath00051",0.116554114616846,0.942121331680213,9,74,"Fructose and mannose metabolism","KEGG"
"17","path:ath00520",0.129913175410123,0.920262963535786,16,151,"Amino sugar and nucleotide sugar metabolism","KEGG"
"18","path:ath00730",0.135739729345226,0.954448371347499,4,27,"Thiamine metabolism","KEGG"
"19","path:ath00960",0.138239846812336,0.946265284230045,5,35,"Tropane, piperidine and pyridine alkaloid biosynthesis","KEGG"
"20","path:ath00900",0.154983989962668,0.921460218479304,8,70,"Terpenoid backbone biosynthesis","KEGG"
"21","path:ath00660",0.158544034090382,0.970224218780188,2,9,"C5-Branched dibasic acid metabolism","KEGG"
"22","path:ath03450",0.173367332076603,0.948517912622271,3,17,"Non-homologous end-joining","KEGG"
"23","path:ath00010",0.180860467288769,0.884702508255989,15,145,"Glycolysis / Gluconeogenesis","KEGG"
"24","path:ath00100",0.198271242617536,0.912715622066972,5,39,"Steroid biosynthesis","KEGG"
"25","path:ath00906",0.200370144984064,0.921681129170026,4,29,"Carotenoid biosynthesis","KEGG"
"26","path:ath00260",0.202069731586412,0.882175969650255,10,94,"Glycine, serine and threonine metabolism","KEGG"
"27","path:ath00565",0.222752679258324,0.897954675144969,5,39,"Ether lipid metabolism","KEGG"
"28","path:ath00380",0.242047748700004,0.862422381145355,8,76,"Tryptophan metabolism","KEGG"
"29","path:ath01230",0.246226101705676,0.813554672692128,29,321,"Biosynthesis of amino acids","KEGG"
"30","path:ath00760",0.251654997992597,0.908478879153483,3,22,"Nicotinate and nicotinamide metabolism","KEGG"
"31","path:ath00780",0.261192796141641,0.902919217878017,3,23,"Biotin metabolism","KEGG"
"32","path:ath00592",0.266746320414354,0.868997702806414,5,44,"alpha-Linolenic acid metabolism","KEGG"
"33","path:ath03060",0.302343858554275,0.824139420282087,7,72,"Protein export","KEGG"
"34","path:ath00710",0.336350854666929,0.79010668400086,8,83,"Carbon fixation in photosynthetic organisms","KEGG"
"35","path:ath00563",0.348234395990504,0.826160462585596,4,38,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","KEGG"
"36","path:ath00785",0.351960895658299,0.939693422240083,1,6,"Lipoic acid metabolism","KEGG"
"37","path:ath00250",0.357723602678179,0.780822448016822,7,71,"Alanine, aspartate and glutamate metabolism","KEGG"
"38","path:ath00750",0.357932741724082,0.875908317046368,2,17,"Vitamin B6 metabolism","KEGG"
"39","path:ath00062",0.379710255509147,0.825999383413155,3,29,"Fatty acid elongation","KEGG"
"40","path:ath00196",0.391417213971743,0.853725786843204,2,20,"Photosynthesis - antenna proteins","KEGG"
"41","path:ath00190",0.403992295755486,0.709545437782077,12,146,"Oxidative phosphorylation","KEGG"
"42","path:ath00360",0.422822843545667,0.750150973683951,5,54,"Phenylalanine metabolism","KEGG"
"43","path:ath00790",0.42946708836165,0.762895792070523,4,42,"Folate biosynthesis","KEGG"
"44","path:ath03022",0.438550052107222,0.722845345156615,6,66,"Basal transcription factors","KEGG"
"45","path:ath00330",0.455871410572553,0.70739321988527,6,68,"Arginine and proline metabolism","KEGG"
"46","path:ath00514",0.461404007646653,0.805605448830368,2,19,"Other types of O-glycan biosynthesis","KEGG"
"47","path:ath04145",0.466232581158809,0.669482839375237,9,110,"Phagosome","KEGG"
"48","path:ath00591",0.496747889735964,0.864326779401509,1,8,"Linoleic acid metabolism","KEGG"
"49","path:ath03420",0.511513367360298,0.644304943853412,7,83,"Nucleotide excision repair","KEGG"
"50","path:ath03013",0.511644976576514,0.590528809465595,17,207,"RNA transport","KEGG"
"51","path:ath01212",0.513031599572113,0.642855197124945,7,83,"Fatty acid metabolism","KEGG"
"52","path:ath04146",0.514932199671504,0.616596417247912,10,122,"Peroxisome","KEGG"
"53","path:ath04141",0.519333048970965,0.575208817644802,20,255,"Protein processing in endoplasmic reticulum","KEGG"
"54","path:ath04130",0.537786069473362,0.665502829013749,4,52,"SNARE interactions in vesicular transport","KEGG"
"55","path:ath03015",0.543437691189876,0.565222387014365,15,184,"mRNA surveillance pathway","KEGG"
"56","path:ath04122",0.555338128171444,0.725006800315649,2,25,"Sulfur relay system","KEGG"
"57","path:ath00053",0.558417719447767,0.625386397798203,5,63,"Ascorbate and aldarate metabolism","KEGG"
"58","path:ath00052",0.562536301404816,0.62155773330685,5,61,"Galactose metabolism","KEGG"
"59","path:ath01110",0.567103443790243,0.479491345019694,100,1289,"Biosynthesis of secondary metabolites","KEGG"
"60","path:ath01200",0.572278258122614,0.50803756574703,28,361,"Carbon metabolism","KEGG"
"61","path:ath04144",0.573766039384485,0.531046359221208,16,203,"Endocytosis","KEGG"
"62","path:ath03050",0.590813956801037,0.576904251462342,6,79,"Proteasome","KEGG"
"63","path:ath04075",0.591094221801585,0.500187170201096,21,285,"Plant hormone signal transduction","KEGG"
"64","path:ath00630",0.597770041499602,0.539683592878239,9,118,"Glyoxylate and dicarboxylate metabolism","KEGG"
"65","path:ath00410",0.605277970858147,0.598487265986601,4,51,"beta-Alanine metabolism","KEGG"
"66","path:ath00480",0.611963235727669,0.524338531857306,9,128,"Glutathione metabolism","KEGG"
"67","path:ath00531",0.621914150924879,0.762957568382346,1,11,"Glycosaminoglycan degradation","KEGG"
"68","path:ath00970",0.622742379442998,0.559128533834556,5,64,"Aminoacyl-tRNA biosynthesis","KEGG"
"69","path:ath00061",0.627510589931139,0.574817499843972,4,52,"Fatty acid biosynthesis","KEGG"
"70","path:ath00400",0.636203755804329,0.54403777618352,5,69,"Phenylalanine, tyrosine and tryptophan biosynthesis","KEGG"
"71","path:ath00905",0.640343956974186,0.743976374082023,1,12,"Brassinosteroid biosynthesis","KEGG"
"72","path:ath00230",0.641324989929794,0.493083533001163,9,124,"Purine metabolism","KEGG"
"73","path:ath01040",0.647781252348609,0.632236895772286,2,27,"Biosynthesis of unsaturated fatty acids","KEGG"
"74","path:ath00910",0.649593220671902,0.550270542301697,4,55,"Nitrogen metabolism","KEGG"
"75","path:ath00440",0.657825874737665,0.725124647827201,1,13,"Phosphonate and phosphinate metabolism","KEGG"
"76","path:ath03040",0.661569899982043,0.422047832997753,23,308,"Spliceosome","KEGG"
"77","path:ath03430",0.668348316059975,0.559107490085211,3,43,"Mismatch repair","KEGG"
"78","path:ath00640",0.672377400769152,0.524665208529321,4,55,"Propanoate metabolism","KEGG"
"79","path:ath00670",0.69633260498044,0.575618671762979,2,30,"One carbon pool by folate","KEGG"
"80","path:ath00904",0.72165129750249,0.649441671364609,1,16,"Diterpenoid biosynthesis","KEGG"
"81","path:ath00030",0.723397360357578,0.443155684058548,5,77,"Pentose phosphate pathway","KEGG"
"82","path:ath00510",0.729977742877324,0.455140831077108,4,62,"N-Glycan biosynthesis","KEGG"
"83","path:ath00940",0.737002424176631,0.372190666541815,11,168,"Phenylpropanoid biosynthesis","KEGG"
"84","path:ath00500",0.738818014434969,0.36158464732962,13,182,"Starch and sucrose metabolism","KEGG"
"85","path:ath00071",0.743192909273693,0.438712754881555,4,61,"Fatty acid degradation","KEGG"
"86","path:ath00261",0.757520899909241,0.601297867143956,1,17,"Monobactam biosynthesis","KEGG"
"87","path:ath00020",0.758630497692086,0.399297865250978,5,78,"Citrate cycle (TCA cycle)","KEGG"
"88","path:ath00590",0.774504841360054,0.575436690156331,1,19,"Arachidonic acid metabolism","KEGG"
"89","path:ath00300",0.780761025032846,0.566947178681015,1,18,"Lysine biosynthesis","KEGG"
"90","path:ath00564",0.791809290813159,0.316839566450682,9,138,"Glycerophospholipid metabolism","KEGG"
