"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-2582",0.000101650257213867,0.999996057957151,5,8,"brassinosteroid biosynthesis II","BioCyc"
"2","ARA:PWY-4381",0.000320669900428391,0.9999711843854,6,14,"fatty acid biosynthesis initiation I","BioCyc"
"3","ARA:PWY-6544",0.000710364555085705,0.999944938309744,5,11,"superpathway of C28 brassinosteroid biosynthesis","BioCyc"
"4","ARA:PWY-699",0.000710364555085705,0.999944938309744,5,11,"brassinosteroid biosynthesis I","BioCyc"
"5","ARA:PWY-7388",0.00625575625269297,0.998596380943551,7,30,"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)","BioCyc"
"6","ARA:PWY-6612",0.00871162647334177,0.998979537741069,4,11,"superpathway of tetrahydrofolate biosynthesis","BioCyc"
"7","ARA:PWY-7208",0.00955498078581585,0.997357833700556,8,40,"superpathway of pyrimidine nucleobases salvage","BioCyc"
"8","ARA:PWY0A-6303",0.0170152431925823,0.997433750822098,4,13,"methyl indole-3-acetate interconversion","BioCyc"
"9","ARA:PWY-6823",0.0173503513869977,0.996488874023817,5,20,"molybdenum cofactor biosynthesis","BioCyc"
"10","ARA:PWY-7196",0.0245254425618708,0.99180543467755,8,47,"superpathway of pyrimidine ribonucleosides salvage","BioCyc"
"11","ARA:PWY-3742",0.0263370443494017,0.992834332174793,6,30,"tetrahydrofolate biosynthesis II","BioCyc"
"12","ARA:PWY-5921",0.0284285794680561,0.996542214864298,3,9,"glutaminyl-tRNAgln biosynthesis via transamidation","BioCyc"
"13","ARA:HISTSYN-PWY",0.0326075132725509,0.993693161066505,4,16,"L-histidine biosynthesis","BioCyc"
"14","ARA:PWY-5060",0.0356141726399417,0.997980938684715,2,4,"luteolin biosynthesis","BioCyc"
"15","ARA:PWY1F-823",0.0360996703702905,0.99793793045312,2,4,"leucopelargonidin and leucocyanidin biosynthesis","BioCyc"
"16","ARA:PWY-7183",0.0412063070329332,0.993860552887731,3,11,"pyrimidine nucleobases salvage I","BioCyc"
"17","ARA:PLPSAL-PWY",0.0478166528303464,0.996316158598983,2,5,"pyridoxal 5'-phosphate salvage I","BioCyc"
"18","ARA:PWY-6220",0.0505711885085231,0.995979067133993,2,5,"jasmonoyl-amino acid conjugates biosynthesis I","BioCyc"
"19","ARA:PWY-6233",0.0505711885085231,0.995979067133993,2,5,"jasmonoyl-amino acid conjugates biosynthesis II","BioCyc"
"20","ARA:PWY-6543",0.0541575171620261,0.995523731921583,2,5,"4-aminobenzoate biosynthesis","BioCyc"
"21","ARA:PWY-4321",0.055279891822095,0.990543895774405,3,12,"L-glutamate degradation IV","BioCyc"
"22","ARA:PWY-3101",0.0557321507519111,0.990611676769067,3,11,"flavonol biosynthesis","BioCyc"
"23","ARA:PWY-6446",0.0610821705268255,0.984993545996295,4,20,"benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)","BioCyc"
"24","ARA:PWY-7221",0.0620504296647029,0.984779568864745,4,19,"guanosine ribonucleotides de novo biosynthesis","BioCyc"
"25","ARA:PWY-7226",0.067671675501479,0.987413011850496,3,12,"guanosine deoxyribonucleotides de novo biosynthesis I","BioCyc"
"26","ARA:PWY-7227",0.067671675501479,0.987413011850496,3,12,"adenosine deoxyribonucleotides de novo biosynthesis","BioCyc"
"27","ARA:PWY-841",0.067671675501479,0.987413011850496,3,12,"superpathway of purine nucleotides de novo biosynthesis I","BioCyc"
"28","ARA:PWY-7176",0.070412204967902,0.978079691608502,5,29,"UTP and CTP de novo biosynthesis","BioCyc"
"29","ARA:PWY-1881",0.0788016155191426,1,1,1,"formate oxidation to CO2","BioCyc"
"30","ARA:PWY-6147",0.0796212102980538,0.991121388461171,2,6,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","BioCyc"
"31","ARA:PWY-5944",0.0818678873742422,1,1,1,"zeaxanthin biosynthesis","BioCyc"
"32","ARA:PWY-5049",0.0835750442656087,1,1,1,"rosmarinic acid biosynthesis II","BioCyc"
"33","ARA:PWY-2602",0.084595882275068,1,1,1,"brassinosteroid biosynthesis III","BioCyc"
"34","ARA:PWY-6502",0.084859850154609,1,1,1,"oxidized GTP and dGTP detoxification","BioCyc"
"35","ARA:PWY-7224",0.101251217177637,0.977028404577036,3,14,"purine deoxyribonucleosides salvage","BioCyc"
"36","ARA:PWY-5980",0.105293132394322,0.962738573263069,5,32,"xylogalacturonan biosynthesis","BioCyc"
"37","ARA:PWY-7187",0.109134236578542,0.966717584871365,4,23,"pyrimidine deoxyribonucleotides de novo biosynthesis II","BioCyc"
"38","ARA:ALANINE-DEG3-PWY",0.118532408942055,0.981831680604446,2,8,"L-alanine degradation III","BioCyc"
"39","ARA:ALANINE-SYN2-PWY",0.118532408942055,0.981831680604446,2,8,"L-alanine biosynthesis II","BioCyc"
"40","ARA:UDPNACETYLGALSYN-PWY",0.120056645819817,0.981456676324834,2,8,"UDP-N-acetyl-D-glucosamine biosynthesis II","BioCyc"
