"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0006412",3.8385621048429e-12,1,131,454,"translation","BP"
"2","GO:0009649",8.50781209995544e-06,0.999999117406165,11,19,"entrainment of circadian clock","BP"
"3","GO:0042254",1.20359998060973e-05,0.999995032316179,43,142,"ribosome biogenesis","BP"
"4","GO:0042753",6.55177146633429e-05,0.999992019580035,10,18,"positive regulation of circadian rhythm","BP"
"5","GO:0009734",7.20433080119194e-05,0.999964725196696,50,218,"auxin-activated signaling pathway","BP"
"6","GO:0042539",0.000148093569223109,0.999996638096367,5,6,"hypotonic salinity response","BP"
"7","GO:0034613",0.000312680432669667,0.999980162477916,6,9,"cellular protein localization","BP"
"8","GO:0006817",0.000751895594923485,0.999864177489998,9,23,"phosphate ion transport","BP"
"9","GO:0043069",0.000816306356373321,0.999835754773091,10,25,"negative regulation of programmed cell death","BP"
"10","GO:0042128",0.00130260545409375,0.99961093976539,14,45,"nitrate assimilation","BP"
"11","GO:0010017",0.00144684177310622,0.99959312419909,13,38,"red or far-red light signaling pathway","BP"
"12","GO:0015780",0.00175404823964111,0.999741458730248,7,15,"nucleotide-sugar transmembrane transport","BP"
"13","GO:1901183",0.00200054714801895,1,3,3,"positive regulation of camalexin biosynthetic process","BP"
"14","GO:0009738",0.00226548785359063,0.998611690744965,59,303,"abscisic acid-activated signaling pathway","BP"
"15","GO:0040008",0.00237284287643935,0.998908853194256,26,108,"regulation of growth","BP"
"16","GO:0006491",0.00324462678766949,0.999530092904497,6,14,"N-glycan processing","BP"
"17","GO:0051973",0.00355865155140141,0.999792681222288,4,6,"positive regulation of telomerase activity","BP"
"18","GO:0006487",0.00381395817932875,0.998692120793543,14,49,"protein N-linked glycosylation","BP"
"19","GO:0002084",0.00384739279793946,1,3,3,"protein depalmitoylation","BP"
"20","GO:0018171",0.0039987831179258,1,3,3,"peptidyl-cysteine oxidation","BP"
"21","GO:0031640",0.00402015799012407,0.998821877030179,12,31,"killing of cells of other organism","BP"
"22","GO:0055081",0.0043295644785654,0.999876018566064,3,4,"anion homeostasis","BP"
"23","GO:0009743",0.00536072802802983,0.999577732600928,4,7,"response to carbohydrate","BP"
