"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0009534",3.95382377403386e-25,1,81,238,"chloroplast thylakoid","CC"
"2","GO:0009535",1.34453423763135e-24,1,113,420,"chloroplast thylakoid membrane","CC"
"3","GO:0009579",7.75310999738641e-24,1,79,237,"thylakoid","CC"
"4","GO:0009941",1.44021739747133e-22,1,149,680,"chloroplast envelope","CC"
"5","GO:0009507",7.79610391826199e-19,1,758,6019,"chloroplast","CC"
"6","GO:0010287",4.37475738772542e-17,1,37,81,"plastoglobule","CC"
"7","GO:0009570",4.80644837813582e-15,1,151,831,"chloroplast stroma","CC"
"8","GO:0009523",2.22536744064174e-12,1,19,31,"photosystem II","CC"
"9","GO:0009538",7.32705266311825e-10,0.999999999992936,10,11,"photosystem I reaction center","CC"
"10","GO:0005829",7.08014996792919e-09,1,350,2793,"cytosol","CC"
"11","GO:0009522",3.75755570628752e-08,0.999999996563881,14,27,"photosystem I","CC"
"12","GO:0005730",1.78263216865603e-07,1,88,535,"nucleolus","CC"
"13","GO:0030095",9.496541209843e-07,0.999999949949555,9,14,"chloroplast photosystem II","CC"
"14","GO:0009536",8.97208527668698e-06,0.999995505145904,67,408,"plastid","CC"
"15","GO:0031977",1.74863263551442e-05,0.999995944685406,17,57,"thylakoid lumen","CC"
"16","GO:0009654",2.67058068690041e-05,0.999997818583521,8,15,"photosystem II oxygen evolving complex","CC"
"17","GO:0000312",2.7007403422236e-05,0.999997790286493,8,15,"plastid small ribosomal subunit","CC"
"18","GO:0005618",4.54857011728526e-05,0.999973586869964,83,559,"cell wall","CC"
"19","GO:0030076",0.000139391069423135,0.999983796536314,8,18,"light-harvesting complex","CC"
"20","GO:0010319",0.00013995682277124,0.999968905121084,13,43,"stromule","CC"
"21","GO:0009543",0.00014118591261031,0.999954628080508,20,85,"chloroplast thylakoid lumen","CC"
"22","GO:0048046",0.000155498529336832,0.99990878409665,73,496,"apoplast","CC"
"23","GO:0005643",0.00016329157896516,0.999959878112692,14,52,"nuclear pore","CC"
"24","GO:1990904",0.000246280153931033,0.999909076401793,23,109,"ribonucleoprotein complex","CC"
"25","GO:0016607",0.000246818935410974,0.999890975318171,32,176,"nuclear speck","CC"
"26","GO:0071013",0.000257629056972726,0.999933691674231,14,52,"catalytic step 2 spliceosome","CC"
"27","GO:0043614",0.000877818957745685,1,3,3,"multi-eIF complex","CC"
"28","GO:0015935",0.000936642034054369,0.999815368711061,9,28,"small ribosomal subunit","CC"
"29","GO:0009706",0.00099629429419297,0.999618268547943,20,99,"chloroplast inner membrane","CC"
"30","GO:0005737",0.00118947897671922,0.998992705291302,599,5621,"cytoplasm","CC"
"31","GO:0005681",0.00123905994523879,0.999435354573461,27,152,"spliceosomal complex","CC"
"32","GO:0009533",0.00139897257258683,0.999878968005164,5,10,"chloroplast stromal thylakoid","CC"
"33","GO:0005654",0.0015199088736363,0.999296221237148,27,155,"nucleoplasm","CC"
"34","GO:0009508",0.0026642353148097,0.999520602372334,7,21,"plastid chromosome","CC"
"35","GO:0019773",0.0027771560846103,0.999590447240584,6,16,"proteasome core complex, alpha-subunit complex","CC"
"36","GO:0010007",0.00323205352995259,0.999916967355713,3,4,"magnesium chelatase complex","CC"
"37","GO:0005839",0.00328550158388664,0.999190181973793,9,33,"proteasome core complex","CC"
"38","GO:0005853",0.00337018671159145,0.999912071866394,3,4,"eukaryotic translation elongation factor 1 complex","CC"
"39","GO:0009295",0.00378035244283531,0.99895041245705,10,40,"nucleoid","CC"
"40","GO:0042651",0.00470649021134929,0.998889613879578,8,29,"thylakoid membrane","CC"
"41","GO:0005874",0.00473390220659874,0.997418432830723,33,219,"microtubule","CC"
"42","GO:0008180",0.00539321172024256,0.999051799059023,6,18,"COP9 signalosome","CC"
"43","GO:0000502",0.00551711034105687,0.997633870459821,18,98,"proteasome complex","CC"
"44","GO:0034399",0.00598173432288517,0.998909631896592,6,19,"nuclear periphery","CC"
"45","GO:0045334",0.00710345056045856,0.999644447658044,3,5,"clathrin-coated endocytic vesicle","CC"
"46","GO:0048471",0.00742493559598647,0.998072051028909,8,32,"perinuclear region of cytoplasm","CC"
"47","GO:0000974",0.00772765478760564,0.998820938025904,5,14,"Prp19 complex","CC"
"48","GO:0009512",0.0078662046840187,0.999590871755322,3,5,"cytochrome b6f complex","CC"
"49","GO:0033290",0.00936807513248915,1,2,2,"eukaryotic 48S preinitiation complex","CC"
"50","GO:0009783",0.00940820704867964,1,2,2,"photosystem II antenna complex","CC"
"51","GO:0009515",0.00943336937772498,1,2,2,"granal stacked thylakoid","CC"
"52","GO:0005622",0.0100880799859518,0.994081080801699,35,244,"intracellular","CC"
"53","GO:0030688",0.0112738759033837,0.998614908879635,4,10,"preribosome, small subunit precursor","CC"
"54","GO:0009532",0.0120351551784897,0.996951118554221,7,27,"plastid stroma","CC"
"55","GO:0022626",0.0153227073258298,0.9908021922521,34,240,"cytosolic ribosome","CC"
"56","GO:0032040",0.0182292625077362,0.993832886736139,9,43,"small-subunit processome","CC"
"57","GO:0005623",0.0183412292806521,0.991436539916776,16,96,"cell","CC"
