"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0006874",0.000875471043952799,0.999988704999709,2,49,"cellular calcium ion homeostasis","BP"
"2","GO:0010930",0.00186035294927356,0.999999166041341,1,2,"negative regulation of auxin mediated signaling pathway","BP"
"3","GO:1902476",0.00335751796625383,0.999995923444342,1,4,"chloride transmembrane transport","BP"
"4","GO:0015689",0.00645297229161093,0.999982771515685,1,7,"molybdate ion transport","BP"
"5","GO:0009725",0.0103010969353286,0.99995337359357,1,11,"response to hormone","BP"
"6","GO:0009299",0.0114638797189768,0.999941747960695,1,12,"mRNA transcription","BP"
"7","GO:0016310",0.0139767740980726,0.998438601726281,3,557,"phosphorylation","BP"
"8","GO:0009267",0.0145373892102286,0.999904095453829,1,16,"cellular response to starvation","BP"
"9","GO:0071333",0.0149065759487738,0.999899148667383,1,16,"cellular response to glucose stimulus","BP"
"10","GO:0006468",0.0172875160695275,0.997033674100887,4,1118,"protein phosphorylation","BP"
"11","GO:0009649",0.0203968996984438,0.999807374698704,1,22,"entrainment of circadian clock","BP"
"12","GO:0006817",0.0205673043521954,0.99980372772345,1,23,"phosphate ion transport","BP"
"13","GO:0009416",0.0246180151031216,0.9981818221127,2,261,"response to light stimulus","BP"
"14","GO:0071456",0.0292648434461233,0.999596728540425,1,31,"cellular response to hypoxia","BP"
"15","GO:0050832",0.0293264278579527,0.997620519194583,2,284,"defense response to fungus","BP"
"16","GO:0031640",0.0303859052215425,0.999566052177117,1,29,"killing of cells of other organism","BP"
"17","GO:0009814",0.0343749383791838,0.999439581843026,1,37,"defense response, incompatible interaction","BP"
"18","GO:0006814",0.0372386306550334,0.999339483275058,1,42,"sodium ion transport","BP"
"19","GO:0009116",0.0395669686613927,0.999252856356845,1,44,"nucleoside metabolic process","BP"
"20","GO:0071215",0.0408297231949103,0.999203635339584,1,45,"cellular response to abscisic acid stimulus","BP"
"21","GO:0042128",0.0435430593812588,0.999091722427329,1,49,"nitrate assimilation","BP"
"22","GO:0006811",0.0446375938117009,0.999044714371603,1,50,"ion transport","BP"
"23","GO:0006857",0.0602341890304868,0.998241326822289,1,68,"oligopeptide transport","BP"
"24","GO:0007165",0.062266709721268,0.992366183381638,2,449,"signal transduction","BP"
"25","GO:0009740",0.0623124054426914,0.998116855144797,1,67,"gibberellic acid mediated signaling pathway","BP"
"26","GO:0042742",0.0625061850349739,0.992320685424138,2,444,"defense response to bacterium","BP"
"27","GO:0042538",0.0639277751801217,0.998015520348676,1,70,"hyperosmotic salinity response","BP"
"28","GO:0016036",0.0905676283776187,0.995958701815622,1,105,"cellular response to phosphate starvation","BP"
"29","GO:0009742",0.0907769581240051,0.995940416345755,1,103,"brassinosteroid mediated signaling pathway","BP"
"30","GO:0042744",0.0924412411851451,0.99578797955069,1,102,"hydrogen peroxide catabolic process","BP"
"31","GO:0040008",0.105433117967527,0.994486274347274,1,120,"regulation of growth","BP"
"32","GO:0016042",0.120372712068214,0.9927644037749,1,139,"lipid catabolic process","BP"
"33","GO:0006629",0.130028313975922,0.991521667548352,1,150,"lipid metabolic process","BP"
"34","GO:0009826",0.131484632944823,0.991324075167248,1,155,"unidimensional cell growth","BP"
"35","GO:0016567",0.136738474041771,0.973649028673559,2,698,"protein ubiquitination","BP"
"36","GO:0009723",0.155613906306392,0.987723137255275,1,181,"response to ethylene","BP"
"37","GO:0009753",0.177535326848029,0.983871695439324,1,208,"response to jasmonic acid","BP"
"38","GO:0009751",0.179885664127126,0.983426059747688,1,209,"response to salicylic acid","BP"
"39","GO:0009734",0.191892465571154,0.981041257775556,1,231,"auxin-activated signaling pathway","BP"
"40","GO:0009735",0.214783503918255,0.976018044857133,1,257,"response to cytokinin","BP"
"41","GO:0009611",0.218253538497662,0.9751987966607,1,266,"response to wounding","BP"
"42","GO:0015031",0.24836136115715,0.967466571582016,1,308,"protein transport","BP"
"43","GO:0006355",0.264240178428094,0.899956753330539,3,1919,"regulation of transcription, DNA-templated","BP"
"44","GO:0005975",0.286916407300413,0.95584196770754,1,368,"carbohydrate metabolic process","BP"
"45","GO:0006979",0.302322014314044,0.950638698436142,1,379,"response to oxidative stress","BP"
"46","GO:0006952",0.50863772898626,0.845307533035749,1,761,"defense response","BP"
"47","GO:0055114",0.743477693746564,0.614643272656584,1,1421,"oxidation-reduction process","BP"
"48","GO:0008150",0.969335543464381,0.106903370974905,2,5127,"biological_process","BP"
"49","GO:0009098",0.999999999999997,0.982448316709985,0,19,"leucine biosynthetic process","BP"
"50","GO:0009555",0.999999999999997,0.786097341564147,0,268,"pollen development","BP"
"51","GO:0008654",0.999999999999998,0.955312315238277,0,50,"phospholipid biosynthetic process","BP"
"52","GO:0009733",1,0.731636237313931,0,334,"response to auxin","BP"
"53","GO:0000002",1,0.997327092038539,0,3,"mitochondrial genome maintenance","BP"
"54","GO:0000003",1,0.988578384763905,0,14,"reproduction","BP"
"55","GO:0000012",1,0.997326734726941,0,3,"single strand break repair","BP"
"56","GO:0000019",1,0.999106435014325,0,1,"regulation of mitotic recombination","BP"
"57","GO:0000023",1,0.998272162064628,0,2,"maltose metabolic process","BP"
"58","GO:0000024",1,0.999078903857873,0,1,"maltose biosynthetic process","BP"
"59","GO:0000025",1,0.998276115284239,0,2,"maltose catabolic process","BP"
"60","GO:0000027",1,0.951656396503721,0,51,"ribosomal large subunit assembly","BP"
"61","GO:0000028",1,0.9625222241434,0,39,"ribosomal small subunit assembly","BP"
"62","GO:0000032",1,0.997209883316297,0,3,"cell wall mannoprotein biosynthetic process","BP"
"63","GO:0000038",1,0.986215294540011,0,15,"very long-chain fatty acid metabolic process","BP"
"64","GO:0000041",1,0.997244615211901,0,3,"transition metal ion transport","BP"
"65","GO:0000045",1,0.970827188104968,0,33,"autophagosome assembly","BP"
"66","GO:0000050",1,0.998158461016765,0,2,"urea cycle","BP"
"67","GO:0000053",1,0.99909370967062,0,1,"argininosuccinate metabolic process","BP"
"68","GO:0000054",1,0.997274323663196,0,3,"ribosomal subunit export from nucleus","BP"
"69","GO:0000055",1,0.995099730375611,0,6,"ribosomal large subunit export from nucleus","BP"
"70","GO:0000056",1,0.996003907577019,0,5,"ribosomal small subunit export from nucleus","BP"
"71","GO:0000070",1,0.990447712004558,0,11,"mitotic sister chromatid segregation","BP"
"72","GO:0000076",1,0.997269169296572,0,3,"DNA replication checkpoint","BP"
"73","GO:0000077",1,0.995108959136895,0,6,"DNA damage checkpoint","BP"
"74","GO:0000079",1,0.95088801808971,0,54,"regulation of cyclin-dependent protein serine/threonine kinase activity","BP"
"75","GO:0000080",1,0.998195600801431,0,2,"mitotic G1 phase","BP"
"76","GO:0000082",1,0.995593206294299,0,5,"G1/S transition of mitotic cell cycle","BP"
"77","GO:0000084",1,0.998195600801431,0,2,"mitotic S phase","BP"
"78","GO:0000085",1,0.998195600801431,0,2,"mitotic G2 phase","BP"
"79","GO:0000086",1,0.995697878015615,0,5,"G2/M transition of mitotic cell cycle","BP"
"80","GO:0000087",1,0.999075479644751,0,1,"mitotic M phase","BP"
"81","GO:0000088",1,0.997275496168487,0,3,"mitotic prophase","BP"
"82","GO:0000103",1,0.98328863308314,0,18,"sulfate assimilation","BP"
"83","GO:0000105",1,0.984437320141938,0,17,"histidine biosynthetic process","BP"
"84","GO:0000122",1,0.960374023186561,0,45,"negative regulation of transcription by RNA polymerase II","BP"
"85","GO:0000132",1,0.992748184421926,0,8,"establishment of mitotic spindle orientation","BP"
"86","GO:0000154",1,0.997087303555443,0,3,"rRNA modification","BP"
"87","GO:0000160",1,0.95589972884199,0,49,"phosphorelay signal transduction system","BP"
"88","GO:0000162",1,0.976237439721636,0,26,"tryptophan biosynthetic process","BP"
"89","GO:0000165",1,0.982634336229392,0,19,"MAPK cascade","BP"
"90","GO:0000183",1,0.999094313049181,0,1,"chromatin silencing at rDNA","BP"
"91","GO:0000184",1,0.972858971730698,0,31,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP"
"92","GO:0000186",1,0.997290436665163,0,3,"activation of MAPKK activity","BP"
"93","GO:0000187",1,0.987040247378904,0,14,"activation of MAPK activity","BP"
"94","GO:0000188",1,0.999095175692215,0,1,"inactivation of MAPK activity","BP"
"95","GO:0000209",1,0.950457131398353,0,56,"protein polyubiquitination","BP"
"96","GO:0000212",1,0.996371480685751,0,4,"meiotic spindle organization","BP"
"97","GO:0000226",1,0.945397193703955,0,61,"microtubule cytoskeleton organization","BP"
"98","GO:0000244",1,0.993264379493568,0,8,"spliceosomal tri-snRNP complex assembly","BP"
"99","GO:0000245",1,0.984553601241235,0,17,"spliceosomal complex assembly","BP"
"100","GO:0000256",1,0.996377707358491,0,4,"allantoin catabolic process","BP"
"101","GO:0000266",1,0.98082127502664,0,22,"mitochondrial fission","BP"
"102","GO:0000271",1,0.982977559927011,0,19,"polysaccharide biosynthetic process","BP"
"103","GO:0000272",1,0.983195057294659,0,18,"polysaccharide catabolic process","BP"
"104","GO:0000278",1,0.912672092263224,0,100,"mitotic cell cycle","BP"
"105","GO:0000280",1,0.995399332474522,0,5,"nuclear division","BP"
"106","GO:0000281",1,0.996306294266302,0,5,"mitotic cytokinesis","BP"
"107","GO:0000288",1,0.996365105611042,0,4,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","BP"
"108","GO:0000289",1,0.997089622564959,0,3,"nuclear-transcribed mRNA poly(A) tail shortening","BP"
"109","GO:0000290",1,0.987962811574099,0,13,"deadenylation-dependent decapping of nuclear-transcribed mRNA","BP"
"110","GO:0000291",1,0.998266690087741,0,2,"nuclear-transcribed mRNA catabolic process, exonucleolytic","BP"
"111","GO:0000292",1,0.998469262010289,0,2,"RNA fragment catabolic process","BP"
"112","GO:0000301",1,0.997401215428158,0,3,"retrograde transport, vesicle recycling within Golgi","BP"
"113","GO:0000302",1,0.947677322209037,0,56,"response to reactive oxygen species","BP"
"114","GO:0000303",1,0.989121069722598,0,12,"response to superoxide","BP"
"115","GO:0000304",1,0.990601740080258,0,10,"response to singlet oxygen","BP"
"116","GO:0000338",1,0.988130486509722,0,13,"protein deneddylation","BP"
"117","GO:0000349",1,0.99555732896376,0,5,"generation of catalytic spliceosome for first transesterification step","BP"
"118","GO:0000350",1,0.998110350911331,0,2,"generation of catalytic spliceosome for second transesterification step","BP"
"119","GO:0000354",1,0.999073825214837,0,1,"cis assembly of pre-catalytic spliceosome","BP"
"120","GO:0000372",1,0.999115478708382,0,1,"Group I intron splicing","BP"
"121","GO:0000373",1,0.976045002227221,0,26,"Group II intron splicing","BP"
"122","GO:0000374",1,0.999093812447296,0,1,"Group III intron splicing","BP"
"123","GO:0000379",1,0.997038647322499,0,3,"tRNA-type intron splice site recognition and cleavage","BP"
"124","GO:0000380",1,0.986404179830135,0,15,"alternative mRNA splicing, via spliceosome","BP"
"125","GO:0000381",1,0.934649049537253,0,73,"regulation of alternative mRNA splicing, via spliceosome","BP"
