"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-1081",0.0237686946955078,0.999860165831204,1,46,"homogalacturonan degradation","BioCyc"
"2","ARA:PWY-6443",0.0274444361585541,0.999812742242421,1,52,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)","BioCyc"
"3","ARA:ALACAT2-PWY",1,0.993193324163245,0,13,"L-alanine degradation II (to D-lactate)","BioCyc"
"4","ARA:ALANINE-DEG3-PWY",1,0.995778933329186,0,8,"L-alanine degradation III","BioCyc"
"5","ARA:ALANINE-SYN2-PWY",1,0.995778933329186,0,8,"L-alanine biosynthesis II","BioCyc"
"6","ARA:ARG-PRO-PWY",1,0.997904548278911,0,4,"L-arginine degradation VI (arginase 2 pathway)","BioCyc"
"7","ARA:ARGASEDEG-PWY",1,0.998462285238342,0,3,"L-arginine degradation I (arginase pathway)","BioCyc"
"8","ARA:ARGDEG-V-PWY",1,0.998471103392265,0,3,"L-arginine degradation X (arginine monooxygenase pathway)","BioCyc"
"9","ARA:ARGININE-SYN4-PWY",1,0.99591278792246,0,8,"L-ornithine biosynthesis II","BioCyc"
"10","ARA:ARGSPECAT-PWY",1,0.994192193122158,0,11,"spermine biosynthesis","BioCyc"
"11","ARA:ARGSYN-PWY",1,0.992178206653066,0,15,"L-arginine biosynthesis I (via L-ornithine)","BioCyc"
"12","ARA:ARGSYNBSUB-PWY",1,0.992693748684817,0,14,"L-arginine biosynthesis II (acetyl cycle)","BioCyc"
"13","ARA:ASPARAGINE-BIOSYNTHESIS",1,0.99643323156529,0,7,"L-asparagine biosynthesis I","BioCyc"
"14","ARA:ASPARAGINE-DEG1-PWY",1,0.997340608709575,0,5,"L-asparagine degradation I","BioCyc"
"15","ARA:ASPARAGINESYN-PWY",1,0.99643323156529,0,7,"L-asparagine biosynthesis II","BioCyc"
"16","ARA:ASPARTATE-DEG1-PWY",1,0.991862872573282,0,16,"L-aspartate degradation I","BioCyc"
"17","ARA:ASPARTATESYN-PWY",1,0.991862872573282,0,16,"L-aspartate biosynthesis","BioCyc"
"18","ARA:ASPASN-ARA-PWY",1,0.985666866372611,0,28,"superpathway of aspartate and asparagine biosynthesis","BioCyc"
"19","ARA:ASPSYNII-PWY",1,0.994798030993045,0,10,"cyanide detoxification I","BioCyc"
"20","ARA:BRANCHED-CHAIN-AA-SYN-PWY",1,0.98101192876073,0,37,"superpathway of branched chain amino acid biosynthesis","BioCyc"
"21","ARA:BSUBPOLYAMSYN-PWY",1,0.99367573365164,0,12,"spermidine biosynthesis I","BioCyc"
"22","ARA:CALVIN-PWY",1,0.977328635468391,0,43,"Calvin-Benson-Bassham cycle","BioCyc"
"23","ARA:CAMALEXIN-SYN",1,0.983260050104089,0,32,"camalexin biosynthesis","BioCyc"
"24","ARA:CHLOROPHYLL-SYN",1,0.988469880226737,0,22,"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)","BioCyc"
"25","ARA:CITRULBIO-PWY",1,0.980845188117364,0,38,"L-citrulline biosynthesis","BioCyc"
"26","ARA:CITRULLINE-DEG-PWY",1,0.999475704600493,0,1,"L-citrulline degradation","BioCyc"
"27","ARA:COA-PWY",1,0.995679105267559,0,8,"coenzyme A biosynthesis I","BioCyc"
"28","ARA:COMPLETE-ARO-ARA-PWY",1,0.979869743365833,0,39,"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis","BioCyc"
"29","ARA:CYANCAT-PWY",1,0.998397026224616,0,3,"cyanate degradation","BioCyc"
"30","ARA:CYSTSYN-PWY",1,0.987961757078741,0,23,"L-cysteine biosynthesis I","BioCyc"
"31","ARA:DETOX1-PWY",1,0.990108327043207,0,19,"superoxide radicals degradation","BioCyc"
"32","ARA:DETOX1-PWY-1",1,0.986309023381874,0,26,"reactive oxygen species degradation","BioCyc"
"33","ARA:ETHYL-PWY",1,0.981835961869816,0,35,"ethylene biosynthesis I (plants)","BioCyc"
"34","ARA:ETOH-ACETYLCOA-ANA-PWY",1,0.992796382868966,0,14,"ethanol degradation I","BioCyc"
"35","ARA:FASYN-ELONG-PWY",1,0.992494330525662,0,14,"fatty acid elongation -- saturated","BioCyc"
"36","ARA:GLNSYN-PWY",1,0.994873268323074,0,10,"L-glutamine biosynthesis I","BioCyc"
"37","ARA:GLUCONEO-PWY",1,0.968762090489113,0,61,"gluconeogenesis I","BioCyc"
"38","ARA:GLUCOSE1PMETAB-PWY",1,0.990417718128187,0,19,"glucose and glucose-1-phosphate degradation","BioCyc"
"39","ARA:GLUGLNSYN-PWY",1,0.998870883945398,0,3,"L-glutamate biosynthesis IV","BioCyc"
"40","ARA:GLUT-REDOX-PWY",1,0.998024810263401,0,4,"glutathione-glutaredoxin redox reactions","BioCyc"
"41","ARA:GLUTAMATE-DEG1-PWY",1,0.997408912914791,0,5,"L-glutamate degradation I","BioCyc"
"42","ARA:GLUTAMATE-SYN2-PWY",1,0.997408912914791,0,5,"L-glutamate biosynthesis II","BioCyc"
"43","ARA:GLUTAMINDEG-PWY",1,0.984891438871273,0,30,"L-glutamine degradation I","BioCyc"
"44","ARA:GLUTATHIONESYN-PWY",1,0.998007786231093,0,4,"glutathione biosynthesis","BioCyc"
"45","ARA:GLUTORN-PWY",1,0.99473551643966,0,10,"L-ornithine biosynthesis I","BioCyc"
"46","ARA:GLUTSYNIII-PWY",1,0.995995139184613,0,8,"L-glutamate biosynthesis III","BioCyc"
"47","ARA:GLYCLEAV-PWY",1,0.990648645844766,0,18,"glycine cleavage","BioCyc"
"48","ARA:GLYCOLYSIS",1,0.972341842613745,0,54,"glycolysis I (from glucose 6-phosphate)","BioCyc"
"49","ARA:GLYOXDEG-PWY",1,0.999008078942516,0,2,"glycolate and glyoxylate degradation II","BioCyc"
"50","ARA:GLYOXYLATE-BYPASS",1,0.989802040156516,0,20,"glyoxylate cycle","BioCyc"
"51","ARA:GLYSYN-ALA-PWY",1,0.995906551816877,0,8,"glycine biosynthesis III","BioCyc"
"52","ARA:GLYSYN-PWY",1,0.99434474439946,0,11,"glycine biosynthesis I","BioCyc"
"53","ARA:GLYSYN2-PWY",1,0.99128227946597,0,17,"glycine biosynthesis","BioCyc"
"54","ARA:HEME-BIOSYNTHESIS-II",1,0.992780874522793,0,14,"heme biosynthesis I (aerobic)","BioCyc"
"55","ARA:HEXPPSYN-PWY",1,0.99844189525063,0,3,"hexaprenyl diphosphate biosynthesis","BioCyc"
"56","ARA:HISTSYN-PWY",1,0.991224030035816,0,17,"L-histidine biosynthesis","BioCyc"
"57","ARA:HOMOCYSDEGR-PWY",1,0.999483490141338,0,1,"L-cysteine biosynthesis III (from L-homocysteine)","BioCyc"
"58","ARA:HOMOSER-THRESYN-PWY",1,0.99839756881112,0,3,"L-threonine biosynthesis","BioCyc"
"59","ARA:HOMOSERSYN-PWY",1,0.994993830625287,0,10,"L-homoserine biosynthesis","BioCyc"
"60","ARA:ILE-VAL-PWY",1,0.990883562525185,0,18,"superpathway of isoleucine and valine biosynthesis","BioCyc"
"61","ARA:ILEUDEG-PWY",1,0.990184727141715,0,19,"L-isoleucine degradation I","BioCyc"
"62","ARA:ILEUSYN-PWY",1,0.994412228198138,0,11,"L-isoleucine biosynthesis I (from threonine)","BioCyc"
"63","ARA:KDOSYN-PWY",1,0.999488526723452,0,1,"Kdo transfer to lipid IVA I","BioCyc"
"64","ARA:LCYSDEG-PWY",1,0.999469262176333,0,1,"L-cysteine degradation II","BioCyc"
"65","ARA:LEU-DEG2-PWY",1,0.984088581714526,0,31,"L-leucine degradation I","BioCyc"
"66","ARA:LEUSYN-PWY",1,0.986046070320204,0,27,"L-leucine biosynthesis","BioCyc"
"67","ARA:LIPAS-PWY",1,0.948298859214762,0,101,"triacylglycerol degradation","BioCyc"
"68","ARA:LIPASYN-PWY",1,0.962072623229132,0,75,"phospholipases","BioCyc"
"69","ARA:LYSINE-DEG2-PWY",1,0.993503570870591,0,13,"lysine degradation II","BioCyc"
"70","ARA:MALATE-ASPARTATE-SHUTTLE-PWY",1,0.98770624710302,0,24,"L-aspartate degradation II","BioCyc"
"71","ARA:MANNCAT-PWY",1,0.998433509918884,0,3,"D-mannose degradation","BioCyc"
"72","ARA:MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS",1,0.985945950178445,0,27,"protein N-glycosylation (eukaryotic, high mannose)","BioCyc"
"73","ARA:METHIONINE-DEG1-PWY",1,0.994768148678296,0,10,"L-methionine degradation I (to L-homocysteine)","BioCyc"
"74","ARA:NAGLIPASYN-PWY",1,0.99476256689963,0,10,"lipid IVA biosynthesis","BioCyc"
"75","ARA:NONMEVIPP-PWY",1,0.991280530452025,0,17,"methylerythritol phosphate pathway I","BioCyc"
"76","ARA:NONOXIPENT-PWY",1,0.990509143747425,0,18,"pentose phosphate pathway (non-oxidative branch)","BioCyc"
"77","ARA:OXIDATIVEPENT-PWY",1,0.990616420154147,0,18,"pentose phosphate pathway (oxidative branch) I","BioCyc"
"78","ARA:P401-PWY",1,0.995307369320896,0,9,"cyanide degradation","BioCyc"
"79","ARA:PANTO-PWY",1,0.996478054973655,0,7,"phosphopantothenate biosynthesis I","BioCyc"
"80","ARA:PENTOSE-P-PWY",1,0.981170304497199,0,36,"pentose phosphate pathway","BioCyc"
"81","ARA:PHOSLIPSYN2-PWY",1,0.996435303633807,0,7,"superpathway of phospholipid biosynthesis II (plants)","BioCyc"
"82","ARA:PHOTOALL-PWY",1,0.95197479003934,0,90,"oxygenic photosynthesis","BioCyc"
"83","ARA:PLPSAL-PWY",1,0.99792402798561,0,4,"pyridoxal 5'-phosphate salvage I","BioCyc"
"84","ARA:POLYAMINSYN3-PWY",1,0.997945374180489,0,4,"superpathway of polyamine biosynthesis II","BioCyc"
"85","ARA:PROSYN-PWY",1,0.997947946645283,0,4,"L-proline biosynthesis I","BioCyc"
"86","ARA:PROUT-PWY",1,0.997963322111531,0,4,"L-proline degradation","BioCyc"
"87","ARA:PWY-1001",1,0.987678873970281,0,25,"cellulose biosynthesis","BioCyc"
"88","ARA:PWY-101",1,0.974351846231626,0,47,"photosynthesis light reactions","BioCyc"
"89","ARA:PWY-102",1,0.995310488155823,0,9,"gibberellin inactivation I (2&beta;-hydroxylation)","BioCyc"
"90","ARA:PWY-1042",1,0.974399914101745,0,50,"glycolysis IV (plant cytosol)","BioCyc"
"91","ARA:PWY-1061",1,0.983445032534736,0,32,"homogalacturonan biosynthesis","BioCyc"
"92","ARA:PWY-112",1,0.996926916979975,0,6,"lupeol biosynthesis","BioCyc"
"93","ARA:PWY-1121",1,0.970107039926007,0,58,"suberin monomers biosynthesis","BioCyc"
"94","ARA:PWY-116",1,0.996875725311351,0,6,"coniferin metabolism","BioCyc"
"95","ARA:PWY-1186",1,0.995898748420815,0,8,"L-homomethionine biosynthesis","BioCyc"
"96","ARA:PWY-1187",1,0.980309631679588,0,37,"glucosinolate biosynthesis from homomethionine","BioCyc"
"97","ARA:PWY-1269",1,0.99589148165396,0,8,"CMP-3-deoxy-D-manno-octulosonate biosynthesis","BioCyc"
"98","ARA:PWY-1422",1,0.995281840392887,0,9,"vitamin E biosynthesis (tocopherols)","BioCyc"
"99","ARA:PWY-1581",1,0.996813731973639,0,6,"plastoquinol-9 biosynthesis I","BioCyc"
