"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0055114",8.0546686262587e-08,0.999999977918273,29,1421,"oxidation-reduction process","BP"
"2","GO:0019354",2.85592690288887e-06,0.99999999061884,3,5,"siroheme biosynthetic process","BP"
"3","GO:0019379",4.31693537439709e-05,1,2,2,"sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)","BP"
"4","GO:0009051",0.000125916797005517,0.999997511028465,3,15,"pentose-phosphate shunt, oxidative branch","BP"
"5","GO:0006779",0.00026544254887539,0.999992989964425,3,19,"porphyrin-containing compound biosynthetic process","BP"
"6","GO:0010224",0.000299289829174592,0.999973536892666,5,86,"response to UV-B","BP"
"7","GO:0019419",0.000435727968453401,0.999997117253726,2,5,"sulfate reduction","BP"
"8","GO:0019521",0.00063989515900342,0.999994406013245,2,6,"D-gluconate metabolic process","BP"
"9","GO:0009636",0.000671127879785758,0.999974796228161,3,26,"response to toxic substance","BP"
"10","GO:0070936",0.000684126897034428,0.999993813622622,2,6,"protein K48-linked ubiquitination","BP"
"11","GO:0030968",0.000685773661052265,0.99997405328129,3,26,"endoplasmic reticulum unfolded protein response","BP"
"12","GO:0010114",0.00128281994316531,0.999889347276057,4,71,"response to red light","BP"
"13","GO:0045487",0.00152059043131459,0.999976736694527,2,9,"gibberellin catabolic process","BP"
"14","GO:0010304",0.00158389666144775,0.999975260322673,2,9,"PSII associated light-harvesting complex II catabolic process","BP"
"15","GO:0030970",0.00200900344371906,0.999963807236852,2,10,"retrograde protein transport, ER to cytosol","BP"
"16","GO:0030433",0.00354384489696146,0.999753280176017,3,45,"ubiquitin-dependent ERAD pathway","BP"
"17","GO:0006979",0.0040191094448209,0.998959267221252,8,379,"response to oxidative stress","BP"
"18","GO:0080167",0.0045464677060222,0.999246209562696,5,162,"response to karrikin","BP"
"19","GO:0010205",0.00593597916416357,0.999799354053681,2,17,"photoinhibition","BP"
"20","GO:0000103",0.00618696900335208,0.99978517588015,2,18,"sulfate assimilation","BP"
"21","GO:1905614",0.00630790550428102,1,1,1,"negative regulation of developmental vegetative growth","BP"
"22","GO:0010206",0.00633688068831585,0.999777234486451,2,18,"photosystem II repair","BP"
"23","GO:0080090",0.00647703212149474,1,1,1,"regulation of primary metabolic process","BP"
"24","GO:0080091",0.00647703212149474,1,1,1,"regulation of raffinose metabolic process","BP"
"25","GO:0071475",0.00653959131443097,1,1,1,"cellular hyperosmotic salinity response","BP"
"26","GO:0051238",0.00661688795556228,1,1,1,"sequestering of metal ion","BP"
"27","GO:0006784",0.00665779534960156,1,1,1,"heme a biosynthetic process","BP"
"28","GO:0035513",0.00703700672231462,1,1,1,"oxidative RNA demethylation","BP"
"29","GO:0009630",0.00942820736297701,0.999054819928233,3,63,"gravitropism","BP"
"30","GO:0034605",0.0123885157048927,0.998622069496008,3,72,"cellular response to heat","BP"
"31","GO:0005982",0.012456860419584,0.999367484165566,2,22,"starch metabolic process","BP"
"32","GO:0071490",0.012789088430669,0.999959057332517,1,2,"cellular response to far red light","BP"
"33","GO:0019303",0.0130274922206114,0.999957511525066,1,2,"D-ribose catabolic process","BP"
"34","GO:1901698",0.0130989980435216,0.999957042261072,1,2,"response to nitrogen compound","BP"
"35","GO:0016119",0.0131821872055184,0.999956493059105,1,2,"carotene metabolic process","BP"
"36","GO:0033306",0.0138564241846821,0.999951912233197,1,2,"phytol metabolic process","BP"
"37","GO:0009750",0.0150981789450937,0.999138860600797,2,28,"response to fructose","BP"
"38","GO:0000292",0.0154208211945146,0.999940393651197,1,2,"RNA fragment catabolic process","BP"
"39","GO:0035864",0.0154208211945146,0.999940393651197,1,2,"response to potassium ion","BP"
"40","GO:0070478",0.0154208211945146,0.999940393651197,1,2,"nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay","BP"
"41","GO:0019344",0.0157252931029251,0.999081942226917,2,29,"cysteine biosynthetic process","BP"
"42","GO:0042908",0.0179822995850592,0.999918841472909,1,2,"xenobiotic transport","BP"
"43","GO:0010371",0.0198376926814672,0.999868329107984,1,3,"regulation of gibberellin biosynthetic process","BP"
"44","GO:0008535",0.0199088966661613,0.999867377911525,1,3,"respiratory chain complex IV assembly","BP"
"45","GO:0000730",0.019987031724711,0.999866330149389,1,3,"DNA recombinase assembly","BP"
"46","GO:0042148",0.019987031724711,0.999866330149389,1,3,"strand invasion","BP"
"47","GO:0002943",0.0200872273606014,0.99986498047529,1,3,"tRNA dihydrouridine synthesis","BP"
"48","GO:0033234",0.021283747672414,0.999886113753626,1,2,"negative regulation of protein sumoylation","BP"
"49","GO:0009744",0.0220166573119069,0.996950953983423,3,89,"response to sucrose","BP"
"50","GO:0048825",0.0245551216520316,0.99816650298379,2,36,"cotyledon development","BP"
"51","GO:0071452",0.0254012669865539,0.999756691979012,1,4,"cellular response to singlet oxygen","BP"
"52","GO:0071492",0.0254224212012533,0.99975628435675,1,4,"cellular response to UV-A","BP"
"53","GO:0055073",0.0256330341871511,0.999752207227426,1,4,"cadmium ion homeostasis","BP"
"54","GO:0046482",0.0258294699783768,0.999748373726951,1,4,"para-aminobenzoic acid metabolic process","BP"
"55","GO:0071491",0.0258420972922393,0.999748126283628,1,4,"cellular response to red light","BP"
"56","GO:0080181",0.0259961914968224,0.999745096766698,1,4,"lateral root branching","BP"
"57","GO:1902458",0.0260604689609969,0.999743827648926,1,4,"positive regulation of stomatal opening","BP"
"58","GO:1902025",0.0262106155402772,0.999740850683495,1,4,"nitrate import","BP"
"59","GO:0060178",0.0266707588745007,0.99973161905979,1,4,"regulation of exocyst localization","BP"
"60","GO:1990570",0.0267188309981107,0.999730645185479,1,4,"GDP-mannose transmembrane transport","BP"
"61","GO:1901347",0.0269093259205962,0.999726768481421,1,4,"negative regulation of secondary cell wall biogenesis","BP"
"62","GO:0032091",0.0269200089953757,0.999726550243744,1,4,"negative regulation of protein binding","BP"
"63","GO:0007131",0.0269698445699776,0.997880455460649,2,37,"reciprocal meiotic recombination","BP"
"64","GO:0048826",0.0270109191344241,0.999724689533005,1,4,"cotyledon morphogenesis","BP"
"65","GO:0055085",0.0278215444328468,0.990685164713334,7,423,"transmembrane transport","BP"
"66","GO:0030001",0.0295899404818183,0.99540360332982,3,101,"metal ion transport","BP"
"67","GO:0042744",0.0300246452722547,0.995309117039581,3,102,"hydrogen peroxide catabolic process","BP"
"68","GO:0080024",0.0323308629399851,0.999578539325849,1,5,"indolebutyric acid metabolic process","BP"
"69","GO:0002215",0.0326726773674596,0.999569519986299,1,5,"defense response to nematode","BP"
"70","GO:0071586",0.0327835564713382,0.999566573468993,1,5,"CAAX-box protein processing","BP"
"71","GO:0090548",0.0329085429873566,0.999563239846823,1,5,"response to nitrate starvation","BP"
"72","GO:0055072",0.0331046836995645,0.997079614502036,2,43,"iron ion homeostasis","BP"
"73","GO:0015783",0.0331274247132766,0.999557370679325,1,5,"GDP-fucose transmembrane transport","BP"
"74","GO:0046835",0.033203358311333,0.999555325293331,1,5,"carbohydrate phosphorylation","BP"
"75","GO:0046467",0.0344472451290527,0.999521138545618,1,5,"membrane lipid biosynthetic process","BP"
"76","GO:1901031",0.0344472451290527,0.999521138545618,1,5,"regulation of response to reactive oxygen species","BP"
"77","GO:0006464",0.0393980126402723,0.996170573716959,2,47,"cellular protein modification process","BP"
"78","GO:0080177",0.0406322474894245,0.999304527664922,1,6,"plastoglobule organization","BP"
"79","GO:1902418",0.0427815059488559,0.999258845241913,1,5,"(+)-abscisic acid D-glucopyranosyl ester transmembrane transport","BP"
"80","GO:0071486",0.0444029244574036,0.999144739260393,1,7,"cellular response to high light intensity","BP"
"81","GO:0071585",0.0448510362887435,0.999127235137971,1,7,"detoxification of cadmium ion","BP"
"82","GO:0060359",0.0449417910537879,0.999123668103388,1,7,"response to ammonium ion","BP"
"83","GO:0070301",0.0453961803997427,0.999105697380799,1,7,"cellular response to hydrogen peroxide","BP"
"84","GO:0071483",0.0454236335074001,0.999104605685057,1,7,"cellular response to blue light","BP"
"85","GO:0045962",0.045453011812521,0.99910343668133,1,7,"positive regulation of development, heterochronic","BP"
"86","GO:0042631",0.0455357702793032,0.995199540608572,2,51,"cellular response to water deprivation","BP"
"87","GO:0051512",0.0470342057721591,0.999039372679793,1,7,"positive regulation of unidimensional cell growth","BP"
"88","GO:0080009",0.0493994220771552,0.998939335598347,1,7,"mRNA methylation","BP"
"89","GO:0090065",0.0509082139276486,0.998872880561298,1,7,"regulation of production of siRNA involved in RNA interference","BP"
"90","GO:0015979",0.0521566439254238,0.989859131509927,3,127,"photosynthesis","BP"
"91","GO:0010255",0.0523507343700954,0.998782961871001,1,8,"glucose mediated signaling pathway","BP"
"92","GO:0015700",0.0566560264011296,0.998572147852049,1,8,"arsenite transport","BP"
"93","GO:0010106",0.0579092785994182,0.99848427543556,1,9,"cellular response to iron ion starvation","BP"
"94","GO:0006808",0.0584571494285418,0.998455131459038,1,9,"regulation of nitrogen utilization","BP"
"95","GO:0000304",0.0647884097517989,0.998074394943549,1,10,"response to singlet oxygen","BP"
"96","GO:0010016",0.0648653277708607,0.998069762725716,1,10,"shoot system morphogenesis","BP"
"97","GO:0009639",0.0652552139349661,0.99156987281123,2,62,"response to red or far red light","BP"
"98","GO:0051707",0.0687044206773618,0.990856079273262,2,65,"response to other organism","BP"
"99","GO:0010208",0.0687548900272325,0.997828072934454,1,10,"pollen wall assembly","BP"
"100","GO:0009860",0.0688283616617132,0.985026776427115,3,137,"pollen tube growth","BP"
"101","GO:0010117",0.0698862262183792,0.997732846901609,1,11,"photoprotection","BP"
"102","GO:0009725",0.0705986975204089,0.997685752087816,1,11,"response to hormone","BP"
"103","GO:0010027",0.0706231080508845,0.990454842049945,2,65,"thylakoid membrane organization","BP"
"104","GO:0010218",0.0710442755585795,0.990365907306505,2,65,"response to far red light","BP"
