"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0010005",0.00564001995650033,0.999814264437851,2,17,"cortical microtubule, transverse to long axis","CC"
"2","GO:0030677",0.00658802843865881,1,1,1,"ribonuclease P complex","CC"
"3","GO:0000172",0.0106077373385014,0.999971858329048,1,2,"ribonuclease MRP complex","CC"
"4","GO:0005751",0.0233768869520764,0.999794064287119,1,4,"mitochondrial respiratory chain complex IV","CC"
"5","GO:0005667",0.0273766615842264,0.997835611102715,2,35,"transcription factor complex","CC"
"6","GO:0005741",0.0310964475722579,0.997358848708754,2,38,"mitochondrial outer membrane","CC"
"7","GO:0000791",0.0322261696133574,0.999607158484782,1,4,"euchromatin","CC"
"8","GO:0061574",0.0346990621429909,0.999513964038935,1,5,"ASAP complex","CC"
"9","GO:0030870",0.0349867701519573,0.999536422862815,1,4,"Mre11 complex","CC"
"10","GO:0009295",0.0357682385746047,0.996711913379006,2,42,"nucleoid","CC"
"11","GO:0000427",0.0409595570978928,0.999293043560457,1,6,"plastid-encoded plastid RNA polymerase complex","CC"
"12","GO:0008287",0.0481218021128368,0.998993799143151,1,7,"protein serine/threonine phosphatase complex","CC"
"13","GO:0000795",0.0517004481313852,0.998868760055206,1,6,"synaptonemal complex","CC"
"14","GO:0045252",0.0569629112656905,0.9985851483299,1,7,"oxoglutarate dehydrogenase complex","CC"
"15","GO:0005694",0.0610136846014575,0.992455139178034,2,48,"chromosome","CC"
"16","GO:0005688",0.0691706565000917,0.997761105433912,1,12,"U6 snRNP","CC"
"17","GO:0009346",0.0692759282181217,0.997820802010642,1,9,"citrate lyase complex","CC"
"18","GO:0046658",0.0744064101320696,0.98326310366369,3,154,"anchored component of plasma membrane","CC"
"19","GO:0008024",0.0773395450826465,0.997242129815257,1,10,"cyclin/CDK positive transcription elongation factor complex","CC"
"20","GO:0009533",0.0800812415056225,0.996966018527584,1,13,"chloroplast stromal thylakoid","CC"
"21","GO:0043231",0.0821750350936256,0.975400436592599,4,225,"intracellular membrane-bounded organelle","CC"
"22","GO:0016020",0.0836645541649464,0.947132612880263,22,2227,"membrane","CC"
