"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0005576",2.27480767958974e-17,1,63,2337,"extracellular region","CC"
"2","GO:0009505",1.0727299209078e-11,1,20,369,"plant-type cell wall","CC"
"3","GO:0005618",3.6901279344529e-05,0.999990313824081,16,604,"cell wall","CC"
"4","GO:0009530",0.00121086410144718,0.999985357078847,2,6,"primary cell wall","CC"
"5","GO:0090575",0.029001086547799,0.997654515026527,2,29,"RNA polymerase II transcription factor complex","CC"
"6","GO:0005901",0.0294209562811637,0.999708894701025,1,3,"caveola","CC"
"7","GO:0048046",0.0335589187271158,0.986473830851571,9,522,"apoplast","CC"
"8","GO:0031519",0.0429659597460014,0.999159516316106,1,10,"PcG protein complex","CC"
"9","GO:0035618",0.0489552677725946,0.998957704851621,1,7,"root hair","CC"
"10","GO:0005615",0.053132291083852,0.986267747230371,4,141,"extracellular space","CC"
"11","GO:0019897",0.0638465178818984,0.998265258636342,1,6,"extrinsic component of plasma membrane","CC"
"12","GO:0000439",0.0704736650911111,0.997657585848078,1,13,"transcription factor TFIIH core complex","CC"
"13","GO:0031461",0.0785271084021071,0.997082720466548,1,13,"cullin-RING ubiquitin ligase complex","CC"
"14","GO:0005675",0.079406869563923,0.996983683748311,1,15,"transcription factor TFIIH holo complex","CC"
"15","GO:0009986",0.112520386928927,0.993777553054295,1,19,"cell surface","CC"
"16","GO:0033179",0.124404784690435,0.992546917964014,1,13,"proton-transporting V-type ATPase, V0 domain","CC"
"17","GO:0005773",0.138237759120522,0.926707242417558,9,820,"vacuole","CC"
"18","GO:0009506",0.160601985743781,0.903918838420051,12,1264,"plasmodesma","CC"
"19","GO:0019005",0.16437809457658,0.96348773541799,2,96,"SCF ubiquitin ligase complex","CC"
"20","GO:0031012",0.170746968027859,0.985485742039852,1,16,"extracellular matrix","CC"
"21","GO:0000159",0.172086316135587,0.984714339038408,1,38,"protein phosphatase type 2A complex","CC"
"22","GO:0016020",0.198008193718513,0.862302646335232,20,2227,"membrane","CC"
"23","GO:0005769",0.233258694199402,0.971221091767899,1,38,"early endosome","CC"
"24","GO:0005886",0.235597861521189,0.818630468862497,34,4376,"plasma membrane","CC"
"25","GO:0005770",0.238378797092801,0.969765005057054,1,45,"late endosome","CC"
"26","GO:0030173",0.292555096970095,0.953355156459009,1,48,"integral component of Golgi membrane","CC"
"27","GO:0010319",0.314265940969931,0.945645888148006,1,49,"stromule","CC"
"28","GO:0016021",0.314569708590683,0.742570956788502,45,5396,"integral component of membrane","CC"
"29","GO:0005622",0.342134394818695,0.845965131499627,3,257,"intracellular","CC"
"30","GO:0030176",0.344715042556739,0.93354585281112,1,57,"integral component of endoplasmic reticulum membrane","CC"
"31","GO:0005802",0.477333938277207,0.741529729675187,3,442,"trans-Golgi network","CC"
"32","GO:0012505",0.522291287684415,0.832504144414195,1,99,"endomembrane system","CC"
"33","GO:0005575",0.524819845520345,0.652827379362121,5,422,"cellular_component","CC"
"34","GO:0005783",0.608354787329526,0.541973723453794,7,1011,"endoplasmic reticulum","CC"
"35","GO:0009705",0.611586633869453,0.757687511488336,1,145,"plant-type vacuole membrane","CC"
"36","GO:0005794",0.640670732894712,0.490289697450363,9,1421,"Golgi apparatus","CC"
"37","GO:0031225",0.716288158601974,0.542118405405376,2,232,"anchored component of membrane","CC"
"38","GO:0005829",0.746585842263776,0.336305046208312,18,2887,"cytosol","CC"
"39","GO:0005768",0.752786180343598,0.493887693163232,2,434,"endosome","CC"
"40","GO:0005743",0.770991087990063,0.569054775322574,1,178,"mitochondrial inner membrane","CC"
"41","GO:0043231",0.816541617977866,0.49689020203728,1,225,"intracellular membrane-bounded organelle","CC"
"42","GO:0005737",0.872729543665136,0.1677310941302,37,5948,"cytoplasm","CC"
"43","GO:0005777",0.895743806203593,0.342015973284457,1,304,"peroxisome","CC"
"44","GO:0009534",0.911393879777367,0.305527878889445,1,251,"chloroplast thylakoid","CC"
"45","GO:0009579",0.916274607467334,0.293586869971104,1,240,"thylakoid","CC"
"46","GO:0009507",0.927395761107153,0.098861464123534,41,6337,"chloroplast","CC"
"47","GO:0009941",0.971178695434484,0.0955643339631313,2,708,"chloroplast envelope","CC"
"48","GO:0005789",0.977655542850974,0.10830156731325,1,519,"endoplasmic reticulum membrane","CC"
"49","GO:0009535",0.987550478085202,0.0678510421252908,1,445,"chloroplast thylakoid membrane","CC"
"50","GO:0009570",0.989564149522443,0.0408389577874378,2,850,"chloroplast stroma","CC"
"51","GO:0005634",0.991500583175612,0.01228954132481,75,12382,"nucleus","CC"
"52","GO:0005774",0.994620104120852,0.0339164645659299,1,720,"vacuolar membrane","CC"
"53","GO:0005739",0.99720979984254,0.00518772513384474,22,4133,"mitochondrion","CC"
"54","GO:0000015",1,0.985272198044428,0,3,"phosphopyruvate hydratase complex","CC"
"55","GO:0000110",1,0.977028665547881,0,5,"nucleotide-excision repair factor 1 complex","CC"
"56","GO:0000111",1,0.993866751322594,0,2,"nucleotide-excision repair factor 2 complex","CC"
"57","GO:0000112",1,0.99396417687955,0,2,"nucleotide-excision repair factor 3 complex","CC"
"58","GO:0000118",1,0.957200382491949,0,8,"histone deacetylase complex","CC"
"59","GO:0000123",1,0.860035459875687,0,22,"histone acetyltransferase complex","CC"
"60","GO:0000124",1,0.84113276754149,0,22,"SAGA complex","CC"
"61","GO:0000126",1,0.978656198590311,0,4,"transcription factor TFIIIB complex","CC"
"62","GO:0000127",1,0.945358082127883,0,11,"transcription factor TFIIIC complex","CC"
"63","GO:0000138",1,0.94747749093198,0,6,"Golgi trans cisterna","CC"
"64","GO:0000139",1,0.0610310448573279,0,451,"Golgi membrane","CC"
"65","GO:0000145",1,0.806944254316899,0,40,"exocyst","CC"
"66","GO:0000148",1,0.962760632304335,0,23,"1,3-beta-D-glucan synthase complex","CC"
"67","GO:0000151",1,0.643022313902512,0,75,"ubiquitin ligase complex","CC"
"68","GO:0000152",1,0.985134445304928,0,4,"nuclear ubiquitin ligase complex","CC"
"69","GO:0000153",1,0.989180402041215,0,2,"cytoplasmic ubiquitin ligase complex","CC"
"70","GO:0000164",1,0.933557650637142,0,8,"protein phosphatase type 1 complex","CC"
