"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0045330",3.16153158329589e-06,0.999999733820747,8,48,"aspartyl esterase activity","MF"
"2","GO:0030599",1.75562378783479e-05,0.99999809150821,8,57,"pectinesterase activity","MF"
"3","GO:0030246",6.28621653788506e-05,0.999983547483906,15,237,"carbohydrate binding","MF"
"4","GO:0030247",7.3890719081447e-05,0.999991773051207,7,52,"polysaccharide binding","MF"
"5","GO:0004568",0.000239084650761048,0.999981614095329,5,24,"chitinase activity","MF"
"6","GO:0008171",0.000701948239668852,0.999953447262641,4,19,"O-methyltransferase activity","MF"
"7","GO:0008061",0.000789671132075029,0.999945938204825,4,19,"chitin binding","MF"
"8","GO:0046910",0.00083837133694262,0.99985791828282,7,66,"pectinesterase inhibitor activity","MF"
"9","GO:0003999",0.000989007545385938,0.999962529946876,3,11,"adenine phosphoribosyltransferase activity","MF"
"10","GO:0008757",0.00108661322493123,0.99983978933698,6,55,"S-adenosylmethionine-dependent methyltransferase activity","MF"
"11","GO:0019904",0.00110871863605276,0.999914427529662,4,23,"protein domain specific binding","MF"
"12","GO:0043295",0.00144661156878601,0.999882275181141,4,20,"glutathione binding","MF"
"13","GO:0020037",0.00166098569239163,0.999378891137369,16,328,"heme binding","MF"
"14","GO:2001147",0.00200816001542098,0.999982263971268,2,3,"camalexin binding","MF"
"15","GO:2001227",0.00200816001542098,0.999982263971268,2,3,"quercitrin binding","MF"
"16","GO:0004867",0.00222403560332905,0.999890859055851,3,10,"serine-type endopeptidase inhibitor activity","MF"
"17","GO:0004601",0.00254008808667673,0.999330821600483,9,134,"peroxidase activity","MF"
"18","GO:0046983",0.00280537061180159,0.998931562068821,15,333,"protein dimerization activity","MF"
"19","GO:0015293",0.00340561857936053,0.999483655600518,5,58,"symporter activity","MF"
"20","GO:0000977",0.00554636582599523,0.998841329860671,6,86,"RNA polymerase II regulatory region sequence-specific DNA binding","MF"
"21","GO:0004364",0.00649105360209587,0.998613341769422,6,67,"glutathione transferase activity","MF"
"22","GO:0017172",0.00686436997962214,0.999785835546387,2,7,"cysteine dioxygenase activity","MF"
"23","GO:0005451",0.00732850150443386,0.999754414077336,2,8,"monovalent cation:proton antiporter activity","MF"
"24","GO:0043531",0.00782714814237225,0.997732887091842,8,167,"ADP binding","MF"
"25","GO:0030170",0.0088278710314468,0.997657252286355,7,126,"pyridoxal phosphate binding","MF"
"26","GO:0003712",0.00900367931436919,0.998271797951036,5,64,"transcription coregulator activity","MF"
"27","GO:0003700",0.00911342175287008,0.994008468083006,54,1868,"DNA-binding transcription factor activity","MF"
"28","GO:0010309",0.00989394309546426,0.999626509457578,2,7,"acireductone dioxygenase [iron(II)-requiring] activity","MF"
"29","GO:0004497",0.0101011773728728,0.996949901029855,8,150,"monooxygenase activity","MF"
"30","GO:0045309",0.0119173927417664,0.998761882661957,3,23,"protein phosphorylated amino acid binding","MF"
"31","GO:0005384",0.0154389480925448,0.998209818932189,3,27,"manganese ion transmembrane transporter activity","MF"
"32","GO:0004970",0.0154560241138251,0.998185584390115,3,32,"ionotropic glutamate receptor activity","MF"
"33","GO:0005217",0.0154560241138251,0.998185584390115,3,32,"intracellular ligand-gated ion channel activity","MF"
"34","GO:0080011",0.0154742577383732,1,1,1,"baruol synthase activity","MF"
"35","GO:0016847",0.0162578879892799,0.99913166055979,2,10,"1-aminocyclopropane-1-carboxylate synthase activity","MF"
"36","GO:0046915",0.0169833198657407,1,1,1,"transition metal ion transmembrane transporter activity","MF"
"37","GO:0052689",0.0176739892197159,0.995245499520917,6,102,"carboxylic ester hydrolase activity","MF"
"38","GO:0008974",0.0188752253394978,1,1,1,"phosphoribulokinase activity","MF"
"39","GO:0000293",0.0191467307863328,0.998837576015998,2,13,"ferric-chelate reductase activity","MF"
"40","GO:0050278",0.0193165342541676,1,1,1,"sedoheptulose-bisphosphatase activity","MF"
"41","GO:0106149",0.0200106840746179,1,1,1,"indole-3-carbonyl nitrile 4-hydroxylase activity","MF"
"42","GO:0015562",0.02334384763309,0.998442584909763,2,12,"efflux transmembrane transporter activity","MF"
"43","GO:0015299",0.0245884632220275,0.998264434510749,2,15,"solute:proton antiporter activity","MF"
"44","GO:0016301",0.0258018472226448,0.983611153457935,34,1329,"kinase activity","MF"
"45","GO:0004143",0.0278579237588651,0.997883065868848,2,16,"diacylglycerol kinase activity","MF"
"46","GO:0015171",0.0290751183675391,0.99385939860497,4,64,"amino acid transmembrane transporter activity","MF"
"47","GO:0019825",0.0306661307187909,0.987838370402321,9,214,"oxygen binding","MF"
"48","GO:0052793",0.0327833185202694,0.997264129945294,2,17,"pectin acetylesterase activity","MF"
"49","GO:0004107",0.0331348178838164,0.999721349637002,1,2,"chorismate synthase activity","MF"
"50","GO:0016762",0.0350307716555061,0.994398125332144,3,31,"xyloglucan:xyloglucosyl transferase activity","MF"
"51","GO:0080108",0.0369840797941524,0.999652159590851,1,2,"S-alkylthiohydroximate lyase activity","MF"
"52","GO:0016866",0.0379921804945512,0.996531463381617,2,19,"intramolecular transferase activity","MF"
"53","GO:0047100",0.0382490770386325,0.999627715039867,1,2,"glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) activity","MF"
"54","GO:0003856",0.0395723684809682,0.99960123761836,1,2,"3-dehydroquinate synthase activity","MF"
"55","GO:0030272",0.0397636216247837,0.999597334113183,1,2,"5-formyltetrahydrofolate cyclo-ligase activity","MF"
"56","GO:0010333",0.0426882925819862,0.995847231324432,2,19,"terpene synthase activity","MF"
"57","GO:0016532",0.0438887181698589,0.999508407539713,1,2,"superoxide dismutase copper chaperone activity","MF"
"58","GO:0034338",0.0438889221056753,0.999508402919251,1,2,"short-chain carboxylesterase activity","MF"
"59","GO:0015385",0.0459716073431327,0.995306057003832,2,21,"sodium:proton antiporter activity","MF"
"60","GO:0000250",0.0468889399402392,0.999252700229048,1,3,"lanosterol synthase activity","MF"
"61","GO:0004674",0.0478820976719675,0.970851975532127,23,906,"protein serine/threonine kinase activity","MF"
"62","GO:0071949",0.0486815205212801,0.98785823828058,4,75,"FAD binding","MF"
"63","GO:0046429",0.049217096006921,0.999175762447264,1,3,"4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity","MF"
"64","GO:0015276",0.0494996900580541,0.999166161285721,1,3,"ligand-gated ion channel activity","MF"
"65","GO:0033853",0.0497027154711024,0.99915922836861,1,3,"aspartate-prephenate aminotransferase activity","MF"
"66","GO:0033854",0.0497027154711024,0.99915922836861,1,3,"glutamate-prephenate aminotransferase activity","MF"
"67","GO:0016298",0.0502789135147323,0.990571850111634,3,43,"lipase activity","MF"
"68","GO:0008252",0.0506541499619461,0.999126347367421,1,3,"nucleotidase activity","MF"
"69","GO:0046863",0.0510976998424746,0.999110797908307,1,3,"ribulose-1,5-bisphosphate carboxylase/oxygenase activator activity","MF"
"70","GO:0009975",0.0511691817511776,0.994458519684653,2,21,"cyclase activity","MF"
"71","GO:1903425",0.0527368556403094,0.999052115162368,1,3,"fluoride transmembrane transporter activity","MF"
"72","GO:0016624",0.0530187289548394,0.999041830348239,1,3,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor","MF"
"73","GO:0010295",0.0541719001669226,0.998999161701659,1,3,"(+)-abscisic acid 8'-hydroxylase activity","MF"
"74","GO:0003951",0.0553547881888553,0.993699300657453,2,23,"NAD+ kinase activity","MF"
"75","GO:1905761",0.0567293110080156,0.998901130780012,1,3,"SCF ubiquitin ligase complex binding","MF"
"76","GO:0046872",0.0571014333878177,0.957947326330626,55,2223,"metal ion binding","MF"
"77","GO:0016168",0.0591952249303161,0.98826606293023,3,35,"chlorophyll binding","MF"
"78","GO:0015114",0.0597727024029817,0.992900418154,2,23,"phosphate ion transmembrane transporter activity","MF"
"79","GO:0042286",0.0612775713359888,0.998715148750128,1,3,"glutamate-1-semialdehyde 2,1-aminomutase activity","MF"
"80","GO:0015078",0.0625011134308606,0.992567615478306,2,17,"proton transmembrane transporter activity","MF"
"81","GO:0016709",0.0637591574433556,0.976730503584459,6,136,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"82","GO:0031127",0.0653614898427936,0.998535392182446,1,3,"alpha-(1,2)-fucosyltransferase activity","MF"
"83","GO:0016491",0.066297343201063,0.96303146876942,15,488,"oxidoreductase activity","MF"
"84","GO:0046914",0.0667136827047868,0.998473200824351,1,3,"transition metal ion binding","MF"
"85","GO:0016798",0.0686355357124361,0.985397784190907,3,44,"hydrolase activity, acting on glycosyl bonds","MF"
"86","GO:0000048",0.0701835431220413,0.998099778786557,1,4,"peptidyltransferase activity","MF"
"87","GO:0036374",0.0701835431220413,0.998099778786557,1,4,"glutathione hydrolase activity","MF"
"88","GO:0102953",0.0701835431220413,0.998099778786557,1,4,"hypoglycin A gamma-glutamyl transpeptidase activity","MF"
"89","GO:0103068",0.0701835431220413,0.998099778786557,1,4,"leukotriene C4 gamma-glutamyl transferase activity","MF"
"90","GO:0047782",0.0702114941086183,0.998098241582492,1,4,"coniferin beta-glucosidase activity","MF"
"91","GO:0008083",0.0732363857271912,0.990534621106466,2,16,"growth factor activity","MF"
"92","GO:0042132",0.0770483911426801,0.997702930837579,1,4,"fructose 1,6-bisphosphate 1-phosphatase activity","MF"
"93","GO:0030674",0.0773601078125574,0.989327059639375,2,25,"protein binding, bridging","MF"
"94","GO:0008066",0.080324520080054,0.997336845342716,1,5,"glutamate receptor activity","MF"
"95","GO:0004649",0.0809020133072814,0.997297751266955,1,5,"poly(ADP-ribose) glycohydrolase activity","MF"
"96","GO:0009916",0.0810440559872817,0.997454009111911,1,4,"alternative oxidase activity","MF"
"97","GO:0102721",0.0810440559872817,0.997454009111911,1,4,"ubiquinol:oxygen oxidoreductase activity","MF"
"98","GO:0035615",0.0812934389166934,0.997160049911146,1,6,"clathrin adaptor activity","MF"
"99","GO:0030234",0.0832577865270746,0.988086304163113,2,23,"enzyme regulator activity","MF"
"100","GO:0047372",0.0849922641351232,0.987631303033099,2,25,"acylglycerol lipase activity","MF"
