"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath00940",0.0768164437227292,0.997974189569965,1,177,"Phenylpropanoid biosynthesis","KEGG"
"2","path:ath04144",0.103505302141139,0.996271949672862,1,205,"Endocytosis","KEGG"
"3","path:ath03040",0.157143924926964,0.991161761489138,1,321,"Spliceosome","KEGG"
"4","path:ath00052",1,0.962785343193889,0,70,"Galactose metabolism","KEGG"
"5","path:ath00250",1,0.962237082996085,0,75,"Alanine, aspartate and glutamate metabolism","KEGG"
"6","path:ath00410",1,0.971637977074758,0,56,"beta-Alanine metabolism","KEGG"
"7","path:ath01100",1,0.176023700246451,0,2731,"Metabolic pathways","KEGG"
"8","path:ath00010",1,0.929133290739324,0,147,"Glycolysis / Gluconeogenesis","KEGG"
"9","path:ath00020",1,0.957868566415992,0,82,"Citrate cycle (TCA cycle)","KEGG"
"10","path:ath00030",1,0.963454192878988,0,77,"Pentose phosphate pathway","KEGG"
"11","path:ath00040",1,0.960648655197172,0,86,"Pentose and glucuronate interconversions","KEGG"
"12","path:ath00051",1,0.965183160773155,0,74,"Fructose and mannose metabolism","KEGG"
"13","path:ath00053",1,0.969325743151265,0,67,"Ascorbate and aldarate metabolism","KEGG"
"14","path:ath00061",1,0.971006031598332,0,54,"Fatty acid biosynthesis","KEGG"
"15","path:ath00062",1,0.986084260097505,0,34,"Fatty acid elongation","KEGG"
"16","path:ath00071",1,0.964670712814936,0,66,"Fatty acid degradation","KEGG"
"17","path:ath00072",1,0.994940035496297,0,10,"Synthesis and degradation of ketone bodies","KEGG"
"18","path:ath00073",1,0.988313648286714,0,24,"Cutin, suberine and wax biosynthesis","KEGG"
"19","path:ath00100",1,0.975937793485667,0,48,"Steroid biosynthesis","KEGG"
"20","path:ath00130",1,0.971604209826151,0,58,"Ubiquinone and other terpenoid-quinone biosynthesis","KEGG"
"21","path:ath00190",1,0.931880659583598,0,152,"Oxidative phosphorylation","KEGG"
"22","path:ath00195",1,0.982177260638525,0,46,"Photosynthesis","KEGG"
"23","path:ath00196",1,0.991530972960757,0,22,"Photosynthesis - antenna proteins","KEGG"
"24","path:ath00220",1,0.976068095790179,0,50,"Arginine biosynthesis","KEGG"
"25","path:ath00230",1,0.942433013648727,0,123,"Purine metabolism","KEGG"
"26","path:ath00232",1,0.998819566107028,0,2,"Caffeine metabolism","KEGG"
"27","path:ath00240",1,0.966835692014673,0,68,"Pyrimidine metabolism","KEGG"
"28","path:ath00260",1,0.956559883152199,0,88,"Glycine, serine and threonine metabolism","KEGG"
"29","path:ath00261",1,0.990904389233104,0,18,"Monobactam biosynthesis","KEGG"
"30","path:ath00270",1,0.921030017735857,0,173,"Cysteine and methionine metabolism","KEGG"
"31","path:ath00280",1,0.960868147848537,0,78,"Valine, leucine and isoleucine degradation","KEGG"
"32","path:ath00290",1,0.985053550334023,0,29,"Valine, leucine and isoleucine biosynthesis","KEGG"
"33","path:ath00300",1,0.990159987511757,0,19,"Lysine biosynthesis","KEGG"
"34","path:ath00310",1,0.971560388667597,0,54,"Lysine degradation","KEGG"
"35","path:ath00330",1,0.965198096761458,0,75,"Arginine and proline metabolism","KEGG"
"36","path:ath00340",1,0.986436620860097,0,29,"Histidine metabolism","KEGG"
"37","path:ath00350",1,0.973603953839247,0,58,"Tyrosine metabolism","KEGG"
"38","path:ath00360",1,0.969180116608464,0,65,"Phenylalanine metabolism","KEGG"
"39","path:ath00380",1,0.962741224295946,0,80,"Tryptophan metabolism","KEGG"
"40","path:ath00400",1,0.965980544855743,0,78,"Phenylalanine, tyrosine and tryptophan biosynthesis","KEGG"
"41","path:ath00430",1,0.991537116068477,0,18,"Taurine and hypotaurine metabolism","KEGG"
"42","path:ath00440",1,0.993999578101798,0,13,"Phosphonate and phosphinate metabolism","KEGG"
"43","path:ath00450",1,0.985522868326458,0,28,"Selenocompound metabolism","KEGG"
"44","path:ath00460",1,0.959096911812284,0,88,"Cyanoamino acid metabolism","KEGG"
"45","path:ath00480",1,0.942561770935671,0,131,"Glutathione metabolism","KEGG"
"46","path:ath00500",1,0.901502937909155,0,187,"Starch and sucrose metabolism","KEGG"
"47","path:ath00510",1,0.968753731845663,0,63,"N-Glycan biosynthesis","KEGG"
"48","path:ath00511",1,0.978567360074109,0,32,"Other glycan degradation","KEGG"
"49","path:ath00514",1,0.990399248020132,0,19,"Other types of O-glycan biosynthesis","KEGG"
"50","path:ath00520",1,0.92491370256413,0,158,"Amino sugar and nucleotide sugar metabolism","KEGG"
"51","path:ath00531",1,0.994129282544682,0,9,"Glycosaminoglycan degradation","KEGG"
"52","path:ath00561",1,0.951966054212148,0,93,"Glycerolipid metabolism","KEGG"
"53","path:ath00562",1,0.944531696730473,0,100,"Inositol phosphate metabolism","KEGG"
"54","path:ath00563",1,0.978622595759476,0,45,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","KEGG"
"55","path:ath00564",1,0.929032672424341,0,141,"Glycerophospholipid metabolism","KEGG"
"56","path:ath00565",1,0.976412638665109,0,41,"Ether lipid metabolism","KEGG"
"57","path:ath00590",1,0.99144607894454,0,20,"Arachidonic acid metabolism","KEGG"
"58","path:ath00591",1,0.993899348886412,0,10,"Linoleic acid metabolism","KEGG"
"59","path:ath00592",1,0.97504843783546,0,50,"alpha-Linolenic acid metabolism","KEGG"
"60","path:ath00600",1,0.973995305571148,0,45,"Sphingolipid metabolism","KEGG"
"61","path:ath00601",1,0.998842128876648,0,3,"Glycosphingolipid biosynthesis - lacto and neolacto series","KEGG"
"62","path:ath00603",1,0.994765641650257,0,11,"Glycosphingolipid biosynthesis - globo and isoglobo series","KEGG"
"63","path:ath00604",1,0.995942182277143,0,6,"Glycosphingolipid biosynthesis - ganglio series","KEGG"
"64","path:ath00620",1,0.935786412480076,0,125,"Pyruvate metabolism","KEGG"
"65","path:ath00630",1,0.946598868734234,0,112,"Glyoxylate and dicarboxylate metabolism","KEGG"
"66","path:ath00640",1,0.971034781146131,0,56,"Propanoate metabolism","KEGG"
"67","path:ath00650",1,0.9834827630442,0,32,"Butanoate metabolism","KEGG"
"68","path:ath00660",1,0.994988853272669,0,9,"C5-Branched dibasic acid metabolism","KEGG"
"69","path:ath00670",1,0.986511966612178,0,29,"One carbon pool by folate","KEGG"
"70","path:ath00710",1,0.95747561410531,0,87,"Carbon fixation in photosynthetic organisms","KEGG"
"71","path:ath00730",1,0.98639851287401,0,31,"Thiamine metabolism","KEGG"
"72","path:ath00740",1,0.988809047967524,0,26,"Riboflavin metabolism","KEGG"
"73","path:ath00750",1,0.993079134660094,0,16,"Vitamin B6 metabolism","KEGG"
"74","path:ath00760",1,0.989771115343161,0,21,"Nicotinate and nicotinamide metabolism","KEGG"
"75","path:ath00770",1,0.98186376618879,0,37,"Pantothenate and CoA biosynthesis","KEGG"
"76","path:ath00780",1,0.990270364616884,0,21,"Biotin metabolism","KEGG"
"77","path:ath00785",1,0.997659888999888,0,6,"Lipoic acid metabolism","KEGG"
"78","path:ath00790",1,0.981180944126885,0,38,"Folate biosynthesis","KEGG"
"79","path:ath00860",1,0.97320218755135,0,62,"Porphyrin and chlorophyll metabolism","KEGG"
"80","path:ath00900",1,0.965786210730587,0,77,"Terpenoid backbone biosynthesis","KEGG"
"81","path:ath00901",1,0.998336085004383,0,4,"Indole alkaloid biosynthesis","KEGG"
"82","path:ath00902",1,0.995943136228233,0,9,"Monoterpenoid biosynthesis","KEGG"
"83","path:ath00903",1,0.995181123923215,0,10,"Limonene and pinene degradation","KEGG"
"84","path:ath00904",1,0.99328158027392,0,15,"Diterpenoid biosynthesis","KEGG"
"85","path:ath00905",1,0.993232497484061,0,12,"Brassinosteroid biosynthesis","KEGG"
"86","path:ath00906",1,0.983785735278971,0,32,"Carotenoid biosynthesis","KEGG"
"87","path:ath00908",1,0.990144594201919,0,21,"Zeatin biosynthesis","KEGG"
"88","path:ath00909",1,0.982785715892985,0,28,"Sesquiterpenoid and triterpenoid biosynthesis","KEGG"
