"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0004402",1.49138382937568e-05,0.999999850019967,3,62,"histone acetyltransferase activity","MF"
"2","GO:0003712",2.27528915567653e-05,0.999999735906474,3,64,"transcription coregulator activity","MF"
"3","GO:0008825",0.00205621180061519,0.999998643628756,1,3,"cyclopropane-fatty-acyl-phospholipid synthase activity","MF"
"4","GO:0000249",0.00249106313955808,0.999998008869803,1,3,"C-22 sterol desaturase activity","MF"
"5","GO:0005516",0.00306596613226499,0.999803177297612,3,382,"calmodulin binding","MF"
"6","GO:0080054",0.00505842384133683,0.999989434843332,1,7,"low-affinity nitrate transmembrane transporter activity","MF"
"7","GO:0016207",0.0148358219933913,0.999898677931415,1,21,"4-coumarate-CoA ligase activity","MF"
"8","GO:0047134",0.0181653144725906,0.999850273550508,1,16,"protein-disulfide reductase activity","MF"
"9","GO:0004970",0.0223069937425723,0.999766385242997,1,32,"ionotropic glutamate receptor activity","MF"
"10","GO:0005217",0.0223069937425723,0.999766385242997,1,32,"intracellular ligand-gated ion channel activity","MF"
"11","GO:0016671",0.0288457269833714,0.999609720874542,1,29,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","MF"
"12","GO:0015333",0.0322664393195609,0.999504917515701,1,45,"peptide:proton symporter activity","MF"
"13","GO:1904680",0.0322664393195609,0.999504917515701,1,45,"peptide transmembrane transporter activity","MF"
"14","GO:0035673",0.0370296774487308,0.999344859087436,1,52,"oligopeptide transmembrane transporter activity","MF"
"15","GO:0043130",0.0449796454040975,0.999027801428788,1,61,"ubiquitin binding","MF"
"16","GO:0016706",0.0463193104540569,0.998970371173099,1,55,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors","MF"
"17","GO:0004190",0.0536242397193679,0.998611216328824,1,69,"aspartic-type endopeptidase activity","MF"
"18","GO:0042393",0.0660908406522654,0.997873673579639,1,90,"histone binding","MF"
"19","GO:0000977",0.0666006558627414,0.997841441379461,1,86,"RNA polymerase II regulatory region sequence-specific DNA binding","MF"
"20","GO:0015144",0.073388018634986,0.997367299356353,1,104,"carbohydrate transmembrane transporter activity","MF"
"21","GO:0005351",0.0760042559490879,0.997172534926846,1,108,"carbohydrate:proton symporter activity","MF"
"22","GO:0008270",0.0781802765371671,0.982931599014699,3,1170,"zinc ion binding","MF"
"23","GO:0016874",0.0840860061413835,0.996530121829553,1,104,"ligase activity","MF"
"24","GO:0015035",0.0901231593931062,0.99601886122204,1,76,"protein disulfide oxidoreductase activity","MF"
"25","GO:0008134",0.105101088778298,0.994525731748413,1,131,"transcription factor binding","MF"
"26","GO:0051213",0.110814088311111,0.993899664877978,1,136,"dioxygenase activity","MF"
"27","GO:0004497",0.114084854072684,0.993521954561878,1,150,"monooxygenase activity","MF"
"28","GO:0019825",0.157985567086089,0.98734188628099,1,214,"oxygen binding","MF"
"29","GO:0008289",0.180200264183152,0.98339436842352,1,195,"lipid binding","MF"
"30","GO:0005506",0.191596588494114,0.981117967665609,1,266,"iron ion binding","MF"
"31","GO:0005215",0.218788452103035,0.975088723600043,1,331,"transporter activity","MF"
"32","GO:0005507",0.222966734890541,0.974096925676728,1,280,"copper ion binding","MF"
"33","GO:0046983",0.243142305183029,0.968922553629644,1,333,"protein dimerization activity","MF"
"34","GO:0020037",0.247286375950259,0.967799750093213,1,328,"heme binding","MF"
"35","GO:0016491",0.331588066610043,0.939887716619463,1,488,"oxidoreductase activity","MF"
"36","GO:0004674",0.486951668080701,0.860006747760134,1,906,"protein serine/threonine kinase activity","MF"
"37","GO:0005515",0.513162672091699,0.69590834719131,4,4494,"protein binding","MF"
"38","GO:0003677",0.565972130516237,0.714382833703606,2,2135,"DNA binding","MF"
"39","GO:0005524",0.606371831453295,0.675378660199217,2,2739,"ATP binding","MF"
"40","GO:0016301",0.636164948360706,0.739079241964881,1,1329,"kinase activity","MF"
"41","GO:0003674",0.676493908599581,0.512249655978584,5,4941,"molecular_function","MF"
"42","GO:0003700",0.82357802571057,0.493080896073733,1,1868,"DNA-binding transcription factor activity","MF"
"43","GO:0043565",1,0.444245107181141,0,895,"sequence-specific DNA binding","MF"
"44","GO:0000009",1,0.999296522321547,0,1,"alpha-1,6-mannosyltransferase activity","MF"
"45","GO:0000014",1,0.992078876944796,0,11,"single-stranded DNA endodeoxyribonuclease activity","MF"
"46","GO:0000026",1,0.999294101886207,0,1,"alpha-1,2-mannosyltransferase activity","MF"
"47","GO:0000030",1,0.991547524742128,0,12,"mannosyltransferase activity","MF"
"48","GO:0000033",1,0.998588322288067,0,2,"alpha-1,3-mannosyltransferase activity","MF"
"49","GO:0000035",1,0.995130379890814,0,4,"acyl binding","MF"
"50","GO:0000036",1,0.986234620435046,0,13,"acyl carrier activity","MF"
"51","GO:0000048",1,0.997158708724275,0,4,"peptidyltransferase activity","MF"
"52","GO:0000049",1,0.980394476300729,0,27,"tRNA binding","MF"
"53","GO:0000062",1,0.991123870548331,0,11,"fatty-acyl-CoA binding","MF"
"54","GO:0000064",1,0.996736476988078,0,4,"L-ornithine transmembrane transporter activity","MF"
"55","GO:0000095",1,0.991817695118816,0,11,"S-adenosyl-L-methionine transmembrane transporter activity","MF"
"56","GO:0000104",1,0.992623255765159,0,9,"succinate dehydrogenase activity","MF"
"57","GO:0000107",1,0.999300083050662,0,1,"imidazoleglycerol-phosphate synthase activity","MF"
"58","GO:0000121",1,0.999148762209427,0,1,"glycerol-1-phosphatase activity","MF"
"59","GO:0000140",1,0.997740026932693,0,2,"acylglycerone-phosphate reductase activity","MF"
"60","GO:0000146",1,0.998712137139342,0,2,"microfilament motor activity","MF"
"61","GO:0000149",1,0.932226365369807,0,84,"SNARE binding","MF"
"62","GO:0000150",1,0.996383524412976,0,5,"recombinase activity","MF"
"63","GO:0000155",1,0.984130433426535,0,23,"phosphorelay sensor kinase activity","MF"
"64","GO:0000156",1,0.97019652468977,0,37,"phosphorelay response regulator activity","MF"
