"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0062045",0.000376692877081233,1,1,1,"L-lysine alpha-aminotransferase","MF"
"2","GO:0031543",0.000383491976133584,1,1,1,"peptidyl-proline dioxygenase activity","MF"
"3","GO:0062047",0.000383491976133584,1,1,1,"pipecolic acid N-hydroxylase","MF"
"4","GO:0005048",0.00229174821465961,0.999998008696401,1,6,"signal sequence binding","MF"
"5","GO:0002094",0.00230432879831517,0.999997986763053,1,6,"polyprenyltransferase activity","MF"
"6","GO:0045547",0.00230433017266934,0.99999798676065,1,6,"dehydrodolichyl diphosphate synthase activity","MF"
"7","GO:0008970",0.00608101729968338,0.999984205400544,1,16,"phospholipase A1 activity","MF"
"8","GO:0016760",0.00918641342941858,0.999963047898401,1,25,"cellulose synthase (UDP-forming) activity","MF"
"9","GO:0004620",0.0105808359846793,0.999950734257047,1,28,"phospholipase activity","MF"
"10","GO:0004499",0.0106468826891216,0.999950116043466,1,28,"N,N-dimethylaniline monooxygenase activity","MF"
"11","GO:0016759",0.0133220929341794,0.999921178425098,1,36,"cellulose synthase activity","MF"
"12","GO:0008320",0.0137033464369398,0.999916590421337,1,36,"protein transmembrane transporter activity","MF"
"13","GO:0008483",0.0185761250810061,0.999845285676689,1,49,"transaminase activity","MF"
"14","GO:0015450",0.0202106726887215,0.999816461944843,1,53,"P-P-bond-hydrolysis-driven protein transmembrane transporter activity","MF"
"15","GO:0004806",0.023299275520382,0.999755119374754,1,62,"triglyceride lipase activity","MF"
"16","GO:0004672",0.0272334917921813,0.998052226540827,2,699,"protein kinase activity","MF"
"17","GO:0050661",0.0278043137936185,0.999649755623069,1,74,"NADP binding","MF"
"18","GO:0004693",0.0322973687731594,0.999525719816441,1,86,"cyclin-dependent protein serine/threonine kinase activity","MF"
"19","GO:0050660",0.0389671134053705,0.999306414743003,1,105,"flavin adenine dinucleotide binding","MF"
"20","GO:0030170",0.04695446567713,0.998988297722288,1,126,"pyridoxal phosphate binding","MF"
"21","GO:0004497",0.0558887866349356,0.998559986478277,1,150,"monooxygenase activity","MF"
"22","GO:0016301",0.0874252654674371,0.988051423503071,2,1329,"kinase activity","MF"
"23","GO:0016740",0.147356099586231,0.989580483467395,1,414,"transferase activity","MF"
"24","GO:0016757",0.207696768239055,0.978758784887609,1,609,"transferase activity, transferring glycosyl groups","MF"
