"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-181",0.000789065916297124,0.999944877196381,4,34,"photorespiration","BioCyc"
"2","ARA:PWY-5060",0.0015280659145904,0.999981355078389,2,5,"luteolin biosynthesis","BioCyc"
"3","ARA:PWY-3101",0.0117331315877249,0.999465097667113,2,13,"flavonol biosynthesis","BioCyc"
"4","ARA:DETOX1-PWY",0.0224732089886293,0.998495510036887,2,19,"superoxide radicals degradation","BioCyc"
"5","ARA:CHLOROPHYLL-SYN",0.031059784247855,0.997498400205317,2,22,"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)","BioCyc"
"6","ARA:DETOX1-PWY-1",0.0427174678342554,0.995865240958549,2,26,"reactive oxygen species degradation","BioCyc"
"7","ARA:TRESYN-PWY",0.0438055042562262,0.995675315440629,2,29,"trehalose biosynthesis I","BioCyc"
"8","ARA:PWY-7450",0.0533839706548741,0.994124064753369,2,29,"anthocyanidin modification (Arabidopsis)","BioCyc"
"9","ARA:PWY-7208",0.0644054621864192,0.992072467459656,2,34,"superpathway of pyrimidine nucleobases salvage","BioCyc"
"10","ARA:PWY-581",0.0686951688251257,0.991222818404394,2,35,"indole-3-acetate biosynthesis II","BioCyc"
"11","ARA:PWY-7213",0.0691976007485599,0.997991163885408,1,6,"wogonin metabolism","BioCyc"
"12","ARA:PWY-5377",0.071271842752383,0.997867079748599,1,6,"&alpha;-amyrin biosynthesis","BioCyc"
"13","ARA:PWY-112",0.0712718461913078,0.997867079539704,1,6,"lupeol biosynthesis","BioCyc"
"14","ARA:PWY-116",0.0720251447734593,0.997821067919922,1,6,"coniferin metabolism","BioCyc"
"15","ARA:PWY-5807",0.0762071788669304,0.99755641260402,1,6,"heptaprenyl diphosphate biosynthesis","BioCyc"
"16","ARA:PWY-7183",0.0785364994082491,0.997329749156013,1,7,"pyrimidine nucleobases salvage I","BioCyc"
"17","ARA:PWY-2881",0.0867875308815156,0.996728079047402,1,7,"cytokinins 7-N-glucoside biosynthesis","BioCyc"
"18","ARA:PWY-2901",0.0867875308815156,0.996728079047402,1,7,"cytokinins 9-N-glucoside biosynthesis","BioCyc"
"19","ARA:GLYSYN-ALA-PWY",0.090520973552704,0.996362819049002,1,8,"glycine biosynthesis III","BioCyc"
"20","ARA:PWY-7196",0.0935020249532414,0.985673236577215,2,42,"superpathway of pyrimidine ribonucleosides salvage","BioCyc"
"21","ARA:ALANINE-DEG3-PWY",0.0968518565447532,0.99582546072872,1,8,"L-alanine degradation III","BioCyc"
"22","ARA:ALANINE-SYN2-PWY",0.0968518565447532,0.99582546072872,1,8,"L-alanine biosynthesis II","BioCyc"
"23","ARA:PWYDQC-4",0.107899063873613,0.994715388935126,1,9,"indole-3-acetate biosynthesis I","BioCyc"
