"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0034457",0.00172486510684397,0.999998969374725,1,4,"Mpp10 complex","CC"
"2","GO:0008024",0.00439895432064547,0.999991948257692,1,10,"cyclin/CDK positive transcription elongation factor complex","CC"
"3","GO:0036513",0.00776190008186792,0.999973661794967,1,18,"Derlin-1 retrotranslocation complex","CC"
"4","GO:0048471",0.0177140133719258,0.999858389435878,1,35,"perinuclear region of cytoplasm","CC"
"5","GO:0032040",0.0210176224390685,0.999799004194697,1,46,"small-subunit processome","CC"
"6","GO:0005856",0.0519714248897166,0.99874063789098,1,112,"cytoskeleton","CC"
"7","GO:0009524",0.057459409545138,0.998456645169817,1,119,"phragmoplast","CC"
"8","GO:0043231",0.096696445911596,0.995546040736702,1,225,"intracellular membrane-bounded organelle","CC"
"9","GO:0005622",0.109985040089321,0.994204859975938,1,257,"intracellular","CC"
"10","GO:0005730",0.222010696249777,0.975237404495237,1,553,"nucleolus","CC"
"11","GO:0005634",0.310921648896054,0.852010029697607,7,12382,"nucleus","CC"
"12","GO:0005794",0.486975265241566,0.86445369782363,1,1421,"Golgi apparatus","CC"
"13","GO:0005737",0.519633866430846,0.729316764599709,3,5948,"cytoplasm","CC"
"14","GO:0009507",0.560419531621004,0.692846982372299,3,6337,"chloroplast","CC"
"15","GO:0005739",0.565011650319993,0.726383286842258,2,4133,"mitochondrion","CC"
"16","GO:0005886",0.610268311675288,0.68366521161054,2,4376,"plasma membrane","CC"
"17","GO:0005829",0.752041757260572,0.613047277452498,1,2887,"cytosol","CC"
"18","GO:0016021",0.928977879322436,0.27938274882698,1,5396,"integral component of membrane","CC"
"19","GO:0000015",1,0.998701879130459,0,3,"phosphopyruvate hydratase complex","CC"
"20","GO:0000110",1,0.997777343729017,0,5,"nucleotide-excision repair factor 1 complex","CC"
"21","GO:0000111",1,0.999064163440409,0,2,"nucleotide-excision repair factor 2 complex","CC"
"22","GO:0000112",1,0.999056183356546,0,2,"nucleotide-excision repair factor 3 complex","CC"
"23","GO:0000118",1,0.996542028877725,0,8,"histone deacetylase complex","CC"
"24","GO:0000123",1,0.990137813038984,0,22,"histone acetyltransferase complex","CC"
"25","GO:0000124",1,0.989157130375857,0,22,"SAGA complex","CC"
"26","GO:0000126",1,0.998185151681591,0,4,"transcription factor TFIIIB complex","CC"
"27","GO:0000127",1,0.994728620608396,0,11,"transcription factor TFIIIC complex","CC"
"28","GO:0000138",1,0.997416199475672,0,6,"Golgi trans cisterna","CC"
"29","GO:0000139",1,0.8147593348078,0,451,"Golgi membrane","CC"
"30","GO:0000145",1,0.980673498192397,0,40,"exocyst","CC"
"31","GO:0000148",1,0.976551681629953,0,23,"1,3-beta-D-glucan synthase complex","CC"
"32","GO:0000151",1,0.961404403689873,0,75,"ubiquitin ligase complex","CC"
"33","GO:0000152",1,0.998113470725453,0,4,"nuclear ubiquitin ligase complex","CC"
"34","GO:0000153",1,0.999136716357942,0,2,"cytoplasmic ubiquitin ligase complex","CC"
"35","GO:0000159",1,0.9830054918377,0,38,"protein phosphatase type 2A complex","CC"
"36","GO:0000164",1,0.996555947960091,0,8,"protein phosphatase type 1 complex","CC"
"37","GO:0000172",1,0.999138117870506,0,2,"ribonuclease MRP complex","CC"
"38","GO:0000176",1,0.991171597470305,0,20,"nuclear exosome (RNase complex)","CC"
"39","GO:0000177",1,0.992976231328631,0,16,"cytoplasmic exosome (RNase complex)","CC"
"40","GO:0000178",1,0.994626995885425,0,12,"exosome (RNase complex)","CC"
"41","GO:0000214",1,0.998707460837885,0,3,"tRNA-intron endonuclease complex","CC"
"42","GO:0000220",1,0.997544106523584,0,5,"vacuolar proton-transporting V-type ATPase, V0 domain","CC"
"43","GO:0000221",1,0.999081281606802,0,2,"vacuolar proton-transporting V-type ATPase, V1 domain","CC"
"44","GO:0000228",1,0.99184280462942,0,17,"nuclear chromosome","CC"
"45","GO:0000243",1,0.99449042145187,0,12,"commitment complex","CC"
"46","GO:0000262",1,0.999568978717028,0,1,"mitochondrial chromosome","CC"
"47","GO:0000274",1,0.999568971497006,0,1,"mitochondrial proton-transporting ATP synthase, stator stalk","CC"
"48","GO:0000275",1,0.994835644021619,0,12,"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)","CC"
"49","GO:0000276",1,0.995268173970817,0,11,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","CC"
"50","GO:0000306",1,0.997319132953857,0,6,"extrinsic component of vacuolar membrane","CC"
"51","GO:0000307",1,0.980192341969306,0,46,"cyclin-dependent protein kinase holoenzyme complex","CC"
"52","GO:0000311",1,0.992695908917925,0,17,"plastid large ribosomal subunit","CC"
"53","GO:0000312",1,0.993552705789835,0,15,"plastid small ribosomal subunit","CC"
"54","GO:0000323",1,0.997365945436586,0,6,"lytic vacuole","CC"
"55","GO:0000325",1,0.968577686843388,0,64,"plant-type vacuole","CC"
"56","GO:0000326",1,0.996555151786303,0,8,"protein storage vacuole","CC"
"57","GO:0000327",1,0.999567871604016,0,1,"lytic vacuole within protein storage vacuole","CC"
"58","GO:0000333",1,0.999506481238644,0,1,"telomerase catalytic core complex","CC"
"59","GO:0000346",1,0.999568354639808,0,1,"transcription export complex","CC"
"60","GO:0000347",1,0.99469749041474,0,12,"THO complex","CC"
"61","GO:0000407",1,0.992709113083394,0,15,"phagophore assembly site","CC"
"62","GO:0000408",1,0.997844457161936,0,5,"EKC/KEOPS complex","CC"
"63","GO:0000417",1,0.99842167358836,0,3,"HIR complex","CC"
"64","GO:0000418",1,0.992014954054199,0,17,"RNA polymerase IV complex","CC"
"65","GO:0000419",1,0.989601037324595,0,23,"RNA polymerase V complex","CC"
"66","GO:0000421",1,0.991474478646545,0,19,"autophagosome membrane","CC"
"67","GO:0000427",1,0.997414551332677,0,6,"plastid-encoded plastid RNA polymerase complex","CC"
"68","GO:0000439",1,0.994065926828862,0,13,"transcription factor TFIIH core complex","CC"
"69","GO:0000445",1,0.996513231267203,0,8,"THO complex part of transcription export complex","CC"
"70","GO:0000502",1,0.956890393192651,0,101,"proteasome complex","CC"
"71","GO:0000506",1,0.997845001300525,0,5,"glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex","CC"
"72","GO:0000775",1,0.982786384287126,0,35,"chromosome, centromeric region","CC"
"73","GO:0000776",1,0.991293119659963,0,18,"kinetochore","CC"
"74","GO:0000777",1,0.995146332909156,0,11,"condensed chromosome kinetochore","CC"
"75","GO:0000778",1,0.996092229825228,0,9,"condensed nuclear chromosome kinetochore","CC"
"76","GO:0000779",1,0.99948656781296,0,1,"condensed chromosome, centromeric region","CC"
"77","GO:0000780",1,0.997842860146424,0,5,"condensed nuclear chromosome, centromeric region","CC"
"78","GO:0000781",1,0.995355844120887,0,10,"chromosome, telomeric region","CC"
"79","GO:0000783",1,0.998263906745842,0,4,"nuclear telomere cap complex","CC"
"80","GO:0000784",1,0.986581998546126,0,30,"nuclear chromosome, telomeric region","CC"
"81","GO:0000785",1,0.959654059861779,0,79,"chromatin","CC"
"82","GO:0000786",1,0.97779403206141,0,52,"nucleosome","CC"
"83","GO:0000790",1,0.970750309616856,0,65,"nuclear chromatin","CC"
"84","GO:0000791",1,0.998128860270334,0,4,"euchromatin","CC"
"85","GO:0000792",1,0.997846472666078,0,5,"heterochromatin","CC"
"86","GO:0000793",1,0.996658361087665,0,7,"condensed chromosome","CC"
"87","GO:0000794",1,0.994289445432787,0,12,"condensed nuclear chromosome","CC"
"88","GO:0000795",1,0.997121091503442,0,6,"synaptonemal complex","CC"
"89","GO:0000796",1,0.997898517720588,0,4,"condensin complex","CC"
"90","GO:0000798",1,0.998670200824678,0,3,"nuclear cohesin complex","CC"
"91","GO:0000799",1,0.999046008620068,0,2,"nuclear condensin complex","CC"
"92","GO:0000808",1,0.996044237389848,0,9,"origin recognition complex","CC"
"93","GO:0000811",1,0.997416112915744,0,6,"GINS complex","CC"
"94","GO:0000812",1,0.997514133796474,0,5,"Swr1 complex","CC"
"95","GO:0000813",1,0.994834724118538,0,12,"ESCRT I complex","CC"
"96","GO:0000814",1,0.996555304896106,0,8,"ESCRT II complex","CC"
"97","GO:0000815",1,0.994409888351349,0,13,"ESCRT III complex","CC"
"98","GO:0000818",1,0.999138129450816,0,2,"nuclear MIS12/MIND complex","CC"
"99","GO:0000922",1,0.991909809799042,0,16,"spindle pole","CC"
"100","GO:0000923",1,0.995766761097449,0,9,"equatorial microtubule organizing center","CC"
"101","GO:0000930",1,0.994049295259143,0,13,"gamma-tubulin complex","CC"
"102","GO:0000932",1,0.957793235404094,0,87,"P-body","CC"
"103","GO:0000938",1,0.994098111184385,0,10,"GARP complex","CC"
"104","GO:0000940",1,0.999568981792209,0,1,"condensed chromosome outer kinetochore","CC"
"105","GO:0000943",1,0.997846604205975,0,5,"retrotransposon nucleocapsid","CC"
"106","GO:0000974",1,0.992537531387064,0,17,"Prp19 complex","CC"
"107","GO:0001401",1,0.999137975690001,0,2,"mitochondrial sorting and assembly machinery complex","CC"
"108","GO:0001405",1,0.997416442634407,0,6,"PAM complex, Tim23 associated import motor","CC"
"109","GO:0001673",1,0.99784433717025,0,5,"male germ cell nucleus","CC"
"110","GO:0002144",1,0.999568879138805,0,1,"cytosolic tRNA wobble base thiouridylase complex","CC"
"111","GO:0002189",1,0.996554935792997,0,8,"ribose phosphate diphosphokinase complex","CC"
"112","GO:0005575",1,0.831666389777801,0,422,"cellular_component","CC"
"113","GO:0005576",1,0.344383306574811,0,2337,"extracellular region","CC"
"114","GO:0005615",1,0.940788517679818,0,141,"extracellular space","CC"
"115","GO:0005618",1,0.764547791101009,0,604,"cell wall","CC"
"116","GO:0005623",1,0.954075227640918,0,101,"cell","CC"
"117","GO:0005635",1,0.952040490363862,0,97,"nuclear envelope","CC"
"118","GO:0005637",1,0.997833616634344,0,5,"nuclear inner membrane","CC"
"119","GO:0005640",1,0.997846624913086,0,5,"nuclear outer membrane","CC"
"120","GO:0005643",1,0.969156212061465,0,57,"nuclear pore","CC"
"121","GO:0005652",1,0.996787163053111,0,7,"nuclear lamina","CC"
"122","GO:0005654",1,0.925708523170021,0,169,"nucleoplasm","CC"
"123","GO:0005655",1,0.99956898214218,0,1,"nucleolar ribonuclease P complex","CC"
"124","GO:0005656",1,0.998626801032561,0,3,"nuclear pre-replicative complex","CC"
"125","GO:0005657",1,0.995957654258308,0,9,"replication fork","CC"
"126","GO:0005658",1,0.997225825850822,0,5,"alpha DNA polymerase:primase complex","CC"
"127","GO:0005662",1,0.994372118278281,0,13,"DNA replication factor A complex","CC"
"128","GO:0005663",1,0.994343870264234,0,12,"DNA replication factor C complex","CC"
"129","GO:0005664",1,0.996044237389848,0,9,"nuclear origin of replication recognition complex","CC"
"130","GO:0005665",1,0.989797150572148,0,22,"RNA polymerase II, core complex","CC"
