"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0047215",0.000861865521465783,0.999999828508127,1,2,"indole-3-acetate beta-glucosyltransferase activity","MF"
"2","GO:1990837",0.000861970450820815,0.999999828466358,1,2,"sequence-specific double-stranded DNA binding","MF"
"3","GO:0080002",0.00172304513880077,0.999998971549319,1,4,"UDP-glucose:4-aminobenzoate acylglucosyltransferase activity","MF"
"4","GO:0010294",0.00215341657831684,0.999998286270894,1,5,"abscisic acid glucosyltransferase activity","MF"
"5","GO:1990381",0.00261259010680105,0.999997371972847,1,6,"ubiquitin-specific protease binding","MF"
"6","GO:0061575",0.00568700331395437,0.99998619124681,1,13,"cyclin-dependent protein serine/threonine kinase activator activity","MF"
"7","GO:0009815",0.007304237232762,0.999976760729593,1,17,"1-aminocyclopropane-1-carboxylate oxidase activity","MF"
"8","GO:0035251",0.0116129998452387,0.999939802784429,1,27,"UDP-glucosyltransferase activity","MF"
"9","GO:0016538",0.025143042959404,0.999710600649024,1,58,"cyclin-dependent protein serine/threonine kinase regulator activity","MF"
"10","GO:0003713",0.0297409729075045,0.999593438026261,1,67,"transcription coactivator activity","MF"
"11","GO:0008234",0.0340943281908313,0.999463890011934,1,76,"cysteine-type peptidase activity","MF"
"12","GO:0004843",0.0362062755089446,0.999394835629314,1,77,"thiol-dependent ubiquitin-specific protease activity","MF"
"13","GO:0004693",0.0367021747314354,0.999377184698481,1,86,"cyclin-dependent protein serine/threonine kinase activity","MF"
"14","GO:0080044",0.0389799072880571,0.999296353610484,1,92,"quercetin 7-O-glucosyltransferase activity","MF"
"15","GO:0080043",0.040640854507945,0.999234291450117,1,96,"quercetin 3-O-glucosyltransferase activity","MF"
"16","GO:0016758",0.0483048054091772,0.998913562320335,1,112,"transferase activity, transferring hexosyl groups","MF"
"17","GO:0008194",0.0561648333780344,0.998524837129842,1,133,"UDP-glycosyltransferase activity","MF"
"18","GO:0051213",0.0580511327197925,0.99842270910665,1,136,"dioxygenase activity","MF"
"19","GO:0051082",0.0679824078808321,0.99782646294572,1,159,"unfolded protein binding","MF"
"20","GO:0046872",0.0728595050635772,0.985736786292156,3,2223,"metal ion binding","MF"
"21","GO:0043531",0.075796889523437,0.997289220387294,1,167,"ADP binding","MF"
"22","GO:0030246",0.099343005813503,0.995293059649045,1,237,"carbohydrate binding","MF"
"23","GO:0061630",0.104401657191369,0.994791286172308,1,237,"ubiquitin protein ligase activity","MF"
"24","GO:0003700",0.195246404048894,0.955801116512784,2,1868,"DNA-binding transcription factor activity","MF"
"25","GO:0016757",0.243512712083302,0.969927737393847,1,609,"transferase activity, transferring glycosyl groups","MF"
"26","GO:0004674",0.342259198783907,0.93784650801204,1,906,"protein serine/threonine kinase activity","MF"
"27","GO:0008270",0.414067685804582,0.905740544554575,1,1170,"zinc ion binding","MF"
"28","GO:0016301",0.452494125275753,0.885146507565775,1,1329,"kinase activity","MF"
"29","GO:0005515",0.891809965578502,0.370660141435051,1,4494,"protein binding","MF"
"30","GO:0003674",0.90577718189933,0.338347389848681,1,4941,"molecular_function","MF"
"31","GO:0030234",0.999999999999999,0.989792314897537,0,23,"enzyme regulator activity","MF"
"32","GO:0000009",1,0.999559904076033,0,1,"alpha-1,6-mannosyltransferase activity","MF"
"33","GO:0000014",1,0.994909323642195,0,11,"single-stranded DNA endodeoxyribonuclease activity","MF"
"34","GO:0000026",1,0.999567060918071,0,1,"alpha-1,2-mannosyltransferase activity","MF"
"35","GO:0000030",1,0.9948213062557,0,12,"mannosyltransferase activity","MF"
"36","GO:0000033",1,0.999135496604183,0,2,"alpha-1,3-mannosyltransferase activity","MF"
"37","GO:0000035",1,0.99823070108732,0,4,"acyl binding","MF"
"38","GO:0000036",1,0.994190564490567,0,13,"acyl carrier activity","MF"
"39","GO:0000048",1,0.998275709883542,0,4,"peptidyltransferase activity","MF"
"40","GO:0000049",1,0.986712258246984,0,27,"tRNA binding","MF"
"41","GO:0000062",1,0.995067734350574,0,11,"fatty-acyl-CoA binding","MF"
"42","GO:0000064",1,0.998276878950173,0,4,"L-ornithine transmembrane transporter activity","MF"
"43","GO:0000095",1,0.995235344827886,0,11,"S-adenosyl-L-methionine transmembrane transporter activity","MF"
"44","GO:0000104",1,0.996113347015484,0,9,"succinate dehydrogenase activity","MF"
"45","GO:0000107",1,0.999548813756992,0,1,"imidazoleglycerol-phosphate synthase activity","MF"
"46","GO:0000121",1,0.999568978717028,0,1,"glycerol-1-phosphatase activity","MF"
"47","GO:0000140",1,0.999138135775608,0,2,"acylglycerone-phosphate reductase activity","MF"
"48","GO:0000146",1,0.998609302090582,0,2,"microfilament motor activity","MF"
"49","GO:0000150",1,0.997844898723229,0,5,"recombinase activity","MF"
"50","GO:0000155",1,0.989270580621878,0,23,"phosphorelay sensor kinase activity","MF"
"51","GO:0000156",1,0.983961305664381,0,37,"phosphorelay response regulator activity","MF"
"52","GO:0000166",1,0.875662834920263,0,271,"nucleotide binding","MF"
"53","GO:0000170",1,0.996964799331619,0,7,"sphingosine hydroxylase activity","MF"
"54","GO:0000171",1,0.999568964229853,0,1,"ribonuclease MRP activity","MF"
"55","GO:0000175",1,0.989151891215432,0,24,"3'-5'-exoribonuclease activity","MF"
"56","GO:0000179",1,0.998276925682592,0,4,"rRNA (adenine-N6,N6-)-dimethyltransferase activity","MF"
"57","GO:0000182",1,0.999568777312815,0,1,"rDNA binding","MF"
"58","GO:0000210",1,0.992694651823064,0,17,"NAD+ diphosphatase activity","MF"
"59","GO:0000213",1,0.997845866320157,0,5,"tRNA-intron endonuclease activity","MF"
"60","GO:0000215",1,0.999138106626657,0,2,"tRNA 2'-phosphotransferase activity","MF"
"61","GO:0000224",1,0.999549635251481,0,1,"peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity","MF"
"62","GO:0000225",1,0.997845916324972,0,5,"N-acetylglucosaminylphosphatidylinositol deacetylase activity","MF"
"63","GO:0000234",1,0.998253567998024,0,4,"phosphoethanolamine N-methyltransferase activity","MF"
"64","GO:0000247",1,0.999568982142131,0,1,"C-8 sterol isomerase activity","MF"
"65","GO:0000248",1,0.999138115372378,0,2,"C-5 sterol desaturase activity","MF"
"66","GO:0000249",1,0.998707401696774,0,3,"C-22 sterol desaturase activity","MF"
"67","GO:0000250",1,0.998551760577942,0,3,"lanosterol synthase activity","MF"
"68","GO:0000254",1,0.996985654423241,0,7,"C-4 methylsterol oxidase activity","MF"
"69","GO:0000257",1,0.996554929430254,0,8,"nitrilase activity","MF"
"70","GO:0000285",1,0.986653493656001,0,13,"1-phosphatidylinositol-3-phosphate 5-kinase activity","MF"
"71","GO:0000287",1,0.938950908104305,0,140,"magnesium ion binding","MF"
"72","GO:0000293",1,0.994354819342912,0,13,"ferric-chelate reductase activity","MF"
"73","GO:0000309",1,0.996551720258093,0,8,"nicotinamide-nucleotide adenylyltransferase activity","MF"
"74","GO:0000339",1,0.996447199102432,0,8,"RNA cap binding","MF"
"75","GO:0000340",1,0.99566706514275,0,9,"RNA 7-methylguanosine cap binding","MF"
"76","GO:0000384",1,0.999138129415732,0,2,"first spliceosomal transesterification activity","MF"
"77","GO:0000386",1,0.997056655129695,0,5,"second spliceosomal transesterification activity","MF"
"78","GO:0000400",1,0.995290209660727,0,10,"four-way junction DNA binding","MF"
"79","GO:0000403",1,0.999568908837893,0,1,"Y-form DNA binding","MF"
"80","GO:0000406",1,0.999568908837893,0,1,"double-strand/single-strand DNA junction binding","MF"
"81","GO:0000701",1,0.99956789154789,0,1,"purine-specific mismatch base pair DNA N-glycosylase activity","MF"
"82","GO:0000703",1,0.999137056552336,0,2,"oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity","MF"
"83","GO:0000773",1,0.999138135775608,0,2,"phosphatidyl-N-methylethanolamine N-methyltransferase activity","MF"
"84","GO:0000774",1,0.996126681857895,0,9,"adenyl-nucleotide exchange factor activity","MF"
"85","GO:0000822",1,0.998589501846324,0,3,"inositol hexakisphosphate binding","MF"
"86","GO:0000823",1,0.99827694225622,0,4,"inositol-1,4,5-trisphosphate 6-kinase activity","MF"
"87","GO:0000824",1,0.99827694225622,0,4,"inositol tetrakisphosphate 3-kinase activity","MF"
"88","GO:0000828",1,0.996653612340363,0,5,"inositol hexakisphosphate kinase activity","MF"
"89","GO:0000829",1,0.996653612340363,0,5,"inositol heptakisphosphate kinase activity","MF"
"90","GO:0000832",1,0.998649636093139,0,2,"inositol hexakisphosphate 5-kinase activity","MF"
"91","GO:0000900",1,0.999119619214304,0,2,"translation repressor activity, mRNA regulatory element binding","MF"
"92","GO:0000906",1,0.999568971497006,0,1,"6,7-dimethyl-8-ribityllumazine synthase activity","MF"
"93","GO:0000976",1,0.977185388447366,0,49,"transcription regulatory region sequence-specific DNA binding","MF"
"94","GO:0000977",1,0.962489621101692,0,86,"RNA polymerase II regulatory region sequence-specific DNA binding","MF"
"95","GO:0000978",1,0.977777516211215,0,52,"RNA polymerase II proximal promoter sequence-specific DNA binding","MF"
"96","GO:0000979",1,0.995696531178508,0,10,"RNA polymerase II core promoter sequence-specific DNA binding","MF"
"97","GO:0000980",1,0.999137926603824,0,2,"RNA polymerase II distal enhancer sequence-specific DNA binding","MF"
"98","GO:0000981",1,0.988232597453364,0,27,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"99","GO:0000987",1,0.993507130802527,0,15,"proximal promoter sequence-specific DNA binding","MF"
"100","GO:0000993",1,0.989351780211614,0,24,"RNA polymerase II complex binding","MF"
"101","GO:0000995",1,0.994638435396812,0,11,"RNA polymerase III general transcription initiation factor activity","MF"
"102","GO:0001002",1,0.998151981637062,0,4,"RNA polymerase III type 1 promoter sequence-specific DNA binding","MF"
"103","GO:0001003",1,0.998151981637062,0,4,"RNA polymerase III type 2 promoter sequence-specific DNA binding","MF"
"104","GO:0001004",1,0.996511065878749,0,7,"RNA polymerase III transcription regulator recruiting activity","MF"
"105","GO:0001006",1,0.998185151681591,0,4,"RNA polymerase III type 3 promoter sequence-specific DNA binding","MF"
"106","GO:0001012",1,0.998958276612872,0,2,"RNA polymerase II regulatory region DNA binding","MF"
"107","GO:0001042",1,0.999120881020873,0,2,"RNA polymerase I core binding","MF"
"108","GO:0001046",1,0.998706958759877,0,3,"core promoter sequence-specific DNA binding","MF"
"109","GO:0001054",1,0.990493390496742,0,20,"RNA polymerase I activity","MF"
"110","GO:0001055",1,0.990651449612031,0,20,"RNA polymerase II activity","MF"
"111","GO:0001056",1,0.984560795317501,0,33,"RNA polymerase III activity","MF"
"112","GO:0001085",1,0.997377233797754,0,6,"RNA polymerase II transcription factor binding","MF"
"113","GO:0001093",1,0.999568981897966,0,1,"TFIIB-class transcription factor binding","MF"
