"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath00010",1,1,0,147,"Glycolysis / Gluconeogenesis","KEGG"
"2","path:ath00020",1,1,0,82,"Citrate cycle (TCA cycle)","KEGG"
"3","path:ath00030",1,1,0,77,"Pentose phosphate pathway","KEGG"
"4","path:ath00040",1,1,0,86,"Pentose and glucuronate interconversions","KEGG"
"5","path:ath00051",1,1,0,74,"Fructose and mannose metabolism","KEGG"
"6","path:ath00052",1,1,0,70,"Galactose metabolism","KEGG"
"7","path:ath00053",1,1,0,67,"Ascorbate and aldarate metabolism","KEGG"
"8","path:ath00061",1,1,0,54,"Fatty acid biosynthesis","KEGG"
"9","path:ath00062",1,1,0,34,"Fatty acid elongation","KEGG"
"10","path:ath00071",1,1,0,66,"Fatty acid degradation","KEGG"
"11","path:ath00072",1,1,0,10,"Synthesis and degradation of ketone bodies","KEGG"
"12","path:ath00073",1,1,0,24,"Cutin, suberine and wax biosynthesis","KEGG"
"13","path:ath00100",1,1,0,48,"Steroid biosynthesis","KEGG"
"14","path:ath00130",1,1,0,58,"Ubiquinone and other terpenoid-quinone biosynthesis","KEGG"
"15","path:ath00190",1,1,0,152,"Oxidative phosphorylation","KEGG"
"16","path:ath00195",1,1,0,46,"Photosynthesis","KEGG"
"17","path:ath00196",1,1,0,22,"Photosynthesis - antenna proteins","KEGG"
"18","path:ath00220",1,1,0,50,"Arginine biosynthesis","KEGG"
"19","path:ath00230",1,1,0,123,"Purine metabolism","KEGG"
"20","path:ath00232",1,1,0,2,"Caffeine metabolism","KEGG"
"21","path:ath00240",1,1,0,68,"Pyrimidine metabolism","KEGG"
"22","path:ath00250",1,1,0,75,"Alanine, aspartate and glutamate metabolism","KEGG"
"23","path:ath00260",1,1,0,88,"Glycine, serine and threonine metabolism","KEGG"
"24","path:ath00261",1,1,0,18,"Monobactam biosynthesis","KEGG"
"25","path:ath00270",1,1,0,173,"Cysteine and methionine metabolism","KEGG"
"26","path:ath00280",1,1,0,78,"Valine, leucine and isoleucine degradation","KEGG"
"27","path:ath00290",1,1,0,29,"Valine, leucine and isoleucine biosynthesis","KEGG"
"28","path:ath00300",1,1,0,19,"Lysine biosynthesis","KEGG"
"29","path:ath00310",1,1,0,54,"Lysine degradation","KEGG"
