"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0042425",0.00144464549916389,1,1,1,"choline biosynthetic process","BP"
"2","GO:0009733",0.00200070051824774,0.999807953254272,4,334,"response to auxin","BP"
"3","GO:0080184",0.00205428176745812,1,1,1,"response to phenylpropanoid","BP"
"4","GO:0032204",0.00312322713481098,0.9999964169226,1,4,"regulation of telomere maintenance","BP"
"5","GO:0033044",0.00312322713481098,0.9999964169226,1,4,"regulation of chromosome organization","BP"
"6","GO:0043247",0.00312322713481098,0.9999964169226,1,4,"telomere maintenance in response to DNA damage","BP"
"7","GO:0010062",0.00501992321527804,0.999990736077683,1,4,"negative regulation of trichoblast fate specification","BP"
"8","GO:0006952",0.00515504324091506,0.999148805710511,5,761,"defense response","BP"
"9","GO:0043489",0.00586237924746509,0.999987361226071,1,4,"RNA stabilization","BP"
"10","GO:0009555",0.00593637197404907,0.999501215301946,3,268,"pollen development","BP"
"11","GO:0000077",0.00703062931055552,0.999979796199153,1,6,"DNA damage checkpoint","BP"
"12","GO:0032504",0.00814096976702226,0.999972126258205,1,7,"multicellular organism reproduction","BP"
"13","GO:0009553",0.00836154877977906,0.999643981031467,2,110,"embryo sac development","BP"
"14","GO:0042542",0.0103873572001603,0.999506473283889,2,90,"response to hydrogen peroxide","BP"
"15","GO:0071483",0.0120563704007448,0.99993877303908,1,7,"cellular response to blue light","BP"
"16","GO:0045165",0.0140630191557775,0.999914900607167,1,8,"cell fate commitment","BP"
"17","GO:2000033",0.0149396665130121,0.999902409617673,1,9,"regulation of seed dormancy process","BP"
"18","GO:0048528",0.0166496326069948,0.999874941357909,1,12,"post-embryonic root development","BP"
"19","GO:0006282",0.0171126900036026,0.999866158881472,1,14,"regulation of DNA repair","BP"
"20","GO:0006656",0.0173912147887067,0.999863515142727,1,12,"phosphatidylcholine biosynthetic process","BP"
"21","GO:0010115",0.0179167160262199,0.999856304622706,1,11,"regulation of abscisic acid biosynthetic process","BP"
"22","GO:0071482",0.0190175789196431,0.999836695186376,1,12,"cellular response to light stimulus","BP"
"23","GO:0009957",0.0202402911788857,0.999812548651215,1,14,"epidermal cell fate specification","BP"
"24","GO:0007004",0.0204404220758117,0.999805562678308,1,18,"telomere maintenance via telomerase","BP"
"25","GO:0016444",0.02076659031972,0.999801629657116,1,15,"somatic cell DNA recombination","BP"
"26","GO:0033386",0.0210773395628831,0.999800898525203,1,11,"geranylgeranyl diphosphate biosynthetic process","BP"
"27","GO:0010332",0.0211530820852219,0.999792429778002,1,17,"response to gamma radiation","BP"
"28","GO:0032366",0.0228900780277947,0.999763074041803,1,12,"intracellular sterol transport","BP"
"29","GO:0033384",0.0258494285754183,0.999693620214692,1,14,"geranyl diphosphate biosynthetic process","BP"
"30","GO:0045337",0.0258494285754183,0.999693620214692,1,14,"farnesyl diphosphate biosynthetic process","BP"
"31","GO:0010044",0.0267267776219204,0.999664035659617,1,21,"response to aluminum ion","BP"
"32","GO:1901259",0.0287137154984448,0.999613968870471,1,19,"chloroplast rRNA processing","BP"
"33","GO:0008610",0.0303216262905105,0.999566040588308,1,22,"lipid biosynthetic process","BP"
"34","GO:0006355",0.0303444327015763,0.990135445184553,7,1919,"regulation of transcription, DNA-templated","BP"
"35","GO:0006636",0.0337079449057682,0.999463037467161,1,22,"unsaturated fatty acid biosynthetic process","BP"
"36","GO:0048765",0.034415785765036,0.999436941770552,1,25,"root hair cell differentiation","BP"
"37","GO:0006508",0.0347046239812181,0.994360809426807,3,493,"proteolysis","BP"
"38","GO:0006303",0.0357628813634584,0.999386856725391,1,31,"double-strand break repair via nonhomologous end joining","BP"
"39","GO:0046686",0.0360544240892173,0.994054123271112,3,492,"response to cadmium ion","BP"
"40","GO:0005992",0.0361988846156809,0.999373143480535,1,29,"trehalose biosynthetic process","BP"
"41","GO:0006281",0.039202523448489,0.996197299841056,2,240,"DNA repair","BP"
"42","GO:0010102",0.04008034291103,0.999229522247681,1,30,"lateral root morphogenesis","BP"
"43","GO:0019762",0.0407450493011857,0.999205498007485,1,28,"glucosinolate catabolic process","BP"
"44","GO:0009294",0.0414540869858706,0.999172842365246,1,33,"DNA mediated transformation","BP"
"45","GO:0010183",0.0428241391229696,0.999117677052991,1,32,"pollen tube guidance","BP"
"46","GO:0006352",0.0453793792531117,0.999007370850429,1,33,"DNA-templated transcription, initiation","BP"
"47","GO:0010227",0.045754789251067,0.998997643781514,1,27,"floral organ abscission","BP"
"48","GO:0000723",0.0470649056737515,0.998927287691137,1,38,"telomere maintenance","BP"
"49","GO:0006334",0.0480229160256009,0.998888356414564,1,32,"nucleosome assembly","BP"
"50","GO:0009751",0.0483867564300467,0.994740418732424,2,209,"response to salicylic acid","BP"
"51","GO:0090351",0.0570973480213743,0.998419073162642,1,35,"seedling development","BP"
"52","GO:0016117",0.0602514225868657,0.998232352750801,1,39,"carotenoid biosynthetic process","BP"
"53","GO:0032259",0.0635046573000611,0.991969431302269,2,258,"methylation","BP"
"54","GO:2000280",0.0647236904540554,0.997958253422803,1,38,"regulation of root development","BP"
"55","GO:0009735",0.066903837676008,0.991290334832066,2,257,"response to cytokinin","BP"
"56","GO:0031640",0.0729902947403614,0.997416818629891,1,29,"killing of cells of other organism","BP"
"57","GO:0010043",0.0912551538786825,0.99586434058097,1,58,"response to zinc ion","BP"
"58","GO:0051321",0.0920606526159992,0.995768833334575,1,82,"meiotic cell cycle","BP"
"59","GO:0045893",0.103046310824655,0.98284398275854,2,335,"positive regulation of transcription, DNA-templated","BP"
"60","GO:0000724",0.10312281963053,0.994669946444412,1,81,"double-strand break repair via homologous recombination","BP"
"61","GO:0009651",0.103844120862147,0.973695850697493,3,739,"response to salt stress","BP"
"62","GO:0002229",0.10978956145532,0.99395040453536,1,74,"defense response to oomycetes","BP"
"63","GO:0009631",0.111082156968991,0.993805246269005,1,73,"cold acclimation","BP"
