"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0009579",8.37061655208702e-07,0.99999988548625,12,240,"thylakoid","CC"
"2","GO:0010287",1.79173236689592e-05,0.999998361458399,7,93,"plastoglobule","CC"
"3","GO:0009535",0.000144236000779306,0.999963499375037,13,445,"chloroplast thylakoid membrane","CC"
"4","GO:0009534",0.000359257536502147,0.999927877192589,9,251,"chloroplast thylakoid","CC"
"5","GO:0009522",0.000998485472111685,0.999956568089182,3,28,"photosystem I","CC"
"6","GO:0030095",0.00572944455837903,0.999810580562952,2,16,"chloroplast photosystem II","CC"
"7","GO:0009344",0.00600093982777662,1,1,1,"nitrite reductase complex [NAD(P)H]","CC"
"8","GO:0016281",0.00789652972782887,0.999699446911589,2,13,"eukaryotic translation initiation factor 4F complex","CC"
"9","GO:0005737",0.00832784002626164,0.994321732102967,78,5948,"cytoplasm","CC"
"10","GO:0030076",0.00950296956062022,0.999583113254555,2,20,"light-harvesting complex","CC"
"11","GO:0000159",0.00960166455248947,0.999048092354087,3,38,"protein phosphatase type 2A complex","CC"
"12","GO:0009941",0.0126327741545163,0.994495798602937,14,708,"chloroplast envelope","CC"
"13","GO:0031969",0.0126621220596934,0.996809914314908,6,182,"chloroplast membrane","CC"
"14","GO:0030093",0.0196115049880011,0.999871123353303,1,3,"chloroplast photosystem I","CC"
"15","GO:0009573",0.020603296183169,0.999857694807877,1,3,"chloroplast ribulose bisphosphate carboxylase complex","CC"
"16","GO:0009523",0.0212031418271306,0.998539981868942,2,32,"photosystem II","CC"
"17","GO:0009782",0.0226885295100295,0.999827268961764,1,3,"photosystem I antenna complex","CC"
"18","GO:0042170",0.0300142341655987,0.999696709466773,1,3,"plastid membrane","CC"
"19","GO:0045239",0.0352797335186657,0.999579951361924,1,3,"tricarboxylic acid cycle enzyme complex","CC"
"20","GO:0032592",0.0353563570120358,0.999525849141404,1,4,"integral component of mitochondrial membrane","CC"
"21","GO:0009507",0.0382255003769025,0.971920575879743,75,6337,"chloroplast","CC"
"22","GO:0070382",0.0452055277784508,0.999307192548603,1,3,"exocytic vesicle","CC"
"23","GO:0010598",0.0510339182518558,0.998865471258545,1,7,"NAD(P)H dehydrogenase complex (plastoquinone)","CC"
"24","GO:0022626",0.0604088570808688,0.980590118682329,5,251,"cytosolic ribosome","CC"
"25","GO:0043036",0.0616889698037234,0.998380656915847,1,6,"starch grain","CC"
"26","GO:0012511",0.0681280700484943,0.997890492865436,1,9,"monolayer-surrounded lipid storage body","CC"
"27","GO:0009538",0.0689920159714956,0.997809450465527,1,10,"photosystem I reaction center","CC"
"28","GO:0045177",0.0722452411673962,0.997769411496944,1,6,"apical part of cell","CC"
"29","GO:0005798",0.0736570623643017,0.997566618312406,1,8,"Golgi-associated vesicle","CC"
"30","GO:0030658",0.0736999037218403,0.997563745428534,1,8,"transport vesicle membrane","CC"
"31","GO:0055038",0.0736999037218403,0.997563745428534,1,8,"recycling endosome membrane","CC"
"32","GO:0009570",0.0788385455114991,0.957095622080602,13,850,"chloroplast stroma","CC"
"33","GO:0015934",0.0832083485869335,0.987644288004315,2,64,"large ribosomal subunit","CC"
"34","GO:0005743",0.0874640168450572,0.973252051615276,4,178,"mitochondrial inner membrane","CC"
"35","GO:0016272",0.0913072697719868,0.996060151160428,1,12,"prefoldin complex","CC"
"36","GO:0009346",0.0958373389062103,0.995779731250893,1,9,"citrate lyase complex","CC"
"37","GO:0071007",0.0961425498346439,0.995700800095598,1,10,"U2-type catalytic step 2 spliceosome","CC"
"38","GO:0009898",0.0961784483341162,0.995749058477357,1,9,"cytoplasmic side of plasma membrane","CC"
"39","GO:0009368",0.100102201349603,0.995286441223105,1,11,"endopeptidase Clp complex","CC"
"40","GO:0061908",0.100444473064082,0.995215235945033,1,12,"phagophore","CC"
"41","GO:0070461",0.103126739436865,0.995173241731925,1,8,"SAGA-type complex","CC"
"42","GO:0005749",0.110444048665402,0.994119784436713,1,14,"mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)","CC"
"43","GO:0005844",0.114969508272446,0.993879770148779,1,9,"polysome","CC"
"44","GO:0000178",0.119055788109835,0.99322860403331,1,12,"exosome (RNase complex)","CC"
"45","GO:0009654",0.126595152789705,0.992098092153948,1,18,"photosystem II oxygen evolving complex","CC"
"46","GO:0035097",0.128876404721237,0.992173346887971,1,10,"histone methyltransferase complex","CC"
"47","GO:0009707",0.131179366948915,0.974672975648486,2,64,"chloroplast outer membrane","CC"
"48","GO:0000177",0.14194220358848,0.990076595247042,1,16,"cytoplasmic exosome (RNase complex)","CC"
"49","GO:0005840",0.14494980924749,0.939710955091411,5,370,"ribosome","CC"
"50","GO:0005851",0.147932611706502,0.989195801229037,1,16,"eukaryotic translation initiation factor 2B complex","CC"
"51","GO:0009504",0.152921020309412,0.967692735500604,2,61,"cell plate","CC"
"52","GO:0031011",0.162662865134964,0.986915436731631,1,15,"Ino80 complex","CC"
"53","GO:0008180",0.164039259646333,0.986536043069759,1,18,"COP9 signalosome","CC"
"54","GO:0009543",0.171552514778919,0.960903735132697,2,88,"chloroplast thylakoid lumen","CC"
"55","GO:0000176",0.173062641470588,0.984876744135457,1,20,"nuclear exosome (RNase complex)","CC"
"56","GO:0032588",0.179862673829948,0.983710345032752,1,18,"trans-Golgi network membrane","CC"
"57","GO:0009986",0.185995812927617,0.982486661728308,1,19,"cell surface","CC"
"58","GO:0009705",0.195018875972019,0.933428266816943,3,145,"plant-type vacuole membrane","CC"
"59","GO:0031901",0.206260711728714,0.978015518747473,1,25,"early endosome membrane","CC"
"60","GO:0008541",0.215498354302035,0.975911799057291,1,25,"proteasome regulatory particle, lid subcomplex","CC"
"61","GO:0005776",0.21811433532731,0.975336571866874,1,24,"autophagosome","CC"
"62","GO:0005783",0.218217294152621,0.858671793521961,13,1011,"endoplasmic reticulum","CC"
"63","GO:0005762",0.222967554972338,0.973917101801253,1,32,"mitochondrial large ribosomal subunit","CC"
"64","GO:0048046",0.226270602165713,0.876183775272186,7,522,"apoplast","CC"
"65","GO:0090575",0.226374376246828,0.973159082508212,1,29,"RNA polymerase II transcription factor complex","CC"
"66","GO:0016021",0.235014797729163,0.80842025749553,58,5396,"integral component of membrane","CC"
"67","GO:0019005",0.242166943782326,0.931541392413111,2,96,"SCF ubiquitin ligase complex","CC"
"68","GO:0016020",0.250923869536592,0.811305368472507,26,2227,"membrane","CC"
"69","GO:0009532",0.251722179045749,0.966499922232677,1,28,"plastid stroma","CC"
"70","GO:0009536",0.251805590084729,0.865451684691354,6,421,"plastid","CC"
"71","GO:0005938",0.289347866766797,0.954969221023339,1,29,"cell cortex","CC"
"72","GO:0009505",0.290583527245261,0.847804756958524,5,369,"plant-type cell wall","CC"
"73","GO:1990904",0.301713057929453,0.901408451239134,2,111,"ribonucleoprotein complex","CC"
"74","GO:0055028",0.303072139902124,0.950152131610416,1,32,"cortical microtubule","CC"
"75","GO:0005667",0.305080206771605,0.94932123297853,1,35,"transcription factor complex","CC"
"76","GO:0016459",0.311498279703534,0.947831987077689,1,22,"myosin complex","CC"
"77","GO:0005741",0.317056322497442,0.944863165877319,1,38,"mitochondrial outer membrane","CC"
"78","GO:0005768",0.327166093158834,0.809906350041044,6,434,"endosome","CC"
"79","GO:0019898",0.330507583244776,0.939655871196236,1,40,"extrinsic component of membrane","CC"
"80","GO:0046540",0.337737324881835,0.936715743491673,1,42,"U4/U6 x U5 tri-snRNP complex","CC"
"81","GO:0048471",0.339578084741617,0.936242829988059,1,35,"perinuclear region of cytoplasm","CC"
"82","GO:0030126",0.340644809015996,0.935910215530725,1,33,"COPI vesicle coat","CC"
"83","GO:0000148",0.354835613034126,0.930830283736782,1,23,"1,3-beta-D-glucan synthase complex","CC"
"84","GO:0005618",0.358753869722046,0.775400751772182,7,604,"cell wall","CC"
"85","GO:0000139",0.363230250260526,0.781344702058768,6,451,"Golgi membrane","CC"
"86","GO:0005802",0.363896503925004,0.780821600752413,6,442,"trans-Golgi network","CC"
"87","GO:0005634",0.365879790888037,0.67824223664391,129,12382,"nucleus","CC"
"88","GO:0022625",0.372763709302992,0.858774428222334,2,174,"cytosolic large ribosomal subunit","CC"
"89","GO:0010319",0.377979231472044,0.919025502047048,1,49,"stromule","CC"
"90","GO:0030173",0.382410630470703,0.916975053457489,1,48,"integral component of Golgi membrane","CC"
"91","GO:0031977",0.396743573041883,0.909752671359563,1,58,"thylakoid lumen","CC"
"92","GO:0030176",0.432817983499833,0.890741932125494,1,57,"integral component of endoplasmic reticulum membrane","CC"
"93","GO:0031201",0.459642615518184,0.874830660964282,1,68,"SNARE complex","CC"
"94","GO:0005622",0.463242102613924,0.753695457588552,3,257,"intracellular","CC"
"95","GO:0090406",0.467403270925114,0.870266572072764,1,60,"pollen tube","CC"
"96","GO:0005730",0.472864700813539,0.68674675767862,6,553,"nucleolus","CC"
"97","GO:0005829",0.524837730468692,0.552375531415869,30,2887,"cytosol","CC"
