"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0045944",7.96322332099401e-06,0.999998763699462,11,139,"positive regulation of transcription by RNA polymerase II","BP"
"2","GO:0080187",0.000620790930296115,0.999979599781794,3,12,"floral organ senescence","BP"
"3","GO:0009838",0.000719901140065279,0.999974659495762,3,13,"abscission","BP"
"4","GO:0010048",0.000778729288915787,0.999916729012259,5,48,"vernalization response","BP"
"5","GO:0006355",0.00106150631252225,0.99941703916928,43,1919,"regulation of transcription, DNA-templated","BP"
"6","GO:0006352",0.00127659264406781,0.999893923538588,4,33,"DNA-templated transcription, initiation","BP"
"7","GO:0007275",0.00159151526655869,0.999428545527662,15,454,"multicellular organism development","BP"
"8","GO:0010027",0.00203293997951637,0.999725512278867,5,65,"thylakoid membrane organization","BP"
"9","GO:0010207",0.00556575731935548,0.999555158004201,3,28,"photosystem II assembly","BP"
"10","GO:0009909",0.00564914213825728,0.998808284674275,6,112,"regulation of flower development","BP"
"11","GO:0042761",0.00587397260235073,0.999521321373177,3,28,"very long-chain fatty acid biosynthetic process","BP"
"12","GO:0030154",0.00897474280946651,0.997100098418862,9,250,"cell differentiation","BP"
"13","GO:0007035",0.0106459160093507,0.999554954969761,2,9,"vacuolar acidification","BP"
"14","GO:0016093",0.0122614081567151,1,1,1,"polyprenol metabolic process","BP"
"15","GO:0048578",0.0126593799474173,0.999389747851774,2,12,"positive regulation of long-day photoperiodism, flowering","BP"
"16","GO:0070417",0.0137723431087017,0.998444933424661,3,35,"cellular response to cold","BP"
"17","GO:0061504",0.0138016399381319,1,1,1,"cyclic threonylcarbamoyladenosine biosynthetic process","BP"
"18","GO:0007164",0.0155209015346268,1,1,1,"establishment of tissue polarity","BP"
"19","GO:0042391",0.0155962731036961,1,1,1,"regulation of membrane potential","BP"
"20","GO:0009637",0.0164707958957155,0.997068718626273,4,68,"response to blue light","BP"
"21","GO:0010051",0.0216914531069531,0.99707623471602,3,40,"xylem and phloem pattern formation","BP"
"22","GO:0009816",0.0222679245711286,0.995652766162309,4,73,"defense response to bacterium, incompatible interaction","BP"
"23","GO:1901599",0.023220007505129,0.999863962315338,1,2,"(-)-pinoresinol biosynthetic process","BP"
"24","GO:0048096",0.0238580671427298,0.999856336501892,1,2,"chromatin-mediated maintenance of transcription","BP"
"25","GO:0035970",0.0240708472991991,0.999853746640616,1,2,"peptidyl-threonine dephosphorylation","BP"
"26","GO:0010981",0.0243084521487936,0.999850826943037,1,2,"regulation of cell wall macromolecule metabolic process","BP"
"27","GO:0032259",0.0245542231734988,0.991247994547064,8,258,"methylation","BP"
"28","GO:1901430",0.0253329411943196,0.999837903262486,1,2,"positive regulation of syringal lignin biosynthetic process","BP"
"29","GO:0019450",0.0258190851265792,0.999831580393476,1,2,"L-cysteine catabolic process to pyruvate","BP"
"30","GO:0018215",0.0259080892640412,0.99983040951629,1,2,"protein phosphopantetheinylation","BP"
"31","GO:0061760",0.0272704282616393,0.999811974284821,1,2,"antifungal innate immune response","BP"
"32","GO:0046916",0.0272856173895898,0.999811763309565,1,2,"cellular transition metal ion homeostasis","BP"
"33","GO:0043048",0.0285774415385629,0.999793380810141,1,2,"dolichyl monophosphate biosynthetic process","BP"
"34","GO:0009270",0.0295838836979011,0.999778456846857,1,2,"response to humidity","BP"
"35","GO:1901918",0.0298066835716502,0.999775081652527,1,2,"negative regulation of exoribonuclease activity","BP"
"36","GO:0006361",0.0303289024820072,0.99976706900954,1,2,"transcription initiation from RNA polymerase I promoter","BP"
"37","GO:0006368",0.0377886109980765,0.996549679419902,2,20,"transcription elongation from RNA polymerase II promoter","BP"
"38","GO:0016095",0.0385120070238505,0.99949820732592,1,3,"polyprenol catabolic process","BP"
"39","GO:0050732",0.0390984790108081,0.999482668992594,1,3,"negative regulation of peptidyl-tyrosine phosphorylation","BP"
"40","GO:0045022",0.0395995869169371,0.999469201227287,1,3,"early endosome to late endosome transport","BP"
"41","GO:0015995",0.0411975844054616,0.992797443543239,3,56,"chlorophyll biosynthetic process","BP"
"42","GO:0002940",0.0417761441845933,0.999408657235255,1,3,"tRNA N2-guanine methylation","BP"
"43","GO:0010381",0.0423014107230867,0.999393547038235,1,3,"peroxisome-chloroplast membrane tethering","BP"
"44","GO:0071311",0.0432214449315507,0.999366612172097,1,3,"cellular response to acetate","BP"
"45","GO:0010186",0.044922690832581,0.999315233118891,1,3,"positive regulation of cellular defense response","BP"
"46","GO:1904821",0.045094936427523,0.99930991714664,1,3,"chloroplast disassembly","BP"
"47","GO:0042989",0.0470319066962409,0.999155908478529,1,4,"sequestering of actin monomers","BP"
"48","GO:0061408",0.0476340156907492,0.994965413008951,2,27,"positive regulation of transcription from RNA polymerase II promoter in response to heat stress","BP"
"49","GO:1902325",0.0482421940490227,0.999209084405703,1,3,"negative regulation of chlorophyll biosynthetic process","BP"
"50","GO:0006635",0.0485356898896035,0.990943688245989,3,57,"fatty acid beta-oxidation","BP"
"51","GO:0090391",0.0490971755643531,0.999079327178167,1,4,"granum assembly","BP"
"52","GO:0010833",0.0493034329465454,0.999173499260139,1,3,"telomere maintenance via telomere lengthening","BP"
"53","GO:0043971",0.0504262725109992,0.999134976124505,1,3,"histone H3-K18 acetylation","BP"
"54","GO:0043972",0.0504262725109992,0.999134976124505,1,3,"histone H3-K23 acetylation","BP"
"55","GO:0048640",0.0512962779927586,0.998994046874697,1,4,"negative regulation of developmental growth","BP"
"56","GO:0071472",0.0518087719699428,0.990068678269755,3,59,"cellular response to salt stress","BP"
"57","GO:0009234",0.0526537371056572,0.999055894467335,1,3,"menaquinone biosynthetic process","BP"
"58","GO:0032049",0.0529075957961433,0.998929108020787,1,4,"cardiolipin biosynthetic process","BP"
