"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0042742",0.00336732891915584,0.999534526898664,6,14,"defense response to bacterium","BP"
"2","GO:0006749",0.00740888945816959,0.999382290269888,4,7,"glutathione metabolic process","BP"
"3","GO:0009407",0.00740888945816959,0.999382290269888,4,7,"toxin catabolic process","BP"
"4","GO:0046686",0.00764945796453832,0.998990592101493,5,11,"response to cadmium ion","BP"
"5","GO:0006468",0.0156981256775975,0.996557408073698,6,21,"protein phosphorylation","BP"
"6","GO:0009753",0.0461542948367118,0.997868653783197,2,3,"response to jasmonic acid","BP"
"7","GO:0055072",0.049080935327643,0.997651519821356,2,3,"iron ion homeostasis","BP"
"8","GO:0071456",0.0500001846652851,0.993258948967496,3,7,"cellular response to hypoxia","BP"
"9","GO:0009414",0.0510416071317558,0.98960311749017,4,12,"response to water deprivation","BP"
"10","GO:0002229",0.0768962486885065,0.993362591875492,2,4,"defense response to oomycetes","BP"
"11","GO:0010150",0.0802164283287336,0.985417573609843,3,9,"leaf senescence","BP"
"12","GO:0000272",0.0840339003240506,0.992353287849784,2,4,"polysaccharide catabolic process","BP"
"13","GO:0006032",0.0840339003240506,0.992353287849784,2,4,"chitin catabolic process","BP"
"14","GO:0019438",0.0850604434414626,0.992203486870261,2,4,"aromatic compound biosynthetic process","BP"
"15","GO:0016998",0.0890716816215538,0.991607061531487,2,4,"cell wall macromolecule catabolic process","BP"
"16","GO:0016042",0.095041128864465,0.989323129130664,2,5,"lipid catabolic process","BP"
"17","GO:0071555",0.0964221831408461,0.989074107217444,2,5,"cell wall organization","BP"
"18","GO:0007205",0.096729594537176,1,1,1,"protein kinase C-activating G protein-coupled receptor signaling pathway","BP"
"19","GO:0046339",0.096729594537176,1,1,1,"diacylglycerol metabolic process","BP"
"20","GO:0046486",0.096729594537176,1,1,1,"glycerolipid metabolic process","BP"
"21","GO:0046834",0.096729594537176,1,1,1,"lipid phosphorylation","BP"
"22","GO:0031222",0.101152041531834,1,1,1,"arabinan catabolic process","BP"
"23","GO:0045493",0.101152041531834,1,1,1,"xylan catabolic process","BP"
"24","GO:0006979",0.102224481394424,0.972051114167938,4,15,"response to oxidative stress","BP"
"25","GO:0010043",0.112709593158938,1,1,1,"response to zinc ion","BP"
"26","GO:0010045",0.112709593158938,1,1,1,"response to nickel cation","BP"
"27","GO:0009741",0.113667964121437,1,1,1,"response to brassinosteroid","BP"
"28","GO:0006536",0.116406259044563,1,1,1,"glutamate metabolic process","BP"
"29","GO:0006538",0.116406259044563,1,1,1,"glutamate catabolic process","BP"
"30","GO:0009738",0.117251932012698,0.985043975363845,2,5,"abscisic acid-activated signaling pathway","BP"
"31","GO:0005992",0.122489995843956,1,1,1,"trehalose biosynthetic process","BP"
"32","GO:0006561",0.122489995843956,1,1,1,"proline biosynthetic process","BP"
"33","GO:0009718",0.122489995843956,1,1,1,"anthocyanin-containing compound biosynthetic process","BP"
"34","GO:0042538",0.122489995843956,1,1,1,"hyperosmotic salinity response","BP"
"35","GO:1900056",0.122489995843956,1,1,1,"negative regulation of leaf senescence","BP"
"36","GO:0009737",0.126844083843915,0.970889985915312,3,10,"response to abscisic acid","BP"
"37","GO:0019430",0.128283589356219,1,1,1,"removal of superoxide radicals","BP"
"38","GO:0009664",0.128500173558315,1,1,1,"plant-type cell wall organization","BP"
"39","GO:0010440",0.129133061009721,1,1,1,"stomatal lineage progression","BP"
"40","GO:0032259",0.130948716623632,0.98211908890548,2,5,"methylation","BP"
"41","GO:0006826",0.130963317490991,1,1,1,"iron ion transport","BP"
"42","GO:0006828",0.130963317490991,1,1,1,"manganese ion transport","BP"
"43","GO:0006829",0.130963317490991,1,1,1,"zinc ion transport","BP"
"44","GO:0006879",0.130963317490991,1,1,1,"cellular iron ion homeostasis","BP"
"45","GO:0006972",0.130963317490991,1,1,1,"hyperosmotic response","BP"
"46","GO:0015675",0.130963317490991,1,1,1,"nickel cation transport","BP"
"47","GO:0015691",0.130963317490991,1,1,1,"cadmium ion transport","BP"
"48","GO:0071281",0.130963317490991,1,1,1,"cellular response to iron ion","BP"
"49","GO:0071369",0.130963317490991,1,1,1,"cellular response to ethylene stimulus","BP"
"50","GO:0071577",0.130963317490991,1,1,1,"zinc ion transmembrane transport","BP"
"51","GO:0071732",0.130963317490991,1,1,1,"cellular response to nitric oxide","BP"
"52","GO:0042744",0.131073950831007,0.98209135549428,2,5,"hydrogen peroxide catabolic process","BP"
"53","GO:0010193",0.132226227278149,1,1,1,"response to ozone","BP"
"54","GO:0010272",0.136270981356927,1,1,1,"response to silver ion","BP"
"55","GO:0072722",0.136270981356927,1,1,1,"response to amitrole","BP"
"56","GO:0030001",0.136461074401399,0.980881494407859,2,5,"metal ion transport","BP"
"57","GO:0043086",0.142307302621264,1,1,1,"negative regulation of catalytic activity","BP"
"58","GO:0071669",0.142307302621264,1,1,1,"plant-type cell wall organization or biogenesis","BP"
"59","GO:0048766",0.144868487583911,1,1,1,"root hair initiation","BP"
"60","GO:0080147",0.144868487583911,1,1,1,"root hair cell development","BP"
"61","GO:0009733",0.1665002894123,0.97152556164166,2,6,"response to auxin","BP"
"62","GO:0009845",0.198681145366991,0.989195603228879,1,2,"seed germination","BP"
"63","GO:0006952",0.203270509375736,0.914613622974691,5,27,"defense response","BP"
"64","GO:0042545",0.216994350165146,0.986968441540674,1,2,"cell wall modification","BP"
"65","GO:0045490",0.216994350165146,0.986968441540674,1,2,"pectin catabolic process","BP"
"66","GO:0050829",0.222743313222905,0.986220400234794,1,2,"defense response to Gram-negative bacterium","BP"
"67","GO:0009751",0.223594415859419,0.951498993518816,2,7,"response to salicylic acid","BP"
"68","GO:0010120",0.225009634898471,0.985918982969287,1,2,"camalexin biosynthetic process","BP"
"69","GO:0010411",0.233087536281582,0.984814283460075,1,2,"xyloglucan metabolic process","BP"
"70","GO:0042546",0.233087536281582,0.984814283460075,1,2,"cell wall biogenesis","BP"
"71","GO:0009735",0.233121301054793,0.98480956576747,1,2,"response to cytokinin","BP"
"72","GO:0009651",0.244521360220536,0.901685215817276,4,21,"response to salt stress","BP"
"73","GO:0042542",0.248402055249653,0.982587578573218,1,2,"response to hydrogen peroxide","BP"
"74","GO:0010106",0.255123067129055,0.981554525296672,1,2,"cellular response to iron ion starvation","BP"
"75","GO:0009615",0.255837629819326,0.981442659582675,1,2,"response to virus","BP"
"76","GO:0035556",0.262493360372348,0.974285636759635,1,3,"intracellular signal transduction","BP"
"77","GO:0009611",0.264567433262639,0.9336938974355,2,8,"response to wounding","BP"
"78","GO:0055114",0.273290189943753,0.861594290210531,6,36,"oxidation-reduction process","BP"
"79","GO:0009409",0.295075852232596,0.918463569563409,2,9,"response to cold","BP"
"80","GO:0002221",0.304001794438259,0.964679390763735,1,3,"pattern recognition receptor signaling pathway","BP"
"81","GO:0009682",0.317238178738907,0.961235579129465,1,3,"induced systemic resistance","BP"
"82","GO:0009627",0.32916196279979,0.957968809210829,1,3,"systemic acquired resistance","BP"
"83","GO:0009723",0.334968560593619,0.956320356777762,1,3,"response to ethylene","BP"
"84","GO:0006357",0.344713965606009,0.953467302676944,1,3,"regulation of transcription by RNA polymerase II","BP"
"85","GO:0080167",0.366268254571194,0.946762524441258,1,3,"response to karrikin","BP"
"86","GO:0009620",0.395693117753679,0.929764919577595,1,4,"response to fungus","BP"
"87","GO:0006470",0.400126629911281,0.927990253671935,1,4,"protein dephosphorylation","BP"
"88","GO:0007275",0.405722898546388,0.854575796205016,2,11,"multicellular organism development","BP"
"89","GO:0031146",0.411691726701619,0.923229924639938,1,4,"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process","BP"
"90","GO:0006878",0.442279628304773,0.909695397792752,1,4,"cellular copper ion homeostasis","BP"
"91","GO:0009617",0.453912128928953,0.820822561261778,2,12,"response to bacterium","BP"
"92","GO:0006629",0.46320333682874,0.894002487884617,1,5,"lipid metabolic process","BP"
"93","GO:0006355",0.499796283065893,0.712026353455638,4,30,"regulation of transcription, DNA-templated","BP"
"94","GO:0030154",0.500918544080559,0.873032418950816,1,5,"cell differentiation","BP"
