"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-6842",0.0284642976882834,0.996568976165175,4,8,"glutathione-mediated detoxification II","BioCyc"
"2","ARA:PWY-4321",0.157052740888243,1,1,1,"L-glutamate degradation IV","BioCyc"
"3","ARA:PWY-581",0.171564696690329,1,1,1,"indole-3-acetate biosynthesis II","BioCyc"
"4","ARA:PWY-5934",0.176255505496259,1,1,1,"iron reduction and absorption","BioCyc"
"5","ARA:PWY-601",0.207746105697746,0.964851239873908,2,5,"glucosinolate biosynthesis from tryptophan","BioCyc"
"6","ARA:PWY-6902",0.21277344856571,0.963403305084321,2,5,"chitin degradation II (Vibrio)","BioCyc"
"7","ARA:PWYQT-4477",0.267238466320556,0.942196916050613,2,6,"indole glucosinolate activation (intact plant cell)","BioCyc"
"8","ARA:PWY-6040",0.303132551030337,0.974647687095526,1,2,"chlorogenic acid biosynthesis II","BioCyc"
"9","ARA:PWY-6443",0.33015307332355,0.969340306735317,1,2,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)","BioCyc"
"10","ARA:PWY-7039",0.335072382297785,0.958748060321154,1,3,"phosphatidate metabolism, as a signaling molecule","BioCyc"
"11","ARA:PWY-5868",0.408111873545479,0.935745829533445,1,3,"simple coumarins biosynthesis","BioCyc"
"12","ARA:CAMALEXIN-SYN",0.431060587398877,0.927147745867742,1,3,"camalexin biosynthesis","BioCyc"
"13","ARA:PWY-6039",0.431481386260243,0.926983489276184,1,3,"chlorogenic acid biosynthesis I","BioCyc"
"14","ARA:PWY-361",0.518287618855205,0.876073827391319,1,4,"phenylpropanoid biosynthesis","BioCyc"
"15","ARA:ASPARTATE-DEG1-PWY",1,0.855584383338028,0,1,"L-aspartate degradation I","BioCyc"
"16","ARA:ASPARTATESYN-PWY",1,0.855584383338028,0,1,"L-aspartate biosynthesis","BioCyc"
"17","ARA:ASPASN-ARA-PWY",1,0.855584383338028,0,1,"superpathway of aspartate and asparagine biosynthesis","BioCyc"
"18","ARA:COMPLETE-ARO-ARA-PWY",1,0.603344950568089,0,3,"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis","BioCyc"
"19","ARA:ETOH-ACETYLCOA-ANA-PWY",1,0.84797340598754,0,1,"ethanol degradation I","BioCyc"
"20","ARA:FASYN-ELONG-PWY",1,0.823831994558846,0,1,"fatty acid elongation -- saturated","BioCyc"
"21","ARA:GLNSYN-PWY",1,0.856680415741263,0,1,"L-glutamine biosynthesis I","BioCyc"
"22","ARA:GLUCOSE1PMETAB-PWY",1,0.86281878164102,0,1,"glucose and glucose-1-phosphate degradation","BioCyc"
"23","ARA:GLYCOLYSIS",1,0.85862774407104,0,1,"glycolysis I (from glucose 6-phosphate)","BioCyc"
"24","ARA:LIPAS-PWY",1,0.734858962139745,0,2,"triacylglycerol degradation","BioCyc"
"25","ARA:LIPASYN-PWY",1,0.650913848884899,0,3,"phospholipases","BioCyc"
"26","ARA:MALATE-ASPARTATE-SHUTTLE-PWY",1,0.855584383338028,0,1,"L-aspartate degradation II","BioCyc"
"27","ARA:PWY-1042",1,0.85862774407104,0,1,"glycolysis IV (plant cytosol)","BioCyc"
"28","ARA:PWY-1061",1,0.825211037910958,0,1,"homogalacturonan biosynthesis","BioCyc"
"29","ARA:PWY-1121",1,0.349256250428612,0,6,"suberin monomers biosynthesis","BioCyc"
"30","ARA:PWY-1187",1,0.818507804474986,0,1,"glucosinolate biosynthesis from homomethionine","BioCyc"
"31","ARA:PWY-2181",1,0.844213423511944,0,1,"free phenylpropanoid acid biosynthesis","BioCyc"
"32","ARA:PWY-2902",1,0.823154053635914,0,1,"cytokinin-O-glucosides biosynthesis","BioCyc"
"33","ARA:PWY-3001",1,0.855584383338028,0,1,"superpathway of L-isoleucine biosynthesis I","BioCyc"
"34","ARA:PWY-321",1,0.607431740272436,0,3,"cutin biosynthesis","BioCyc"
"35","ARA:PWY-3301",1,0.857620300618611,0,1,"sinapate ester biosynthesis","BioCyc"
"36","ARA:PWY-3385",1,0.841926210511084,0,1,"choline biosynthesis I","BioCyc"
"37","ARA:PWY-3461",1,0.855584383338028,0,1,"L-tyrosine biosynthesis II","BioCyc"
"38","ARA:PWY-3462",1,0.855584383338028,0,1,"L-phenylalanine biosynthesis II","BioCyc"
"39","ARA:PWY-3481",1,0.855584383338028,0,1,"superpathway of L-phenylalanine and L-tyrosine biosynthesis","BioCyc"
"40","ARA:PWY-3561",1,0.92678854521177,0,1,"choline biosynthesis III","BioCyc"
"41","ARA:PWY-3781",1,0.817811635376312,0,1,"aerobic respiration I (cytochrome c)","BioCyc"
"42","ARA:PWY-381",1,0.856680415741263,0,1,"nitrate reduction II (assimilatory)","BioCyc"
"43","ARA:PWY-4302",1,0.674204373235107,0,2,"aerobic respiration III (alternative oxidase pathway)","BioCyc"
"44","ARA:PWY-4361",1,0.680710272469192,0,2,"S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation","BioCyc"
"45","ARA:PWY-5035",1,0.840928038672818,0,1,"gibberellin biosynthesis III (early C-13 hydroxylation)","BioCyc"
"46","ARA:PWY-5070",1,0.840928038672818,0,1,"gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)","BioCyc"
"47","ARA:PWY-5080",1,0.819356932559552,0,1,"very long chain fatty acid biosynthesis I","BioCyc"
"48","ARA:PWY-5083",1,0.817811635376312,0,1,"NAD/NADH phosphorylation and dephosphorylation","BioCyc"
"49","ARA:PWY-5129",1,0.861092167608323,0,1,"sphingolipid biosynthesis (plants)","BioCyc"
"50","ARA:PWY-5143",1,0.868253669422298,0,1,"long-chain fatty acid activation","BioCyc"
"51","ARA:PWY-5147",1,0.868253669422298,0,1,"oleate biosynthesis I (plants)","BioCyc"
"52","ARA:PWY-5148",1,0.702204657517972,0,2,"acyl-CoA hydrolysis","BioCyc"
"53","ARA:PWY-5152",1,0.821341041118223,0,1,"leucodelphinidin biosynthesis","BioCyc"
