"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath00480",0.00201447085175316,0.999946142621432,4,5,"Glutathione metabolism","KEGG"
"2","path:ath01100",0.00673381984449067,0.999447360567155,13,63,"Metabolic pathways","KEGG"
"3","path:ath00520",0.0210942117783612,0.998627716752756,3,5,"Amino sugar and nucleotide sugar metabolism","KEGG"
"4","path:ath00410",0.13633872815878,1,1,1,"beta-Alanine metabolism","KEGG"
"5","path:ath00430",0.13633872815878,1,1,1,"Taurine and hypotaurine metabolism","KEGG"
"6","path:ath00650",0.13633872815878,1,1,1,"Butanoate metabolism","KEGG"
"7","path:ath00380",0.149101869128571,1,1,1,"Tryptophan metabolism","KEGG"
"8","path:ath00250",0.244752855369237,0.98408653288965,1,2,"Alanine, aspartate and glutamate metabolism","KEGG"
"9","path:ath00040",0.252425894135467,0.982986407651004,1,2,"Pentose and glucuronate interconversions","KEGG"
"10","path:ath04070",0.297823796154774,0.968099855578058,1,3,"Phosphatidylinositol signaling system","KEGG"
"11","path:ath00561",0.320647174411803,0.962493015019537,1,3,"Glycerolipid metabolism","KEGG"
"12","path:ath00564",0.394097646883871,0.934079646480477,1,4,"Glycerophospholipid metabolism","KEGG"
"13","path:ath01110",0.586912007642611,0.660775858746447,4,29,"Biosynthesis of secondary metabolites","KEGG"
"14","path:ath04016",0.617909324803409,0.78901972405442,1,7,"MAPK signaling pathway - plant","KEGG"
"15","path:ath00940",0.668685714990502,0.643453355458157,2,15,"Phenylpropanoid biosynthesis","KEGG"
"16","path:ath04626",0.816141668820717,0.541309616473674,1,11,"Plant-pathogen interaction","KEGG"
"17","path:ath00010",1,0.760635340608024,0,2,"Glycolysis / Gluconeogenesis","KEGG"
"18","path:ath00030",1,0.877418715820599,0,1,"Pentose phosphate pathway","KEGG"
"19","path:ath00051",1,0.791881106081105,0,2,"Fructose and mannose metabolism","KEGG"
"20","path:ath00052",1,0.877418715820599,0,1,"Galactose metabolism","KEGG"
"21","path:ath00053",1,0.873202913009575,0,1,"Ascorbate and aldarate metabolism","KEGG"
"22","path:ath00061",1,0.885847249320269,0,1,"Fatty acid biosynthesis","KEGG"
"23","path:ath00062",1,0.882347403000286,0,1,"Fatty acid elongation","KEGG"
"24","path:ath00071",1,0.670898008317545,0,3,"Fatty acid degradation","KEGG"
"25","path:ath00130",1,0.754404150870069,0,2,"Ubiquinone and other terpenoid-quinone biosynthesis","KEGG"
"26","path:ath00190",1,0.605930785276589,0,3,"Oxidative phosphorylation","KEGG"
"27","path:ath00220",1,0.875712068733373,0,1,"Arginine biosynthesis","KEGG"
"28","path:ath00230",1,0.65424619055883,0,3,"Purine metabolism","KEGG"
"29","path:ath00240",1,0.730282517142349,0,2,"Pyrimidine metabolism","KEGG"
"30","path:ath00260",1,0.862627785176163,0,1,"Glycine, serine and threonine metabolism","KEGG"
"31","path:ath00270",1,0.719197081301902,0,2,"Cysteine and methionine metabolism","KEGG"
"32","path:ath00350",1,0.548649314872207,0,4,"Tyrosine metabolism","KEGG"
"33","path:ath00360",1,0.552239085469539,0,4,"Phenylalanine metabolism","KEGG"
"34","path:ath00400",1,0.552997403222021,0,4,"Phenylalanine, tyrosine and tryptophan biosynthesis","KEGG"
"35","path:ath00460",1,0.497888337908437,0,5,"Cyanoamino acid metabolism","KEGG"
"36","path:ath00500",1,0.425170142223812,0,6,"Starch and sucrose metabolism","KEGG"
"37","path:ath00510",1,0.8599008822132,0,1,"N-Glycan biosynthesis","KEGG"
