"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0043295",0.0024587202666872,1,3,3,"glutathione binding","MF"
"2","GO:0050897",0.0024587202666872,1,3,3,"cobalt ion binding","MF"
"3","GO:0030247",0.00502294262607312,0.999627463313933,4,7,"polysaccharide binding","MF"
"4","GO:0005507",0.00692642175678852,0.999434207334782,4,7,"copper ion binding","MF"
"5","GO:0004364",0.00740888945816959,0.999382290269888,4,7,"glutathione transferase activity","MF"
"6","GO:0052689",0.0124098057706943,1,2,2,"carboxylic ester hydrolase activity","MF"
"7","GO:0009055",0.0157561928264207,0.998964418666329,3,5,"electron transfer activity","MF"
"8","GO:2001147",0.0186830579415118,1,2,2,"camalexin binding","MF"
"9","GO:2001227",0.0186830579415118,1,2,2,"quercitrin binding","MF"
"10","GO:0071949",0.0257911549637584,0.997578322628215,3,6,"FAD binding","MF"
"11","GO:0016301",0.031491057790858,0.99061605152587,7,30,"kinase activity","MF"
"12","GO:0046910",0.041941028610276,0.998166830555347,2,3,"pectinesterase inhibitor activity","MF"
"13","GO:0016298",0.0427800691717232,0.998108825876148,2,3,"lipase activity","MF"
"14","GO:0008061",0.0457830830431141,0.997895612908938,2,3,"chitin binding","MF"
"15","GO:0004675",0.0676129241170335,0.994589407695224,2,4,"transmembrane receptor protein serine/threonine kinase activity","MF"
"16","GO:0004674",0.0695456279953303,0.979767838550087,5,22,"protein serine/threonine kinase activity","MF"
"17","GO:0030246",0.0830146983475468,0.984227408156926,3,10,"carbohydrate binding","MF"
"18","GO:0052793",0.0891050890380946,1,1,1,"pectin acetylesterase activity","MF"
"19","GO:0046983",0.0925882259423502,0.98207684049218,3,9,"protein dimerization activity","MF"
"20","GO:0003951",0.096729594537176,1,1,1,"NAD+ kinase activity","MF"
"21","GO:0004143",0.096729594537176,1,1,1,"diacylglycerol kinase activity","MF"
"22","GO:0009044",0.101152041531834,1,1,1,"xylan 1,4-beta-xylosidase activity","MF"
"23","GO:0046556",0.101152041531834,1,1,1,"alpha-L-arabinofuranosidase activity","MF"
"24","GO:0016491",0.110403944276196,0.97621079654981,3,10,"oxidoreductase activity","MF"
"25","GO:0004351",0.116406259044563,1,1,1,"glutamate decarboxylase activity","MF"
"26","GO:1905761",0.120162967406633,1,1,1,"SCF ubiquitin ligase complex binding","MF"
"27","GO:0004784",0.128283589356219,1,1,1,"superoxide dismutase activity","MF"
"28","GO:0016532",0.128283589356219,1,1,1,"superoxide dismutase copper chaperone activity","MF"
"29","GO:0005199",0.128500173558315,1,1,1,"structural constituent of cell wall","MF"
"30","GO:0008171",0.130948716623632,0.98211908890548,2,5,"O-methyltransferase activity","MF"
"31","GO:0008757",0.130948716623632,0.98211908890548,2,5,"S-adenosylmethionine-dependent methyltransferase activity","MF"
"32","GO:0005381",0.130963317490991,1,1,1,"iron ion transmembrane transporter activity","MF"
"33","GO:0005384",0.130963317490991,1,1,1,"manganese ion transmembrane transporter activity","MF"
"34","GO:0005385",0.130963317490991,1,1,1,"zinc ion transmembrane transporter activity","MF"
"35","GO:0015086",0.130963317490991,1,1,1,"cadmium ion transmembrane transporter activity","MF"
"36","GO:0004568",0.131039268740068,0.982099037712609,2,5,"chitinase activity","MF"
"37","GO:0004857",0.142307302621264,1,1,1,"enzyme inhibitor activity","MF"
"38","GO:0005524",0.149382837165743,0.93265928994305,7,46,"ATP binding","MF"
"39","GO:0030170",0.211020335029915,0.987720822613386,1,2,"pyridoxal phosphate binding","MF"
"40","GO:0030599",0.216994350165146,0.986968441540674,1,2,"pectinesterase activity","MF"
"41","GO:0045330",0.216994350165146,0.986968441540674,1,2,"aspartyl esterase activity","MF"
"42","GO:0044212",0.222749958969932,0.951803483846487,2,7,"transcription regulatory region DNA binding","MF"
"43","GO:0004724",0.231912912777456,0.984977883121115,1,2,"magnesium-dependent protein serine/threonine phosphatase activity","MF"
"44","GO:0016762",0.233087536281582,0.984814283460075,1,2,"xyloglucan:xyloglucosyl transferase activity","MF"
"45","GO:0016705",0.235944100505452,0.984412187336863,1,2,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF"
"46","GO:0004601",0.241406452065868,0.943135648341845,2,8,"peroxidase activity","MF"
"47","GO:0016788",0.241608977491678,0.983596904246363,1,2,"hydrolase activity, acting on ester bonds","MF"
"48","GO:0016747",0.253039907711398,0.981878408621328,1,2,"transferase activity, transferring acyl groups other than amino-acyl groups","MF"
"49","GO:0008083",0.253774378607408,0.981764595151762,1,2,"growth factor activity","MF"
"50","GO:0000977",0.255123067129055,0.981554525296672,1,2,"RNA polymerase II regulatory region sequence-specific DNA binding","MF"
"51","GO:0020037",0.258239088076676,0.911091721596534,3,14,"heme binding","MF"
"52","GO:0005515",0.288662497532221,0.835596191681527,8,56,"protein binding","MF"
"53","GO:0004722",0.312833871385888,0.962402577526069,1,3,"protein serine/threonine phosphatase activity","MF"
"54","GO:0016798",0.31495045869173,0.961844395557512,1,3,"hydrolase activity, acting on glycosyl bonds","MF"
"55","GO:0008134",0.35022744170113,0.951804527377214,1,3,"transcription factor binding","MF"
"56","GO:0003677",0.389386508406755,0.803326816356554,4,27,"DNA binding","MF"
"57","GO:0003676",0.410572245875283,0.923699083211287,1,4,"nucleic acid binding","MF"
"58","GO:0005509",0.438898888638078,0.829890532114455,2,13,"calcium ion binding","MF"
"59","GO:0051539",0.440405477395679,0.910565258247647,1,4,"4 iron, 4 sulfur cluster binding","MF"
