"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0043295",0.0022396475194075,1,3,3,"glutathione binding","MF"
"2","GO:0050897",0.0022396475194075,1,3,3,"cobalt ion binding","MF"
"3","GO:0030246",0.00262743163502629,0.999800398597386,4,10,"carbohydrate binding","MF"
"4","GO:0004364",0.00438960311632659,0.999691233227168,4,7,"glutathione transferase activity","MF"
"5","GO:2001147",0.0183685762450269,1,2,2,"camalexin binding","MF"
"6","GO:2001227",0.0183685762450269,1,2,2,"quercitrin binding","MF"
"7","GO:0004675",0.0222793493078853,0.999052125362642,2,4,"transmembrane receptor protein serine/threonine kinase activity","MF"
"8","GO:0046910",0.0243096958815089,0.99922399593604,2,3,"pectinesterase inhibitor activity","MF"
"9","GO:0005507",0.0324136647020001,0.996379922071348,3,7,"copper ion binding","MF"
"10","GO:0016301",0.0357945136792856,0.99119678906219,5,30,"kinase activity","MF"
"11","GO:0052793",0.0600199094174979,1,1,1,"pectin acetylesterase activity","MF"
"12","GO:0003951",0.0617358853347748,1,1,1,"NAD+ kinase activity","MF"
"13","GO:0004143",0.0617358853347748,1,1,1,"diacylglycerol kinase activity","MF"
"14","GO:0009044",0.0623438290490843,1,1,1,"xylan 1,4-beta-xylosidase activity","MF"
"15","GO:0046556",0.0623438290490843,1,1,1,"alpha-L-arabinofuranosidase activity","MF"
"16","GO:0004024",0.0627178034478948,1,1,1,"alcohol dehydrogenase activity, zinc-dependent","MF"
"17","GO:0051903",0.0627178034478948,1,1,1,"S-(hydroxymethyl)glutathione dehydrogenase activity","MF"
"18","GO:0004351",0.0627776040041095,1,1,1,"glutamate decarboxylase activity","MF"
"19","GO:1905761",0.0632145739761606,1,1,1,"SCF ubiquitin ligase complex binding","MF"
"20","GO:0005199",0.0818762044425242,1,1,1,"structural constituent of cell wall","MF"
"21","GO:0005381",0.0965853517010867,1,1,1,"iron ion transmembrane transporter activity","MF"
"22","GO:0005384",0.0965853517010867,1,1,1,"manganese ion transmembrane transporter activity","MF"
"23","GO:0005385",0.0965853517010867,1,1,1,"zinc ion transmembrane transporter activity","MF"
"24","GO:0015086",0.0965853517010867,1,1,1,"cadmium ion transmembrane transporter activity","MF"
"25","GO:0020037",0.105835217210669,0.976312612884481,3,14,"heme binding","MF"
"26","GO:0008271",0.11515065698572,0.996560038342332,1,2,"secondary active sulfate transmembrane transporter activity","MF"
"27","GO:0015116",0.11515065698572,0.996560038342332,1,2,"sulfate transmembrane transporter activity","MF"
"28","GO:0015293",0.11515065698572,0.996560038342332,1,2,"symporter activity","MF"
"29","GO:0015301",0.11515065698572,0.996560038342332,1,2,"anion:anion antiporter activity","MF"
"30","GO:0030170",0.121614714555448,0.996149022372663,1,2,"pyridoxal phosphate binding","MF"
"31","GO:0030599",0.121647274084966,0.99614688936505,1,2,"pectinesterase activity","MF"
"32","GO:0045330",0.121647274084966,0.99614688936505,1,2,"aspartyl esterase activity","MF"
"33","GO:0005524",0.127450223758089,0.953120127555627,5,46,"ATP binding","MF"
"34","GO:0030145",0.134616343118096,1,1,1,"manganese ion binding","MF"
"35","GO:0016705",0.138953734673117,0.994922909511536,1,2,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF"
"36","GO:0004724",0.14285802104899,0.994621572987883,1,2,"magnesium-dependent protein serine/threonine phosphatase activity","MF"
"37","GO:0004601",0.144461810957451,0.97567907355536,2,8,"peroxidase activity","MF"
"38","GO:0004857",0.152889467815768,1,1,1,"enzyme inhibitor activity","MF"
"39","GO:0004674",0.15444751236538,0.956891519958804,3,22,"protein serine/threonine kinase activity","MF"
"40","GO:0016491",0.173982160599927,0.965680533681485,2,10,"oxidoreductase activity","MF"
"41","GO:0052689",0.175253439556527,0.991751602844766,1,2,"carboxylic ester hydrolase activity","MF"
"42","GO:0016762",0.176242892370978,0.991653323913318,1,2,"xyloglucan:xyloglucosyl transferase activity","MF"
"43","GO:0004722",0.196719588094585,0.986137213306014,1,3,"protein serine/threonine phosphatase activity","MF"
"44","GO:0016798",0.228090596912319,0.98104511261355,1,3,"hydrolase activity, acting on glycosyl bonds","MF"
"45","GO:0045735",0.241384081263877,0.978615340904227,1,3,"nutrient reservoir activity","MF"
"46","GO:0008061",0.283320258240449,0.969833049587218,1,3,"chitin binding","MF"
"47","GO:0004497",0.298054667679507,0.960226225012878,1,5,"monooxygenase activity","MF"
"48","GO:0046872",0.301092142827244,0.851156621326531,5,43,"metal ion binding","MF"
"49","GO:0016706",0.305594031485715,0.964444724411759,1,3,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors","MF"
"50","GO:0003676",0.312818585955691,0.958346182511043,1,4,"nucleic acid binding","MF"
"51","GO:0009055",0.325288139812163,0.951937973671991,1,5,"electron transfer activity","MF"
"52","GO:0071949",0.367850989236092,0.93479630331084,1,6,"FAD binding","MF"
"53","GO:0042803",0.374832674671494,0.938036337031923,1,4,"protein homodimerization activity","MF"
"54","GO:0051539",0.410500066117355,0.924069986438234,1,4,"4 iron, 4 sulfur cluster binding","MF"
"55","GO:0051213",0.411611278900009,0.919225128796609,1,5,"dioxygenase activity","MF"
"56","GO:0005515",0.427824254577614,0.753719309216426,5,56,"protein binding","MF"
"57","GO:0005506",0.431120211798282,0.903301514635322,1,8,"iron ion binding","MF"
"58","GO:0016709",0.43118216415171,0.903270369733399,1,8,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"59","GO:0019825",0.431868892304258,0.902924715175744,1,8,"oxygen binding","MF"
"60","GO:0004553",0.438767339155476,0.899409495877828,1,8,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"61","GO:0004568",0.440155119920482,0.90604566179464,1,5,"chitinase activity","MF"
"62","GO:0043565",0.444301832920706,0.823329235030146,2,17,"sequence-specific DNA binding","MF"
"63","GO:0030247",0.448315678394922,0.896208873282794,1,7,"polysaccharide binding","MF"
