"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-4321",0.0223144855134072,1,1,1,"L-glutamate degradation IV","BioCyc"
"2","ARA:PWY-6842",0.193409688713271,0.990903483051658,1,8,"glutathione-mediated detoxification II","BioCyc"
"3","ARA:ASPARTATE-DEG1-PWY",1,0.979698474762026,0,1,"L-aspartate degradation I","BioCyc"
"4","ARA:ASPARTATESYN-PWY",1,0.979698474762026,0,1,"L-aspartate biosynthesis","BioCyc"
"5","ARA:ASPASN-ARA-PWY",1,0.979698474762026,0,1,"superpathway of aspartate and asparagine biosynthesis","BioCyc"
"6","ARA:CAMALEXIN-SYN",1,0.927922774954129,0,3,"camalexin biosynthesis","BioCyc"
"7","ARA:COMPLETE-ARO-ARA-PWY",1,0.935581824829547,0,3,"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis","BioCyc"
"8","ARA:ETOH-ACETYLCOA-ANA-PWY",1,0.978493151083604,0,1,"ethanol degradation I","BioCyc"
"9","ARA:FASYN-ELONG-PWY",1,0.97452434633639,0,1,"fatty acid elongation -- saturated","BioCyc"
"10","ARA:GLNSYN-PWY",1,0.979870383500512,0,1,"L-glutamine biosynthesis I","BioCyc"
"11","ARA:GLUCOSE1PMETAB-PWY",1,0.980825814203682,0,1,"glucose and glucose-1-phosphate degradation","BioCyc"
"12","ARA:GLYCOLYSIS",1,0.98017482098741,0,1,"glycolysis I (from glucose 6-phosphate)","BioCyc"
"13","ARA:LIPAS-PWY",1,0.960328313648892,0,2,"triacylglycerol degradation","BioCyc"
"14","ARA:LIPASYN-PWY",1,0.944998738634269,0,3,"phospholipases","BioCyc"
"15","ARA:MALATE-ASPARTATE-SHUTTLE-PWY",1,0.979698474762026,0,1,"L-aspartate degradation II","BioCyc"
"16","ARA:PWY-1042",1,0.98017482098741,0,1,"glycolysis IV (plant cytosol)","BioCyc"
"17","ARA:PWY-1061",1,0.974757018802905,0,1,"homogalacturonan biosynthesis","BioCyc"
"18","ARA:PWY-1121",1,0.870389311109225,0,6,"suberin monomers biosynthesis","BioCyc"
"19","ARA:PWY-1187",1,0.973620293433025,0,1,"glucosinolate biosynthesis from homomethionine","BioCyc"
"20","ARA:PWY-2181",1,0.977889881234894,0,1,"free phenylpropanoid acid biosynthesis","BioCyc"
"21","ARA:PWY-2902",1,0.974409726440125,0,1,"cytokinin-O-glucosides biosynthesis","BioCyc"
"22","ARA:PWY-3001",1,0.979698474762026,0,1,"superpathway of L-isoleucine biosynthesis I","BioCyc"
"23","ARA:PWY-321",1,0.936290716163719,0,3,"cutin biosynthesis","BioCyc"
"24","ARA:PWY-3301",1,0.980017478906566,0,1,"sinapate ester biosynthesis","BioCyc"
"25","ARA:PWY-3385",1,0.977520254588429,0,1,"choline biosynthesis I","BioCyc"
"26","ARA:PWY-3461",1,0.979698474762026,0,1,"L-tyrosine biosynthesis II","BioCyc"
"27","ARA:PWY-3462",1,0.979698474762026,0,1,"L-phenylalanine biosynthesis II","BioCyc"
"28","ARA:PWY-3481",1,0.979698474762026,0,1,"superpathway of L-phenylalanine and L-tyrosine biosynthesis","BioCyc"
"29","ARA:PWY-3561",1,0.990137911481955,0,1,"choline biosynthesis III","BioCyc"
"30","ARA:PWY-361",1,0.907844492140888,0,4,"phenylpropanoid biosynthesis","BioCyc"
"31","ARA:PWY-3781",1,0.973501468691454,0,1,"aerobic respiration I (cytochrome c)","BioCyc"
"32","ARA:PWY-381",1,0.979870383500512,0,1,"nitrate reduction II (assimilatory)","BioCyc"
"33","ARA:PWY-4302",1,0.948837792891451,0,2,"aerobic respiration III (alternative oxidase pathway)","BioCyc"
"34","ARA:PWY-4361",1,0.950141506039473,0,2,"S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation","BioCyc"
"35","ARA:PWY-5035",1,0.977358298932501,0,1,"gibberellin biosynthesis III (early C-13 hydroxylation)","BioCyc"
"36","ARA:PWY-5070",1,0.977358298932501,0,1,"gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)","BioCyc"
"37","ARA:PWY-5080",1,0.97376504507685,0,1,"very long chain fatty acid biosynthesis I","BioCyc"
"38","ARA:PWY-5083",1,0.973501468691454,0,1,"NAD/NADH phosphorylation and dephosphorylation","BioCyc"
"39","ARA:PWY-5129",1,0.980558310076528,0,1,"sphingolipid biosynthesis (plants)","BioCyc"
"40","ARA:PWY-5143",1,0.981661634995561,0,1,"long-chain fatty acid activation","BioCyc"
"41","ARA:PWY-5147",1,0.981661634995561,0,1,"oleate biosynthesis I (plants)","BioCyc"
"42","ARA:PWY-5148",1,0.954202922353754,0,2,"acyl-CoA hydrolysis","BioCyc"
"43","ARA:PWY-5152",1,0.974102464110945,0,1,"leucodelphinidin biosynthesis","BioCyc"
"44","ARA:PWY-5321",1,0.974930348609077,0,1,"quercetin glycoside biosynthesis (Arabidopsis)","BioCyc"
"45","ARA:PWY-5484",1,0.98017482098741,0,1,"glycolysis II (from fructose 6-phosphate)","BioCyc"
"46","ARA:PWY-5486",1,0.978493151083604,0,1,"pyruvate fermentation to ethanol II","BioCyc"
"47","ARA:PWY-581",1,0.975298342420929,0,1,"indole-3-acetate biosynthesis II","BioCyc"
"48","ARA:PWY-5868",1,0.933065170397074,0,3,"simple coumarins biosynthesis","BioCyc"
"49","ARA:PWY-5884",1,0.977760860433783,0,1,"wax esters biosynthesis I","BioCyc"
"50","ARA:PWY-5934",1,0.974509561300839,0,1,"iron reduction and absorption","BioCyc"
"51","ARA:PWY-5971",1,0.956421942690678,0,2,"palmitate biosynthesis II (bacteria and plants)","BioCyc"
"52","ARA:PWY-5973",1,0.97452434633639,0,1,"cis-vaccenate biosynthesis","BioCyc"
"53","ARA:PWY-5989",1,0.956421942690678,0,2,"stearate biosynthesis II (bacteria and plants)","BioCyc"
"54","ARA:PWY-5992",1,0.976598809871256,0,1,"thalianol and derivatives biosynthesis","BioCyc"
"55","ARA:PWY-601",1,0.877186265333482,0,5,"glucosinolate biosynthesis from tryptophan","BioCyc"
"56","ARA:PWY-6039",1,0.927795659864583,0,3,"chlorogenic acid biosynthesis I","BioCyc"
"57","ARA:PWY-6040",1,0.953290085080037,0,2,"chlorogenic acid biosynthesis II","BioCyc"
"58","ARA:PWY-6051",1,0.974409726440125,0,1,"2,4,6-trinitrotoluene degradation","BioCyc"
"59","ARA:PWY-6163",1,0.976369818250128,0,1,"chorismate biosynthesis from 3-dehydroquinate","BioCyc"
"60","ARA:PWY-6266",1,0.974930348609077,0,1,"superpathway of flavones and derivatives biosynthesis","BioCyc"
"61","ARA:PWY-6266-ARA",1,0.974930348609077,0,1,"superpathway of flavones and derivatives biosynthesis","BioCyc"
"62","ARA:PWY-6333",1,0.978493151083604,0,1,"acetaldehyde biosynthesis I","BioCyc"
"63","ARA:PWY-6348",1,0.932292780429253,0,3,"phosphate acquisition","BioCyc"
"64","ARA:PWY-6351",1,0.965039509675184,0,2,"D-myo-inositol (1,4,5)-trisphosphate biosynthesis","BioCyc"
"65","ARA:PWY-6352",1,0.955629356520443,0,3,"3-phosphoinositide biosynthesis","BioCyc"
"66","ARA:PWY-6363",1,0.978624700920391,0,1,"D-myo-inositol (1,4,5)-trisphosphate degradation","BioCyc"
"67","ARA:PWY-6443",1,0.947959736845381,0,2,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)","BioCyc"
"68","ARA:PWY-6546",1,0.974930348609077,0,1,"brassinosteroids inactivation","BioCyc"
"69","ARA:PWY-6549",1,0.965163031143002,0,2,"L-glutamine biosynthesis III","BioCyc"
"70","ARA:PWY-6556",1,0.973505182643883,0,1,"pyrimidine ribonucleosides salvage II","BioCyc"
"71","ARA:PWY-6596",1,0.978713479449043,0,1,"adenosine nucleotides degradation I","BioCyc"
"72","ARA:PWY-6606",1,0.978713479449043,0,1,"guanosine nucleotides degradation II","BioCyc"
"73","ARA:PWY-6607",1,0.978713479449043,0,1,"guanosine nucleotides degradation I","BioCyc"
"74","ARA:PWY-6673",1,0.979283168224842,0,1,"caffeoylglucarate biosynthesis","BioCyc"
"75","ARA:PWY-6733",1,0.936290716163719,0,3,"sporopollenin precursors biosynthesis","BioCyc"
"76","ARA:PWY-6745",1,0.979852856486807,0,1,"phytochelatins biosynthesis","BioCyc"
"77","ARA:PWY-6787",1,0.974102464110945,0,1,"flavonoid biosynthesis (in equisetum)","BioCyc"
"78","ARA:PWY-6792",1,0.948296419274608,0,2,"scopoletin biosynthesis","BioCyc"
"79","ARA:PWY-6803",1,0.936719476903223,0,3,"phosphatidylcholine acyl editing","BioCyc"
"80","ARA:PWY-6823",1,0.976613331612492,0,1,"molybdenum cofactor biosynthesis","BioCyc"
"81","ARA:PWY-6837",1,0.979887907179698,0,1,"fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)","BioCyc"
"82","ARA:PWY-6902",1,0.875150032398455,0,5,"chitin degradation II (Vibrio)","BioCyc"
"83","ARA:PWY-6963",1,0.979870383500512,0,1,"ammonia assimilation cycle I","BioCyc"
"84","ARA:PWY-6964",1,0.979870383500512,0,1,"ammonia assimilation cycle II","BioCyc"
"85","ARA:PWY-6982",1,0.979283168224842,0,1,"umbelliferone biosynthesis","BioCyc"
"86","ARA:PWY-7039",1,0.94772546393112,0,3,"phosphatidate metabolism, as a signaling molecule","BioCyc"
"87","ARA:PWY-7185",1,0.978713479449043,0,1,"UTP and CTP dephosphorylation I","BioCyc"
"88","ARA:PWY-7186",1,0.977889881234894,0,1,"superpathway of scopolin and esculin biosynthesis","BioCyc"
"89","ARA:PWY-7193",1,0.973505182643883,0,1,"pyrimidine ribonucleosides salvage I","BioCyc"
"90","ARA:PWY-7196",1,0.973505182643883,0,1,"superpathway of pyrimidine ribonucleosides salvage","BioCyc"
"91","ARA:PWY-7199",1,0.973505182643883,0,1,"pyrimidine deoxyribonucleosides salvage","BioCyc"
"92","ARA:PWY-7200",1,0.973505182643883,0,1,"superpathway of pyrimidine deoxyribonucleoside salvage","BioCyc"
"93","ARA:PWY-7204",1,0.977408715752033,0,1,"pyridoxal 5'-phosphate salvage II (plants)","BioCyc"
"94","ARA:PWY-7213",1,0.979817792450172,0,1,"wogonin metabolism","BioCyc"
"95","ARA:PWY-7219",1,0.974609332751902,0,1,"adenosine ribonucleotides de novo biosynthesis","BioCyc"
"96","ARA:PWY-7221",1,0.977549016818482,0,1,"guanosine ribonucleotides de novo biosynthesis","BioCyc"
"97","ARA:PWY-7238",1,0.977120250391439,0,1,"sucrose biosynthesis II","BioCyc"
"98","ARA:PWY-7270",1,0.950141506039473,0,2,"L-methionine salvage cycle II (plants)","BioCyc"
"99","ARA:PWY-735",1,0.97810451385553,0,1,"jasmonic acid biosynthesis","BioCyc"
"100","ARA:PWY-7388",1,0.97452434633639,0,1,"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)","BioCyc"
"101","ARA:PWY-7398",1,0.92812511392022,0,3,"coumarins biosynthesis (engineered)","BioCyc"
"102","ARA:PWY-7416",1,0.954635782973175,0,2,"phospholipid remodeling (phosphatidylcholine, yeast)","BioCyc"
"103","ARA:PWY-861",1,0.975782338850209,0,1,"dhurrin biosynthesis","BioCyc"
"104","ARA:PWY1F-FLAVSYN",1,0.953657058651671,0,2,"flavonoid biosynthesis","BioCyc"
"105","ARA:PWY3DJ-35471",1,0.979420638026446,0,1,"L-ascorbate biosynthesis IV","BioCyc"
"106","ARA:PWY4FS-6",1,0.977520254588429,0,1,"phosphatidylethanolamine biosynthesis II","BioCyc"
"107","ARA:PWY66-21",1,0.978493151083604,0,1,"ethanol degradation II","BioCyc"
"108","ARA:PWYQT-4445",1,0.978713479449043,0,1,"pyrimidine salvage pathway","BioCyc"
"109","ARA:PWYQT-4471",1,0.948540211478834,0,2,"glucosinolate biosynthesis from dihomomethionine","BioCyc"
"110","ARA:PWYQT-4476",1,0.979957968579529,0,1,"indole glucosinolate activation (herbivore attack)","BioCyc"
"111","ARA:PWYQT-4477",1,0.858421245280503,0,6,"indole glucosinolate activation (intact plant cell)","BioCyc"
"112","ARA:SUCSYN-PWY",1,0.977120250391439,0,1,"sucrose biosynthesis I (from photosynthesis)","BioCyc"
"113","ARA:THRESYN-PWY",1,0.979698474762026,0,1,"superpathway of L-threonine biosynthesis","BioCyc"
"114","ARA:TRIGLSYN-PWY",1,0.953402561762537,0,2,"diacylglycerol and triacylglycerol biosynthesis","BioCyc"
"115","ARA:TRPSYN-PWY",1,0.955423809976551,0,2,"L-tryptophan biosynthesis","BioCyc"
