"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-6842",0.0533506273432224,0.993959890249316,3,8,"glutathione-mediated detoxification II","BioCyc"
"2","ARA:PWY-4321",0.0697052158217942,1,1,1,"L-glutamate degradation IV","BioCyc"
"3","ARA:PWY-6040",0.157557210650104,0.994103144786949,1,2,"chlorogenic acid biosynthesis II","BioCyc"
"4","ARA:PWY-5868",0.215860551903682,0.984893637787569,1,3,"simple coumarins biosynthesis","BioCyc"
"5","ARA:PWY-4302",0.224932985415858,0.987432399716288,1,2,"aerobic respiration III (alternative oxidase pathway)","BioCyc"
"6","ARA:PWY-6039",0.268011623275755,0.975954272881726,1,3,"chlorogenic acid biosynthesis I","BioCyc"
"7","ARA:PWY-361",0.319543561156257,0.96071283611896,1,4,"phenylpropanoid biosynthesis","BioCyc"
"8","ARA:PWY-601",0.435392783465398,0.916894548903302,1,5,"glucosinolate biosynthesis from tryptophan","BioCyc"
"9","ARA:PWYQT-4477",0.476318871632042,0.894251192772014,1,6,"indole glucosinolate activation (intact plant cell)","BioCyc"
"10","ARA:PWY-6902",0.489963289527293,0.890687885769466,1,5,"chitin degradation II (Vibrio)","BioCyc"
"11","ARA:ASPARTATE-DEG1-PWY",1,0.93235916891983,0,1,"L-aspartate degradation I","BioCyc"
"12","ARA:ASPARTATESYN-PWY",1,0.93235916891983,0,1,"L-aspartate biosynthesis","BioCyc"
"13","ARA:ASPASN-ARA-PWY",1,0.93235916891983,0,1,"superpathway of aspartate and asparagine biosynthesis","BioCyc"
"14","ARA:CAMALEXIN-SYN",1,0.765182918317741,0,3,"camalexin biosynthesis","BioCyc"
"15","ARA:COMPLETE-ARO-ARA-PWY",1,0.804815328285656,0,3,"superpathway of phenylalanine, tyrosine and tryptophan biosynthesis","BioCyc"
"16","ARA:ETOH-ACETYLCOA-ANA-PWY",1,0.931707478056873,0,1,"ethanol degradation I","BioCyc"
"17","ARA:FASYN-ELONG-PWY",1,0.890706763404241,0,1,"fatty acid elongation -- saturated","BioCyc"
"18","ARA:GLNSYN-PWY",1,0.932394219774041,0,1,"L-glutamine biosynthesis I","BioCyc"
"19","ARA:GLUCOSE1PMETAB-PWY",1,0.932717362434157,0,1,"glucose and glucose-1-phosphate degradation","BioCyc"
"20","ARA:GLYCOLYSIS",1,0.932462299523894,0,1,"glycolysis I (from glucose 6-phosphate)","BioCyc"
"21","ARA:LIPAS-PWY",1,0.868940720739963,0,2,"triacylglycerol degradation","BioCyc"
"22","ARA:LIPASYN-PWY",1,0.819801075482883,0,3,"phospholipases","BioCyc"
"23","ARA:MALATE-ASPARTATE-SHUTTLE-PWY",1,0.93235916891983,0,1,"L-aspartate degradation II","BioCyc"
"24","ARA:PWY-1042",1,0.932462299523894,0,1,"glycolysis IV (plant cytosol)","BioCyc"
"25","ARA:PWY-1061",1,0.897094565975884,0,1,"homogalacturonan biosynthesis","BioCyc"
"26","ARA:PWY-1121",1,0.544537843891062,0,6,"suberin monomers biosynthesis","BioCyc"
"27","ARA:PWY-1187",1,0.863401124311996,0,1,"glucosinolate biosynthesis from homomethionine","BioCyc"
"28","ARA:PWY-2181",1,0.930761269097768,0,1,"free phenylpropanoid acid biosynthesis","BioCyc"
"29","ARA:PWY-2902",1,0.88740279222231,0,1,"cytokinin-O-glucosides biosynthesis","BioCyc"
"30","ARA:PWY-3001",1,0.93235916891983,0,1,"superpathway of L-isoleucine biosynthesis I","BioCyc"
"31","ARA:PWY-321",1,0.730746464933147,0,3,"cutin biosynthesis","BioCyc"
"32","ARA:PWY-3301",1,0.932424867637283,0,1,"sinapate ester biosynthesis","BioCyc"
"33","ARA:PWY-3385",1,0.929854633038889,0,1,"choline biosynthesis I","BioCyc"
"34","ARA:PWY-3461",1,0.93235916891983,0,1,"L-tyrosine biosynthesis II","BioCyc"
"35","ARA:PWY-3462",1,0.93235916891983,0,1,"L-phenylalanine biosynthesis II","BioCyc"
"36","ARA:PWY-3481",1,0.93235916891983,0,1,"superpathway of L-phenylalanine and L-tyrosine biosynthesis","BioCyc"
"37","ARA:PWY-3561",1,0.953703953572422,0,1,"choline biosynthesis III","BioCyc"
"38","ARA:PWY-3781",1,0.859804253109937,0,1,"aerobic respiration I (cytochrome c)","BioCyc"
"39","ARA:PWY-381",1,0.932394219774041,0,1,"nitrate reduction II (assimilatory)","BioCyc"
"40","ARA:PWY-4361",1,0.808858371388687,0,2,"S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation","BioCyc"
"41","ARA:PWY-5035",1,0.929364508254668,0,1,"gibberellin biosynthesis III (early C-13 hydroxylation)","BioCyc"
"42","ARA:PWY-5070",1,0.929364508254668,0,1,"gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)","BioCyc"
"43","ARA:PWY-5080",1,0.867832630824623,0,1,"very long chain fatty acid biosynthesis I","BioCyc"
"44","ARA:PWY-5083",1,0.859804253109937,0,1,"NAD/NADH phosphorylation and dephosphorylation","BioCyc"
"45","ARA:PWY-5129",1,0.932591914919468,0,1,"sphingolipid biosynthesis (plants)","BioCyc"
"46","ARA:PWY-5143",1,0.933293437394319,0,1,"long-chain fatty acid activation","BioCyc"
"47","ARA:PWY-5147",1,0.933293437394319,0,1,"oleate biosynthesis I (plants)","BioCyc"
"48","ARA:PWY-5148",1,0.784664128939318,0,2,"acyl-CoA hydrolysis","BioCyc"
