"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath00480",0.0423499501525844,0.996397589163692,3,5,"Glutathione metabolism","KEGG"
"2","path:ath00410",0.0884371469818874,1,1,1,"beta-Alanine metabolism","KEGG"
"3","path:ath00430",0.0884371469818874,1,1,1,"Taurine and hypotaurine metabolism","KEGG"
"4","path:ath00650",0.0884371469818874,1,1,1,"Butanoate metabolism","KEGG"
"5","path:ath00620",0.160467802299389,0.993592973108909,1,2,"Pyruvate metabolism","KEGG"
"6","path:ath00250",0.167257869282597,0.993009810391402,1,2,"Alanine, aspartate and glutamate metabolism","KEGG"
"7","path:ath00040",0.168346055023279,0.992913743860149,1,2,"Pentose and glucuronate interconversions","KEGG"
"8","path:ath01100",0.188750510486705,0.938884392096727,9,63,"Metabolic pathways","KEGG"
"9","path:ath04136",0.361166648436875,0.943212114388865,1,5,"Autophagy - other","KEGG"
"10","path:ath04016",0.501951074126972,0.873069874859836,1,7,"MAPK signaling pathway - plant","KEGG"
"11","path:ath00520",0.516958641816378,0.871240456564412,1,5,"Amino sugar and nucleotide sugar metabolism","KEGG"
"12","path:ath04075",0.559350963710958,0.852136710230949,1,4,"Plant hormone signal transduction","KEGG"
"13","path:ath00940",0.560879651598534,0.750537085416408,2,15,"Phenylpropanoid biosynthesis","KEGG"
"14","path:ath01110",0.623359368995114,0.649883950609079,3,29,"Biosynthesis of secondary metabolites","KEGG"
"15","path:ath04626",0.800412752135027,0.569376910206193,1,11,"Plant-pathogen interaction","KEGG"
"16","path:ath00010",1,0.834452343795699,0,2,"Glycolysis / Gluconeogenesis","KEGG"
"17","path:ath00030",1,0.91428364315135,0,1,"Pentose phosphate pathway","KEGG"
"18","path:ath00051",1,0.841298383634442,0,2,"Fructose and mannose metabolism","KEGG"
"19","path:ath00052",1,0.91428364315135,0,1,"Galactose metabolism","KEGG"
"20","path:ath00053",1,0.914069079306508,0,1,"Ascorbate and aldarate metabolism","KEGG"
"21","path:ath00061",1,0.915327439737277,0,1,"Fatty acid biosynthesis","KEGG"
"22","path:ath00062",1,0.914761835369341,0,1,"Fatty acid elongation","KEGG"
"23","path:ath00071",1,0.762648507547044,0,3,"Fatty acid degradation","KEGG"
