"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0005634",0.088139875549636,0.950047516425186,25,199,"nucleus","CC"
"2","GO:0000228",0.0912538645062259,1,1,1,"nuclear chromosome","CC"
"3","GO:0000785",0.0912538645062259,1,1,1,"chromatin","CC"
"4","GO:0000790",0.0912538645062259,1,1,1,"nuclear chromatin","CC"
"5","GO:0090694",0.0912538645062259,1,1,1,"Scc2-Scc4 cohesin loading complex","CC"
"6","GO:0000159",0.0919176674329282,1,1,1,"protein phosphatase type 2A complex","CC"
"7","GO:0005829",0.119731696716017,0.946513847042865,8,51,"cytosol","CC"
"8","GO:0005576",0.226347206464633,0.872210293625859,10,73,"extracellular region","CC"
"9","GO:0090575",0.23467986996431,0.984620632688311,1,2,"RNA polymerase II transcription factor complex","CC"
"10","GO:0009705",0.236665157862559,0.97943503906206,1,3,"plant-type vacuole membrane","CC"
"11","GO:0005622",0.273223511735613,0.972024712536722,1,3,"intracellular","CC"
"12","GO:0009507",0.291760896666377,0.823573295678889,10,83,"chloroplast","CC"
"13","GO:0016021",0.316559116433061,0.796891689676521,12,104,"integral component of membrane","CC"
"14","GO:0005789",0.339050193914613,0.950200293540575,1,4,"endoplasmic reticulum membrane","CC"
"15","GO:0030176",0.340321177774295,0.954849674747382,1,3,"integral component of endoplasmic reticulum membrane","CC"
"16","GO:0005887",0.343670344520529,0.945660523971772,1,5,"integral component of plasma membrane","CC"
"17","GO:0005783",0.403887424140124,0.853402576688558,2,13,"endoplasmic reticulum","CC"
"18","GO:0005886",0.491547302578505,0.658259485665929,9,93,"plasma membrane","CC"
"19","GO:0016020",0.546198032112249,0.66721933170021,4,39,"membrane","CC"
"20","GO:0005618",0.613870599237915,0.67613886927942,2,21,"cell wall","CC"
"21","GO:0005774",0.639775658542429,0.751046603911049,1,10,"vacuolar membrane","CC"
"22","GO:0048046",0.678969952345089,0.607227812883269,2,20,"apoplast","CC"
"23","GO:0005737",0.749860409453011,0.389607290157544,8,91,"cytoplasm","CC"
"24","GO:0009505",0.831647626233145,0.489964046658563,1,17,"plant-type cell wall","CC"
"25","GO:0005773",0.833955945365019,0.485875856011385,1,17,"vacuole","CC"
"26","GO:0005794",0.934868355059964,0.258134826419685,1,25,"Golgi apparatus","CC"
"27","GO:0005739",0.997565621809267,0.0127926123712899,2,65,"mitochondrion","CC"
"28","GO:0000139",1,0.59407928078426,0,5,"Golgi membrane","CC"
"29","GO:0000145",1,0.81371206261783,0,2,"exocyst","CC"
