"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0006952",0.000862812748301207,0.999853418445717,7,536,"defense response","BP"
"2","GO:0016106",0.0050421522190785,0.999993727704032,1,2,"sesquiterpenoid biosynthetic process","BP"
"3","GO:0042754",0.00564605628831892,0.999992132825753,1,2,"negative regulation of circadian rhythm","BP"
"4","GO:0042659",0.00821153689792087,0.999977793365897,1,3,"regulation of cell fate specification","BP"
"5","GO:0010200",0.00926996468191129,0.999080103858235,3,133,"response to chitin","BP"
"6","GO:0006536",0.0121621455152062,0.999941470347142,1,5,"glutamate metabolic process","BP"
"7","GO:0048255",0.0123514777353564,0.999939629177516,1,5,"mRNA stabilization","BP"
"8","GO:0045338",0.0128198599494805,0.999934951214673,1,5,"farnesyl diphosphate metabolic process","BP"
"9","GO:0006538",0.014749368677129,0.999910253140148,1,6,"glutamate catabolic process","BP"
"10","GO:0010106",0.0200558745578441,0.999833705822029,1,6,"cellular response to iron ion starvation","BP"
"11","GO:0009652",0.0208895012055955,0.999814409520008,1,7,"thigmotropism","BP"
"12","GO:0016926",0.0219377883360164,0.999787697588072,1,9,"protein desumoylation","BP"
"13","GO:0006357",0.0221822444441878,0.998419044329335,2,80,"regulation of transcription by RNA polymerase II","BP"
"14","GO:0071555",0.0235735199131204,0.996673133405225,3,225,"cell wall organization","BP"
"15","GO:0051762",0.0279698305581476,0.999646306290755,1,11,"sesquiterpene biosynthetic process","BP"
"16","GO:0000271",0.0301393760430881,0.999585579379021,1,12,"polysaccharide biosynthetic process","BP"
"17","GO:0042744",0.0327111623678269,0.997124739947131,2,91,"hydrogen peroxide catabolic process","BP"
"18","GO:0009691",0.0359548549514463,0.99940484823759,1,13,"cytokinin biosynthetic process","BP"
"19","GO:0009699",0.036328813090293,0.999392318837337,1,13,"phenylpropanoid biosynthetic process","BP"
"20","GO:0048829",0.0392329418321793,0.999282724725201,1,15,"root cap development","BP"
"21","GO:0009612",0.0402671064829209,0.999252322046731,1,13,"response to mechanical stimulus","BP"
"22","GO:0009833",0.0417585216843845,0.999177090859722,1,18,"plant-type primary cell wall biogenesis","BP"
"23","GO:0010150",0.0427615972380821,0.995639808686386,2,117,"leaf senescence","BP"
"24","GO:0051510",0.0430478775280966,0.999128059371004,1,17,"regulation of unidimensional cell growth","BP"
"25","GO:0000272",0.0452046449044739,0.999045634794095,1,15,"polysaccharide catabolic process","BP"
"26","GO:0002221",0.0491521948667008,0.998853292744228,1,19,"pattern recognition receptor signaling pathway","BP"
"27","GO:0006863",0.0498454404792183,0.998832505338305,1,16,"purine nucleobase transport","BP"
