"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0047538",0.00260910404045165,1,1,1,"2-carboxy-D-arabinitol-1-phosphatase activity","MF"
"2","GO:0016709",0.00288705107069588,0.999812547993691,3,95,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"3","GO:0052683",0.0050421522190785,0.999993727704032,1,2,"(Z)-gamma-bisabolene synthase activity","MF"
"4","GO:0020037",0.00723869145230067,0.998991271198222,4,254,"heme binding","MF"
"5","GO:0019825",0.00907666075434238,0.999104975485422,3,147,"oxygen binding","MF"
"6","GO:0035925",0.0103615791164775,0.999960195237255,1,4,"mRNA 3'-UTR AU-rich region binding","MF"
"7","GO:0004712",0.0119002906100983,0.999391133152165,2,66,"protein serine/threonine/tyrosine kinase activity","MF"
"8","GO:0070140",0.0126101868386372,0.999937067013022,1,5,"SUMO-specific isopeptidase activity","MF"
"9","GO:0004506",0.0127539883450061,0.999935619709228,1,5,"squalene monooxygenase activity","MF"
"10","GO:0004351",0.014749368677129,0.999910253140148,1,6,"glutamate decarboxylase activity","MF"
"11","GO:0008234",0.0156209671063364,0.999077816640497,2,68,"cysteine-type peptidase activity","MF"
"12","GO:0070139",0.0166503948441921,0.999882286326016,1,7,"SUMO-specific endopeptidase activity","MF"
"13","GO:0010333",0.0228415581259967,0.999769765366071,1,9,"terpene synthase activity","MF"
"14","GO:0016799",0.0234578537170768,0.999757116471021,1,9,"hydrolase activity, hydrolyzing N-glycosyl compounds","MF"
"15","GO:0009975",0.0279698305581476,0.999646306290755,1,11,"cyclase activity","MF"
"16","GO:0016621",0.0368885295012338,0.99937331839862,1,13,"cinnamoyl-CoA reductase activity","MF"
"17","GO:0016301",0.0411962727691966,0.986747959614848,6,954,"kinase activity","MF"
"18","GO:0016760",0.041815950357063,0.999174808450217,1,18,"cellulose synthase (UDP-forming) activity","MF"
"19","GO:0044212",0.0470747241276877,0.991310682666547,3,265,"transcription regulatory region DNA binding","MF"
"20","GO:0016759",0.0514079836468627,0.998735229782726,1,22,"cellulose synthase activity","MF"
"21","GO:0004601",0.0523230961684276,0.994040921379931,2,119,"peroxidase activity","MF"
"22","GO:0005345",0.0530668944235853,0.998670025269401,1,17,"purine nucleobase transmembrane transporter activity","MF"
"23","GO:0008061",0.0533318688741785,0.998656578005072,1,17,"chitin binding","MF"
"24","GO:0015079",0.0550581996917879,0.998544344771093,1,23,"potassium ion transmembrane transporter activity","MF"
"25","GO:0004620",0.0608681219195132,0.998217119298918,1,23,"phospholipase activity","MF"
"26","GO:0047372",0.0612915547370884,0.998195605097037,1,22,"acylglycerol lipase activity","MF"
"27","GO:0004568",0.0657791422028302,0.997927951381397,1,20,"chitinase activity","MF"
"28","GO:0016740",0.0716088703364566,0.984342659065706,3,313,"transferase activity","MF"
"29","GO:0004650",0.080321033070612,0.996840675349949,1,30,"polygalacturonase activity","MF"
"30","GO:0050662",0.0815412646633632,0.996750284661969,1,28,"coenzyme binding","MF"
"31","GO:0045330",0.0954395483074073,0.995489308181972,1,36,"aspartyl esterase activity","MF"
"32","GO:0005506",0.103128233138487,0.982729829041975,2,191,"iron ion binding","MF"
"33","GO:0030599",0.104029589039061,0.994612192595823,1,39,"pectinesterase activity","MF"
"34","GO:0016616",0.105763740834124,0.994431173982387,1,38,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF"
"35","GO:0030247",0.12223033761769,0.992489448030855,1,44,"polysaccharide binding","MF"
"36","GO:0003712",0.134961134887643,0.990771139381004,1,51,"transcription coregulator activity","MF"
"37","GO:0000977",0.138974648231845,0.99018875471828,1,54,"RNA polymerase II regulatory region sequence-specific DNA binding","MF"
"38","GO:0051015",0.13957579208796,0.990081052682117,1,61,"actin filament binding","MF"
"39","GO:0045735",0.145914332633243,0.989189487553337,1,46,"nutrient reservoir activity","MF"
"40","GO:0003777",0.146182689359601,0.989070190936906,1,70,"microtubule motor activity","MF"
"41","GO:0046910",0.149145272464073,0.9886768187677,1,49,"pectinesterase inhibitor activity","MF"
"42","GO:0042626",0.156217473208781,0.987458641649821,1,75,"ATPase activity, coupled to transmembrane movement of substances","MF"
"43","GO:0050660",0.185672886497911,0.982073548205319,1,77,"flavin adenine dinucleotide binding","MF"
"44","GO:0005096",0.189591116909229,0.9812635453985,1,83,"GTPase activator activity","MF"
"45","GO:0016829",0.193693874662012,0.980439185660886,1,74,"lyase activity","MF"
"46","GO:0004364",0.196267646632721,0.97994490271156,1,62,"glutathione transferase activity","MF"
"47","GO:0008134",0.220208369716653,0.974396615388118,1,88,"transcription factor binding","MF"
"48","GO:0000287",0.232735876323599,0.971218729442693,1,100,"magnesium ion binding","MF"
"49","GO:0030170",0.253667549426626,0.965487593994114,1,109,"pyridoxal phosphate binding","MF"
"50","GO:0008233",0.273143503523535,0.959660838597078,1,108,"peptidase activity","MF"
"51","GO:0043565",0.304404091921101,0.872459463121178,3,649,"sequence-specific DNA binding","MF"
"52","GO:0008017",0.306484863881989,0.948371973742446,1,146,"microtubule binding","MF"
"53","GO:0003676",0.329902138535656,0.886224545630813,2,422,"nucleic acid binding","MF"
