"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:PWY-361",0.00389730466065801,0.999742739966542,3,47,"phenylpropanoid biosynthesis","BioCyc"
"2","ARA:PWY-6902",0.00643385320775961,0.999790649344609,2,15,"chitin degradation II (Vibrio)","BioCyc"
"3","ARA:PWY-5868",0.0138226000268124,0.999297948390878,2,26,"simple coumarins biosynthesis","BioCyc"
"4","ARA:PWY-6014",0.0280491957742325,0.999715613897857,1,4,"vernolate biosynthesis I","BioCyc"
"5","ARA:PWY-6710",0.0280491957742325,0.999715613897857,1,4,"poly-hydroxy fatty acids biosynthesis","BioCyc"
"6","ARA:PWY-5670",0.046091430494601,0.999116819908253,1,7,"epoxysqualene biosynthesis","BioCyc"
"7","ARA:PWY-6673",0.0605475448826565,0.99841108734487,1,9,"caffeoylglucarate biosynthesis","BioCyc"
"8","ARA:PWY-5035",0.0690893301063673,0.997898586280432,1,10,"gibberellin biosynthesis III (early C-13 hydroxylation)","BioCyc"
"9","ARA:PWY-4321",0.0694817570134584,0.997853326304344,1,11,"L-glutamate degradation IV","BioCyc"
"10","ARA:PWY-6040",0.0764707057568497,0.99739244920213,1,11,"chlorogenic acid biosynthesis II","BioCyc"
"11","ARA:PWY-6952",0.0840498622657761,0.996793063566849,1,13,"glycerophosphodiester degradation","BioCyc"
"12","ARA:PWY-6982",0.0861291940415642,0.996629626534044,1,13,"umbelliferone biosynthesis","BioCyc"
"13","ARA:PWY-2681",0.0866681081585959,0.996586581587887,1,13,"trans-zeatin biosynthesis","BioCyc"
"14","ARA:PWYQT-4477",0.0976088367744736,0.995626282341264,1,14,"indole glucosinolate activation (intact plant cell)","BioCyc"
"15","ARA:PWY-6663",0.10133657243296,0.99523494337218,1,16,"plant sterol biosynthesis II","BioCyc"
"16","ARA:PWY-1001",0.105981886035124,0.994741115560503,1,18,"cellulose biosynthesis","BioCyc"
"17","ARA:PWY-7398",0.124974533680664,0.992631515520921,1,18,"coumarins biosynthesis (engineered)","BioCyc"
"18","ARA:PWY-6039",0.128613009371172,0.992161631778917,1,19,"chlorogenic acid biosynthesis I","BioCyc"
"19","ARA:CYSTSYN-PWY",0.152293421443383,0.988801585900987,1,23,"L-cysteine biosynthesis I","BioCyc"
"20","ARA:PWY-7036",0.168247442061793,0.986155749237705,1,27,"very long chain fatty acid biosynthesis II","BioCyc"
"21","ARA:VALDEG-PWY",0.171641140618979,0.985571527435409,1,27,"L-valine degradation I","BioCyc"
"22","ARA:PWY1F-FLAVSYN",0.17758671527721,0.984516735726238,1,27,"flavonoid biosynthesis","BioCyc"
"23","ARA:PWY-601",0.180743711390195,0.983940389411515,1,27,"glucosinolate biosynthesis from tryptophan","BioCyc"
"24","ARA:PWY-1081",0.187477277403174,0.982611069810418,1,30,"homogalacturonan degradation","BioCyc"
"25","ARA:PWY-321",0.188489767489481,0.982455675256907,1,28,"cutin biosynthesis","BioCyc"
"26","ARA:PWY-3301",0.190600337601466,0.981984958246538,1,31,"sinapate ester biosynthesis","BioCyc"
"27","ARA:PWY-5080",0.22133583170966,0.975304232983584,1,35,"very long chain fatty acid biosynthesis I","BioCyc"
"28","ARA:PWY-2541",0.22550300533927,0.974282723950658,1,37,"plant sterol biosynthesis","BioCyc"
"29","ARA:PWY-1121",0.269928938048789,0.962304257366434,1,43,"suberin monomers biosynthesis","BioCyc"
"30","ARA:LIPAS-PWY",0.378883322405236,0.921306383076933,1,68,"triacylglycerol degradation","BioCyc"
