"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0005576",0.00458047920885398,0.997953785212723,20,1744,"extracellular region","CC"
"2","GO:0090575",0.0067543602063516,0.999753289160492,2,20,"RNA polymerase II transcription factor complex","CC"
"3","GO:0010009",0.0109435401346649,0.999970128258691,1,2,"cytoplasmic side of endosome membrane","CC"
"4","GO:0012511",0.0340368963277624,0.99953377965444,1,5,"monolayer-surrounded lipid storage body","CC"
"5","GO:0031519",0.0461402163270654,0.999044616749201,1,9,"PcG protein complex","CC"
"6","GO:0005774",0.0464762053883471,0.982768143263558,7,581,"vacuolar membrane","CC"
"7","GO:0055035",0.0471477192847765,0.999017422962379,1,8,"plastid thylakoid membrane","CC"
"8","GO:0070847",0.051116964372699,0.998825147883684,1,9,"core mediator complex","CC"
"9","GO:0031205",0.0532688310449114,0.998767974700636,1,7,"endoplasmic reticulum Sec complex","CC"
"10","GO:0010445",0.0563903119059782,0.998535331709821,1,11,"nuclear dicing body","CC"
"11","GO:0031901",0.103643717171896,0.994755771177458,1,19,"early endosome membrane","CC"
"12","GO:0048046",0.122401949490632,0.9520339049064,5,424,"apoplast","CC"
"13","GO:0005886",0.127321891527332,0.915096921259069,24,3357,"plasma membrane","CC"
"14","GO:0005769",0.14360394476746,0.989589551279037,1,29,"early endosome","CC"
"15","GO:0005618",0.17117051535616,0.925493676692569,5,495,"cell wall","CC"
"16","GO:0016020",0.17467120083255,0.892732831703871,13,1720,"membrane","CC"
"17","GO:0005794",0.180582771038745,0.899310606196755,9,1135,"Golgi apparatus","CC"
"18","GO:0005615",0.180983103175333,0.957477312344926,2,113,"extracellular space","CC"
"19","GO:0005788",0.211261581265361,0.976597338305817,1,44,"endoplasmic reticulum lumen","CC"
"20","GO:0009506",0.219715727459538,0.876280996973822,8,1034,"plasmodesma","CC"
"21","GO:0016592",0.234420819307252,0.970899290685927,1,45,"mediator complex","CC"
"22","GO:0005871",0.24316328571427,0.968405026850532,1,61,"kinesin complex","CC"
"23","GO:0000325",0.245587911872721,0.9678030814677,1,54,"plant-type vacuole","CC"
"24","GO:0009505",0.255880702433351,0.900794419648908,3,300,"plant-type cell wall","CC"
"25","GO:0016021",0.299122340863704,0.772366748060941,27,4094,"integral component of membrane","CC"
"26","GO:0031966",0.315297982346114,0.945273125516739,1,58,"mitochondrial membrane","CC"
"27","GO:0005622",0.338801330714438,0.880295509101721,2,203,"intracellular","CC"
"28","GO:0010008",0.379378155559586,0.918037308669931,1,87,"endosome membrane","CC"
"29","GO:0009706",0.383563896653579,0.916065443662746,1,86,"chloroplast inner membrane","CC"
"30","GO:0005575",0.385364627948979,0.815861054101692,3,303,"cellular_component","CC"
"31","GO:1990904",0.407356575493187,0.904211471530879,1,91,"ribonucleoprotein complex","CC"
"32","GO:0005737",0.425876423140075,0.657251739456905,27,4510,"cytoplasm","CC"
"33","GO:0005777",0.439365588030555,0.81314289258494,2,254,"peroxisome","CC"
"34","GO:0005681",0.49229642518405,0.853723728931453,1,121,"spliceosomal complex","CC"
"35","GO:0005654",0.493871277118219,0.852649392588836,1,123,"nucleoplasm","CC"
"36","GO:0005887",0.523748108255451,0.831507178801428,1,138,"integral component of plasma membrane","CC"
"37","GO:0016607",0.54402161169496,0.816145674275617,1,142,"nuclear speck","CC"
"38","GO:0005768",0.575976006308344,0.697190747997432,2,352,"endosome","CC"
"39","GO:0043231",0.610951947937589,0.75871090190642,1,168,"intracellular membrane-bounded organelle","CC"
"40","GO:0005874",0.617616832774001,0.75232668209865,1,182,"microtubule","CC"
"41","GO:0005789",0.675470407408269,0.591887249775563,2,409,"endoplasmic reticulum membrane","CC"
"42","GO:0005739",0.685952322346984,0.410246593933761,17,2991,"mitochondrion","CC"
"43","GO:0009534",0.717146788070822,0.642950892192874,1,197,"chloroplast thylakoid","CC"
"44","GO:0009570",0.790263343334128,0.398321217717086,3,718,"chloroplast stroma","CC"
"45","GO:0005783",0.853965279061664,0.303149939613736,3,826,"endoplasmic reticulum","CC"
"46","GO:0000139",0.855508011882083,0.426894571427714,1,354,"Golgi membrane","CC"
"47","GO:0005802",0.857639761301025,0.422749810707295,1,357,"trans-Golgi network","CC"
"48","GO:0009536",0.861113422485456,0.41597716452549,1,339,"plastid","CC"
"49","GO:0005829",0.874793053748585,0.201884934656001,10,2385,"cytosol","CC"
"50","GO:0009535",0.898133747482798,0.337369340695567,1,354,"chloroplast thylakoid membrane","CC"
"51","GO:0005634",0.943086271766729,0.0811264250908329,44,9053,"nucleus","CC"
"52","GO:0009941",0.966478710446238,0.149199322782875,1,576,"chloroplast envelope","CC"
"53","GO:0009507",0.971624440197234,0.0471750031447418,20,4806,"chloroplast","CC"
"54","GO:0005773",0.980474460742771,0.0977898834229801,1,685,"vacuole","CC"
"55","GO:0000015",1,0.983702797126084,0,3,"phosphopyruvate hydratase complex","CC"
"56","GO:0000109",1,0.994536890237632,0,1,"nucleotide-excision repair complex","CC"
"57","GO:0000110",1,0.984050338946448,0,3,"nucleotide-excision repair factor 1 complex","CC"
"58","GO:0000111",1,0.990119292818266,0,2,"nucleotide-excision repair factor 2 complex","CC"
"59","GO:0000112",1,0.990216549502839,0,2,"nucleotide-excision repair factor 3 complex","CC"
"60","GO:0000118",1,0.96762937337046,0,6,"histone deacetylase complex","CC"
"61","GO:0000123",1,0.925570258192577,0,14,"histone acetyltransferase complex","CC"
"62","GO:0000124",1,0.908601557549417,0,17,"SAGA complex","CC"
"63","GO:0000126",1,0.983767421361873,0,3,"transcription factor TFIIIB complex","CC"
"64","GO:0000127",1,0.972566484419605,0,5,"transcription factor TFIIIC complex","CC"
"65","GO:0000138",1,0.966321530471183,0,6,"Golgi trans cisterna","CC"
"66","GO:0000145",1,0.853271767793112,0,32,"exocyst","CC"
"67","GO:0000148",1,0.967104505384514,0,14,"1,3-beta-D-glucan synthase complex","CC"
"68","GO:0000151",1,0.744254295448196,0,58,"ubiquitin ligase complex","CC"
"69","GO:0000152",1,0.990087678202022,0,2,"nuclear ubiquitin ligase complex","CC"
"70","GO:0000153",1,0.989065120297417,0,2,"cytoplasmic ubiquitin ligase complex","CC"
"71","GO:0000159",1,0.857775270130324,0,29,"protein phosphatase type 2A complex","CC"
"72","GO:0000164",1,0.959500087776397,0,7,"protein phosphatase type 1 complex","CC"
"73","GO:0000172",1,0.98435789085161,0,2,"ribonuclease MRP complex","CC"
"74","GO:0000176",1,0.925730482731551,0,14,"nuclear exosome (RNase complex)","CC"
"75","GO:0000177",1,0.941392559277942,0,11,"cytoplasmic exosome (RNase complex)","CC"
"76","GO:0000178",1,0.958494572728696,0,8,"exosome (RNase complex)","CC"
"77","GO:0000214",1,0.979696865381717,0,3,"tRNA-intron endonuclease complex","CC"
"78","GO:0000220",1,0.974247155923164,0,5,"vacuolar proton-transporting V-type ATPase, V0 domain","CC"
"79","GO:0000221",1,0.989893200517187,0,2,"vacuolar proton-transporting V-type ATPase, V1 domain","CC"
"80","GO:0000228",1,0.943663506764965,0,11,"nuclear chromosome","CC"
"81","GO:0000243",1,0.942173045536348,0,10,"commitment complex","CC"
"82","GO:0000262",1,0.994159478088545,0,1,"mitochondrial chromosome","CC"
"83","GO:0000274",1,0.994289394697187,0,1,"mitochondrial proton-transporting ATP synthase, stator stalk","CC"
"84","GO:0000275",1,0.935607146603139,0,11,"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)","CC"
"85","GO:0000276",1,0.944544407388561,0,8,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","CC"
"86","GO:0000306",1,0.97345246288855,0,5,"extrinsic component of vacuolar membrane","CC"
"87","GO:0000307",1,0.82354970486963,0,34,"cyclin-dependent protein kinase holoenzyme complex","CC"
"88","GO:0000311",1,0.898439425204631,0,12,"plastid large ribosomal subunit","CC"
"89","GO:0000312",1,0.868088656554359,0,13,"plastid small ribosomal subunit","CC"
"90","GO:0000323",1,0.972252848272063,0,5,"lytic vacuole","CC"
"91","GO:0000326",1,0.953063946409361,0,8,"protein storage vacuole","CC"
"92","GO:0000327",1,0.994524271523254,0,1,"lytic vacuole within protein storage vacuole","CC"
"93","GO:0000346",1,0.994516444610867,0,1,"transcription export complex","CC"
"94","GO:0000347",1,0.941601927755914,0,11,"THO complex","CC"
"95","GO:0000407",1,0.932805507057045,0,14,"phagophore assembly site","CC"
"96","GO:0000408",1,0.983128204224436,0,3,"EKC/KEOPS complex","CC"
"97","GO:0000418",1,0.92051701870572,0,14,"RNA polymerase IV complex","CC"
"98","GO:0000419",1,0.900355280234632,0,18,"RNA polymerase V complex","CC"
"99","GO:0000421",1,0.898701727854215,0,18,"autophagosome membrane","CC"
"100","GO:0000427",1,0.977978904751931,0,4,"plastid-encoded plastid RNA polymerase complex","CC"
"101","GO:0000439",1,0.939587384753665,0,11,"transcription factor TFIIH core complex","CC"
"102","GO:0000445",1,0.960950623886253,0,7,"THO complex part of transcription export complex","CC"
"103","GO:0000502",1,0.61937080223804,0,86,"proteasome complex","CC"
"104","GO:0000506",1,0.974262630565343,0,4,"glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex","CC"
"105","GO:0000775",1,0.891548218513317,0,23,"chromosome, centromeric region","CC"
"106","GO:0000776",1,0.914926716697853,0,16,"kinetochore","CC"
"107","GO:0000777",1,0.947306340770408,0,10,"condensed chromosome kinetochore","CC"
"108","GO:0000778",1,0.95531484931644,0,8,"condensed nuclear chromosome kinetochore","CC"
"109","GO:0000780",1,0.97284187041942,0,5,"condensed nuclear chromosome, centromeric region","CC"
"110","GO:0000781",1,0.968228753039375,0,6,"chromosome, telomeric region","CC"
"111","GO:0000783",1,0.989105396144384,0,2,"nuclear telomere cap complex","CC"
"112","GO:0000784",1,0.900933872073896,0,19,"nuclear chromosome, telomeric region","CC"
"113","GO:0000785",1,0.741703453074869,0,61,"chromatin","CC"
"114","GO:0000786",1,0.695218430862864,0,48,"nucleosome","CC"
"115","GO:0000790",1,0.724822690010168,0,53,"nuclear chromatin","CC"
"116","GO:0000791",1,0.994513287808365,0,1,"euchromatin","CC"
"117","GO:0000792",1,0.971345642134082,0,4,"heterochromatin","CC"
"118","GO:0000793",1,0.968619959303374,0,6,"condensed chromosome","CC"
"119","GO:0000794",1,0.94607352569865,0,11,"condensed nuclear chromosome","CC"
"120","GO:0000795",1,0.995473250620329,0,1,"synaptonemal complex","CC"
"121","GO:0000796",1,0.986474706282344,0,3,"condensin complex","CC"
"122","GO:0000798",1,0.994576406444109,0,1,"nuclear cohesin complex","CC"
"123","GO:0000799",1,0.994675228781555,0,1,"nuclear condensin complex","CC"
"124","GO:0000808",1,0.963046038637703,0,7,"origin recognition complex","CC"
"125","GO:0000811",1,0.977960462598729,0,4,"GINS complex","CC"
"126","GO:0000812",1,0.971725646923372,0,5,"Swr1 complex","CC"
"127","GO:0000813",1,0.931402612013855,0,12,"ESCRT I complex","CC"
"128","GO:0000814",1,0.97731224641407,0,4,"ESCRT II complex","CC"
"129","GO:0000815",1,0.92914222421052,0,12,"ESCRT III complex","CC"
"130","GO:0000818",1,0.988258522136051,0,2,"nuclear MIS12/MIND complex","CC"
"131","GO:0000922",1,0.932217145434073,0,14,"spindle pole","CC"
"132","GO:0000923",1,0.975766591926552,0,5,"equatorial microtubule organizing center","CC"
"133","GO:0000930",1,0.949817894669635,0,9,"gamma-tubulin complex","CC"
"134","GO:0000932",1,0.686458709096816,0,68,"P-body","CC"
"135","GO:0000938",1,0.979076714839858,0,5,"GARP complex","CC"
"136","GO:0000940",1,0.993955437005774,0,1,"condensed chromosome outer kinetochore","CC"
"137","GO:0000943",1,0.994366537273909,0,1,"retrotransposon nucleocapsid","CC"
"138","GO:0000974",1,0.932502508543699,0,13,"Prp19 complex","CC"
"139","GO:0001401",1,0.994500370759834,0,1,"mitochondrial sorting and assembly machinery complex","CC"
"140","GO:0001405",1,0.968345220823344,0,5,"PAM complex, Tim23 associated import motor","CC"
"141","GO:0001673",1,0.98190975435788,0,3,"male germ cell nucleus","CC"
"142","GO:0002144",1,0.994498484410913,0,1,"cytosolic tRNA wobble base thiouridylase complex","CC"
"143","GO:0002189",1,0.967497754560919,0,6,"ribose phosphate diphosphokinase complex","CC"
"144","GO:0005623",1,0.624403763744633,0,85,"cell","CC"
"145","GO:0005635",1,0.656545388416423,0,81,"nuclear envelope","CC"
"146","GO:0005637",1,0.972347238965118,0,5,"nuclear inner membrane","CC"
"147","GO:0005640",1,0.961244074369792,0,5,"nuclear outer membrane","CC"
"148","GO:0005643",1,0.809733016041635,0,44,"nuclear pore","CC"
"149","GO:0005652",1,0.975203470529738,0,5,"nuclear lamina","CC"
"150","GO:0005655",1,0.989951902473738,0,1,"nucleolar ribonuclease P complex","CC"
"151","GO:0005656",1,0.98450535504635,0,3,"nuclear pre-replicative complex","CC"
"152","GO:0005657",1,0.98900310807841,0,2,"replication fork","CC"
"153","GO:0005658",1,0.981073026996741,0,4,"alpha DNA polymerase:primase complex","CC"
"154","GO:0005662",1,0.957454726227225,0,8,"DNA replication factor A complex","CC"
"155","GO:0005663",1,0.954707085963595,0,9,"DNA replication factor C complex","CC"
"156","GO:0005664",1,0.963046038637703,0,7,"nuclear origin of replication recognition complex","CC"
"157","GO:0005665",1,0.898212804009498,0,18,"RNA polymerase II, core complex","CC"
"158","GO:0005666",1,0.829564633293381,0,31,"RNA polymerase III complex","CC"
"159","GO:0005667",1,0.86514721547875,0,25,"transcription factor complex","CC"
"160","GO:0005668",1,0.994513605696045,0,1,"RNA polymerase transcription factor SL1 complex","CC"
"161","GO:0005669",1,0.882694036706322,0,23,"transcription factor TFIID complex","CC"
"162","GO:0005672",1,0.988138339914586,0,2,"transcription factor TFIIA complex","CC"
"163","GO:0005673",1,0.978183245389619,0,4,"transcription factor TFIIE complex","CC"
"164","GO:0005674",1,0.993959026414672,0,1,"transcription factor TFIIF complex","CC"
"165","GO:0005675",1,0.929355031988537,0,13,"transcription factor TFIIH holo complex","CC"
"166","GO:0005677",1,0.947635057536211,0,10,"chromatin silencing complex","CC"
"167","GO:0005680",1,0.929207891268444,0,14,"anaphase-promoting complex","CC"
"168","GO:0005682",1,0.867561426101907,0,23,"U5 snRNP","CC"
"169","GO:0005684",1,0.972625060739455,0,5,"U2-type spliceosomal complex","CC"
"170","GO:0005685",1,0.848569720507841,0,27,"U1 snRNP","CC"
"171","GO:0005686",1,0.818069869374899,0,31,"U2 snRNP","CC"
"172","GO:0005687",1,0.927110447526888,0,11,"U4 snRNP","CC"
"173","GO:0005688",1,0.94263544775418,0,9,"U6 snRNP","CC"
"174","GO:0005689",1,0.87850728891467,0,19,"U12-type spliceosomal complex","CC"
"175","GO:0005694",1,0.874921362184931,0,28,"chromosome","CC"
"176","GO:0005697",1,0.964136755419136,0,7,"telomerase holoenzyme complex","CC"
"177","GO:0005712",1,0.994701003378203,0,1,"chiasma","CC"
"178","GO:0005719",1,0.974583794594353,0,5,"nuclear euchromatin","CC"
"179","GO:0005720",1,0.945514856370548,0,10,"nuclear heterochromatin","CC"
"180","GO:0005721",1,0.990690217380534,0,1,"pericentric heterochromatin","CC"
"181","GO:0005730",1,0.0683862291383356,0,450,"nucleolus","CC"
"182","GO:0005731",1,0.98755164532863,0,2,"nucleolus organizer region","CC"
