"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath00520",0.0040038142478091,0.999744785652397,3,126,"Amino sugar and nucleotide sugar metabolism","KEGG"
"2","path:ath00350",0.00585811199177568,0.999814421796757,2,44,"Tyrosine metabolism","KEGG"
"3","path:ath00940",0.0516363833933611,0.994679937403071,2,139,"Phenylpropanoid biosynthesis","KEGG"
"4","path:ath00950",0.0546108105793614,0.998661620964822,1,21,"Isoquinoline alkaloid biosynthesis","KEGG"
"5","path:ath00960",0.0773142384807692,0.997253912022416,1,30,"Tropane, piperidine and pyridine alkaloid biosynthesis","KEGG"
"6","path:ath03410",0.103142391520566,0.995018537691282,1,41,"Base excision repair","KEGG"
"7","path:ath00360",0.118661481635097,0.993345589682444,1,47,"Phenylalanine metabolism","KEGG"
"8","path:ath00071",0.122773686708893,0.992858610911212,1,49,"Fatty acid degradation","KEGG"
"9","path:ath00410",0.123025904124656,0.992828515170914,1,49,"beta-Alanine metabolism","KEGG"
"10","path:ath01110",0.135605292072832,0.954550248343165,5,1069,"Biosynthesis of secondary metabolites","KEGG"
"11","path:ath00460",0.15833095534083,0.987895129101824,1,64,"Cyanoamino acid metabolism","KEGG"
"12","path:ath00561",0.167010359372125,0.986471673721392,1,68,"Glycerolipid metabolism","KEGG"
"13","path:ath01100",0.16832982182244,0.935524456590275,8,2168,"Metabolic pathways","KEGG"
"14","path:ath00260",0.196037715062933,0.981091699680157,1,81,"Glycine, serine and threonine metabolism","KEGG"
"15","path:ath00564",0.252566456907037,0.967750361323014,1,108,"Glycerophospholipid metabolism","KEGG"
"16","path:ath00010",0.271200324727597,0.962483390707378,1,117,"Glycolysis / Gluconeogenesis","KEGG"
"17","path:ath04016",0.294552835376048,0.955243158693906,1,129,"MAPK signaling pathway - plant","KEGG"
"18","path:ath00500",0.297282766173544,0.954348003265454,1,131,"Starch and sucrose metabolism","KEGG"
"19","path:ath00270",0.30097409390379,0.953125632616979,1,132,"Cysteine and methionine metabolism","KEGG"
"20","path:ath04626",0.372056608796221,0.925801367892847,1,171,"Plant-pathogen interaction","KEGG"
"21","path:ath04075",0.47368829636666,0.873059372397125,1,234,"Plant hormone signal transduction","KEGG"
"22","path:ath03040",0.495312566172563,0.85949666215709,1,251,"Spliceosome","KEGG"
"23","path:ath01200",0.575200635364004,0.801224871622457,1,310,"Carbon metabolism","KEGG"
"24","path:ath04120",0.999999999999999,0.674115061060798,0,147,"Ubiquitin mediated proteolysis","KEGG"
"25","path:ath03010",1,0.383672009033947,0,343,"Ribosome","KEGG"
"26","path:ath00230",1,0.761358709388923,0,101,"Purine metabolism","KEGG"
"27","path:ath00020",1,0.82184290767079,0,73,"Citrate cycle (TCA cycle)","KEGG"
"28","path:ath00030",1,0.837133903022405,0,66,"Pentose phosphate pathway","KEGG"
"29","path:ath00040",1,0.841599636416172,0,64,"Pentose and glucuronate interconversions","KEGG"
"30","path:ath00051",1,0.848561794835534,0,61,"Fructose and mannose metabolism","KEGG"
"31","path:ath00052",1,0.858445946740818,0,57,"Galactose metabolism","KEGG"
"32","path:ath00053",1,0.862292779385177,0,55,"Ascorbate and aldarate metabolism","KEGG"
"33","path:ath00061",1,0.894760327578122,0,42,"Fatty acid biosynthesis","KEGG"
"34","path:ath00062",1,0.937475741722513,0,24,"Fatty acid elongation","KEGG"
"35","path:ath00072",1,0.976183121254217,0,9,"Synthesis and degradation of ketone bodies","KEGG"
"36","path:ath00073",1,0.960653609947795,0,15,"Cutin, suberine and wax biosynthesis","KEGG"
"37","path:ath00100",1,0.912905444356517,0,34,"Steroid biosynthesis","KEGG"
"38","path:ath00130",1,0.893186335084456,0,42,"Ubiquinone and other terpenoid-quinone biosynthesis","KEGG"
"39","path:ath00190",1,0.691555569003252,0,136,"Oxidative phosphorylation","KEGG"
"40","path:ath00195",1,0.902354304229053,0,38,"Photosynthesis","KEGG"
"41","path:ath00196",1,0.962976291321488,0,14,"Photosynthesis - antenna proteins","KEGG"
"42","path:ath00220",1,0.900565592247423,0,39,"Arginine biosynthesis","KEGG"
"43","path:ath00232",1,0.994811239785945,0,2,"Caffeine metabolism","KEGG"
"44","path:ath00240",1,0.855488804757539,0,58,"Pyrimidine metabolism","KEGG"
"45","path:ath00250",1,0.84515098720512,0,63,"Alanine, aspartate and glutamate metabolism","KEGG"
"46","path:ath00261",1,0.96336733219498,0,14,"Monobactam biosynthesis","KEGG"
"47","path:ath00280",1,0.839581136423378,0,65,"Valine, leucine and isoleucine degradation","KEGG"
"48","path:ath00290",1,0.932784794230814,0,26,"Valine, leucine and isoleucine biosynthesis","KEGG"
"49","path:ath00300",1,0.96080873252796,0,15,"Lysine biosynthesis","KEGG"
"50","path:ath00310",1,0.894031212934098,0,42,"Lysine degradation","KEGG"
"51","path:ath00330",1,0.855425650500668,0,58,"Arginine and proline metabolism","KEGG"
"52","path:ath00340",1,0.942710303297743,0,22,"Histidine metabolism","KEGG"
"53","path:ath00380",1,0.832629692630136,0,68,"Tryptophan metabolism","KEGG"
"54","path:ath00400",1,0.864482899139751,0,54,"Phenylalanine, tyrosine and tryptophan biosynthesis","KEGG"
"55","path:ath00430",1,0.958138357240437,0,16,"Taurine and hypotaurine metabolism","KEGG"
"56","path:ath00440",1,0.976151485715836,0,9,"Phosphonate and phosphinate metabolism","KEGG"
"57","path:ath00450",1,0.945581227643363,0,21,"Selenocompound metabolism","KEGG"
"58","path:ath00480",1,0.724157624833604,0,119,"Glutathione metabolism","KEGG"
"59","path:ath00510",1,0.876879008237197,0,49,"N-Glycan biosynthesis","KEGG"
"60","path:ath00511",1,0.947110123844471,0,21,"Other glycan degradation","KEGG"
"61","path:ath00514",1,0.955874915637237,0,17,"Other types of O-glycan biosynthesis","KEGG"
"62","path:ath00531",1,0.981761945449508,0,7,"Glycosaminoglycan degradation","KEGG"
"63","path:ath00562",1,0.811650814617599,0,79,"Inositol phosphate metabolism","KEGG"
"64","path:ath00563",1,0.927702501435321,0,28,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","KEGG"
"65","path:ath00565",1,0.921098721199687,0,31,"Ether lipid metabolism","KEGG"
"66","path:ath00590",1,0.95531641929832,0,17,"Arachidonic acid metabolism","KEGG"
"67","path:ath00591",1,0.98161554723798,0,7,"Linoleic acid metabolism","KEGG"
