"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0071456",2.29405776319559e-07,0.999999989729795,7,44,"cellular response to hypoxia","BP"
"2","GO:0009407",2.67021483927713e-06,0.999999820843004,7,64,"toxin catabolic process","BP"
"3","GO:0009617",2.94039797462795e-06,0.999999537688732,12,209,"response to bacterium","BP"
"4","GO:0006749",3.8352689675952e-06,0.999999727132628,7,67,"glutathione metabolic process","BP"
"5","GO:0009805",2.09084069347111e-05,0.999999839187021,3,6,"coumarin biosynthetic process","BP"
"6","GO:0006878",2.3547218967384e-05,0.999999360357851,4,19,"cellular copper ion homeostasis","BP"
"7","GO:0019438",7.14333258178223e-05,0.999997353680609,4,22,"aromatic compound biosynthetic process","BP"
"8","GO:0052544",9.34751814418781e-05,0.999996285686223,4,22,"defense response by callose deposition in cell wall","BP"
"9","GO:0006032",0.000142517660778632,0.999993514094572,4,27,"chitin catabolic process","BP"
"10","GO:0000272",0.000142930140029632,0.999993547169514,4,25,"polysaccharide catabolic process","BP"
"11","GO:0016998",0.000252487675046486,0.99998645931715,4,31,"cell wall macromolecule catabolic process","BP"
"12","GO:0010360",0.000300933449901505,0.999998988176887,2,3,"negative regulation of anion channel activity","BP"
"13","GO:1901017",0.000300933449901505,0.999998988176887,2,3,"negative regulation of potassium ion transmembrane transporter activity","BP"
"14","GO:0010150",0.000366133869883989,0.999926106127023,9,205,"leaf senescence","BP"
"15","GO:0006952",0.000376135499145823,0.999835747563861,27,1228,"defense response","BP"
"16","GO:0006979",0.000383804744522058,0.99987973552428,15,509,"response to oxidative stress","BP"
"17","GO:0010200",0.000487046919867596,0.999897617137,9,219,"response to chitin","BP"
"18","GO:0045324",0.00052332837238919,0.999965593587983,4,35,"late endosome to vacuole transport","BP"
"19","GO:0033231",0.00121812870914022,0.999986368828792,2,5,"carbohydrate export","BP"
"20","GO:0009817",0.00152312017022963,0.999752695260739,6,113,"defense response to fungus, incompatible interaction","BP"
"21","GO:0042344",0.00176434070132169,0.999974067133583,2,6,"indole glucosinolate catabolic process","BP"
"22","GO:0034727",0.00181357191006398,0.999972966817864,2,6,"piecemeal microautophagy of the nucleus","BP"
"23","GO:0010230",0.00227440879882672,0.999959825059513,2,7,"alternative respiration","BP"
"24","GO:0009682",0.00309643829672664,0.999799076138782,3,28,"induced systemic resistance","BP"
"25","GO:0009651",0.00339257958951927,0.998437833708681,21,1009,"response to salt stress","BP"
"26","GO:0010106",0.00406535340107098,0.999894476646985,2,10,"cellular response to iron ion starvation","BP"
"27","GO:1903409",0.00425262896904307,0.999889434771885,2,9,"reactive oxygen species biosynthetic process","BP"
"28","GO:0002221",0.00445914966853805,0.999668835272838,3,30,"pattern recognition receptor signaling pathway","BP"
"29","GO:0055114",0.00498203933889908,0.997139912036232,36,2120,"oxidation-reduction process","BP"
"30","GO:0006850",0.00532064851378489,0.999838649403223,2,11,"mitochondrial pyruvate transmembrane transport","BP"
"31","GO:0002213",0.00612710118835694,0.999484838618312,3,35,"defense response to insect","BP"
"32","GO:0042343",0.00645276085770689,0.999447227157329,3,35,"indole glucosinolate metabolic process","BP"
"33","GO:0006825",0.00660572000909083,0.99942439299779,3,41,"copper ion transport","BP"
"34","GO:0006914",0.00709498616989248,0.999009008355268,4,71,"autophagy","BP"
"35","GO:0032515",0.00868409010089303,1,1,1,"negative regulation of phosphoprotein phosphatase activity","BP"
"36","GO:1902478",0.00873283399951318,0.999648980349089,2,13,"negative regulation of defense response to bacterium, incompatible interaction","BP"
"37","GO:0072722",0.00951702033524195,1,1,1,"response to amitrole","BP"
"38","GO:0006216",0.00967050892910004,1,1,1,"cytidine catabolic process","BP"
"39","GO:0090400",0.00998931264657357,1,1,1,"stress-induced premature senescence","BP"
"40","GO:1904250",0.00998931264657357,1,1,1,"positive regulation of age-related resistance","BP"
"41","GO:1904383",0.010362608650694,1,1,1,"response to sodium phosphate","BP"
"42","GO:0045730",0.0105048132566097,1,1,1,"respiratory burst","BP"
"43","GO:0042742",0.0107350383041615,0.995384081713105,14,639,"defense response to bacterium","BP"
"44","GO:0042430",0.0108753347698931,1,1,1,"indole-containing compound metabolic process","BP"
"45","GO:1901332",0.0109383063519866,0.999496718689152,2,15,"negative regulation of lateral root development","BP"
"46","GO:0044148",0.0111694516055395,1,1,1,"positive regulation of growth of symbiont involved in interaction with host","BP"
"47","GO:0015970",0.0111717132338059,1,1,1,"guanosine tetraphosphate biosynthetic process","BP"
"48","GO:0061709",0.0111717132338682,1,1,1,"reticulophagy","BP"
"49","GO:0061723",0.0111717132338682,1,1,1,"glycophagy","BP"
"50","GO:0010120",0.0114886054752918,0.999457669446146,2,15,"camalexin biosynthetic process","BP"
"51","GO:0009699",0.0142703968602658,0.99923526270262,2,17,"phenylpropanoid biosynthetic process","BP"
"52","GO:0042744",0.0143432048790995,0.996848133453673,5,134,"hydrogen peroxide catabolic process","BP"
"53","GO:0055072",0.0160939785399626,0.998038156598135,3,51,"iron ion homeostasis","BP"
"54","GO:0070370",0.0161722178754876,0.999069373273382,2,18,"cellular heat acclimation","BP"
"55","GO:0032509",0.016840755595569,0.999005237161538,2,19,"endosome transport via multivesicular body sorting pathway","BP"
"56","GO:0000045",0.0168885491954066,0.997905575645782,3,50,"autophagosome assembly","BP"
"57","GO:0006559",0.0181114693463483,0.998888293111926,2,19,"L-phenylalanine catabolic process","BP"
"58","GO:0010045",0.0183009741628103,0.999915661696655,1,2,"response to nickel cation","BP"
"59","GO:0009187",0.0192618146319314,0.999906527707394,1,2,"cyclic nucleotide metabolic process","BP"
"60","GO:0010421",0.0206761521046728,0.99989221946038,1,2,"hydrogen peroxide-mediated programmed cell death","BP"
"61","GO:0030001",0.0207706651923739,0.99498018903508,5,152,"metal ion transport","BP"
"62","GO:0046244",0.0211688212393973,0.999886993564778,1,2,"salicylic acid catabolic process","BP"
"63","GO:1903533",0.022218864425348,0.999875437935474,1,2,"regulation of protein targeting","BP"
"64","GO:1903553",0.022218864425348,0.999875437935474,1,2,"positive regulation of extracellular exosome assembly","BP"
"65","GO:0071366",0.0222188644254813,0.999875437935472,1,2,"cellular response to indolebutyric acid stimulus","BP"
"66","GO:0090558",0.0222188644254813,0.999875437935472,1,2,"plant epidermis development","BP"
"67","GO:0006904",0.0229366049445864,0.996797702656232,3,55,"vesicle docking involved in exocytosis","BP"
"68","GO:2000652",0.0235061135491151,0.998318702566825,2,23,"regulation of secondary cell wall biogenesis","BP"
"69","GO:0010311",0.0240816305804994,0.995141267450569,4,100,"lateral root formation","BP"
"70","GO:0006955",0.0245441686462871,0.998209150752759,2,22,"immune response","BP"
"71","GO:0009117",0.0249801079025798,0.998154397576011,2,23,"nucleotide metabolic process","BP"
"72","GO:0010337",0.0258766575315185,0.998051819511366,2,23,"regulation of salicylic acid metabolic process","BP"
"73","GO:0048573",0.0269358266125919,0.99437257041286,4,104,"photoperiodism, flowering","BP"
"74","GO:0019762",0.0276394120306564,0.995847944479582,3,59,"glucosinolate catabolic process","BP"
"75","GO:0009626",0.0282896887934713,0.992596702121259,5,155,"plant-type hypersensitive response","BP"
"76","GO:0002229",0.0286902191950465,0.993886976284505,4,106,"defense response to oomycetes","BP"
"77","GO:0031146",0.0297145922955046,0.993597868716671,4,108,"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process","BP"
"78","GO:0009414",0.0297175229191539,0.986392032208006,12,605,"response to water deprivation","BP"
"79","GO:0042659",0.0323595504887813,0.999646537325006,1,3,"regulation of cell fate specification","BP"
