"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0030247",1.11376087894377e-05,0.999999062733734,7,70,"polysaccharide binding","MF"
"2","GO:0004364",1.76726296860235e-05,0.999998386432553,7,83,"glutathione transferase activity","MF"
"3","GO:0004568",2.02212835465649e-05,0.99999904259581,5,34,"chitinase activity","MF"
"4","GO:0008171",2.5676756877915e-05,0.999998721590794,5,34,"O-methyltransferase activity","MF"
"5","GO:2001147",0.000274380977332304,0.99999911949794,2,3,"camalexin binding","MF"
"6","GO:2001227",0.000274380977332304,0.99999911949794,2,3,"quercitrin binding","MF"
"7","GO:0004601",0.000531207225900641,0.999900068759684,8,172,"peroxidase activity","MF"
"8","GO:0020037",0.000639426199953021,0.999799034033653,14,472,"heme binding","MF"
"9","GO:0071949",0.00100134485977534,0.999850585913214,6,103,"FAD binding","MF"
"10","GO:0016709",0.0015783307685263,0.999647465568984,8,200,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF"
"11","GO:0016034",0.00172071487242152,0.999975029101606,2,6,"maleylacetoacetate isomerase activity","MF"
"12","GO:0005509",0.00209102979488969,0.999288260188687,13,483,"calcium ion binding","MF"
"13","GO:0008061",0.00221059719664664,0.999873425757226,3,26,"chitin binding","MF"
"14","GO:0008757",0.00225630901614436,0.999684031082042,5,87,"S-adenosylmethionine-dependent methyltransferase activity","MF"
"15","GO:0043295",0.00262141151694115,0.999839207002958,3,29,"glutathione binding","MF"
"16","GO:0008422",0.00412676622090849,0.999178716478407,6,135,"beta-glucosidase activity","MF"
"17","GO:0001530",0.00425262896904307,0.999889434771885,2,9,"lipopolysaccharide binding","MF"
"18","GO:0016531",0.00604963509917236,0.999801240548341,2,12,"copper chaperone activity","MF"
"19","GO:0008113",0.00709609245704802,0.999743887217562,2,13,"peptide-methionine (S)-S-oxide reductase activity","MF"
"20","GO:0050833",0.00766916265617594,0.99971183771704,2,13,"pyruvate transmembrane transporter activity","MF"
"21","GO:0010309",0.00791448914172911,0.999697722837056,2,13,"acireductone dioxygenase [iron(II)-requiring] activity","MF"
"22","GO:0004865",0.00868409010089303,1,1,1,"protein serine/threonine phosphatase inhibitor activity","MF"
"23","GO:0008157",0.00868409010089303,1,1,1,"protein phosphatase 1 binding","MF"
"24","GO:0047844",0.00967050892910004,1,1,1,"deoxycytidine deaminase activity","MF"
"25","GO:0033744",0.0101969187019662,1,1,1,"L-methionine:thioredoxin-disulfide S-oxidoreductase activity","MF"
"26","GO:0005539",0.010362608650694,1,1,1,"glycosaminoglycan binding","MF"
"27","GO:0016174",0.010370952244753,0.999539691608167,2,14,"NAD(P)H oxidase activity","MF"
"28","GO:0070191",0.0103826364349518,1,1,1,"methionine-R-sulfoxide reductase activity","MF"
"29","GO:0003796",0.0104255275421835,1,1,1,"lysozyme activity","MF"
"30","GO:0106149",0.0110352551506841,1,1,1,"indole-3-carbonyl nitrile 4-hydroxylase activity","MF"
"31","GO:0046409",0.0111616742353407,1,1,1,"p-coumarate 3-hydroxylase activity","MF"
"32","GO:0005522",0.0111709212912246,1,1,1,"profilin binding","MF"
"33","GO:0004565",0.0120344835421202,0.998692096020472,3,43,"beta-galactosidase activity","MF"
"34","GO:0030246",0.0151550139655745,0.994286851133162,10,413,"carbohydrate binding","MF"
"35","GO:0047617",0.0164687063039831,0.999034483915529,2,20,"acyl-CoA hydrolase activity","MF"
"36","GO:0090353",0.0182160641425191,0.999916446084585,1,2,"polygalacturonase inhibitor activity","MF"
"37","GO:0008083",0.0184023761397872,0.998834827978701,2,26,"growth factor activity","MF"
"38","GO:0015078",0.0191167415794998,0.998782772319409,2,21,"proton transmembrane transporter activity","MF"
"39","GO:0004112",0.0192618146319314,0.999906527707394,1,2,"cyclic-nucleotide phosphodiesterase activity","MF"
"40","GO:0004842",0.0208743274337559,0.99056574284783,13,641,"ubiquitin-protein transferase activity","MF"
"41","GO:0033984",0.0214930467109426,0.999883486168567,1,2,"indole-3-glycerol-phosphate lyase activity","MF"
"42","GO:0008309",0.0215867859258144,0.999882462020862,1,2,"double-stranded DNA exodeoxyribonuclease activity","MF"
"43","GO:0102483",0.0217102378621262,0.995759558896137,4,95,"scopolin beta-glucosidase activity","MF"
"44","GO:0004321",0.0222139653473373,0.999875493170034,1,2,"fatty-acyl-CoA synthase activity","MF"
"45","GO:0016798",0.0290466012560583,0.995543966870675,3,63,"hydrolase activity, acting on glycosyl bonds","MF"
"46","GO:0019825",0.0302768202463368,0.988729038587038,8,333,"oxygen binding","MF"
"47","GO:0016532",0.0316511527253096,0.999661952753711,1,3,"superoxide dismutase copper chaperone activity","MF"
"48","GO:0004780",0.031848946776245,0.999657683648471,1,3,"sulfate adenylyltransferase (ADP) activity","MF"
"49","GO:0043765",0.0325024116963574,0.999643386262867,1,3,"T/G mismatch-specific endonuclease activity","MF"
"50","GO:0019887",0.0326171108388801,0.997197831781166,2,26,"protein kinase regulator activity","MF"
"51","GO:1905761",0.0329418335370932,0.999633605048198,1,3,"SCF ubiquitin ligase complex binding","MF"
"52","GO:0042292",0.0330277748513213,0.999631676351478,1,3,"URM1 activating enzyme activity","MF"
"53","GO:0061604",0.0330277748513213,0.999631676351478,1,3,"molybdopterin-synthase sulfurtransferase activity","MF"
"54","GO:0061605",0.0330277748513213,0.999631676351478,1,3,"molybdopterin-synthase adenylyltransferase activity","MF"
"55","GO:0033853",0.0331428396795313,0.999629086016968,1,3,"aspartate-prephenate aminotransferase activity","MF"
"56","GO:0033854",0.0331428396795313,0.999629086016968,1,3,"glutamate-prephenate aminotransferase activity","MF"
"57","GO:0004371",0.0331428396797406,0.999629086016963,1,3,"glycerone kinase activity","MF"
"58","GO:0042626",0.0337989118857482,0.989332553157392,6,215,"ATPase activity, coupled to transmembrane movement of substances","MF"
"59","GO:0016207",0.0362484604055001,0.996695984301341,2,27,"4-coumarate-CoA ligase activity","MF"
"60","GO:0008271",0.0363706448429817,0.99667880389399,2,27,"secondary active sulfate transmembrane transporter activity","MF"
"61","GO:0004113",0.0410535364571343,0.999358179279135,1,4,"2',3'-cyclic-nucleotide 3'-phosphodiesterase activity","MF"
"62","GO:0061630",0.0417229709168399,0.983472790719136,8,366,"ubiquitin protein ligase activity","MF"
"63","GO:0046870",0.0422816786522801,0.999318844115251,1,4,"cadmium ion binding","MF"
"64","GO:0008252",0.043944913891628,0.999263673514588,1,4,"nucleotidase activity","MF"
"65","GO:0015446",0.0439450097075001,0.99926367027326,1,4,"ATPase-coupled arsenite transmembrane transporter activity","MF"
"66","GO:0047372",0.0446892747280842,0.995402583841545,2,31,"acylglycerol lipase activity","MF"
"67","GO:0015116",0.0483664244999073,0.994796448601782,2,32,"sulfate transmembrane transporter activity","MF"
"68","GO:0003993",0.0495005938716145,0.990609551310976,3,76,"acid phosphatase activity","MF"
"69","GO:0016671",0.0510269728475918,0.994324016852826,2,35,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","MF"
"70","GO:0016899",0.0527646561724172,0.998864382271919,1,5,"oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor","MF"
"71","GO:0004674",0.053325406337424,0.967533359412657,22,1370,"protein serine/threonine kinase activity","MF"
"72","GO:0008728",0.0543831450558574,0.998792833042032,1,5,"GTP diphosphokinase activity","MF"
"73","GO:0050664",0.0544128346954113,0.998791499660748,1,5,"oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor","MF"
"74","GO:0051539",0.0550868310908837,0.985538223080574,4,135,"4 iron, 4 sulfur cluster binding","MF"
"75","GO:0051213",0.0557630738008622,0.98246187606746,5,192,"dioxygenase activity","MF"
"76","GO:0016706",0.0576554146496387,0.98835827980354,3,82,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors","MF"
"77","GO:0004620",0.0614900909793114,0.992400513183415,2,37,"phospholipase activity","MF"
"78","GO:0004441",0.0634788961499287,0.998281450587982,1,6,"inositol-1,4-bisphosphate 1-phosphatase activity","MF"
"79","GO:0003830",0.0638348945793267,0.998261868487263,1,6,"beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity","MF"
"80","GO:0004103",0.0645133554753329,0.998224233686665,1,6,"choline kinase activity","MF"
"81","GO:0015108",0.0650279361078777,0.998195413499606,1,6,"chloride transmembrane transporter activity","MF"
"82","GO:0042409",0.0678329294177005,0.99797907786216,1,7,"caffeoyl-CoA O-methyltransferase activity","MF"
"83","GO:0036456",0.0690362222527166,0.997905733638879,1,7,"L-methionine-(S)-S-oxide reductase activity","MF"
"84","GO:0004553",0.0707184093755815,0.968853441477197,8,396,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"85","GO:0050105",0.0717608197259418,0.997734690265164,1,7,"L-gulonolactone oxidase activity","MF"
"86","GO:0045735",0.0719003692555229,0.984065172371486,3,101,"nutrient reservoir activity","MF"
"87","GO:0009916",0.0719763600105408,0.997720864317354,1,7,"alternative oxidase activity","MF"
"88","GO:0102721",0.0719763600105408,0.997720864317354,1,7,"ubiquinol:oxygen oxidoreductase activity","MF"
"89","GO:0009055",0.0730506698517155,0.975187378546294,5,226,"electron transfer activity","MF"
"90","GO:0005506",0.073404180261632,0.967417276797769,8,402,"iron ion binding","MF"
"91","GO:0004834",0.0748511894469114,0.997532313047293,1,7,"tryptophan synthase activity","MF"
"92","GO:0016891",0.0751076473109263,0.99751511769028,1,7,"endoribonuclease activity, producing 5'-phosphomonoesters","MF"
"93","GO:1990841",0.0752489942356502,0.997505614160085,1,7,"promoter-specific chromatin binding","MF"
"94","GO:0016762",0.0752892446651384,0.989515980994,2,44,"xyloglucan:xyloglucosyl transferase activity","MF"
"95","GO:0005102",0.0754103774873095,0.98944335013283,2,51,"signaling receptor binding","MF"
"96","GO:0046577",0.0756340723565934,0.99747962840412,1,7,"long-chain-alcohol oxidase activity","MF"
"97","GO:1990381",0.0756341682035529,0.997479621918921,1,7,"ubiquitin-specific protease binding","MF"
"98","GO:0050242",0.0756341682038041,0.997479621918904,1,7,"pyruvate, phosphate dikinase activity","MF"
"99","GO:0016301",0.0788530856878301,0.946327495510451,30,2075,"kinase activity","MF"
"100","GO:0004126",0.0831813235441586,0.996793302097765,1,10,"cytidine deaminase activity","MF"
"101","GO:0033188",0.0841768479807794,0.996803734320296,1,8,"sphingomyelin synthase activity","MF"
"102","GO:0045140",0.0841768479807794,0.996803734320296,1,8,"inositol phosphoceramide synthase activity","MF"
"103","GO:0047493",0.0841768479807794,0.996803734320296,1,8,"ceramide cholinephosphotransferase activity","MF"
"104","GO:0003872",0.0854723962951704,0.996702886144989,1,8,"6-phosphofructokinase activity","MF"
