"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0048579",0.00363835846513802,1,1,1,"negative regulation of long-day photoperiodism, flowering","BP"
"2","GO:0000087",0.00370639591644325,1,1,1,"mitotic M phase","BP"
"3","GO:0009755",0.00674646272829167,0.999990485781645,1,2,"hormone-mediated signaling pathway","BP"
"4","GO:0007346",0.00986723246524132,0.999972831416719,1,3,"regulation of mitotic cell cycle","BP"
"5","GO:0010389",0.0105153665882541,0.999969134579274,1,3,"regulation of G2/M transition of mitotic cell cycle","BP"
"6","GO:0042744",0.0109628377046931,0.999966443942563,1,3,"hydrogen peroxide catabolic process","BP"
"7","GO:0009934",0.0112951907838931,0.999959933608429,1,4,"regulation of meristem structural organization","BP"
"8","GO:0055114",0.0188309227738682,0.999072448117844,2,63,"oxidation-reduction process","BP"
"9","GO:0006855",0.0198914745362402,0.999861439951508,1,6,"drug transmembrane transport","BP"
"10","GO:0046777",0.0256783296723757,0.999757001544138,1,8,"protein autophosphorylation","BP"
"11","GO:0007623",0.0408946027866915,0.999350357645821,1,12,"circadian rhythm","BP"
"12","GO:0006979",0.0433048998939113,0.999270759004124,1,12,"response to oxidative stress","BP"
"13","GO:0006468",0.125026560748767,0.993321970009816,1,38,"protein phosphorylation","BP"
"14","GO:0009451",0.132007312277239,0.992532572410561,1,38,"RNA modification","BP"
"15","GO:0006355",0.228242438535036,0.976401200331138,1,72,"regulation of transcription, DNA-templated","BP"
"16","GO:0009735",1,0.892242435515472,0,31,"response to cytokinin","BP"
"17","GO:0000012",1,0.997494499227218,0,1,"single strand break repair","BP"
"18","GO:0000023",1,0.997836969780531,0,1,"maltose metabolic process","BP"
"19","GO:0000025",1,0.994558939378379,0,2,"maltose catabolic process","BP"
"20","GO:0000027",1,0.907404071234974,0,26,"ribosomal large subunit assembly","BP"
"21","GO:0000028",1,0.945897250359203,0,15,"ribosomal small subunit assembly","BP"
"22","GO:0000054",1,0.99692542971739,0,1,"ribosomal subunit export from nucleus","BP"
"23","GO:0000055",1,0.991920874063669,0,3,"ribosomal large subunit export from nucleus","BP"
"24","GO:0000056",1,0.99560612453949,0,2,"ribosomal small subunit export from nucleus","BP"
"25","GO:0000070",1,0.99643352099091,0,1,"mitotic sister chromatid segregation","BP"
"26","GO:0000076",1,0.992678063089916,0,2,"DNA replication checkpoint","BP"
"27","GO:0000079",1,0.971224352411147,0,8,"regulation of cyclin-dependent protein serine/threonine kinase activity","BP"
"28","GO:0000082",1,0.99645074998099,0,1,"G1/S transition of mitotic cell cycle","BP"
"29","GO:0000105",1,0.993432058130367,0,2,"histidine biosynthetic process","BP"
"30","GO:0000122",1,0.996299526610664,0,1,"negative regulation of transcription by RNA polymerase II","BP"
"31","GO:0000154",1,0.992597235879438,0,2,"rRNA modification","BP"
"32","GO:0000162",1,0.99629348123447,0,1,"tryptophan biosynthetic process","BP"
"33","GO:0000184",1,0.994319223197552,0,2,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP"
"34","GO:0000226",1,0.964976064164759,0,10,"microtubule cytoskeleton organization","BP"
"35","GO:0000245",1,0.992705450334087,0,2,"spliceosomal complex assembly","BP"
"36","GO:0000271",1,0.996327766272145,0,1,"polysaccharide biosynthetic process","BP"
"37","GO:0000272",1,0.996502598431962,0,1,"polysaccharide catabolic process","BP"
"38","GO:0000278",1,0.931381868670194,0,20,"mitotic cell cycle","BP"
"39","GO:0000280",1,0.996293285057557,0,1,"nuclear division","BP"
"40","GO:0000281",1,0.992678063089916,0,2,"mitotic cytokinesis","BP"
"41","GO:0000302",1,0.978075645368936,0,6,"response to reactive oxygen species","BP"
"42","GO:0000304",1,0.996292842688432,0,1,"response to singlet oxygen","BP"
"43","GO:0000338",1,0.992600951326749,0,2,"protein deneddylation","BP"
"44","GO:0000349",1,0.994013526774037,0,2,"generation of catalytic spliceosome for first transesterification step","BP"
"45","GO:0000350",1,0.996293093496647,0,1,"generation of catalytic spliceosome for second transesterification step","BP"
"46","GO:0000354",1,0.996293391549431,0,1,"cis assembly of pre-catalytic spliceosome","BP"
"47","GO:0000372",1,0.997262563511537,0,1,"Group I intron splicing","BP"
"48","GO:0000373",1,0.97686697300189,0,7,"Group II intron splicing","BP"
"49","GO:0000374",1,0.99647146489161,0,1,"Group III intron splicing","BP"
"50","GO:0000379",1,0.996292874177473,0,1,"tRNA-type intron splice site recognition and cleavage","BP"
"51","GO:0000380",1,0.996292805827072,0,1,"alternative mRNA splicing, via spliceosome","BP"
"52","GO:0000381",1,0.979303231889206,0,6,"regulation of alternative mRNA splicing, via spliceosome","BP"
"53","GO:0000387",1,0.988912836013268,0,3,"spliceosomal snRNP assembly","BP"
"54","GO:0000389",1,0.996293093496647,0,1,"mRNA 3'-splice site recognition","BP"
"55","GO:0000395",1,0.996350928816036,0,1,"mRNA 5'-splice site recognition","BP"
"56","GO:0000398",1,0.927744561944601,0,22,"mRNA splicing, via spliceosome","BP"
"57","GO:0000413",1,0.97188821563895,0,8,"protein peptidyl-prolyl isomerization","BP"
"58","GO:0000447",1,0.98892143390382,0,3,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"59","GO:0000454",1,0.996292858875946,0,1,"snoRNA guided rRNA pseudouridine synthesis","BP"
"60","GO:0000460",1,0.992216715440068,0,3,"maturation of 5.8S rRNA","BP"
"61","GO:0000461",1,0.992597395614949,0,2,"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"62","GO:0000462",1,0.947939153407442,0,15,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
