"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","path:ath00940",0.00745823083570455,1,1,4,"Phenylpropanoid biosynthesis","KEGG"
"2","path:ath01110",0.129173745500481,1,1,73,"Biosynthesis of secondary metabolites","KEGG"
"3","path:ath01100",0.229893320484318,1,1,131,"Metabolic pathways","KEGG"
"4","path:ath00010",1,0.996376873196285,0,2,"Glycolysis / Gluconeogenesis","KEGG"
"5","path:ath00020",1,0.998109799534445,0,1,"Citrate cycle (TCA cycle)","KEGG"
"6","path:ath00040",1,0.992063836872042,0,5,"Pentose and glucuronate interconversions","KEGG"
"7","path:ath00051",1,0.998108405849969,0,1,"Fructose and mannose metabolism","KEGG"
"8","path:ath00052",1,0.998622927275308,0,1,"Galactose metabolism","KEGG"
"9","path:ath00053",1,0.988766519923372,0,6,"Ascorbate and aldarate metabolism","KEGG"
"10","path:ath00061",1,0.998419763302552,0,1,"Fatty acid biosynthesis","KEGG"
"11","path:ath00073",1,0.998108092484102,0,1,"Cutin, suberine and wax biosynthesis","KEGG"
"12","path:ath00100",1,0.992545800544479,0,4,"Steroid biosynthesis","KEGG"
"13","path:ath00130",1,0.996503388639932,0,2,"Ubiquinone and other terpenoid-quinone biosynthesis","KEGG"
"14","path:ath00190",1,0.998179759464164,0,1,"Oxidative phosphorylation","KEGG"
"15","path:ath00220",1,0.994380644758861,0,3,"Arginine biosynthesis","KEGG"
"16","path:ath00230",1,0.978852802828043,0,12,"Purine metabolism","KEGG"
"17","path:ath00240",1,0.992798796635754,0,4,"Pyrimidine metabolism","KEGG"
"18","path:ath00250",1,0.989219474796147,0,6,"Alanine, aspartate and glutamate metabolism","KEGG"
"19","path:ath00260",1,0.991085058630975,0,5,"Glycine, serine and threonine metabolism","KEGG"
"20","path:ath00261",1,0.994865415241387,0,3,"Monobactam biosynthesis","KEGG"
"21","path:ath00270",1,0.975733450608154,0,14,"Cysteine and methionine metabolism","KEGG"
"22","path:ath00280",1,0.9983063196281,0,1,"Valine, leucine and isoleucine degradation","KEGG"
"23","path:ath00290",1,0.989240285828063,0,6,"Valine, leucine and isoleucine biosynthesis","KEGG"
"24","path:ath00300",1,0.991143284953138,0,5,"Lysine biosynthesis","KEGG"
"25","path:ath00330",1,0.992444458613321,0,4,"Arginine and proline metabolism","KEGG"
"26","path:ath00340",1,0.996644063455193,0,2,"Histidine metabolism","KEGG"
"27","path:ath00350",1,0.998129780511667,0,1,"Tyrosine metabolism","KEGG"
"28","path:ath00360",1,0.996237929321207,0,2,"Phenylalanine metabolism","KEGG"
"29","path:ath00380",1,0.99812197937539,0,1,"Tryptophan metabolism","KEGG"
"30","path:ath00400",1,0.99623817416827,0,2,"Phenylalanine, tyrosine and tryptophan biosynthesis","KEGG"
"31","path:ath00410",1,0.992642541874475,0,4,"beta-Alanine metabolism","KEGG"
"32","path:ath00440",1,0.998323781272687,0,1,"Phosphonate and phosphinate metabolism","KEGG"
"33","path:ath00450",1,0.997036562580079,0,2,"Selenocompound metabolism","KEGG"
"34","path:ath00460",1,0.996322662952956,0,2,"Cyanoamino acid metabolism","KEGG"
"35","path:ath00480",1,0.988762700695963,0,6,"Glutathione metabolism","KEGG"
"36","path:ath00500",1,0.983215890210532,0,11,"Starch and sucrose metabolism","KEGG"
"37","path:ath00510",1,0.986250065686155,0,8,"N-Glycan biosynthesis","KEGG"
"38","path:ath00514",1,0.998108252931326,0,1,"Other types of O-glycan biosynthesis","KEGG"
"39","path:ath00520",1,0.982493166432106,0,10,"Amino sugar and nucleotide sugar metabolism","KEGG"
"40","path:ath00561",1,0.99517745114824,0,3,"Glycerolipid metabolism","KEGG"
"41","path:ath00562",1,0.996268126426519,0,2,"Inositol phosphate metabolism","KEGG"
"42","path:ath00563",1,0.998108219860978,0,1,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","KEGG"
"43","path:ath00564",1,0.988890249542653,0,6,"Glycerophospholipid metabolism","KEGG"
"44","path:ath00565",1,0.998323781272687,0,1,"Ether lipid metabolism","KEGG"
"45","path:ath00590",1,0.998130548620562,0,1,"Arachidonic acid metabolism","KEGG"
"46","path:ath00620",1,0.991418905514463,0,5,"Pyruvate metabolism","KEGG"
"47","path:ath00640",1,0.994835882465096,0,3,"Propanoate metabolism","KEGG"
"48","path:ath00650",1,0.99652462029437,0,2,"Butanoate metabolism","KEGG"
"49","path:ath00660",1,0.990851802321431,0,5,"C5-Branched dibasic acid metabolism","KEGG"
"50","path:ath00670",1,0.996405415725179,0,2,"One carbon pool by folate","KEGG"
"51","path:ath00710",1,0.99851191830797,0,1,"Carbon fixation in photosynthetic organisms","KEGG"
"52","path:ath00740",1,0.99622628667049,0,2,"Riboflavin metabolism","KEGG"
"53","path:ath00750",1,0.992437370408095,0,4,"Vitamin B6 metabolism","KEGG"
"54","path:ath00770",1,0.994913103801002,0,3,"Pantothenate and CoA biosynthesis","KEGG"
"55","path:ath00780",1,0.998503978174945,0,1,"Biotin metabolism","KEGG"
"56","path:ath00785",1,0.998108027540955,0,1,"Lipoic acid metabolism","KEGG"
"57","path:ath00790",1,0.993159976591097,0,4,"Folate biosynthesis","KEGG"
"58","path:ath00860",1,0.988688045539843,0,6,"Porphyrin and chlorophyll metabolism","KEGG"
"59","path:ath00905",1,0.9934927582933,0,4,"Brassinosteroid biosynthesis","KEGG"
"60","path:ath00906",1,0.998251594146229,0,1,"Carotenoid biosynthesis","KEGG"
"61","path:ath00908",1,0.996367112875343,0,2,"Zeatin biosynthesis","KEGG"
"62","path:ath00920",1,0.996348327316628,0,2,"Sulfur metabolism","KEGG"
"63","path:ath00941",1,0.99810814880954,0,1,"Flavonoid biosynthesis","KEGG"
"64","path:ath00945",1,0.99810814880954,0,1,"Stilbenoid, diarylheptanoid and gingerol biosynthesis","KEGG"
"65","path:ath00950",1,0.998129780511667,0,1,"Isoquinoline alkaloid biosynthesis","KEGG"
"66","path:ath00960",1,0.998129780511667,0,1,"Tropane, piperidine and pyridine alkaloid biosynthesis","KEGG"
"67","path:ath00966",1,0.99812197937539,0,1,"Glucosinolate biosynthesis","KEGG"
"68","path:ath00970",1,0.975770329515999,0,16,"Aminoacyl-tRNA biosynthesis","KEGG"
"69","path:ath01200",1,0.984160479175795,0,9,"Carbon metabolism","KEGG"
"70","path:ath01210",1,0.981741450835525,0,10,"2-Oxocarboxylic acid metabolism","KEGG"
"71","path:ath01212",1,0.998419763302552,0,1,"Fatty acid metabolism","KEGG"
"72","path:ath01230",1,0.949195122268669,0,28,"Biosynthesis of amino acids","KEGG"
"73","path:ath03008",1,0.959290126347979,0,25,"Ribosome biogenesis in eukaryotes","KEGG"
"74","path:ath03010",1,0.612362773361151,0,205,"Ribosome","KEGG"
"75","path:ath03013",1,0.924589196877883,0,47,"RNA transport","KEGG"
"76","path:ath03015",1,0.973591683300084,0,15,"mRNA surveillance pathway","KEGG"
"77","path:ath03018",1,0.971651784465,0,19,"RNA degradation","KEGG"
"78","path:ath03020",1,0.990548890661461,0,5,"RNA polymerase","KEGG"
"79","path:ath03022",1,0.996222779044915,0,2,"Basal transcription factors","KEGG"
"80","path:ath03030",1,0.982746327555091,0,10,"DNA replication","KEGG"
"81","path:ath03040",1,0.928370365935306,0,41,"Spliceosome","KEGG"
"82","path:ath03050",1,0.998115633268441,0,1,"Proteasome","KEGG"
"83","path:ath03060",1,0.991252108327696,0,5,"Protein export","KEGG"
"84","path:ath03410",1,0.993137399795948,0,4,"Base excision repair","KEGG"
"85","path:ath03420",1,0.982314872173937,0,10,"Nucleotide excision repair","KEGG"
"86","path:ath03430",1,0.98392349038866,0,10,"Mismatch repair","KEGG"
"87","path:ath03440",1,0.984619890620676,0,11,"Homologous recombination","KEGG"
"88","path:ath04016",1,0.996229263006983,0,2,"MAPK signaling pathway - plant","KEGG"
"89","path:ath04070",1,0.998108112783123,0,1,"Phosphatidylinositol signaling system","KEGG"
"90","path:ath04075",1,0.976251884291619,0,13,"Plant hormone signal transduction","KEGG"
"91","path:ath04120",1,0.988621060723226,0,8,"Ubiquitin mediated proteolysis","KEGG"
"92","path:ath04122",1,0.998108937080874,0,1,"Sulfur relay system","KEGG"
"93","path:ath04136",1,0.996747146961101,0,2,"Autophagy - other","KEGG"
"94","path:ath04141",1,0.978795087377314,0,13,"Protein processing in endoplasmic reticulum","KEGG"
"95","path:ath04144",1,0.990588181902798,0,5,"Endocytosis","KEGG"
"96","path:ath04145",1,0.984895764722273,0,8,"Phagosome","KEGG"
"97","path:ath04146",1,0.994324815859759,0,3,"Peroxisome","KEGG"
"98","path:ath04626",1,0.988918405338921,0,6,"Plant-pathogen interaction","KEGG"
"99","path:ath04712",1,0.998204484407992,0,1,"Circadian rhythm - plant","KEGG"
"100","path:ath04933",1,0.99810827676345,0,1,"AGE-RAGE signaling pathway in diabetic complications","KEGG"
