"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0008353",0.0109249029371921,0.999966676430153,1,3,"RNA polymerase II CTD heptapeptide repeat kinase activity","MF"
"2","GO:0004601",0.0146359838787543,0.999932617190583,1,4,"peroxidase activity","MF"
"3","GO:0015238",0.0175306721358954,0.999896771326077,1,5,"drug transmembrane transporter activity","MF"
"4","GO:0008270",0.0178085239591168,0.999148924687485,2,62,"zinc ion binding","MF"
"5","GO:0004693",0.0254697507970282,0.999765791919191,1,7,"cyclin-dependent protein serine/threonine kinase activity","MF"
"6","GO:0015297",0.032071596759773,0.999613886690234,1,9,"antiporter activity","MF"
"7","GO:0020037",0.0415778508847735,0.99932826926765,1,12,"heme binding","MF"
"8","GO:0046872",0.0542832506703117,0.995172279820776,2,119,"metal ion binding","MF"
"9","GO:0005215",0.0742734709780026,0.99773355390596,1,23,"transporter activity","MF"
"10","GO:0004674",0.090139111186681,0.996617123678325,1,27,"protein serine/threonine kinase activity","MF"
"11","GO:0016301",0.150724043714134,0.990136058454946,1,47,"kinase activity","MF"
"12","GO:0003700",0.174068630983494,0.986674948768527,1,53,"DNA-binding transcription factor activity","MF"
"13","GO:0005515",0.257352665327993,0.940310151574903,2,292,"protein binding","MF"
"14","GO:0005524",0.398884919736596,0.92088124178192,1,153,"ATP binding","MF"
"15","GO:0000014",1,0.996293511348172,0,1,"single-stranded DNA endodeoxyribonuclease activity","MF"
"16","GO:0000049",1,0.975168190652309,0,8,"tRNA binding","MF"
"17","GO:0000062",1,0.996294945212753,0,1,"fatty-acyl-CoA binding","MF"
"18","GO:0000095",1,0.996292908835025,0,1,"S-adenosyl-L-methionine transmembrane transporter activity","MF"
"19","GO:0000107",1,0.997099672577857,0,1,"imidazoleglycerol-phosphate synthase activity","MF"
"20","GO:0000121",1,0.996293083269407,0,1,"glycerol-1-phosphatase activity","MF"
"21","GO:0000166",1,0.873219996592566,0,40,"nucleotide binding","MF"
"22","GO:0000175",1,0.993782791552156,0,2,"3'-5'-exoribonuclease activity","MF"
"23","GO:0000179",1,0.992597235879438,0,2,"rRNA (adenine-N6,N6-)-dimethyltransferase activity","MF"
"24","GO:0000213",1,0.996292874177473,0,1,"tRNA-intron endonuclease activity","MF"
"25","GO:0000287",1,0.961994075765286,0,11,"magnesium ion binding","MF"
"26","GO:0000384",1,0.996293093496647,0,1,"first spliceosomal transesterification activity","MF"
"27","GO:0000400",1,0.995982552154444,0,2,"four-way junction DNA binding","MF"
"28","GO:0000403",1,0.996293511348172,0,1,"Y-form DNA binding","MF"
"29","GO:0000406",1,0.996293511348172,0,1,"double-strand/single-strand DNA junction binding","MF"
"30","GO:0000822",1,0.996638667169798,0,1,"inositol hexakisphosphate binding","MF"
"31","GO:0000976",1,0.996311827339305,0,1,"transcription regulatory region sequence-specific DNA binding","MF"
"32","GO:0000978",1,0.988999338875147,0,3,"RNA polymerase II proximal promoter sequence-specific DNA binding","MF"
"33","GO:0000981",1,0.996299526610664,0,1,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"34","GO:0000987",1,0.996293176753204,0,1,"proximal promoter sequence-specific DNA binding","MF"
"35","GO:0001042",1,0.996973855794599,0,1,"RNA polymerase I core binding","MF"
"36","GO:0001054",1,0.988929118187185,0,3,"RNA polymerase I activity","MF"
"37","GO:0001055",1,0.990623089217163,0,3,"RNA polymerase II activity","MF"
"38","GO:0001056",1,0.98525664698735,0,4,"RNA polymerase III activity","MF"
"39","GO:0001181",1,0.996973855794599,0,1,"RNA polymerase I general transcription initiation factor activity","MF"
"40","GO:0001228",1,0.996988301966852,0,1,"DNA-binding transcription activator activity, RNA polymerase II-specific","MF"
"41","GO:0001671",1,0.996292871866109,0,1,"ATPase activator activity","MF"
"42","GO:0001872",1,0.992598406892054,0,2,"(1->3)-beta-D-glucan binding","MF"
"43","GO:0002020",1,0.996344637374314,0,1,"protease binding","MF"
"44","GO:0002161",1,0.996264306750242,0,2,"aminoacyl-tRNA editing activity","MF"
"45","GO:0003674",1,0.467514620999142,0,197,"molecular_function","MF"
"46","GO:0003676",1,0.867030384491752,0,43,"nucleic acid binding","MF"
"47","GO:0003677",1,0.69730802842083,0,106,"DNA binding","MF"
"48","GO:0003678",1,0.995326285858781,0,2,"DNA helicase activity","MF"
"49","GO:0003680",1,0.992628011086033,0,2,"AT DNA binding","MF"
"50","GO:0003682",1,0.952849290214268,0,15,"chromatin binding","MF"
"51","GO:0003684",1,0.967674701454483,0,10,"damaged DNA binding","MF"
"52","GO:0003688",1,0.986658131277334,0,4,"DNA replication origin binding","MF"
"53","GO:0003689",1,0.996729291513223,0,1,"DNA clamp loader activity","MF"
"54","GO:0003690",1,0.949679360767633,0,14,"double-stranded DNA binding","MF"
"55","GO:0003697",1,0.939785574789125,0,17,"single-stranded DNA binding","MF"
"56","GO:0003712",1,0.992674792737263,0,2,"transcription coregulator activity","MF"
"57","GO:0003713",1,0.993143888580712,0,2,"transcription coactivator activity","MF"
"58","GO:0003723",1,0.555771611918088,0,162,"RNA binding","MF"
"59","GO:0003724",1,0.98094438937067,0,6,"RNA helicase activity","MF"
"60","GO:0003725",1,0.97696667759073,0,7,"double-stranded RNA binding","MF"
"61","GO:0003727",1,0.993782452474389,0,2,"single-stranded RNA binding","MF"
"62","GO:0003729",1,0.607343239957191,0,134,"mRNA binding","MF"
"63","GO:0003730",1,0.982927514859267,0,5,"mRNA 3'-UTR binding","MF"
"64","GO:0003735",1,0.417862448065008,0,219,"structural constituent of ribosome","MF"
"65","GO:0003743",1,0.918046653766709,0,25,"translation initiation factor activity","MF"
"66","GO:0003746",1,0.94476496328017,0,16,"translation elongation factor activity","MF"
"67","GO:0003747",1,0.996293037528451,0,1,"translation release factor activity","MF"
"68","GO:0003755",1,0.964680401784634,0,10,"peptidyl-prolyl cis-trans isomerase activity","MF"
"69","GO:0003756",1,0.992782764082758,0,2,"protein disulfide isomerase activity","MF"
"70","GO:0003777",1,0.984881458634107,0,5,"microtubule motor activity","MF"
"71","GO:0003779",1,0.987434993905084,0,4,"actin binding","MF"
"72","GO:0003824",1,0.945021050121959,0,17,"catalytic activity","MF"
"73","GO:0003841",1,0.996294484693312,0,1,"1-acylglycerol-3-phosphate O-acyltransferase activity","MF"
"74","GO:0003843",1,0.999018186590719,0,1,"1,3-beta-D-glucan synthase activity","MF"
"75","GO:0003860",1,0.996680770986233,0,1,"3-hydroxyisobutyryl-CoA hydrolase activity","MF"
"76","GO:0003861",1,0.996292854476319,0,1,"3-isopropylmalate dehydratase activity","MF"
"77","GO:0003862",1,0.992602946176557,0,2,"3-isopropylmalate dehydrogenase activity","MF"
"78","GO:0003865",1,0.992600111641563,0,2,"3-oxo-5-alpha-steroid 4-dehydrogenase activity","MF"
"79","GO:0003886",1,0.995539937505135,0,2,"DNA (cytosine-5-)-methyltransferase activity","MF"
"80","GO:0003896",1,0.996566929453572,0,1,"DNA primase activity","MF"
"81","GO:0003899",1,0.968741543451825,0,9,"DNA-directed 5'-3' RNA polymerase activity","MF"
"82","GO:0003906",1,0.983546520768189,0,5,"DNA-(apurinic or apyrimidinic site) endonuclease activity","MF"
"83","GO:0003910",1,0.997494499227218,0,1,"DNA ligase (ATP) activity","MF"
"84","GO:0003913",1,0.996293395376071,0,1,"DNA photolyase activity","MF"
"85","GO:0003916",1,0.994339154551745,0,3,"DNA topoisomerase activity","MF"
"86","GO:0003917",1,0.996461484137381,0,2,"DNA topoisomerase type I activity","MF"
"87","GO:0003918",1,0.992495044778754,0,3,"DNA topoisomerase type II (ATP-hydrolyzing) activity","MF"
"88","GO:0003919",1,0.996292973322085,0,1,"FMN adenylyltransferase activity","MF"
"89","GO:0003921",1,0.996595202848796,0,1,"GMP synthase activity","MF"
"90","GO:0003922",1,0.996595202848796,0,1,"GMP synthase (glutamine-hydrolyzing) activity","MF"
"91","GO:0003924",1,0.926069416011662,0,22,"GTPase activity","MF"
"92","GO:0003934",1,0.992821607364482,0,2,"GTP cyclohydrolase I activity","MF"
"93","GO:0003935",1,0.99631257406431,0,1,"GTP cyclohydrolase II activity","MF"
"94","GO:0003937",1,0.99644477529501,0,1,"IMP cyclohydrolase activity","MF"
"95","GO:0003962",1,0.996551527348764,0,1,"cystathionine gamma-synthase activity","MF"
"96","GO:0003964",1,0.9927848612569,0,2,"RNA-directed DNA polymerase activity","MF"
"97","GO:0003968",1,0.997036349637307,0,1,"RNA-directed 5'-3' RNA polymerase activity","MF"
"98","GO:0003975",1,0.996327766272145,0,1,"UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity","MF"
"99","GO:0003977",1,0.994133069759824,0,2,"UDP-N-acetylglucosamine diphosphorylase activity","MF"
"100","GO:0003978",1,0.996502598431962,0,1,"UDP-glucose 4-epimerase activity","MF"
"101","GO:0003980",1,0.998893566029231,0,1,"UDP-glucose:glycoprotein glucosyltransferase activity","MF"
"102","GO:0003983",1,0.997300550976837,0,1,"UTP:glucose-1-phosphate uridylyltransferase activity","MF"
"103","GO:0003984",1,0.993198959095081,0,2,"acetolactate synthase activity","MF"
"104","GO:0003989",1,0.996902807400189,0,1,"acetyl-CoA carboxylase activity","MF"
"105","GO:0004003",1,0.996595202848796,0,1,"ATP-dependent DNA helicase activity","MF"
"106","GO:0004004",1,0.989573071038687,0,4,"ATP-dependent RNA helicase activity","MF"
"107","GO:0004015",1,0.997067662727032,0,1,"adenosylmethionine-8-amino-7-oxononanoate transaminase activity","MF"
"108","GO:0004018",1,0.996352241839814,0,1,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity","MF"
"109","GO:0004019",1,0.99629801007268,0,1,"adenylosuccinate synthase activity","MF"
"110","GO:0004028",1,0.997007297004032,0,1,"3-chloroallyl aldehyde dehydrogenase activity","MF"
"111","GO:0004029",1,0.997007297004032,0,1,"aldehyde dehydrogenase (NAD) activity","MF"
"112","GO:0004032",1,0.996293282579362,0,1,"alditol:NADP+ 1-oxidoreductase activity","MF"
"113","GO:0004033",1,0.992597873983828,0,2,"aldo-keto reductase (NADP) activity","MF"
"114","GO:0004040",1,0.996968163615128,0,1,"amidase activity","MF"
"115","GO:0004042",1,0.996398404983489,0,1,"acetyl-CoA:L-glutamate N-acetyltransferase activity","MF"
"116","GO:0004045",1,0.99629329460579,0,1,"aminoacyl-tRNA hydrolase activity","MF"
"117","GO:0004046",1,0.996293154908616,0,1,"aminoacylase activity","MF"
"118","GO:0004049",1,0.99629348123447,0,1,"anthranilate synthase activity","MF"
"119","GO:0004056",1,0.99629739907863,0,1,"argininosuccinate lyase activity","MF"
"120","GO:0004066",1,0.996625140391594,0,1,"asparagine synthase (glutamine-hydrolyzing) activity","MF"
"121","GO:0004067",1,0.996292950819907,0,1,"asparaginase activity","MF"
"122","GO:0004071",1,0.996625140391594,0,1,"aspartate-ammonia ligase activity","MF"
"123","GO:0004072",1,0.997347688806207,0,1,"aspartate kinase activity","MF"
"124","GO:0004073",1,0.996294544402899,0,1,"aspartate-semialdehyde dehydrogenase activity","MF"
"125","GO:0004088",1,0.997008832432708,0,1,"carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity","MF"
"126","GO:0004109",1,0.996295228114937,0,1,"coproporphyrinogen oxidase activity","MF"
"127","GO:0004124",1,0.996303805946045,0,1,"cysteine synthase activity","MF"
"128","GO:0004134",1,0.994558939378379,0,2,"4-alpha-glucanotransferase activity","MF"
"129","GO:0004141",1,0.997067662727032,0,1,"dethiobiotin synthase activity","MF"
"130","GO:0004142",1,0.996714944917353,0,1,"diacylglycerol cholinephosphotransferase activity","MF"
"131","GO:0004160",1,0.996841581237551,0,1,"dihydroxy-acid dehydratase activity","MF"
"132","GO:0004175",1,0.99281422838463,0,2,"endopeptidase activity","MF"
"133","GO:0004176",1,0.985804996201196,0,5,"ATP-dependent peptidase activity","MF"
"134","GO:0004177",1,0.992677461670671,0,2,"aminopeptidase activity","MF"
"135","GO:0004180",1,0.99649124335845,0,1,"carboxypeptidase activity","MF"
"136","GO:0004185",1,0.989408651355662,0,3,"serine-type carboxypeptidase activity","MF"
"137","GO:0004190",1,0.996320853604553,0,1,"aspartic-type endopeptidase activity","MF"
