"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0009733",0.00454263554006981,0.999883328136108,2,18,"response to auxin","BP"
"2","GO:0006508",0.0106662418746058,0.999557627992109,2,30,"proteolysis","BP"
"3","GO:0043489",0.0117429599557244,0.999968475735184,1,2,"RNA stabilization","BP"
"4","GO:2000280",0.0143919992839687,0.999952579514877,1,2,"regulation of root development","BP"
"5","GO:0031640",0.0183094083816522,0.999923084803064,1,2,"killing of cells of other organism","BP"
"6","GO:0010102",0.0186720135506978,0.999893444523362,1,3,"lateral root morphogenesis","BP"
"7","GO:2000033",0.0274381055154385,0.999740243482011,1,4,"regulation of seed dormancy process","BP"
"8","GO:0006869",0.0370709121919857,0.999492304843969,1,5,"lipid transport","BP"
"9","GO:0009723",0.0395357554278948,0.999398114560265,1,6,"response to ethylene","BP"
"10","GO:0009631",0.0426116538880552,0.999280144118109,1,7,"cold acclimation","BP"
"11","GO:0009753",0.0437394677118081,0.999241167779626,1,7,"response to jasmonic acid","BP"
"12","GO:0009739",0.0470902002986727,0.999119184850272,1,7,"response to gibberellin","BP"
"13","GO:1901259",0.050224886675859,0.998976099658314,1,8,"chloroplast rRNA processing","BP"
"14","GO:0006396",0.0626700264633656,0.998352510218812,1,10,"RNA processing","BP"
"15","GO:0050832",0.0664642659326221,0.998110448456033,1,12,"defense response to fungus","BP"
"16","GO:0071555",0.0919392351679741,0.996251232929851,1,17,"cell wall organization","BP"
"17","GO:0008380",0.124598729886703,0.992911928537655,1,23,"RNA splicing","BP"
"18","GO:0006952",0.152533495929555,0.989198807953728,1,26,"defense response","BP"
"19","GO:0006397",0.174299957455322,0.985628006932385,1,35,"mRNA processing","BP"
"20","GO:0009735",0.195281251265966,0.98186023631976,1,31,"response to cytokinin","BP"
"21","GO:0009409",0.245174171407936,0.970535684288645,1,42,"response to cold","BP"
"22","GO:0046686",0.247188450649698,0.969939980930803,1,48,"response to cadmium ion","BP"
"23","GO:0009651",0.270364247091444,0.963644474509321,1,49,"response to salt stress","BP"
