"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0005576",0.000148805968904403,0.999992037079273,5,98,"extracellular region","CC"
"2","GO:0009534",0.00545591918223607,0.999846812408584,2,17,"chloroplast thylakoid","CC"
"3","GO:0009505",0.0156930802408542,0.999197639860414,2,34,"plant-type cell wall","CC"
"4","GO:0005887",0.027413814651762,0.999723559419647,1,5,"integral component of plasma membrane","CC"
"5","GO:0005618",0.0621082159244031,0.993158619413675,2,63,"cell wall","CC"
"6","GO:1990904",0.105786272936036,0.995008479782626,1,17,"ribonucleoprotein complex","CC"
"7","GO:0009579",0.168546558827725,0.986741679425419,1,25,"thylakoid","CC"
"8","GO:0009535",0.223011812657017,0.975950954872748,1,36,"chloroplast thylakoid membrane","CC"
"9","GO:0009570",0.499896967909598,0.858912378990526,1,104,"chloroplast stroma","CC"
"10","GO:0009507",0.643728847864112,0.61823665460476,3,485,"chloroplast","CC"
"11","GO:0016020",0.71829420061372,0.661227257218385,1,182,"membrane","CC"
"12","GO:0016021",0.81671284550437,0.520652231883754,1,253,"integral component of membrane","CC"
"13","GO:0005634",0.86625427796941,0.322763551595695,3,709,"nucleus","CC"
"14","GO:0005829",0.889345013318891,0.38128503009347,1,313,"cytosol","CC"
"15","GO:0005737",1,0.0365122890878658,0,440,"cytoplasm","CC"
"16","GO:0000139",1,0.836077690416281,0,31,"Golgi membrane","CC"
"17","GO:0000148",1,0.998798814312363,0,1,"1,3-beta-D-glucan synthase complex","CC"
"18","GO:0000151",1,0.993785784459498,0,2,"ubiquitin ligase complex","CC"
"19","GO:0000159",1,0.995150292930983,0,1,"protein phosphatase type 2A complex","CC"
"20","GO:0000176",1,0.985529967092061,0,2,"nuclear exosome (RNase complex)","CC"
"21","GO:0000177",1,0.985529967092061,0,2,"cytoplasmic exosome (RNase complex)","CC"
"22","GO:0000178",1,0.992669239359487,0,1,"exosome (RNase complex)","CC"
"23","GO:0000214",1,0.992230590467373,0,1,"tRNA-intron endonuclease complex","CC"
