"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","ARA:TRIGLSYN-PWY",0.0192342930175842,1,2,2,"diacylglycerol and triacylglycerol biosynthesis","BioCyc"
"2","ARA:PWY3DJ-35471",0.124225560359717,1,1,1,"L-ascorbate biosynthesis IV","BioCyc"
"3","ARA:ETOH-ACETYLCOA-ANA-PWY",0.135463719660617,1,1,1,"ethanol degradation I","BioCyc"
"4","ARA:PWY-5486",0.135463719660617,1,1,1,"pyruvate fermentation to ethanol II","BioCyc"
"5","ARA:PWY-6333",0.135463719660617,1,1,1,"acetaldehyde biosynthesis I","BioCyc"
"6","ARA:PWY66-21",0.135463719660617,1,1,1,"ethanol degradation II","BioCyc"
"7","ARA:PWY-5884",0.141815603749265,1,1,1,"wax esters biosynthesis I","BioCyc"
"8","ARA:PWY-6823",0.145330932280829,1,1,1,"molybdenum cofactor biosynthesis","BioCyc"
"9","ARA:PWY-5080",0.15875126083217,1,1,1,"very long chain fatty acid biosynthesis I","BioCyc"
"10","ARA:PWY-7039",0.244861816954151,0.979388217714703,1,3,"phosphatidate metabolism, as a signaling molecule","BioCyc"
"11","ARA:PWY-7416",0.267426010752824,0.9809577940879,1,2,"phospholipid remodeling (phosphatidylcholine, yeast)","BioCyc"
"12","ARA:PWY-4361",0.276163282353493,0.979570463345782,1,2,"S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation","BioCyc"
"13","ARA:PWY-7270",0.276163282353493,0.979570463345782,1,2,"L-methionine salvage cycle II (plants)","BioCyc"
"14","ARA:LIPASYN-PWY",0.28484033026114,0.971425692056485,1,3,"phospholipases","BioCyc"
"15","ARA:PWY-6443",0.293242758965366,0.976688854325959,1,2,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)","BioCyc"
"16","ARA:PWY-6803",0.33851084323323,0.958247747323322,1,3,"phosphatidylcholine acyl editing","BioCyc"
"17","ARA:CAMALEXIN-SYN",0.380495981445744,0.945753125501812,1,3,"camalexin biosynthesis","BioCyc"
"18","ARA:PWY-601",0.567078712340924,0.839480333696301,1,5,"glucosinolate biosynthesis from tryptophan","BioCyc"
