"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0048629",0.00392528826673174,1,1,1,"trichome patterning","BP"
"2","GO:0015914",0.0118091476008513,1,1,1,"phospholipid transport","BP"
"3","GO:0036297",0.0167371418333113,0.999901274626053,1,4,"interstrand cross-link repair","BP"
"4","GO:2000280",0.0235066806585974,0.999869502716258,1,2,"regulation of root development","BP"
"5","GO:0042744",0.0244232904701397,0.999812351037795,1,3,"hydrogen peroxide catabolic process","BP"
"6","GO:0010102",0.0426489797624145,0.999422698632454,1,3,"lateral root morphogenesis","BP"
"7","GO:2000033",0.0440345159961102,0.999308104351522,1,4,"regulation of seed dormancy process","BP"
"8","GO:0031640",0.0474252437004822,0.999461814728049,1,2,"killing of cells of other organism","BP"
"9","GO:0006869",0.0683169700281626,0.998205757690287,1,5,"lipid transport","BP"
"10","GO:0050832",0.084086822435855,0.99687450188792,1,12,"defense response to fungus","BP"
"11","GO:0055114",0.0892323841590456,0.987426995638002,2,63,"oxidation-reduction process","BP"
"12","GO:0006979",0.109442912714066,0.994649573315688,1,12,"response to oxidative stress","BP"
"13","GO:0009733",0.135097254039091,0.991520899316907,1,18,"response to auxin","BP"
"14","GO:0009451",0.297189369293915,0.954706772467968,1,38,"RNA modification","BP"
"15","GO:0006355",0.466703215702935,0.877123075454652,1,72,"regulation of transcription, DNA-templated","BP"
"16","GO:0008150",0.93485658924155,0.261396395760169,1,239,"biological_process","BP"
"17","GO:0009793",0.999999999999999,0.59895813375339,0,69,"embryo development ending in seed dormancy","BP"
"18","GO:0006412",1,0.0337518810516077,0,217,"translation","BP"
"19","GO:0000012",1,0.998016851460067,0,1,"single strand break repair","BP"
"20","GO:0000023",1,0.998231143328717,0,1,"maltose metabolic process","BP"
"21","GO:0000025",1,0.995762332933122,0,2,"maltose catabolic process","BP"
"22","GO:0000027",1,0.699484875312227,0,26,"ribosomal large subunit assembly","BP"
"23","GO:0000028",1,0.817133629506079,0,15,"ribosomal small subunit assembly","BP"
"24","GO:0000054",1,0.99766073065477,0,1,"ribosomal subunit export from nucleus","BP"
"25","GO:0000055",1,0.988053417892954,0,3,"ribosomal large subunit export from nucleus","BP"
"26","GO:0000056",1,0.996420322087642,0,2,"ribosomal small subunit export from nucleus","BP"
"27","GO:0000070",1,0.996416293301912,0,1,"mitotic sister chromatid segregation","BP"
"28","GO:0000076",1,0.9862652119953,0,2,"DNA replication checkpoint","BP"
"29","GO:0000079",1,0.930782010266012,0,8,"regulation of cyclin-dependent protein serine/threonine kinase activity","BP"
"30","GO:0000082",1,0.996593005360529,0,1,"G1/S transition of mitotic cell cycle","BP"
"31","GO:0000087",1,0.989411240825474,0,1,"mitotic M phase","BP"
"32","GO:0000105",1,0.991463289419874,0,2,"histidine biosynthetic process","BP"
"33","GO:0000122",1,0.991324102843654,0,1,"negative regulation of transcription by RNA polymerase II","BP"
"34","GO:0000154",1,0.975078565210484,0,2,"rRNA modification","BP"
"35","GO:0000162",1,0.989273163573391,0,1,"tryptophan biosynthetic process","BP"
"36","GO:0000184",1,0.993801429186935,0,2,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP"
"37","GO:0000226",1,0.918650102544064,0,10,"microtubule cytoskeleton organization","BP"
"38","GO:0000245",1,0.988243687716221,0,2,"spliceosomal complex assembly","BP"
"39","GO:0000271",1,0.993923306157901,0,1,"polysaccharide biosynthetic process","BP"
"40","GO:0000272",1,0.996981627306449,0,1,"polysaccharide catabolic process","BP"
"41","GO:0000278",1,0.846779637288623,0,20,"mitotic cell cycle","BP"
"42","GO:0000280",1,0.988758059463652,0,1,"nuclear division","BP"
"43","GO:0000281",1,0.9862652119953,0,2,"mitotic cytokinesis","BP"
"44","GO:0000302",1,0.947372429464028,0,6,"response to reactive oxygen species","BP"
