"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0005576",0.000479923268499747,0.999962149591087,5,98,"extracellular region","CC"
"2","GO:0043240",0.0116717899064502,1,1,1,"Fanconi anaemia nuclear complex","CC"
"3","GO:0009505",0.0195880194111308,0.998824822816068,2,34,"plant-type cell wall","CC"
"4","GO:0005887",0.0459058081496175,0.999197897999086,1,5,"integral component of plasma membrane","CC"
"5","GO:0009506",0.165353084344626,0.953013305325993,3,155,"plasmodesma","CC"
"6","GO:0005634",0.271756737719589,0.870529695645286,7,709,"nucleus","CC"
"7","GO:0005618",0.44815010642258,0.888004739613349,1,63,"cell wall","CC"
"8","GO:0016020",0.823546412602351,0.502477557604053,1,182,"membrane","CC"
"9","GO:0016021",0.886713332191126,0.37998286414927,1,253,"integral component of membrane","CC"
"10","GO:0005739",0.928716166047969,0.278230601837138,1,251,"mitochondrion","CC"
"11","GO:0009507",0.994177856868952,0.0417739752048711,1,485,"chloroplast","CC"
"12","GO:0005730",1,0.269482369398614,0,133,"nucleolus","CC"
"13","GO:0005840",1,0.0876260054858742,0,163,"ribosome","CC"
"14","GO:0005886",1,0.13589373510374,0,232,"plasma membrane","CC"
"15","GO:0000139",1,0.839113978401461,0,31,"Golgi membrane","CC"
"16","GO:0000148",1,0.998970117498992,0,1,"1,3-beta-D-glucan synthase complex","CC"
"17","GO:0000151",1,0.996489952507538,0,2,"ubiquitin ligase complex","CC"
"18","GO:0000159",1,0.99762098940948,0,1,"protein phosphatase type 2A complex","CC"
"19","GO:0000176",1,0.976435557222593,0,2,"nuclear exosome (RNase complex)","CC"
"20","GO:0000177",1,0.976435557222593,0,2,"cytoplasmic exosome (RNase complex)","CC"
"21","GO:0000178",1,0.988141360813826,0,1,"exosome (RNase complex)","CC"
"22","GO:0000214",1,0.987434656652136,0,1,"tRNA-intron endonuclease complex","CC"
"23","GO:0000243",1,0.970119258047784,0,2,"commitment complex","CC"
"24","GO:0000275",1,0.996411717632274,0,1,"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)","CC"
"25","GO:0000307",1,0.936161029985193,0,8,"cyclin-dependent protein kinase holoenzyme complex","CC"
"26","GO:0000311",1,0.96672027895744,0,2,"plastid large ribosomal subunit","CC"
"27","GO:0000312",1,0.967962423616523,0,1,"plastid small ribosomal subunit","CC"
"28","GO:0000325",1,0.997461904428729,0,1,"plant-type vacuole","CC"
