"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","Annotation","ontology"
"1","GO:0008289",0.00385012109347028,0.999912399034174,2,10,"lipid binding","MF"
"2","GO:0005548",0.0118091476008513,1,1,1,"phospholipid transporter activity","MF"
"3","GO:0005351",0.0162836409969139,0.999916911810951,1,3,"carbohydrate:proton symporter activity","MF"
"4","GO:0015144",0.0162836409969139,0.999916911810951,1,3,"carbohydrate transmembrane transporter activity","MF"
"5","GO:0004601",0.0362338371374402,0.999533198649297,1,4,"peroxidase activity","MF"
"6","GO:0046983",0.0621561267153795,0.998415129472841,1,7,"protein dimerization activity","MF"
"7","GO:0020037",0.0910514508748198,0.99632482365603,1,12,"heme binding","MF"
"8","GO:0016491",0.093149147625106,0.996101812216716,1,14,"oxidoreductase activity","MF"
"9","GO:0005507",0.135841288203261,0.991424602460938,1,18,"copper ion binding","MF"
"10","GO:0003676",0.231873848470352,0.973147123545689,1,43,"nucleic acid binding","MF"
"11","GO:0003700",0.374921631383085,0.924694921610849,1,53,"DNA-binding transcription factor activity","MF"
"12","GO:0003674",0.398908433664959,0.82158191231633,3,197,"molecular_function","MF"
"13","GO:0003677",0.561762544795041,0.811310902162443,1,106,"DNA binding","MF"
"14","GO:0046872",0.581532136100133,0.795153351083048,1,119,"metal ion binding","MF"
"15","GO:0005515",0.894805820383388,0.361823631862576,1,292,"protein binding","MF"
"16","GO:0005524",1,0.50308804165276,0,153,"ATP binding","MF"
"17","GO:0003735",1,0.0320769765948423,0,219,"structural constituent of ribosome","MF"
"18","GO:0000014",1,0.989310773146251,0,1,"single-stranded DNA endodeoxyribonuclease activity","MF"
"19","GO:0000049",1,0.95227293191629,0,8,"tRNA binding","MF"
"20","GO:0000062",1,0.99017143156313,0,1,"fatty-acyl-CoA binding","MF"
"21","GO:0000095",1,0.987722889013642,0,1,"S-adenosyl-L-methionine transmembrane transporter activity","MF"
"22","GO:0000107",1,0.997769776343421,0,1,"imidazoleglycerol-phosphate synthase activity","MF"
"23","GO:0000121",1,0.98814897116504,0,1,"glycerol-1-phosphatase activity","MF"
"24","GO:0000166",1,0.754735648236361,0,40,"nucleotide binding","MF"
"25","GO:0000175",1,0.9861940002352,0,2,"3'-5'-exoribonuclease activity","MF"
"26","GO:0000179",1,0.975078565210484,0,2,"rRNA (adenine-N6,N6-)-dimethyltransferase activity","MF"
"27","GO:0000213",1,0.987434656652136,0,1,"tRNA-intron endonuclease activity","MF"
"28","GO:0000287",1,0.927586068554908,0,11,"magnesium ion binding","MF"
"29","GO:0000384",1,0.988152112413587,0,1,"first spliceosomal transesterification activity","MF"
"30","GO:0000400",1,0.99665588103014,0,2,"four-way junction DNA binding","MF"
"31","GO:0000403",1,0.989310773146251,0,1,"Y-form DNA binding","MF"
"32","GO:0000406",1,0.989310773146251,0,1,"double-strand/single-strand DNA junction binding","MF"
"33","GO:0000822",1,0.997438773955579,0,1,"inositol hexakisphosphate binding","MF"
"34","GO:0000976",1,0.992831834963604,0,1,"transcription regulatory region sequence-specific DNA binding","MF"
"35","GO:0000978",1,0.972023562914896,0,3,"RNA polymerase II proximal promoter sequence-specific DNA binding","MF"
"36","GO:0000981",1,0.991324102843654,0,1,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"37","GO:0000987",1,0.988190169508697,0,1,"proximal promoter sequence-specific DNA binding","MF"
"38","GO:0001042",1,0.99769103742408,0,1,"RNA polymerase I core binding","MF"
"39","GO:0001054",1,0.958079909656736,0,3,"RNA polymerase I activity","MF"
"40","GO:0001055",1,0.963632449399777,0,3,"RNA polymerase II activity","MF"
"41","GO:0001056",1,0.94730992078795,0,4,"RNA polymerase III activity","MF"
"42","GO:0001181",1,0.99769103742408,0,1,"RNA polymerase I general transcription initiation factor activity","MF"
"43","GO:0001228",1,0.9977000782836,0,1,"DNA-binding transcription activator activity, RNA polymerase II-specific","MF"
"44","GO:0001671",1,0.987411092540751,0,1,"ATPase activator activity","MF"
"45","GO:0001872",1,0.974999055852,0,2,"(1->3)-beta-D-glucan binding","MF"
"46","GO:0002020",1,0.994665403955959,0,1,"protease binding","MF"
"47","GO:0002161",1,0.996832181405386,0,2,"aminoacyl-tRNA editing activity","MF"
"48","GO:0003678",1,0.99624519167698,0,2,"DNA helicase activity","MF"
"49","GO:0003680",1,0.981793430692101,0,2,"AT DNA binding","MF"
"50","GO:0003682",1,0.901547023401219,0,15,"chromatin binding","MF"
"51","GO:0003684",1,0.939950168396045,0,10,"damaged DNA binding","MF"
"52","GO:0003688",1,0.97378669737995,0,4,"DNA replication origin binding","MF"
"53","GO:0003689",1,0.997536946763791,0,1,"DNA clamp loader activity","MF"
"54","GO:0003690",1,0.853997059080035,0,14,"double-stranded DNA binding","MF"
"55","GO:0003697",1,0.850895304913058,0,17,"single-stranded DNA binding","MF"
"56","GO:0003712",1,0.984197281778032,0,2,"transcription coregulator activity","MF"
"57","GO:0003713",1,0.987696933273942,0,2,"transcription coactivator activity","MF"
"58","GO:0003723",1,0.248471597219565,0,162,"RNA binding","MF"
"59","GO:0003724",1,0.979492674513492,0,6,"RNA helicase activity","MF"
"60","GO:0003725",1,0.954259736640645,0,7,"double-stranded RNA binding","MF"
"61","GO:0003727",1,0.984216086499573,0,2,"single-stranded RNA binding","MF"
"62","GO:0003730",1,0.979839111911605,0,5,"mRNA 3'-UTR binding","MF"
"63","GO:0003743",1,0.859777958046266,0,25,"translation initiation factor activity","MF"
"64","GO:0003746",1,0.887381051651176,0,16,"translation elongation factor activity","MF"
"65","GO:0003747",1,0.988122380301881,0,1,"translation release factor activity","MF"
"66","GO:0003755",1,0.896012416316381,0,10,"peptidyl-prolyl cis-trans isomerase activity","MF"
"67","GO:0003756",1,0.978235336017669,0,2,"protein disulfide isomerase activity","MF"
"68","GO:0003777",1,0.981826130830213,0,5,"microtubule motor activity","MF"
"69","GO:0003779",1,0.986712307279146,0,4,"actin binding","MF"
"70","GO:0003824",1,0.873485005092258,0,17,"catalytic activity","MF"
"71","GO:0003841",1,0.98997537362313,0,1,"1-acylglycerol-3-phosphate O-acyltransferase activity","MF"
"72","GO:0003843",1,0.998970117498992,0,1,"1,3-beta-D-glucan synthase activity","MF"
"73","GO:0003860",1,0.99749492300625,0,1,"3-hydroxyisobutyryl-CoA hydrolase activity","MF"
"74","GO:0003861",1,0.987214015519161,0,1,"3-isopropylmalate dehydratase activity","MF"
"75","GO:0003862",1,0.979364593134814,0,2,"3-isopropylmalate dehydrogenase activity","MF"
"76","GO:0003865",1,0.97355794998908,0,2,"3-oxo-5-alpha-steroid 4-dehydrogenase activity","MF"
"77","GO:0003886",1,0.996378901630353,0,2,"DNA (cytosine-5-)-methyltransferase activity","MF"
"78","GO:0003896",1,0.997268363669934,0,1,"DNA primase activity","MF"
"79","GO:0003899",1,0.895194350135119,0,9,"DNA-directed 5'-3' RNA polymerase activity","MF"
"80","GO:0003906",1,0.959851364181413,0,5,"DNA-(apurinic or apyrimidinic site) endonuclease activity","MF"
"81","GO:0003910",1,0.998016851460067,0,1,"DNA ligase (ATP) activity","MF"
"82","GO:0003913",1,0.989142709898541,0,1,"DNA photolyase activity","MF"
"83","GO:0003916",1,0.9952131878058,0,3,"DNA topoisomerase activity","MF"
"84","GO:0003917",1,0.996955552453425,0,2,"DNA topoisomerase type I activity","MF"
"85","GO:0003918",1,0.984940319188324,0,3,"DNA topoisomerase type II (ATP-hydrolyzing) activity","MF"
"86","GO:0003919",1,0.988011757780862,0,1,"FMN adenylyltransferase activity","MF"
"87","GO:0003921",1,0.997349804702879,0,1,"GMP synthase activity","MF"
"88","GO:0003922",1,0.997349804702879,0,1,"GMP synthase (glutamine-hydrolyzing) activity","MF"
"89","GO:0003924",1,0.853120617311405,0,22,"GTPase activity","MF"
"90","GO:0003934",1,0.991731518628316,0,2,"GTP cyclohydrolase I activity","MF"
"91","GO:0003935",1,0.992896967165244,0,1,"GTP cyclohydrolase II activity","MF"
"92","GO:0003937",1,0.996535020615435,0,1,"IMP cyclohydrolase activity","MF"
"93","GO:0003962",1,0.997214099512895,0,1,"cystathionine gamma-synthase activity","MF"
"94","GO:0003964",1,0.988596737763209,0,2,"RNA-directed DNA polymerase activity","MF"
"95","GO:0003968",1,0.997730147760148,0,1,"RNA-directed 5'-3' RNA polymerase activity","MF"
"96","GO:0003975",1,0.993923306157901,0,1,"UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity","MF"
"97","GO:0003977",1,0.995480709144058,0,2,"UDP-N-acetylglucosamine diphosphorylase activity","MF"
"98","GO:0003978",1,0.996981627306449,0,1,"UDP-glucose 4-epimerase activity","MF"
"99","GO:0003980",1,0.998892164667404,0,1,"UDP-glucose:glycoprotein glucosyltransferase activity","MF"
"100","GO:0003983",1,0.997895485333693,0,1,"UTP:glucose-1-phosphate uridylyltransferase activity","MF"
"101","GO:0003984",1,0.988046169262747,0,2,"acetolactate synthase activity","MF"
"102","GO:0003989",1,0.997646572674371,0,1,"acetyl-CoA carboxylase activity","MF"
"103","GO:0004003",1,0.997349804702879,0,1,"ATP-dependent DNA helicase activity","MF"
"104","GO:0004004",1,0.991816146944119,0,4,"ATP-dependent RNA helicase activity","MF"
"105","GO:0004015",1,0.997749744107835,0,1,"adenosylmethionine-8-amino-7-oxononanoate transaminase activity","MF"
"106","GO:0004018",1,0.994919240657096,0,1,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity","MF"
"107","GO:0004019",1,0.991026430053879,0,1,"adenylosuccinate synthase activity","MF"
"108","GO:0004028",1,0.997711965913085,0,1,"3-chloroallyl aldehyde dehydrogenase activity","MF"
"109","GO:0004029",1,0.997711965913085,0,1,"aldehyde dehydrogenase (NAD) activity","MF"
"110","GO:0004032",1,0.988726613915763,0,1,"alditol:NADP+ 1-oxidoreductase activity","MF"
"111","GO:0004033",1,0.976613567931041,0,2,"aldo-keto reductase (NADP) activity","MF"
"112","GO:0004040",1,0.997687475073868,0,1,"amidase activity","MF"
"113","GO:0004042",1,0.995944580053301,0,1,"acetyl-CoA:L-glutamate N-acetyltransferase activity","MF"
"114","GO:0004045",1,0.988841327832698,0,1,"aminoacyl-tRNA hydrolase activity","MF"
"115","GO:0004046",1,0.988172710726449,0,1,"aminoacylase activity","MF"
"116","GO:0004049",1,0.989273163573391,0,1,"anthranilate synthase activity","MF"
"117","GO:0004056",1,0.990890422176457,0,1,"argininosuccinate lyase activity","MF"
"118","GO:0004066",1,0.997415056341726,0,1,"asparagine synthase (glutamine-hydrolyzing) activity","MF"
"119","GO:0004067",1,0.987938272698798,0,1,"asparaginase activity","MF"
"120","GO:0004071",1,0.997415056341726,0,1,"aspartate-ammonia ligase activity","MF"
"121","GO:0004072",1,0.997924983103965,0,1,"aspartate kinase activity","MF"
"122","GO:0004073",1,0.990002941043519,0,1,"aspartate-semialdehyde dehydrogenase activity","MF"
"123","GO:0004088",1,0.997712926825141,0,1,"carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity","MF"
"124","GO:0004109",1,0.990276868989923,0,1,"coproporphyrinogen oxidase activity","MF"
"125","GO:0004124",1,0.991976747838768,0,1,"cysteine synthase activity","MF"
"126","GO:0004134",1,0.995762332933122,0,2,"4-alpha-glucanotransferase activity","MF"
"127","GO:0004141",1,0.997749744107835,0,1,"dethiobiotin synthase activity","MF"
"128","GO:0004142",1,0.997526250193201,0,1,"diacylglycerol cholinephosphotransferase activity","MF"
"129","GO:0004160",1,0.997608254410588,0,1,"dihydroxy-acid dehydratase activity","MF"
"130","GO:0004175",1,0.985231195463594,0,2,"endopeptidase activity","MF"
"131","GO:0004176",1,0.979986890515053,0,5,"ATP-dependent peptidase activity","MF"
"132","GO:0004177",1,0.98267137966346,0,2,"aminopeptidase activity","MF"
"133","GO:0004180",1,0.996911441656756,0,1,"carboxypeptidase activity","MF"
"134","GO:0004185",1,0.986359378337333,0,3,"serine-type carboxypeptidase activity","MF"
"135","GO:0004190",1,0.993514886787904,0,1,"aspartic-type endopeptidase activity","MF"
"136","GO:0004197",1,0.998932426919024,0,1,"cysteine-type endopeptidase activity","MF"
